gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
2243609694,Dendrocincla tyrannina,EC,"Recinto 23 de Junio, Pichincha",,1,-0.0301,-78.876,1114,7,2014
1411091595,Dendrocincla tyrannina,EC,Reserva Los Cedros,Imbabura,1,0.321968,-78.787,1820,1,2013
3654091051,Dendrocincla tyrannina,EC,Refugio Paz de las Aves (Angel Paz),Pichincha,1,0.019655,-78.70693,1906,12,2021
2856846398,Dendrocincla tyrannina,EC,,Pichincha,1,0.114555,-78.613302,1772,1,2020
1190823300,Dendrocincla tyrannina,EC,Guarumos Transecto impacto P02,Pichincha,1,-0.05136,-78.642,2567,7,2005
1198569316,Dendrocincla tyrannina,EC,Sachatamia Lodge,Pichincha,2,-0.025148,-78.75798,1719,11,2014
3158795161,Dendrocincla tyrannina,EC,Bellavista Cloud Forest Lodge,Pichincha,1,-0.015922,-78.681206,2242,5,2020
3663728247,Dendrocincla tyrannina,EC,"Auto selected -0.00122, -78.68669",Pichincha,1,-0.00122,-78.68669,2242,10,2021
2862364275,Dendrocincla tyrannina,EC,,Pichincha,1,-0.016039,-78.680877,2230,11,2016
1206192345,Dendrocincla tyrannina,EC,Nono-Mindo Road near San Tadeo,Pichincha,1,-0.024868,-78.74329,1913,11,2011
3148553125,Dendrocincla tyrannina,EC,Bellavista Cloud Forest Lodge,Pichincha,1,-0.015922,-78.681206,2242,3,2020
1190893322,Dendrocincla tyrannina,EC,Guarumos Transecto control P05,Pichincha,1,-0.04347,-78.64967,2606,8,2004
1184110255,Dendrocincla tyrannina,EC,Bellavista--camino a la estación científica (research station road),Pichincha,1,-0.020999,-78.684425,2338,8,2014
2720667647,Dendrocincla tyrannina,EC,Reserva Bellavista--general area,Pichincha,2,-0.016544,-78.68791,2278,11,2019
3566109961,Dendrocincla tyrannina,EC,Casa del Bosque Yardlist,Pichincha,1,-0.01267,-78.6784,2097,7,2021
1344728222,Dendrocincla tyrannina,EC,Un Poco del Choco--Reserve & Field Station,Pichincha,2,0.05295,-78.84311,1177,1,2015
3543849356,Dendrocincla tyrannina,EC,"Vía sin nombre, Pichincha, EC (-0.055, -78.627)",Pichincha,1,-0.055338,-78.62681,2243,11,2021
2761977898,Dendrocincla tyrannina,EC,Sachatamia Lodge,Pichincha,1,-0.025148,-78.75798,1719,6,2014
3542520921,Dendrocincla tyrannina,EC,Maquipucuna Lodge,Pichincha,1,0.124139,-78.62937,1272,10,2021
973697517,Dendrocincla tyrannina,EC,Tandayapa Bird Lodge,Pichincha,1,0.00235,-78.67743,1742,2,2002
1728825638,Dendrocincla tyrannina,EC,Santa Lucia Lodge,Pichincha,1,0.118575,-78.61154,1881,4,2016
1190874775,Dendrocincla tyrannina,EC,Guarumos Transecto impacto P09,Pichincha,1,-0.04892,-78.65133,2622,5,2005
2772211354,Dendrocincla tyrannina,EC,Mindo--general area (*HISTORICAL DATA ONLY; please use a more specific location for current checklists),Pichincha,1,-0.049224,-78.776825,1268,9,2003
1174879122,Dendrocincla tyrannina,EC,Alambi Reserve,Pichincha,1,0.030789,-78.680565,1488,12,2012
3265083091,Dendrocincla tyrannina,EC,Bellavista Cloud Forest Lodge,Pichincha,1,-0.015922,-78.681206,2242,11,2010
1208292314,Dendrocincla tyrannina,EC,Guarumos Transecto control P03,Pichincha,1,-0.04425,-78.64864,2601,9,2007
1190790964,Dendrocincla tyrannina,EC,Guarumos Transecto control P05,Pichincha,1,-0.04347,-78.64967,2606,4,2004
3590183842,Dendrocincla tyrannina,EC,Mindo--Vía al Cinto,Pichincha,1,-0.061568,-78.791115,1207,3,2021
1403245984,Dendrocincla tyrannina,EC,Mindo--pueblo y alrededores inmediatos (town and immediate surroundings),Pichincha,1,-0.051046,-78.7784,1259,12,2015
2728022777,Dendrocincla tyrannina,EC,Mindo--Vía a las cascadas (Waterfall trail),Pichincha,1,-0.062765,-78.77427,1344,1,2019
1725118194,Dendrocincla tyrannina,EC,Lower Potreros,Pichincha,1,0.233651,-78.46772,2974,3,2016
1165133783,Dendrocincla tyrannina,EC,Refugio Paz de las Aves (Angel Paz),Pichincha,1,0.019655,-78.70693,1906,3,2014
1190884874,Dendrocincla tyrannina,EC,Guarumos Transecto control P04,Pichincha,1,-0.0435,-78.64925,2572,2,2008
1190629560,Dendrocincla tyrannina,EC,Guarumos Transecto control P02,Pichincha,1,-0.04556,-78.64794,2714,7,2008
3298267505,Dendrocincla tyrannina,EC,Reserva Bellavista--general area,Pichincha,1,-0.016544,-78.68791,2278,11,2013
1202078005,Dendrocincla tyrannina,EC,Séptimo Paraiso,Pichincha,1,-0.030813,-78.764465,1564,2,2004
1190923238,Dendrocincla tyrannina,EC,Campanario Transecto control P03,Pichincha,1,-0.03203,-78.6645,2527,6,2007
1160451427,Dendrocincla tyrannina,EC,Santa Lucia Lodge,Pichincha,1,0.118575,-78.61154,1881,3,2014
3220527756,Dendrocincla tyrannina,EC,Mindo--Vía a las cascadas (Waterfall trail),Pichincha,1,-0.062765,-78.77427,1344,2,2020
2050743079,Dendrocincla tyrannina,EC,Reserva las Tangaras,Pichincha,1,-0.077419,-78.76933,1427,5,2017
2676475466,Dendrocincla tyrannina,EC,Refugio Paz de las Aves (Angel Paz),Pichincha,1,0.019655,-78.70693,1906,3,2019
3533868003,Dendrocincla tyrannina,EC,Reserva las Tangaras,Pichincha,1,-0.077419,-78.76933,1427,3,2021
1201951103,Dendrocincla tyrannina,EC,"Tandayapa--valle superior (Tandayapa<->Bellavista, upper valley)",Pichincha,2,-0.013116,-78.677826,2087,4,2010
1190789622,Dendrocincla tyrannina,EC,Guarumos Transecto control P04,Pichincha,1,-0.0435,-78.64925,2572,4,2004
2792679284,Dendrocincla tyrannina,EC,Reserva Bellavista--general area,Pichincha,1,-0.016544,-78.68791,2278,11,2019
3234261114,Dendrocincla tyrannina,EC,Bellavista Cloud Forest Lodge,Pichincha,1,-0.015922,-78.681206,2242,5,2020
1190871112,Dendrocincla tyrannina,EC,Guarumos Transecto impacto P07,Pichincha,1,-0.04864,-78.64856,2580,7,2008
2204661828,Dendrocincla tyrannina,EC,Bellavista Cloud Forest Lodge,Pichincha,1,-0.015922,-78.681206,2242,9,2018
2668412256,Dendrocincla tyrannina,EC,Bellavista Cloud Forest Lodge,Pichincha,1,-0.015922,-78.681206,2242,3,2019
2049949412,Dendrocincla tyrannina,EC,Mindo--general area (*HISTORICAL DATA ONLY; please use a more specific location for current checklists),Pichincha,1,-0.049224,-78.776825,1268,3,2017
1190846751,Dendrocincla tyrannina,EC,"San Luis Transecto impacto, Punto 1",Pichincha,1,-0.017,-78.687,2278,3,2004
2772105264,Dendrocincla tyrannina,EC,"EC (0,124, -78,629)",Pichincha,1,0.12411,-78.62943,1271,5,2019
2773885874,Dendrocincla tyrannina,EC,Reserva Las Gralarias,Pichincha,1,-0.012531,-78.72995,2073,6,2019
1190874376,Dendrocincla tyrannina,EC,Guarumos Transecto impacto P05,Pichincha,1,-0.04844,-78.64581,2581,6,2008
1190822660,Dendrocincla tyrannina,EC,"San Luis Transecto impacto, Punto 4",Pichincha,1,-0.019,-78.689,2286,4,2005
1190623588,Dendrocincla tyrannina,EC,Guarumos Transecto impacto P05,Pichincha,1,-0.04844,-78.64581,2581,1,2008
3663111624,Dendrocincla tyrannina,EC,Bellavista Cloud Forest Lodge,Pichincha,1,-0.015922,-78.681206,2242,7,2021
3660711221,Dendrocincla tyrannina,EC,Refugio Paz de las Aves (Angel Paz),Pichincha,1,0.019655,-78.70693,1906,10,2012
2127653302,Dendrocincla tyrannina,EC,Tandayapa Bird Lodge,Pichincha,1,0.00235,-78.67743,1742,2,2018
2658917854,Dendrocincla tyrannina,EC,The Birdwatcher's House - Santa Rosa Bird Lodge,Pichincha,1,-0.024804,-78.72448,2126,2,2019
1190926076,Dendrocincla tyrannina,EC,"San Luis Transecto impacto, Punto 1",Pichincha,1,-0.017,-78.687,2278,4,2004
3253105765,Dendrocincla tyrannina,EC,Mindo Lindo,Pichincha,1,-0.024389,-78.76986,1647,8,2020
1190850529,Dendrocincla tyrannina,EC,Guarumos Transecto impacto P08,Pichincha,1,-0.04933,-78.65,2580,5,2003
975503945,Dendrocincla tyrannina,EC,Santa Lucia Lodge,Pichincha,1,0.118575,-78.61154,1881,12,2013
2786816763,Dendrocincla tyrannina,EC,Milpe Bird Sanctuary,Pichincha,1,0.033327,-78.868454,1110,11,2019
1198541157,Dendrocincla tyrannina,EC,Sachatamia Lodge,Pichincha,2,-0.025148,-78.75798,1719,11,2014
