gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
1729992665,Diglossa humeralis,EC,"Quito--Parque La Carolina, Jardin Botanico",Pichincha,1,-0.186515,-78.48579,2776,4,2016
825640491,Diglossa humeralis,EC,Roadside before Yanacocha,Pichincha,5,-0.123573,-78.53052,3327,2,2012
3508399468,Diglossa humeralis,EC,"Nuestra Señora de Santa Ana, Quito EC-Pichincha -0.16181, -78.45042",Pichincha,1,-0.161815,-78.45042,2705,1,2021
2225914263,Diglossa humeralis,EC,Reserva Yanacocha,Pichincha,2,-0.111752,-78.584694,3528,12,2018
2098172137,Diglossa humeralis,EC,Ruta de Humboldt,Pichincha,3,-0.20365,-78.5311,3356,12,2017
974391127,Diglossa humeralis,EC,"Reserva Geobotánica Pululahua (Upper part, >2000m)",Pichincha,1,0.022492,-78.50228,3043,12,2013
3633863792,Diglossa humeralis,EC,Laguna de Mojanda,Pichincha,2,0.128617,-78.27057,3722,9,2021
1736263642,Diglossa humeralis,EC,Camino por Laicas rumbo al Pasochoa,Pichincha,1,-0.408083,-78.531944,2689,4,2016
2705173287,Diglossa humeralis,EC,"Quito--Parque La Carolina, Jardin Botanico",Pichincha,3,-0.186515,-78.48579,2776,10,2019
3961127366,Diglossa humeralis,EC,,Pichincha,1,-0.154818,-78.490777,2801,4,2021
4028770732,Diglossa humeralis,EC,,Pichincha,1,-0.11175,-78.584694,3528,12,2022
1726130488,Diglossa humeralis,EC,"Quito--Parque La Carolina, Jardin Botanico",Pichincha,5,-0.186515,-78.48579,2776,4,2016
259133693,Diglossa humeralis,EC,Calacalí--Sendero de la Virgen (Trail from shrine),Pichincha,7,0.004016,-78.488235,2852,1,2009
2060787865,Diglossa humeralis,EC,cochapamba sur,Pichincha,2,-0.159294,-78.503174,2972,5,2017
3131956058,Diglossa humeralis,EC,Casa Mojanda,Imbabura,6,0.180102,-78.271774,3070,1,2020
3090793796,Diglossa humeralis,EC,,Pichincha,1,-0.116718,-78.523453,3195,11,2018
2754989007,Diglossa humeralis,EC,"Sendero Rucu Pichincha--0,163, -78,564",Pichincha,3,-0.162648,-78.563614,4495,9,2019
3573986894,Diglossa humeralis,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,5,2003
1353280459,Diglossa humeralis,EC,"Quito--Parque La Carolina, Jardin Botanico",Pichincha,1,-0.186515,-78.48579,2776,3,2015
2873784375,Diglossa humeralis,EC,,Imbabura,1,0.182354,-78.14304,3393,3,2015
2697543801,Diglossa humeralis,EC,Parque Guápulo,Pichincha,3,-0.196777,-78.47306,2609,7,2019
1748775779,Diglossa humeralis,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,1,2010
2740866153,Diglossa humeralis,EC,Reserva Yanacocha,Pichincha,2,-0.111752,-78.584694,3528,4,2019
1191948061,Diglossa humeralis,EC,"Quito--Parque La Carolina, Jardin Botanico",Pichincha,2,-0.186515,-78.48579,2776,10,2014
3560477999,Diglossa humeralis,EC,"Quito--Parque La Carolina, Jardin Botanico",Pichincha,1,-0.186515,-78.48579,2776,4,2021
3561665202,Diglossa humeralis,EC,San Jorge Ecolodge (Quito),Pichincha,2,-0.11649,-78.52343,3187,11,2021
2154891731,Diglossa humeralis,EC,Quito--Parque Metropolitano Guangüiltagua,Pichincha,2,-0.182604,-78.4671,2928,4,2018
2740718252,Diglossa humeralis,EC,road to Yanacocha - near Tanques Rio Pichan,Pichincha,2,-0.116673,-78.57124,3533,2,2019
2746802275,Diglossa humeralis,EC,Reserva Yanacocha,Pichincha,2,-0.111752,-78.584694,3528,7,2019
2721966916,Diglossa humeralis,EC,"Jiménez de la Espada, Quito EC-Pichincha (-0.1928,-78.4793)",Pichincha,5,-0.192817,-78.47931,2812,12,2019
2052268386,Diglossa humeralis,EC,"Quito--Parque La Carolina, Jardin Botanico",Pichincha,5,-0.186515,-78.48579,2776,3,2017
979954937,Diglossa humeralis,EC,San Jorge Ecolodge (Quito),Pichincha,1,-0.11649,-78.52343,3187,11,2008
3155461572,Diglossa humeralis,EC,"Quito--Parque La Carolina, Jardin Botanico",Pichincha,1,-0.186515,-78.48579,2776,3,2020
2746524975,Diglossa humeralis,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,1,2019
2712368334,Diglossa humeralis,EC,San Jorge Ecolodge (Quito),Pichincha,1,-0.11649,-78.52343,3187,2,2010
