gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
1920796968,Elaenia albiceps,EC,,Pichincha,1,-0.156465,-78.367137,2402,3,2018
2146199876,Elaenia albiceps,EC,San Jorge Ecolodge (Quito),Pichincha,6,-0.11649,-78.52343,3187,3,2018
3571359810,Elaenia albiceps,EC,cochapamba sur,Pichincha,2,-0.159294,-78.503174,2972,7,2021
2684785206,Elaenia albiceps,EC,Bosque Protector Jerusalem,Pichincha,1,0.000833,-78.355,2295,3,2013
3272033143,Elaenia albiceps,EC,Cascadas de Peguche,Imbabura,7,0.238523,-78.23871,2616,9,2020
2873957378,Elaenia albiceps,EC,,Imbabura,1,0.293316,-78.352911,3087,1,2017
3241506242,Elaenia albiceps,EC,"Yanacocha - (-0,112, -78,585)",Pichincha,2,-0.111553,-78.585045,3532,2,2020
1365298405,Elaenia albiceps,EC,Mindo--Vía a las cascadas (Waterfall trail),Pichincha,1,-0.062765,-78.77427,1344,5,2015
2071901791,Elaenia albiceps,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,5,2017
3240111558,Elaenia albiceps,EC,Reservorio Guangopolo,Pichincha,1,-0.269851,-78.45281,2439,1,2020
2789006704,Elaenia albiceps,EC,"Tandayapa--valle superior (Tandayapa<->Bellavista, upper valley)",Pichincha,1,-0.013116,-78.677826,2087,10,2019
2185457309,Elaenia albiceps,EC,cochapamba sur,Pichincha,3,-0.159294,-78.503174,2972,7,2018
3772515646,Elaenia albiceps,EC,,Imbabura,1,0.292961,-78.354335,3073,4,2022
3570980681,Elaenia albiceps,EC,Reserva Zuro Loma,Pichincha,4,-0.088671,-78.599754,3108,8,2021
2037111637,Elaenia albiceps,EC,Reservorio Guangopolo,Pichincha,1,-0.269851,-78.45281,2439,1,2017
2197413778,Elaenia albiceps,EC,Ecoruta (Nono-Tandayapa Road above 2500 m),Pichincha,1,-0.068914,-78.588905,2712,10,2018
971214816,Elaenia albiceps,EC,Otavalo--general area,Imbabura,7,0.234403,-78.25862,2529,9,2012
2773991359,Elaenia albiceps,EC,Quito--Parque Itchimbia,Pichincha,1,-0.225262,-78.499115,2832,5,2019
3293572973,Elaenia albiceps,EC,Tandayapa-Bellavista general area (*HISTORICAL DATA ONLY; please use a more specific location for current checklists),Pichincha,1,-0.00206,-78.68189,2048,9,2018
3541308215,Elaenia albiceps,EC,"Pifo, Pichincha, EC (-0.261, -78.313)",Pichincha,1,-0.261084,-78.31269,2869,11,2021
2214489446,Elaenia albiceps,EC,Cascadas de Peguche,Imbabura,14,0.238523,-78.23871,2616,11,2018
3135868635,Elaenia albiceps,EC,"Via Pifo Papallacta, Quito EC-Pichincha -0.26727, -78.28231",Pichincha,1,-0.267274,-78.28231,3171,2,2020
1194609865,Elaenia albiceps,EC,Mindo--Vía a las cascadas (Waterfall trail),Pichincha,1,-0.062765,-78.77427,1344,11,2014
