gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
3686125082,Euphonia minuta,EC,"Bosque Mashpi Shungo, EC (0,188, -78,912)",Pichincha,2,0.187956,-78.91236,611,5,2021
2223721650,Euphonia minuta,EC,Reserva/Finca Mashpi-Shungo (Mashpi Chocolate Artesanal Farm),Pichincha,1,0.182478,-78.9123,514,11,2018
3532490702,Euphonia minuta,EC,Reserva Mangaloma,Pichincha,1,0.122652,-78.99485,843,5,2021
2031175441,Euphonia minuta,EC,Rio Silanche--general area,Pichincha,1,0.117101,-79.13609,393,2,2017
960793305,Euphonia minuta,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,9,2011
1198254949,Euphonia minuta,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,11,2014
2127063925,Euphonia minuta,EC,Rio Silanche Bird Sanctuary,Pichincha,2,0.145185,-79.14147,402,2,2018
2089921363,Euphonia minuta,EC,Rio Silanche--general area,Pichincha,1,0.117101,-79.13609,393,7,2017
3222806648,Euphonia minuta,EC,Rio Silanche Bird Sanctuary,Pichincha,2,0.145185,-79.14147,402,2,2020
1789257871,Euphonia minuta,EC,Milpe--end of the road,Pichincha,2,0.07727,-78.93023,912,12,2005
1204664111,Euphonia minuta,EC,Pedro Vicente Maldonado--pueblo y alrededores inmediatos (town and immediate surroundings),Pichincha,1,0.087625,-79.05275,613,8,2001
2139266834,Euphonia minuta,EC,Rio Silanche Bird Sanctuary,Pichincha,2,0.145185,-79.14147,402,2,2018
3546039859,Euphonia minuta,EC,La Hesperia Biological Station,Pichincha,1,-0.347955,-78.86656,1262,9,2003
1400747893,Euphonia minuta,EC,Reserva Mangaloma,Pichincha,2,0.122652,-78.99485,843,5,2006
2101169758,Euphonia minuta,EC,Rio Silanche--general area,Pichincha,1,0.117101,-79.13609,393,7,2004
1204507198,Euphonia minuta,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,9,2009
2128460323,Euphonia minuta,EC,Rio Silanche Bird Sanctuary,Pichincha,2,0.145185,-79.14147,402,2,2018
1791805505,Euphonia minuta,EC,Rio Silanche Bird Sanctuary,Pichincha,4,0.145185,-79.14147,402,2,2000
3136771484,Euphonia minuta,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,1,2020
2211614519,Euphonia minuta,EC,Rio Silanche Bird Sanctuary,Pichincha,2,0.145185,-79.14147,402,9,2018
1201367888,Euphonia minuta,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,11,2014
2131500182,Euphonia minuta,EC,Rio Silanche Bird Sanctuary,Pichincha,2,0.145185,-79.14147,402,2,2018
2801056527,Euphonia minuta,EC,Mashpi--Lodge and trails,Pichincha,2,0.166125,-78.878876,931,8,2019
2728923525,Euphonia minuta,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,3,2019
2127649668,Euphonia minuta,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,2,2018
829412377,Euphonia minuta,EC,Rio Silanche--general area,Pichincha,1,0.117101,-79.13609,393,2,2008
2079923409,Euphonia minuta,EC,Rio Silanche Bird Sanctuary,Pichincha,2,0.145185,-79.14147,402,7,2017
2098152389,Euphonia minuta,EC,Mashpi--general area,Pichincha,1,0.16546,-78.84751,1293,6,2015
1201376407,Euphonia minuta,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,11,2014
2072497838,Euphonia minuta,EC,Rio Silanche--general area,Pichincha,1,0.117101,-79.13609,393,7,2017
2233653067,Euphonia minuta,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,2,2018
2079706268,Euphonia minuta,EC,Rio Silanche Bird Sanctuary,Pichincha,4,0.145185,-79.14147,402,7,2017
2683180267,Euphonia minuta,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,4,2019
2665394063,Euphonia minuta,EC,Rio Silanche--entrance road,Pichincha,2,0.108158,-79.13607,400,1,2019
2162182228,Euphonia minuta,EC,Rio Silanche--general area,Pichincha,1,0.117101,-79.13609,393,5,2018
1766507487,Euphonia minuta,EC,Kapari Natural Lodge,Pichincha,2,-0.001202,-78.94196,916,10,2016
2060417081,Euphonia minuta,EC,Rio Silanche Bird Sanctuary,Pichincha,2,0.145185,-79.14147,402,5,2017
2164793645,Euphonia minuta,EC,Rio Silanche Bird Sanctuary,Pichincha,2,0.145185,-79.14147,402,5,2018
2203237871,Euphonia minuta,EC,Reserva/Finca Mashpi-Shungo (Mashpi Chocolate Artesanal Farm),Pichincha,1,0.182478,-78.9123,514,11,2018
2129650305,Euphonia minuta,EC,Rio Silanche Bird Sanctuary,Pichincha,2,0.145185,-79.14147,402,2,2018
3586986478,Euphonia minuta,EC,Rio Silanche--general area,Pichincha,2,0.117101,-79.13609,393,1,2000
2667581963,Euphonia minuta,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,4,2019
2135772252,Euphonia minuta,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,2,2018
2134354531,Euphonia minuta,EC,Rio Silanche--general area,Pichincha,2,0.117101,-79.13609,393,2,2018
2037517162,Euphonia minuta,EC,Rio Silanche--general area,Pichincha,1,0.117101,-79.13609,393,3,2017
2124355287,Euphonia minuta,EC,Rio Silanche--general area,Pichincha,1,0.117101,-79.13609,393,1,2018
2130249862,Euphonia minuta,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,2,2018
