gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
2114400805,Eutoxeres aquila,EC,Cuatro Rios (Four Rivers),Pichincha,1,0.071925,-78.982285,778,5,2005
2044042303,Eutoxeres aquila,EC,Reserva Amagusa,Pichincha,1,0.1598,-78.8534,1302,2,2017
2210019161,Eutoxeres aquila,EC,Mashpi--general area,Pichincha,1,0.16546,-78.84751,1293,11,2018
588186805,Eutoxeres aquila,EC,Milpe Bird Sanctuary,Pichincha,1,0.033327,-78.868454,1110,7,2009
3201131872,Eutoxeres aquila,EC,Río Pachijal Road,Pichincha,1,0.074229,-78.90523,791,8,2020
3682048938,Eutoxeres aquila,EC,Reserva Amagusa,Pichincha,1,0.1598,-78.8534,1302,3,2021
3693261956,Eutoxeres aquila,EC,Reserva Amagusa,Pichincha,1,0.1598,-78.8534,1302,9,2021
1385181013,Eutoxeres aquila,EC,Cuatro Rios (Four Rivers),Pichincha,1,0.071925,-78.982285,778,4,2006
3562069539,Eutoxeres aquila,EC,Reserva Amagusa,Pichincha,1,0.1598,-78.8534,1302,7,2021
2678320513,Eutoxeres aquila,EC,Un Poco del Choco--Reserve & Field Station,Pichincha,1,0.05295,-78.84311,1177,5,2019
830518672,Eutoxeres aquila,EC,Milpe Bird Sanctuary,Pichincha,1,0.033327,-78.868454,1110,7,2012
3543742009,Eutoxeres aquila,EC,Mashpi--general area,Pichincha,2,0.16546,-78.84751,1293,11,2021
3144757894,Eutoxeres aquila,EC,Mashpi--general area,Pichincha,1,0.16546,-78.84751,1293,3,2020
2178603246,Eutoxeres aquila,EC,Sachatamia Lodge,Pichincha,1,-0.025148,-78.75798,1719,6,2018
1759455294,Eutoxeres aquila,EC,San Jorge de Milpe,Pichincha,1,0.044357,-78.88368,1059,9,2016
3580225471,Eutoxeres aquila,EC,San Jorge de Milpe,Pichincha,1,0.044357,-78.88368,1059,11,2021
2691541227,Eutoxeres aquila,EC,Mashpi--general area,Pichincha,1,0.16546,-78.84751,1293,4,2019
1166333619,Eutoxeres aquila,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,4,2014
3557642168,Eutoxeres aquila,EC,Mashpi--Entrance road before gate,Pichincha,1,0.160629,-78.84993,1340,6,2021
2228286201,Eutoxeres aquila,EC,Reserva/Finca Mashpi-Shungo (Mashpi Chocolate Artesanal Farm),Pichincha,1,0.182478,-78.9123,514,12,2018
3671576520,Eutoxeres aquila,EC,"Pacto, Pichincha, EC (0.16, -78.853)",Pichincha,2,0.159823,-78.853134,1302,9,2021
2670033667,Eutoxeres aquila,EC,Un Poco del Choco--Reserve & Field Station,Pichincha,1,0.05295,-78.84311,1177,4,2017
3541959725,Eutoxeres aquila,EC,Mashpi--general area,Pichincha,1,0.16546,-78.84751,1293,3,2020
2671012188,Eutoxeres aquila,EC,Reserva Amagusa,Pichincha,1,0.1598,-78.8534,1302,4,2019
2099916641,Eutoxeres aquila,EC,Un Poco del Choco--Reserve & Field Station,Pichincha,1,0.05295,-78.84311,1177,9,2017
2785770607,Eutoxeres aquila,EC,Mashpi--Entrance road before gate,Pichincha,1,0.160629,-78.84993,1340,7,2019
3552776644,Eutoxeres aquila,EC,Mashpi--Entrance road before gate,Pichincha,1,0.160629,-78.84993,1340,6,2021
3644929487,Eutoxeres aquila,EC,La Delicia--Guayabillas road (upper part above Mashpi turnoff),Pichincha,2,0.162021,-78.82376,1623,5,2021
3136414923,Eutoxeres aquila,EC,San Jorge de Milpe,Pichincha,1,0.044357,-78.88368,1059,2,2020
2697244604,Eutoxeres aquila,EC,Mashpi--general area,Pichincha,2,0.16546,-78.84751,1293,8,2019
1718112783,Eutoxeres aquila,EC,Reserva Los Cedros,Imbabura,1,0.321968,-78.787,1820,2,2016
2731653929,Eutoxeres aquila,EC,Reserva Amagusa,Pichincha,1,0.1598,-78.8534,1302,1,2019
1763789155,Eutoxeres aquila,EC,San Jorge de Milpe,Pichincha,1,0.044357,-78.88368,1059,9,2016
3292717876,Eutoxeres aquila,EC,Reserva Amagusa,Pichincha,4,0.1598,-78.8534,1302,10,2020
2720797841,Eutoxeres aquila,EC,Mashpi--Entrance road before gate,Pichincha,1,0.160629,-78.84993,1340,11,2019
3602373020,Eutoxeres aquila,EC,Alex PO,Pichincha,1,0.165965,-78.8785,932,5,2021
3539368799,Eutoxeres aquila,EC,Mashpi--Lodge and trails,Pichincha,1,0.166125,-78.878876,931,7,2021
1410618711,Eutoxeres aquila,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,3,2014
972293836,Eutoxeres aquila,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,1,2007
3229583752,Eutoxeres aquila,EC,Mashpi--general area,Pichincha,1,0.16546,-78.84751,1293,2,2020
2745759952,Eutoxeres aquila,EC,Mashpi--Entrance road before gate,Pichincha,1,0.160629,-78.84993,1340,4,2019
