gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
2243694524,Fulica ardesiaca,EC,Imbabura: Lago San Pablo,,1,0.213,-78.214,2659,10,2015
2243693787,Fulica ardesiaca,EC,Imbabura: Lago San Pablo,,1,0.213,-78.214,2659,10,2015
2243693250,Fulica ardesiaca,EC,Imbabura: Lago San Pablo,,1,0.213,-78.214,2659,10,2015
2658568932,Fulica ardesiaca,EC,Laguna de Cuicocha,Imbabura,1,0.30257,-78.36251,3069,1,2019
1154881727,Fulica ardesiaca,EC,Laguna de Cuicocha,Imbabura,7,0.30257,-78.36251,3069,2,2014
2873762359,Fulica ardesiaca,EC,,Imbabura,1,0.206214,-78.207301,2662,1,2020
2465171632,Fulica ardesiaca,EC,,Imbabura,1,0.19827,-78.220973,2657,11,2019
2787833479,Fulica ardesiaca,EC,Lago San Pablo--Parque Acuático Araque,Imbabura,5,0.205291,-78.20698,2659,9,2019
3618142328,Fulica ardesiaca,EC,Lago San Pablo,Imbabura,11,0.20874,-78.23227,2657,7,2021
2753572102,Fulica ardesiaca,EC,Laguna de Cuicocha,Imbabura,10,0.30257,-78.36251,3069,2,2019
2030596143,Fulica ardesiaca,EC,Quito airport pond,Pichincha,2,-0.109842,-78.36495,2341,1,2017
2738661657,Fulica ardesiaca,EC,Lago San Pablo,Imbabura,20,0.20874,-78.23227,2657,8,2004
2724405851,Fulica ardesiaca,EC,Lago San Pablo,Imbabura,1,0.20874,-78.23227,2657,2,2014
2695793918,Fulica ardesiaca,EC,Laguna de Cuicocha,Imbabura,3,0.30257,-78.36251,3069,8,2019
1190643226,Fulica ardesiaca,EC,Laguna de Cuicocha,Imbabura,77,0.30257,-78.36251,3069,7,2006
941141469,Fulica ardesiaca,EC,0.0882x-78.2512,Imbabura,45,0.199813,-78.226135,2660,2,2013
3528084367,Fulica ardesiaca,EC,"Auto selected 0.20139, -78.23486",Imbabura,12,0.201393,-78.23486,2659,5,2021
3259074984,Fulica ardesiaca,EC,"Calle El Lago, Imbabura, EC (0.205, -78.207)",Imbabura,24,0.205291,-78.20698,2659,10,2020
2797358452,Fulica ardesiaca,EC,Laguna de Cuicocha,Imbabura,2,0.30257,-78.36251,3069,1,2005
2774303911,Fulica ardesiaca,EC,Quito airport pond,Pichincha,18,-0.109842,-78.36495,2341,7,2019
3633420362,Fulica ardesiaca,EC,Lago San Pablo--Parque Acuático Araque,Imbabura,10,0.205291,-78.20698,2659,10,2021
2732438991,Fulica ardesiaca,EC,Quito airport pond,Pichincha,10,-0.109842,-78.36495,2341,4,2019
2080313283,Fulica ardesiaca,EC,Quito airport pond,Pichincha,5,-0.109842,-78.36495,2341,9,2017
2757177308,Fulica ardesiaca,EC,"Sep 30, 2019 12:01 PM--0.118, -78.364",Pichincha,8,-0.118344,-78.363754,2359,9,2019
2099274952,Fulica ardesiaca,EC,Quito airport pond,Pichincha,5,-0.109842,-78.36495,2341,9,2017
2763191796,Fulica ardesiaca,EC,Quito airport pond,Pichincha,20,-0.109842,-78.36495,2341,11,2019
1765052308,Fulica ardesiaca,EC,Quito airport pond,Pichincha,1,-0.109842,-78.36495,2341,10,2016
3586660856,Fulica ardesiaca,EC,Lago San Pablo,Imbabura,2,0.20874,-78.23227,2657,9,2021
2694834015,Fulica ardesiaca,EC,Lago San Pablo--Parque Acuático Araque,Imbabura,5,0.205291,-78.20698,2659,9,2019
3561708330,Fulica ardesiaca,EC,Lago San Pablo--humedal de aguas residuales (water treatment wetland),Imbabura,1,0.199889,-78.2337,2660,1,2021
3265194479,Fulica ardesiaca,EC,Otavalo--general area,Imbabura,1,0.234403,-78.25862,2529,1,2007
3651783411,Fulica ardesiaca,EC,Quito airport pond,Pichincha,8,-0.109842,-78.36495,2341,11,2021
2191022824,Fulica ardesiaca,EC,Lago San Pablo,Imbabura,10,0.20874,-78.23227,2657,11,2017
2764127030,Fulica ardesiaca,EC,Lago San Pablo--Parque Acuático Araque,Imbabura,14,0.205291,-78.20698,2659,9,2019
2142359404,Fulica ardesiaca,EC,Quito airport pond,Pichincha,9,-0.109842,-78.36495,2341,3,2018
2140967833,Fulica ardesiaca,EC,Lago San Pablo,Imbabura,25,0.20874,-78.23227,2657,2,2018
831897664,Fulica ardesiaca,EC,Lago San Pablo--Parque Acuático Araque,Imbabura,50,0.205291,-78.20698,2659,2,2012
