gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
3753054617,Geothlypis semiflava,EC,Pichincha: Mindo,,1,-0.049,-78.779,1276,2,2022
2243777507,Geothlypis semiflava,EC,"Tandayapa Bird Lodge, Tandayapa Valley, Pichincha",,1,0.01,-78.6776,1702,12,2002
3389385940,Geothlypis semiflava,EC,Wälder im Tandayapa Valley und Umgebung,,1,0.011335,-78.689766,2054,11,2004
2217311574,Geothlypis semiflava,EC,"Pichincha, EC (0,15, -78,601)",Pichincha,5,0.149642,-78.600624,1293,10,2018
1736516681,Geothlypis semiflava,EC,Reserva Los Cedros,Imbabura,2,0.321968,-78.787,1820,2,2016
1764716121,Geothlypis semiflava,EC,San Jorge de Milpe,Pichincha,1,0.044357,-78.88368,1059,10,2016
2126528636,Geothlypis semiflava,EC,Reserva/Finca Mashpi-Shungo (Mashpi Chocolate Artesanal Farm),Pichincha,1,0.182478,-78.9123,514,1,2018
1147088311,Geothlypis semiflava,EC,Milpe Road,,1,-0.1427,-79.141567,484,9,2003
829342197,Geothlypis semiflava,EC,Milpe Road,Pichincha,3,0.051764,-78.90251,1013,6,2006
3145891048,Geothlypis semiflava,EC,Mashpi--Entrance road before gate,Pichincha,1,0.160629,-78.84993,1340,2,2020
2085440023,Geothlypis semiflava,EC,yaguira,Pichincha,1,-0.057063,-78.76965,1272,10,2017
1200387859,Geothlypis semiflava,EC,Reserva Maquipucuna,Pichincha,1,0.120898,-78.63837,1310,12,2014
3666678040,Geothlypis semiflava,EC,mashpi lodge,Pichincha,1,0.165905,-78.87761,927,9,2021
3671709306,Geothlypis semiflava,EC,Mindo--Las Terrazas de Dana Lodge,Pichincha,1,-0.062843,-78.76957,1277,4,2021
1162162880,Geothlypis semiflava,EC,Santa Marianita,Pichincha,1,0.130697,-78.66666,1171,3,2014
1772053342,Geothlypis semiflava,EC,Santa Lucia Lodge,Pichincha,1,0.118575,-78.61154,1881,11,2016
3194234159,Geothlypis semiflava,EC,Mindo--El Monte Sustainable Lodge,Pichincha,1,-0.069394,-78.76362,1311,12,2020
1403010253,Geothlypis semiflava,EC,Rio Silanche--general area,Pichincha,1,0.117101,-79.13609,393,12,2015
1383060029,Geothlypis semiflava,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,8,2002
3636846656,Geothlypis semiflava,EC,Reserva Amagusa,Pichincha,3,0.1598,-78.8534,1302,12,2021
1207875507,Geothlypis semiflava,EC,Santa Marianita,Pichincha,1,0.130697,-78.66666,1171,3,2014
1173048092,Geothlypis semiflava,EC,Séptimo Paraiso,Pichincha,2,-0.030813,-78.764465,1564,3,2013
972022572,Geothlypis semiflava,EC,Rio Silanche--entrance road,Pichincha,2,0.108158,-79.13607,400,1,2010
3254412511,Geothlypis semiflava,EC,Recinto 23 de Junio,Pichincha,1,-0.03193,-78.87659,1117,10,2020
1355464739,Geothlypis semiflava,EC,Bella Vista Rd .0391 X -78.6951,Pichincha,1,0.03914,-78.69514,1958,3,2015
1768164380,Geothlypis semiflava,EC,Rio Silanche entrance road -- 0.116x-79.136,Pichincha,1,0.115888,-79.13621,391,10,2016
3553700042,Geothlypis semiflava,EC,Reserva Amagusa,Pichincha,1,0.1598,-78.8534,1302,10,2021
2077738516,Geothlypis semiflava,EC,Mashpi--general area,Pichincha,2,0.16546,-78.84751,1293,6,2017
3222658522,Geothlypis semiflava,EC,Nanegal--vicinity,Pichincha,1,0.136249,-78.677826,1150,2,2020
2873801390,Geothlypis semiflava,EC,,Imbabura,1,0.306209,-78.785245,1382,2,2020
1777622128,Geothlypis semiflava,EC,Recinto 23 de Junio--upper lek site,Pichincha,1,-0.05492,-78.86113,1540,11,2016
2782843268,Geothlypis semiflava,EC,Milpe Road,Pichincha,2,0.020451,-78.85623,1155,7,2019
3635853539,Geothlypis semiflava,EC,"Auto selected 0.03890, -78.87764",Pichincha,1,0.038897,-78.87764,1109,7,2021
1195236073,Geothlypis semiflava,EC,Santa Marianita,Pichincha,1,0.130697,-78.66666,1171,11,2014
1781108689,Geothlypis semiflava,EC,Un Poco del Choco--Reserve & Field Station,Pichincha,1,0.05295,-78.84311,1177,11,2016
1726013815,Geothlypis semiflava,EC,Reserva las Tangaras,Pichincha,2,-0.077419,-78.76933,1427,2,2016
3230626314,Geothlypis semiflava,EC,Mashpi--general area,Pichincha,1,0.16546,-78.84751,1293,2,2020
