gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
3534517952,Geranospiza caerulescens,EC,Rancho El Dorado,Pichincha,1,0.128205,-79.19097,335,7,2020
3553666935,Geranospiza caerulescens,EC,Caoni Riverside Suites,Pichincha,1,0.117549,-79.23913,118,8,2021
3210138210,Geranospiza caerulescens,EC,Cabuyal,Pichincha,1,0.146768,-79.272095,136,10,2020
3291823035,Geranospiza caerulescens,EC,Cabuyal,Pichincha,1,0.146768,-79.272095,136,10,2020
3615183690,Geranospiza caerulescens,EC,Caoni Riverside Suites,Pichincha,1,0.117549,-79.23913,118,8,2021
3236058722,Geranospiza caerulescens,EC,Finca La Floreana,Santo Domingo de los Tsáchilas,1,-0.367045,-79.270454,329,7,2020
1206081574,Geranospiza caerulescens,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,10,2008
3200634256,Geranospiza caerulescens,EC,"Piedra de Vapor, Pichincha, EC (0.147, -79.323)",Pichincha,1,0.146538,-79.322845,146,10,2020
3300699478,Geranospiza caerulescens,EC,Cabuyal,Pichincha,1,0.146768,-79.272095,136,10,2020
2657467438,Geranospiza caerulescens,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,2,2019
2161598204,Geranospiza caerulescens,EC,Rio Silanche--general area,Pichincha,1,0.117101,-79.13609,393,6,2018
2685805283,Geranospiza caerulescens,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,2,2019
3181220997,Geranospiza caerulescens,EC,Finca La Floreana,Santo Domingo de los Tsáchilas,1,-0.367045,-79.270454,329,7,2020
1206189896,Geranospiza caerulescens,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,11,2007
3279135096,Geranospiza caerulescens,EC,Cabuyal,Pichincha,1,0.146768,-79.272095,136,10,2020
2193126533,Geranospiza caerulescens,EC,Recinto 23 de Junio,Pichincha,1,-0.03193,-78.87659,1117,9,2018
