gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
3550333851,Grallaria nuchalis,EC,Reserva Zuro Loma,Pichincha,1,-0.088671,-78.599754,3108,11,2021
1190972184,Grallaria nuchalis,EC,"Chiquilpe Transecto impacto, Punto 8",Pichincha,2,-0.023,-78.593,2547,3,2002
1190700454,Grallaria nuchalis,EC,Guarumos Transecto impacto P10,Pichincha,1,-0.04753,-78.65253,2661,1,2008
1208343899,Grallaria nuchalis,EC,Guarumos Transecto impacto P04,Pichincha,1,-0.04933,-78.64436,2633,3,2003
3044808196,Grallaria nuchalis,EC,,Pichincha,1,-0.000813,-78.676854,1704,12,2020
1190933880,Grallaria nuchalis,EC,Guarumos Transecto impacto P10,Pichincha,1,-0.04753,-78.65253,2661,11,2003
1190803248,Grallaria nuchalis,EC,Campanario Transecto control P03,Pichincha,1,-0.03203,-78.6645,2527,9,2004
1190708784,Grallaria nuchalis,EC,Guarumos Transecto impacto P06,Pichincha,1,-0.04781,-78.64708,2589,11,2004
2696452785,Grallaria nuchalis,EC,"Zuroloma, Quito",Pichincha,1,-0.08863,-78.599686,3108,10,2019
1190802351,Grallaria nuchalis,EC,Guarumos Transecto impacto P09,Pichincha,1,-0.04892,-78.65133,2622,4,2008
1165127199,Grallaria nuchalis,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,3,2014
3554450093,Grallaria nuchalis,EC,Reserva Zuro Loma,Pichincha,1,-0.088671,-78.599754,3108,10,2021
4056675040,Grallaria nuchalis,EC,Ecuador - Pichincha,,1,-0.089273,-78.6,3088,1,2023
1190898773,Grallaria nuchalis,EC,Guarumos Transecto impacto P11,Pichincha,1,-0.0465,-78.65397,2664,1,2008
1190640957,Grallaria nuchalis,EC,Guarumos Transecto impacto P03,Pichincha,1,-0.05083,-78.64372,2666,5,2002
1190693310,Grallaria nuchalis,EC,Guarumos Transecto impacto P08,Pichincha,1,-0.04933,-78.65,2580,1,2004
1190964567,Grallaria nuchalis,EC,Guarumos Transecto impacto P09,Pichincha,1,-0.04892,-78.65133,2622,3,2007
1190933413,Grallaria nuchalis,EC,Guarumos Transecto impacto P06,Pichincha,1,-0.04781,-78.64708,2589,1,2004
1399387724,Grallaria nuchalis,EC,Reserva Yanacocha,Pichincha,2,-0.111752,-78.584694,3528,11,2015
2712787650,Grallaria nuchalis,EC,Reserva Zuro Loma,Pichincha,2,-0.088671,-78.599754,3108,12,2019
1190713436,Grallaria nuchalis,EC,Guarumos Transecto impacto P09,Pichincha,2,-0.04892,-78.65133,2622,5,2002
1190968191,Grallaria nuchalis,EC,Guarumos Transecto impacto P07,Pichincha,1,-0.04864,-78.64856,2580,12,2002
1190634189,Grallaria nuchalis,EC,Guarumos Transecto impacto P05,Pichincha,1,-0.04844,-78.64581,2581,11,2003
1208410742,Grallaria nuchalis,EC,"Yanacocha, Reserva Privada 1",Pichincha,1,-0.12108,-78.59028,3516,5,2007
1190988260,Grallaria nuchalis,EC,Guarumos Transecto impacto P11,Pichincha,1,-0.0465,-78.65397,2664,11,2004
1190879069,Grallaria nuchalis,EC,Guarumos Transecto impacto P11,Pichincha,1,-0.0465,-78.65397,2664,10,2007
3669582842,Grallaria nuchalis,EC,Reserva Zuro Loma,Pichincha,1,-0.088671,-78.599754,3108,12,2021
1190937284,Grallaria nuchalis,EC,Guarumos Transecto control P04,Pichincha,1,-0.0435,-78.64925,2572,6,2004
1190856108,Grallaria nuchalis,EC,"Chiquilpe Transecto impacto, Punto 9",Pichincha,1,-0.03,-78.61,3089,10,2002
3642970020,Grallaria nuchalis,EC,Reserva Zuro Loma,Pichincha,2,-0.088671,-78.599754,3108,11,2021
1190973959,Grallaria nuchalis,EC,Guarumos Transecto impacto P09,Pichincha,1,-0.04892,-78.65133,2622,9,2003
1190956513,Grallaria nuchalis,EC,Guarumos Transecto impacto P02,Pichincha,1,-0.05136,-78.642,2567,10,2003
2033211324,Grallaria nuchalis,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,1,2017
1190904614,Grallaria nuchalis,EC,Guarumos Transecto impacto P04,Pichincha,1,-0.04933,-78.64436,2633,9,2002
1190962859,Grallaria nuchalis,EC,Campanario Transecto control P02,Pichincha,1,-0.03314,-78.66414,2541,8,2004
3294220631,Grallaria nuchalis,EC,Reserva Zuro Loma,Pichincha,1,-0.088671,-78.599754,3108,12,2020
1190927420,Grallaria nuchalis,EC,Guarumos Transecto control P01,Pichincha,1,-0.04692,-78.64769,2699,12,2007
1208343061,Grallaria nuchalis,EC,Guarumos Transecto impacto P03,Pichincha,1,-0.05083,-78.64372,2666,4,2002
269488906,Grallaria nuchalis,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,4,2009
1206203005,Grallaria nuchalis,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,6,2014
3206328074,Grallaria nuchalis,EC,Reserva Zuro Loma,Pichincha,1,-0.088671,-78.599754,3108,12,2020
1190975284,Grallaria nuchalis,EC,"Chiquilpe Transecto impacto, Punto 6",Pichincha,1,-0.025,-78.595,2673,8,2002
1208295780,Grallaria nuchalis,EC,Guarumos Transecto impacto P07,Pichincha,1,-0.04864,-78.64856,2580,11,2004
3244066560,Grallaria nuchalis,EC,El Refugio de Intag Lodge,Imbabura,2,0.37525,-78.47603,1925,7,2020
