gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
1752711629,Harpagus bidentatus,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,11,2013
2751623849,Harpagus bidentatus,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,4,2019
1753322786,Harpagus bidentatus,EC,Rio Silanche--general area,Pichincha,1,0.117101,-79.13609,393,2,2013
3162932868,Harpagus bidentatus,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,7,2005
2043792671,Harpagus bidentatus,EC,Ecollacta,Pichincha,1,0.1171,-78.6409,1322,2,2017
2988452351,Harpagus bidentatus,EC,,Pichincha,1,0.144571,-79.142249,403,8,2019
2160547306,Harpagus bidentatus,EC,Un Poco del Choco--Reserve & Field Station,Pichincha,1,0.05295,-78.84311,1177,5,2018
1173299424,Harpagus bidentatus,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,1,2013
3556816520,Harpagus bidentatus,EC,Rio Silanche--general area,Pichincha,1,0.117101,-79.13609,393,11,2021
1723330766,Harpagus bidentatus,EC,Milpe Bird Sanctuary,Pichincha,1,0.033327,-78.868454,1110,3,2016
1794437363,Harpagus bidentatus,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,10,2008
2172564981,Harpagus bidentatus,EC,Rio Silanche--general area,Pichincha,1,0.117101,-79.13609,393,6,2018
2704697417,Harpagus bidentatus,EC,Reserva/Finca Mashpi-Shungo (Mashpi Chocolate Artesanal Farm),Pichincha,1,0.182478,-78.9123,514,8,2019
2707732715,Harpagus bidentatus,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,11,2019
1366370511,Harpagus bidentatus,EC,Mindo--Vía a las cascadas (Waterfall trail),Pichincha,1,-0.062765,-78.77427,1344,5,2015
2052325517,Harpagus bidentatus,EC,Mindo--Vía al Cinto,Pichincha,1,-0.061568,-78.791115,1207,5,2017
969217953,Harpagus bidentatus,EC,Rio Silanche Bird Sanctuary,Pichincha,2,0.145185,-79.14147,402,10,2013
1399922675,Harpagus bidentatus,EC,Mindo--Road from highway to town (1300-1700m),Pichincha,2,-0.03871,-78.76851,1441,1,2004
2180145289,Harpagus bidentatus,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,7,2018
829489894,Harpagus bidentatus,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,12,2008
831571846,Harpagus bidentatus,EC,Pais Tropical,Pichincha,1,0.17327,-78.93343,543,2,2012
1160619725,Harpagus bidentatus,EC,San Jorge de Milpe,Pichincha,1,0.044357,-78.88368,1059,3,2014
2099990141,Harpagus bidentatus,EC,"66 Avenida Quito, Pichincha, EC (-0.051, -78.771)",Pichincha,1,-0.050815,-78.771454,1278,12,2017
1405993668,Harpagus bidentatus,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,9,2010
2221517768,Harpagus bidentatus,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,11,2018
2101168928,Harpagus bidentatus,EC,Rio Silanche--general area,Pichincha,1,0.117101,-79.13609,393,1,2004
829333274,Harpagus bidentatus,EC,Nono-Mindo Road near San Tadeo,Pichincha,1,-0.024868,-78.74329,1913,8,2005
2690661397,Harpagus bidentatus,EC,Reserva las Tangaras,Pichincha,1,-0.077419,-78.76933,1427,6,2019
2210789840,Harpagus bidentatus,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,12,2018
2795842639,Harpagus bidentatus,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,12,2019
3152123807,Harpagus bidentatus,EC,Reserva/Finca Mashpi-Shungo (Mashpi Chocolate Artesanal Farm),Pichincha,1,0.182478,-78.9123,514,5,2020
3552662236,Harpagus bidentatus,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,10,2021
276010400,Harpagus bidentatus,EC,Upper Tandayapa Valley,Pichincha,1,0.030212,-78.69507,1878,12,2008
2717924666,Harpagus bidentatus,EC,Mindo--Vía a las cascadas (Waterfall trail),Pichincha,1,-0.062765,-78.77427,1344,10,2015
2671025195,Harpagus bidentatus,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,3,2019
3670878101,Harpagus bidentatus,EC,Milpe Bird Sanctuary,Pichincha,1,0.033327,-78.868454,1110,4,2021
2670872971,Harpagus bidentatus,EC,Rio Silanche Bird Sanctuary,Pichincha,2,0.145185,-79.14147,402,3,2019
1715245524,Harpagus bidentatus,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,2,2016
2724666808,Harpagus bidentatus,EC,Mirador de Guaycapi,Pichincha,1,0.031714,-78.68125,1494,12,2019
1380764753,Harpagus bidentatus,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,8,2015
2787957734,Harpagus bidentatus,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,12,2019
1738538621,Harpagus bidentatus,EC,Reserva/Finca Mashpi-Shungo (Mashpi Chocolate Artesanal Farm),Pichincha,1,0.182478,-78.9123,514,5,2016
2123407828,Harpagus bidentatus,EC,Rio Silanche--general area,Pichincha,1,0.117101,-79.13609,393,7,2004
587903448,Harpagus bidentatus,EC,"Tandayapa--valle superior (Tandayapa<->Bellavista, upper valley)",Pichincha,1,-0.013116,-78.677826,2087,8,2005
2768253671,Harpagus bidentatus,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,12,2019
587902930,Harpagus bidentatus,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,8,2005
2673306535,Harpagus bidentatus,EC,Rio Silanche--general area,Pichincha,1,0.117101,-79.13609,393,5,2019
2774593226,Harpagus bidentatus,EC,Rio Silanche--general area,Pichincha,1,0.117101,-79.13609,393,9,2019
3655378941,Harpagus bidentatus,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,11,2021
1794262647,Harpagus bidentatus,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,4,2007
3578421720,Harpagus bidentatus,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,8,2015
2114193695,Harpagus bidentatus,EC,Rio Silanche--general area,Pichincha,1,0.117101,-79.13609,393,7,2004
2720909865,Harpagus bidentatus,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,10,2019
588292693,Harpagus bidentatus,EC,La Hesperia Biological Station,Pichincha,1,-0.347955,-78.86656,1262,4,2010
1405357780,Harpagus bidentatus,EC,Tandayapa,Pichincha,1,0.016984,-78.6738,1611,8,2005
3146010856,Harpagus bidentatus,EC,Reserva/Finca Mashpi-Shungo (Mashpi Chocolate Artesanal Farm),Pichincha,2,0.182478,-78.9123,514,4,2020
2716438402,Harpagus bidentatus,EC,Mindo--Hacienda San Vicente/Yellow House Trails,Pichincha,1,-0.050725,-78.772385,1274,5,2016
2212541516,Harpagus bidentatus,EC,Mindo--Vía a las cascadas (Waterfall trail),Pichincha,1,-0.062765,-78.77427,1344,9,2018
2760910227,Harpagus bidentatus,EC,Rio Silanche Bird Sanctuary,Pichincha,2,0.145185,-79.14147,402,3,2019
2786436209,Harpagus bidentatus,EC,Milpe Bird Sanctuary,Pichincha,1,0.033327,-78.868454,1110,1,2015
3664018477,Harpagus bidentatus,EC,Pedro Vicente de Maldonado,Pichincha,1,0.08036,-79.04103,617,8,2001
2787640688,Harpagus bidentatus,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,8,2019
2148371558,Harpagus bidentatus,EC,Rio Silanche--general area,Pichincha,1,0.117101,-79.13609,393,3,2018
2228306437,Harpagus bidentatus,EC,Rio Silanche--general area,Pichincha,1,0.117101,-79.13609,393,12,2018
2111387943,Harpagus bidentatus,EC,Camino Desde Cascada Nambillo A Estación El Bravo,Pichincha,1,-0.077231,-78.75388,1518,12,2017
2698800212,Harpagus bidentatus,EC,Refugio Paz de las Aves (Angel Paz),Pichincha,1,0.019655,-78.70693,1906,1,2014
