gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
2243639388,Hylophilus decurtatus,EC,"Silanche reserve, Pichincha",,1,0.166667,-79.25,224,2,2006
2982205565,Hylophilus decurtatus,EC,Mindo area,,1,0.05,-78.75,1806,8,2020
2243657653,Hylophilus decurtatus,EC,Pichincha: Río Guaycuyacu,,1,0.217,-78.89,555,7,2002
3388891560,Hylophilus decurtatus,EC,Wälder im Tandayapa Valley und Umgebung,,1,0.011335,-78.689766,2054,11,2004
2685697394,Hylophilus decurtatus,EC,Reserva/Finca Mashpi-Shungo (Mashpi Chocolate Artesanal Farm),Pichincha,4,0.182478,-78.9123,514,6,2019
2140789275,Hylophilus decurtatus,EC,Milpe Bird Sanctuary,Pichincha,1,0.033327,-78.868454,1110,2,2018
1206053420,Hylophilus decurtatus,EC,Milpe Road,Pichincha,1,0.051764,-78.90251,1013,9,2003
1202634821,Hylophilus decurtatus,EC,"Equateur, Mindo",Pichincha,1,-0.032655,-78.76159,1537,8,2000
1790298606,Hylophilus decurtatus,EC,Milpe Road,Pichincha,1,0.051764,-78.90251,1013,12,2006
2747518081,Hylophilus decurtatus,EC,Reserva las Tangaras,Pichincha,1,-0.077419,-78.76933,1427,6,2019
2794100187,Hylophilus decurtatus,EC,La Delicia--Guayabillas road (upper part above Mashpi turnoff),Pichincha,1,0.162021,-78.82376,1623,11,2019
1147198995,Hylophilus decurtatus,EC,Milpe Road,,1,-0.1427,-79.141567,484,9,2003
1147143474,Hylophilus decurtatus,EC,Milpe Road below Mindo,,1,-0.1155,-78.417483,2562,9,2003
2702680686,Hylophilus decurtatus,EC,Milpe Bird Sanctuary,Pichincha,2,0.033327,-78.868454,1110,6,2019
3675596443,Hylophilus decurtatus,EC,"Auto selected 0.03924, -78.87559",Pichincha,1,0.03924,-78.87559,1117,5,2021
2174579210,Hylophilus decurtatus,EC,"(0.1856,-78.8533)",Pichincha,3,0.185562,-78.853264,1017,7,2018
588579368,Hylophilus decurtatus,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,11,2010
2663845465,Hylophilus decurtatus,EC,Kapari Natural Lodge,Pichincha,1,-0.001202,-78.94196,916,1,2019
1349145660,Hylophilus decurtatus,EC,Río Silanche,Pichincha,4,0.087124,-79.08391,593,2,2015
2234179040,Hylophilus decurtatus,EC,Hotel Tinalandia,Santo Domingo de los Tsáchilas,1,-0.299136,-79.0526,732,1,2009
2747977414,Hylophilus decurtatus,EC,Rio Silanche--general area,Pichincha,1,0.117101,-79.13609,393,8,2019
2189138777,Hylophilus decurtatus,EC,Mindo--Vía a las cascadas (Waterfall trail),Pichincha,2,-0.062765,-78.77427,1344,8,2018
