gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
1784342220,Lafresnaya lafresnayi,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,1,2008
2786510753,Lafresnaya lafresnayi,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,6,2019
2117408897,Lafresnaya lafresnayi,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,2,2018
1378243570,Lafresnaya lafresnayi,EC,Reserva Yanacocha,Pichincha,6,-0.111752,-78.584694,3528,7,2015
3136450419,Lafresnaya lafresnayi,EC,"Unnamed Road, EC (-0,089, -78,6)",Pichincha,1,-0.088808,-78.59985,3106,2,2020
180692598,Lafresnaya lafresnayi,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,11,2007
180692596,Lafresnaya lafresnayi,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,7,2006
1395680206,Lafresnaya lafresnayi,EC,Reserva Yanacocha,Pichincha,1,-0.1116,-78.5847,3528,7,2014
1719422382,Lafresnaya lafresnayi,EC,Ecoruta (Nono-Tandayapa Road above 2500 m),Pichincha,1,-0.068914,-78.588905,2712,2,2016
2143139278,Lafresnaya lafresnayi,EC,Jardin-Nono,Pichincha,3,-0.064077,-78.579254,2698,2,2018
3245996130,Lafresnaya lafresnayi,EC,"Yanacocha - (-0,112, -78,585)",Pichincha,2,-0.111553,-78.585045,3532,2,2020
2660491478,Lafresnaya lafresnayi,EC,Areas between Quito and Yanacocha,Pichincha,1,-0.102763,-78.54394,3358,1,2019
2195702892,Lafresnaya lafresnayi,EC,"Unnamed Road, Pichincha, EC (0.021, -78.547)",Pichincha,1,0.021404,-78.54666,2618,8,2018
1185426744,Lafresnaya lafresnayi,EC,Reserva Yanacocha,Pichincha,2,-0.11179,-78.58488,3530,8,2014
2711706714,Lafresnaya lafresnayi,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,8,2005
1407340678,Lafresnaya lafresnayi,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,8,2008
2726700157,Lafresnaya lafresnayi,EC,Reserva Yanacocha,Pichincha,2,-0.111752,-78.584694,3528,8,2009
2189201244,Lafresnaya lafresnayi,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,7,2018
3687333822,Lafresnaya lafresnayi,EC,Reserva Zuro Loma,Pichincha,1,-0.088671,-78.599754,3108,7,2021
1206114033,Lafresnaya lafresnayi,EC,Reserva Geobotánica Pululahua--general area,Pichincha,1,0.040374,-78.50293,2405,11,2009
2219740285,Lafresnaya lafresnayi,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,7,2018
2159205895,Lafresnaya lafresnayi,EC,"yanacocha Road, Pichincha, EC (-0,117, -78,523)",Pichincha,1,-0.116726,-78.52307,3187,5,2018
2792757318,Lafresnaya lafresnayi,EC,Reserva Zuro Loma,Pichincha,1,-0.088671,-78.599754,3108,11,2019
2076099577,Lafresnaya lafresnayi,EC,Reserva Yanacocha,Pichincha,3,-0.111752,-78.584694,3528,8,2017
2114379382,Lafresnaya lafresnayi,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,7,2005
590310042,Lafresnaya lafresnayi,EC,Reserva Yanacocha,Pichincha,2,-0.111752,-78.584694,3528,7,2011
2771373312,Lafresnaya lafresnayi,EC,"Reserva Geobotánica Pululahua (Upper part, >2000m)",Pichincha,1,0.022492,-78.50228,3043,2,2013
590382199,Lafresnaya lafresnayi,EC,Reserva Yanacocha,Pichincha,3,-0.111752,-78.584694,3528,2,2011
3548215944,Lafresnaya lafresnayi,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,8,2015
589135744,Lafresnaya lafresnayi,EC,Yanacocha to Nono-Mindo Rd.,Pichincha,2,-0.123746,-78.541756,3632,7,2011
2780954635,Lafresnaya lafresnayi,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,6,2019
2204803007,Lafresnaya lafresnayi,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,8,2018
2772988517,Lafresnaya lafresnayi,EC,Reserva Yanacocha,Pichincha,2,-0.111752,-78.584694,3528,10,2008
2661495205,Lafresnaya lafresnayi,EC,Reserva de Silvio,Pichincha,3,-0.090736,-78.597855,3194,3,2019
3551982827,Lafresnaya lafresnayi,EC,Road from San Jorge Ecolodge to Yanacocha Reserve,Pichincha,2,-0.10849,-78.561905,3450,4,2021
2140585767,Lafresnaya lafresnayi,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,3,2018
3586393693,Lafresnaya lafresnayi,EC,Reserva Zuro Loma,Pichincha,3,-0.088671,-78.599754,3108,12,2021
2699926269,Lafresnaya lafresnayi,EC,"Zuroloma, Quito",Pichincha,3,-0.08863,-78.599686,3108,10,2019
588122862,Lafresnaya lafresnayi,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,7,2008
2726421584,Lafresnaya lafresnayi,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,2,2006
2114138417,Lafresnaya lafresnayi,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,6,2004
588687326,Lafresnaya lafresnayi,EC,Calacalí-Nono Road,Pichincha,1,-0.031102,-78.55805,2572,8,2010
3648838100,Lafresnaya lafresnayi,EC,Reserva Zuro Loma,Pichincha,3,-0.088671,-78.599754,3108,9,2021
3139479640,Lafresnaya lafresnayi,EC,Reserva Yanacocha,Pichincha,6,-0.111752,-78.584694,3528,2,2020
3582758971,Lafresnaya lafresnayi,EC,Reserva Zuro Loma,Pichincha,3,-0.088671,-78.599754,3108,11,2021
2041035992,Lafresnaya lafresnayi,EC,Ecoruta (Nono-Tandayapa Road above 2500 m),Pichincha,1,-0.068914,-78.588905,2712,2,2017
3224882534,Lafresnaya lafresnayi,EC,"Bosque Protector Cerro Blanco, Provincia de Imbabura, EC (0,215, -78,349)",Imbabura,1,0.215311,-78.34916,3088,3,2020
2760779299,Lafresnaya lafresnayi,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,3,2004
3213162017,Lafresnaya lafresnayi,EC,Area de Protección y Conservación Cerro Blanco,Imbabura,1,0.209989,-78.34595,3209,6,2019
2792451103,Lafresnaya lafresnayi,EC,Reserva Yanacocha,Pichincha,3,-0.111752,-78.584694,3528,9,2008
2124327142,Lafresnaya lafresnayi,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,2,2018
3653543303,Lafresnaya lafresnayi,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,8,2021
2746948910,Lafresnaya lafresnayi,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,4,2019
2102249591,Lafresnaya lafresnayi,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,9,2017
1190976421,Lafresnaya lafresnayi,EC,"Chiquilpe Transecto impacto, Punto 8",Pichincha,1,-0.023,-78.593,2547,8,2003
2152978364,Lafresnaya lafresnayi,EC,San Jorge Ecolodge (Quito),Pichincha,1,-0.11649,-78.52343,3187,4,2018
2721837058,Lafresnaya lafresnayi,EC,Reserva Yanacocha,Pichincha,2,-0.111752,-78.584694,3528,9,2019
