gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
942687698,Lesbia nuna,EC,San Jorge Ecolodge (Quito),Pichincha,1,-0.11649,-78.52343,3187,3,2013
1176059597,Lesbia nuna,EC,Calacalí-Nono Road,Pichincha,1,-0.031102,-78.55805,2572,11,2011
2786445023,Lesbia nuna,EC,Hacienda San Jose--vicinity,Pichincha,2,-0.268477,-78.27128,3309,2,2016
3136944877,Lesbia nuna,EC,San Jorge Ecolodge (Quito),Pichincha,1,-0.11649,-78.52343,3187,1,2020
3538975598,Lesbia nuna,EC,Laguna de Cuicocha,Imbabura,3,0.30257,-78.36251,3069,9,2021
2429292136,Lesbia nuna,EC,,Pichincha,1,-0.117164,-78.589638,3527,9,2019
3572272829,Lesbia nuna,EC,"Ruta Parque La Carolina, Quito, Pichincha, EC (-0.181, -78.485)",Pichincha,3,-0.180704,-78.48482,2780,8,2021
3669716687,Lesbia nuna,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,12,2021
2117870897,Lesbia nuna,EC,Laguna de Cuicocha,Imbabura,1,0.30257,-78.36251,3069,2,2018
1178790535,Lesbia nuna,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,6,2014
2669156407,Lesbia nuna,EC,Tababela,Pichincha,3,-0.173977,-78.35257,2434,4,2019
1407612785,Lesbia nuna,EC,San Jorge Ecolodge (Quito),Pichincha,1,-0.11649,-78.52343,3187,1,2010
2797641482,Lesbia nuna,EC,Pacha Quinde Nature Reserve (MCF),Pichincha,1,-0.009865,-78.675896,2022,10,2000
3678883142,Lesbia nuna,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,10,2010
1199690888,Lesbia nuna,EC,Reserva Bellavista--general area,Pichincha,1,-0.016544,-78.68791,2278,7,2005
1776216142,Lesbia nuna,EC,San Jorge Ecolodge (Quito),Pichincha,1,-0.11649,-78.52343,3187,2,2014
3267358315,Lesbia nuna,EC,Bosque Nativo de Colibrí Garden (Familia Umaquinga),Pichincha,1,-0.272252,-78.30158,3158,7,2020
2089253929,Lesbia nuna,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,7,2017
1406595380,Lesbia nuna,EC,Pacha Quinde Nature Reserve (MCF),Pichincha,2,-0.009865,-78.675896,2022,6,2005
2796701458,Lesbia nuna,EC,"Tandayapa Valley (0.0048, -78.6834)",Pichincha,1,0.0048,-78.6834,1994,9,2004
2790101725,Lesbia nuna,EC,"Tandayapa--valle superior (Tandayapa<->Bellavista, upper valley)",Pichincha,1,-0.013116,-78.677826,2087,10,2000
1384486256,Lesbia nuna,EC,Bellavista Cloud Forest Lodge,Pichincha,1,-0.015922,-78.681206,2242,8,2015
1378497460,Lesbia nuna,EC,Reserva Yanacocha,Pichincha,2,-0.111752,-78.584694,3528,7,2015
2126408774,Lesbia nuna,EC,San Jorge Ecolodge (Quito),Pichincha,2,-0.11649,-78.52343,3187,1,2018
2030018730,Lesbia nuna,EC,Calacalí--Sendero de la Virgen (Trail from shrine),Pichincha,1,0.004016,-78.488235,2852,1,2017
1778249802,Lesbia nuna,EC,San Jorge Ecolodge (Quito),Pichincha,1,-0.11649,-78.52343,3187,5,2007
1197356756,Lesbia nuna,EC,Quito--Barrio Guápulo,Pichincha,1,-0.2005,-78.47517,2663,11,2014
1190972497,Lesbia nuna,EC,"Chiquilpe Transecto impacto, Punto 2",Pichincha,1,-0.029,-78.599,2789,8,2003
2158122338,Lesbia nuna,EC,Reserva Yanacocha,Pichincha,2,-0.111752,-78.584694,3528,5,2018
3684545085,Lesbia nuna,EC,San Jorge Ecolodge (Quito),Pichincha,2,-0.11649,-78.52343,3187,11,2021
3134386614,Lesbia nuna,EC,Puembo Birding Garden,Pichincha,1,-0.165593,-78.36133,2422,2,2020
3634363431,Lesbia nuna,EC,Colibrí Garden,Pichincha,5,-0.271118,-78.30196,3176,1,2021
2764487183,Lesbia nuna,EC,"Quito--Parque La Carolina, Jardin Botanico",Pichincha,3,-0.186515,-78.48579,2776,7,2019
2790204498,Lesbia nuna,EC,Nono General Area,Pichincha,1,-0.065288,-78.577614,2727,7,2019
1206059697,Lesbia nuna,EC,Reserva Geobotánica Pululahua--general area,Pichincha,1,0.040374,-78.50293,2405,3,2010
1206628375,Lesbia nuna,EC,San Jorge Ecolodge (Quito),Pichincha,1,-0.11649,-78.52343,3187,2,2010
3228629384,Lesbia nuna,EC,Ecoruta (Nono-Tandayapa Road above 2500 m),Pichincha,2,-0.068914,-78.588905,2712,1,2020
3275409368,Lesbia nuna,EC,Reserva Geobotánica Pululahua--general area,Pichincha,1,0.040374,-78.50293,2405,2,2012
1401881564,Lesbia nuna,EC,Reserva Geobotánica Pululahua (Lower part below 2000m),Pichincha,1,0.077382,-78.518135,1925,12,2015
2201453411,Lesbia nuna,EC,Reserva Los Cedros,Imbabura,1,0.321968,-78.787,1820,8,2018
1770495210,Lesbia nuna,EC,Tandayapa--San Jorge Tandayapa,Pichincha,1,0.010117,-78.676544,1656,10,2016
3623143970,Lesbia nuna,EC,Parque Metropolitano La Armenia,Pichincha,1,-0.269078,-78.46913,2519,6,2001
1165137442,Lesbia nuna,EC,Nono to Hwy Side Rd-Highlands,Pichincha,3,0.001944,-78.54417,2664,3,2014
1190819627,Lesbia nuna,EC,"Chiquilpe Transecto impacto, Punto 3",Pichincha,1,-0.028,-78.598,2690,4,2003
1190703612,Lesbia nuna,EC,"Chiquilpe Transecto impacto, Punto 1",Pichincha,1,-0.03,-78.59,2743,5,2004
1190814841,Lesbia nuna,EC,"Chiquilpe Transecto impacto, Punto 7",Pichincha,1,-0.024,-78.594,2629,4,2005
2660451831,Lesbia nuna,EC,Reserva Geobotánica Pululahua--general area,Pichincha,2,0.040374,-78.50293,2405,3,2019
1776533278,Lesbia nuna,EC,Reserva Geobotánica Pululahua--general area,Pichincha,1,0.040374,-78.50293,2405,11,2016
3217803983,Lesbia nuna,EC,"212 Antonio José de Sucre, Otavalo, Provincia de Imbabura, EC (0.222, -78.268)",Imbabura,2,0.222074,-78.268265,2565,1,2020
3655413489,Lesbia nuna,EC,San Jorge Ecolodge (Quito),Pichincha,1,-0.11649,-78.52343,3187,12,2021
2783589634,Lesbia nuna,EC,Tandayapa-Bellavista general area (*HISTORICAL DATA ONLY; please use a more specific location for current checklists),Pichincha,1,-0.00206,-78.68189,2048,10,2000
2663318454,Lesbia nuna,EC,Ecoruta (Nono-Tandayapa Road above 2500 m),Pichincha,1,-0.068914,-78.588905,2712,3,2019
3145380541,Lesbia nuna,EC,"Via Pifo Papallacta, Quito EC-Pichincha -0.26727, -78.28231",Pichincha,1,-0.267274,-78.28231,3171,2,2020
3620824951,Lesbia nuna,EC,"Reserva Geobotánica Pululahua (Upper part, >2000m)",Pichincha,1,0.022492,-78.50228,3043,5,2021
1175969223,Lesbia nuna,EC,Reserva Geobotánica Pululahua--general area,Pichincha,2,0.040374,-78.50293,2405,2,2012
3567922223,Lesbia nuna,EC,San Jorge Ecolodge (Quito),Pichincha,1,-0.11649,-78.52343,3187,11,2021
1160078603,Lesbia nuna,EC,San Jorge Ecolodge (Quito),Pichincha,1,-0.11649,-78.52343,3187,3,2014
2125035244,Lesbia nuna,EC,"Reserva Geobotánica Pululahua (Upper part, >2000m)",Pichincha,2,0.022492,-78.50228,3043,1,2018
