gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
4028599781,Lesbia victoriae,EC,,Pichincha,1,-0.186729,-78.355909,2453,1,2023
1162243937,Lesbia victoriae,EC,"Quito--Parque La Carolina, Jardin Botanico",Pichincha,1,-0.186515,-78.48579,2776,2,2014
3529462761,Lesbia victoriae,EC,Cerro Ilaló y alrededores,Pichincha,6,-0.265608,-78.42182,3107,4,2021
3194898934,Lesbia victoriae,EC,"Quito--Parque La Carolina, Jardin Botanico",Pichincha,1,-0.186515,-78.48579,2776,11,2017
978479693,Lesbia victoriae,EC,Pifo Vicinity,Pichincha,1,-0.228453,-78.34252,2585,2,2009
3155701195,Lesbia victoriae,EC,"Quito--Parque La Carolina, Jardin Botanico",Pichincha,1,-0.186515,-78.48579,2776,3,2020
2723264363,Lesbia victoriae,EC,"Reserva Geobotanica Pululahua, Pichincha",Pichincha,1,0.003708,-78.48889,2870,10,2019
3542886475,Lesbia victoriae,EC,"Parque Azkúnaga, Los Comicios, Quito, Pichincha, EC (-0.169, -78.496)",Pichincha,2,-0.168928,-78.49596,2821,2,2021
3559818459,Lesbia victoriae,EC,Cañón del río San Pedro,Pichincha,1,-0.278455,-78.45154,2399,1,2021
3684206269,Lesbia victoriae,EC,"Quito--Parque La Carolina, Jardin Botanico",Pichincha,1,-0.186515,-78.48579,2776,9,2021
2740961609,Lesbia victoriae,EC,Hotel San José Aeropuerto,Pichincha,1,-0.189592,-78.35297,2474,2,2019
3672656648,Lesbia victoriae,EC,Bosque Protector Jerusalem,Pichincha,1,0.000833,-78.355,2295,10,2021
1793879337,Lesbia victoriae,EC,Pululahua Hostal,Pichincha,1,0.033814,-78.48593,2504,11,2015
2236861106,Lesbia victoriae,EC,,Pichincha,1,-0.191102,-78.351683,2484,3,2019
2596247490,Lesbia victoriae,EC,,Pichincha,1,-0.191977,-78.500502,2835,3,2020
2641396591,Lesbia victoriae,EC,,Pichincha,1,-0.196874,-78.472027,2607,6,2020
2028454734,Lesbia victoriae,EC,,Pichincha,1,-0.190025,-78.353028,2472,3,2019
2099093697,Lesbia victoriae,EC,Reserva Geobotánica Pululahua--general area,Pichincha,1,0.040374,-78.50293,2405,10,2017
961496909,Lesbia victoriae,EC,Tumbaco area,Pichincha,1,-0.166843,-78.46979,2817,7,2013
2429500817,Lesbia victoriae,EC,,Pichincha,1,-0.198,-78.486,2771,4,2019
3384988890,Lesbia victoriae,EC,,Imbabura,1,0.200868,-78.234856,2660,10,2014
2580199204,Lesbia victoriae,EC,,Pichincha,1,-0.143867,-78.4686,2851,1,2020
3291705486,Lesbia victoriae,EC,Zaysant Ecolodge,Pichincha,1,-0.186689,-78.35558,2456,1,2020
3204323824,Lesbia victoriae,EC,Refugio Paz de las Aves (Angel Paz),Pichincha,1,0.019655,-78.70693,1906,12,2020
2108149439,Lesbia victoriae,EC,cochapamba sur,Pichincha,2,-0.159294,-78.503174,2972,11,2017
2228862040,Lesbia victoriae,EC,"Tumbaco, Private Resident's Feeders",Pichincha,2,-0.21131,-78.390724,2360,8,2003
2162216396,Lesbia victoriae,EC,Quito--Parque Arqueológico y Ecológico Rumipamba,Pichincha,4,-0.179042,-78.50135,2900,5,2018
3164707054,Lesbia victoriae,EC,La Terraza De Guapulo,Pichincha,1,-0.201141,-78.47718,2686,5,2020
2091083298,Lesbia victoriae,EC,"Quito--Parque La Carolina, Jardin Botanico",Pichincha,3,-0.186515,-78.48579,2776,11,2017
3294913489,Lesbia victoriae,EC,"18 Pumapungo, Quito, Pichincha, EC (-0.294, -78.552)",Pichincha,3,-0.293509,-78.55233,2889,12,2020
2701559864,Lesbia victoriae,EC,Kintanita,Pichincha,2,-0.205609,-78.38415,2365,5,2019
1411534598,Lesbia victoriae,EC,Refugio Paz de las Aves (Angel Paz),Pichincha,1,0.019655,-78.70693,1906,8,2014
1194484423,Lesbia victoriae,EC,"Quito--Parque La Carolina, Jardin Botanico",Pichincha,1,-0.186515,-78.48579,2776,8,2008
1350991130,Lesbia victoriae,EC,Quito Teleferiqo,Pichincha,1,-0.188183,-78.53542,3933,1,2015
3559251000,Lesbia victoriae,EC,"E14-17 Francisco Salazar, Quito, Pichincha, EC (-0,208, -78,482)",Pichincha,3,-0.207524,-78.48152,2830,12,2021
3225493025,Lesbia victoriae,EC,Hacienda Loma Tika,Imbabura,1,0.267554,-78.253525,2597,3,2020
3217215760,Lesbia victoriae,EC,Puembo Birding Garden,Pichincha,2,-0.165593,-78.36133,2422,1,2020
2166837989,Lesbia victoriae,EC,Road to Yanacocha Reserve,Pichincha,3,-0.11079,-78.54912,3436,6,2018
2103962142,Lesbia victoriae,EC,Bosque Protector Jerusalem,Pichincha,1,0.000833,-78.355,2295,10,2017
3514403800,Lesbia victoriae,EC,Hacienda Loma Tika,Imbabura,2,0.267554,-78.253525,2597,4,2021
2216847812,Lesbia victoriae,EC,Ecoruta (Nono-Tandayapa Road above 2500 m),Pichincha,1,-0.068914,-78.588905,2712,10,2018
3178312503,Lesbia victoriae,EC,Road to Rumiloma,Pichincha,2,-0.176639,-78.52491,3215,8,2020
2799841171,Lesbia victoriae,EC,"Quito--Parque La Carolina, Jardin Botanico",Pichincha,4,-0.186515,-78.48579,2776,10,2019
2797951375,Lesbia victoriae,EC,Zaysant Ecolodge,Pichincha,2,-0.187092,-78.355515,2460,12,2019
2789687734,Lesbia victoriae,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,2,2007
2898412672,Lesbia victoriae,EC,,Pichincha,1,-0.194154,-78.43404,2393,10,2020
3385196722,Lesbia victoriae,EC,,Pichincha,1,-0.192028,-78.500493,2835,9,2021
3070530008,Lesbia victoriae,EC,,Pichincha,1,0.017482,-78.465788,2639,6,2020
3725367962,Lesbia victoriae,EC,Ecuador - Pichincha,,1,-0.198346,-78.361046,2459,7,2018
1178790533,Lesbia victoriae,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,6,2014
3571519701,Lesbia victoriae,EC,"Museo de Sitio Intiñan, Quito EC-Pichincha -0.00093, -78.45455",Pichincha,1,-0.000935,-78.45455,2461,7,2021
3243292000,Lesbia victoriae,EC,Quito--Parque Metropolitano Guangüiltagua,Pichincha,1,-0.182604,-78.4671,2928,7,2020
2661300645,Lesbia victoriae,EC,Road to Rumiloma,Pichincha,2,-0.176639,-78.52491,3215,3,2019
2115096318,Lesbia victoriae,EC,Calacalí--Sendero de la Virgen (Trail from shrine),Pichincha,1,0.004016,-78.488235,2852,8,2005
1741410680,Lesbia victoriae,EC,Mitad del Mundo,Pichincha,1,-0.002274,-78.4559,2475,5,2016
1717065713,Lesbia victoriae,EC,Reserva Geobotánica Pululahua--general area,Pichincha,2,0.040374,-78.50293,2405,2,2016
1745493723,Lesbia victoriae,EC,San Jorge Ecolodge (Quito),Pichincha,1,-0.11649,-78.52343,3187,6,2016
3675047834,Lesbia victoriae,EC,Quito--Parque Arqueológico y Ecológico Rumipamba,Pichincha,6,-0.179042,-78.50135,2900,4,2021
1388374615,Lesbia victoriae,EC,"Quito--Parque La Carolina, Jardin Botanico",Pichincha,5,-0.186515,-78.48579,2776,9,2015
3221376158,Lesbia victoriae,EC,"Quito--Parque La Carolina, Jardin Botanico",Pichincha,1,-0.186515,-78.48579,2776,3,2020
3008434065,Lesbia victoriae,EC,,Pichincha,1,-0.234889,-78.350156,2593,1,2020
4034608237,Lesbia victoriae,EC,,Pichincha,1,-0.18921,-78.353173,2472,1,2023
2873782363,Lesbia victoriae,EC,,Imbabura,1,0.293219,-78.351953,3082,1,2017
2775879399,Lesbia victoriae,EC,San Jorge Ecolodge (Quito),Pichincha,2,-0.11649,-78.52343,3187,7,2018
