gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
3171993467,Leucopternis occidentalis,EC,Rio Silanche--entrance road,Pichincha,1,0.108158,-79.13607,400,8,2020
1790188535,Leucopternis occidentalis,EC,Rio Silanche Bird Sanctuary,Pichincha,2,0.145185,-79.14147,402,9,2010
3290405179,Leucopternis occidentalis,EC,"Vía el Achiote, Pichincha, EC (0.113, -79.237)",Pichincha,1,0.113319,-79.23691,160,10,2020
953906635,Leucopternis occidentalis,EC,Séptimo Paraiso,Pichincha,1,-0.030813,-78.764465,1564,2,2011
2219248266,Leucopternis occidentalis,EC,Rio Silanche--entrance road,Pichincha,1,0.108158,-79.13607,400,10,2018
180899376,Leucopternis occidentalis,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,2,2008
2734856575,Leucopternis occidentalis,EC,Rio Silanche--entrance road,Pichincha,1,0.108158,-79.13607,400,10,2018
1183511943,Leucopternis occidentalis,EC,Milpe Bird Sanctuary,Pichincha,1,0.033327,-78.868454,1110,2,2014
180899374,Leucopternis occidentalis,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,11,2007
960258726,Leucopternis occidentalis,EC,Mashpi--general area,Pichincha,2,0.16546,-78.84751,1293,7,2013
3195159679,Leucopternis occidentalis,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,1,2013
1794131349,Leucopternis occidentalis,EC,Mashpi--general area,Pichincha,1,0.16546,-78.84751,1293,9,2011
2089854724,Leucopternis occidentalis,EC,Rio Silanche--general area,Pichincha,1,0.117101,-79.13609,393,7,2017
590742252,Leucopternis occidentalis,EC,Séptimo Paraiso,Pichincha,1,-0.030813,-78.764465,1564,2,2011
3283497226,Leucopternis occidentalis,EC,"Pacto, Pichincha, EC (0.085, -78.901)",Pichincha,1,0.084977,-78.901276,940,6,2020
3665554329,Leucopternis occidentalis,EC,Tandapi - Finca “La Escondida”,Pichincha,1,-0.378733,-78.828186,1299,9,2021
954062044,Leucopternis occidentalis,EC,Séptimo Paraiso,Pichincha,1,-0.030813,-78.764465,1564,2,2011
2216628072,Leucopternis occidentalis,EC,Rio Silanche--entrance road,Pichincha,1,0.108158,-79.13607,400,10,2018
1770517696,Leucopternis occidentalis,EC,Reserva Amagusa,Pichincha,1,0.1598,-78.8534,1302,11,2016
2083006614,Leucopternis occidentalis,EC,Rio Silanche--general area,Pichincha,1,0.117101,-79.13609,393,7,2017
3613005615,Leucopternis occidentalis,EC,Lenguajeo (ASOANE) Nueva Esperanza,Pichincha,1,0.09108,-79.27806,234,8,2021
3677429465,Leucopternis occidentalis,EC,Tandapi - Finca “La Escondida”,Pichincha,1,-0.378733,-78.828186,1299,9,2021
3205975823,Leucopternis occidentalis,EC,"Vía el Achiote, Pichincha, EC (0.113, -79.237)",Pichincha,1,0.113319,-79.23691,160,10,2020
3509766427,Leucopternis occidentalis,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,11,2010
3289856202,Leucopternis occidentalis,EC,"Vía el Achiote, Pichincha, EC (0.113, -79.237)",Pichincha,1,0.113319,-79.23691,160,10,2020
2072554794,Leucopternis occidentalis,EC,Rio Silanche--general area,Pichincha,1,0.117101,-79.13609,393,7,2017
3148972354,Leucopternis occidentalis,EC,Rancho Suamox,Pichincha,1,0.10746,-79.166534,377,2,2020
1400742511,Leucopternis occidentalis,EC,Reserva Mangaloma,Pichincha,1,0.122652,-78.99485,843,4,2006
3258606633,Leucopternis occidentalis,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,1,2013
1765524923,Leucopternis occidentalis,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,9,2016
2835626322,Leucopternis occidentalis,EC,Ecuador - Pichincha,,1,-0.148634,-78.782456,1830,7,2009
