gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
829102209,Leucopternis semiplumbeus,EC,Pedro Vicente Maldonado--pueblo y alrededores inmediatos (town and immediate surroundings),Pichincha,1,0.087625,-79.05275,613,11,2000
2101586654,Leucopternis semiplumbeus,EC,"(-0,064, -78,878)",Pichincha,1,-0.063752,-78.87807,1347,10,2017
2109272970,Leucopternis semiplumbeus,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,1,2013
2731801812,Leucopternis semiplumbeus,EC,Reserva/Finca Mashpi-Shungo (Mashpi Chocolate Artesanal Farm),Pichincha,1,0.182478,-78.9123,514,3,2019
1395928456,Leucopternis semiplumbeus,EC,Rio Silanche--general area,Pichincha,1,0.117101,-79.13609,393,11,2006
3275167904,Leucopternis semiplumbeus,EC,Rio Silanche--entrance road,Pichincha,1,0.108158,-79.13607,400,2,2006
2726314147,Leucopternis semiplumbeus,EC,"Río Silanche Bird Sanctuary (0.1378, -79.1312)",Pichincha,1,0.1378,-79.1312,370,2,2006
961986784,Leucopternis semiplumbeus,EC,Milpe Bird Sanctuary,Pichincha,1,0.033327,-78.868454,1110,5,2012
2144954718,Leucopternis semiplumbeus,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,3,2018
1385226627,Leucopternis semiplumbeus,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,2,2006
588078668,Leucopternis semiplumbeus,EC,Milpe/Los Bancos area,Pichincha,1,0.030212,-78.87222,1127,11,2007
2721596793,Leucopternis semiplumbeus,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,7,2005
1758710181,Leucopternis semiplumbeus,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,8,2016
1707444560,Leucopternis semiplumbeus,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,9,2013
3543596783,Leucopternis semiplumbeus,EC,Fincalegre Senderos y Camino al río Pachijal.,Pichincha,1,0.103043,-78.95069,811,12,2021
829314369,Leucopternis semiplumbeus,EC,Rio Silanche--entrance road,Pichincha,1,0.108158,-79.13607,400,9,2006
2800128630,Leucopternis semiplumbeus,EC,Pedro Vicente Maldonado--pueblo y alrededores inmediatos (town and immediate surroundings),Pichincha,1,0.087625,-79.05275,613,11,2000
2735531871,Leucopternis semiplumbeus,EC,Represa Hidroeléctrica Manduriacu,Imbabura,1,0.215744,-78.90205,482,1,2019
1791139500,Leucopternis semiplumbeus,EC,Pedro Vicente Maldonado--pueblo y alrededores inmediatos (town and immediate surroundings),Pichincha,1,0.087625,-79.05275,613,10,2004
1774544971,Leucopternis semiplumbeus,EC,Rio Silanche and Mangaloma for life list,Pichincha,1,0.111439,-79.13102,452,2,2012
1758681469,Leucopternis semiplumbeus,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,9,2016
3249180118,Leucopternis semiplumbeus,EC,"vía al Pachijal, Pichincha, EC (0,026, -78,858)",Pichincha,1,0.025522,-78.85767,1170,7,2020
3194094494,Leucopternis semiplumbeus,EC,"vía al Pachijal, Pichincha, EC (0,026, -78,858)",Pichincha,1,0.025522,-78.85767,1170,7,2020
2101224668,Leucopternis semiplumbeus,EC,Rio Silanche--general area,Pichincha,1,0.117101,-79.13609,393,7,2005
2228280758,Leucopternis semiplumbeus,EC,Reserva/Finca Mashpi-Shungo (Mashpi Chocolate Artesanal Farm),Pichincha,1,0.182478,-78.9123,514,12,2018
2655186886,Leucopternis semiplumbeus,EC,Reserva/Finca Mashpi-Shungo (Mashpi Chocolate Artesanal Farm),Pichincha,1,0.182478,-78.9123,514,1,2019
3610399550,Leucopternis semiplumbeus,EC,Fincalegre Senderos y Camino al río Pachijal.,Pichincha,1,0.103043,-78.95069,811,12,2021
2197322731,Leucopternis semiplumbeus,EC,Reserva/Finca Mashpi-Shungo (Mashpi Chocolate Artesanal Farm),Pichincha,1,0.182478,-78.9123,514,8,2018
2722357962,Leucopternis semiplumbeus,EC,Pedro Vicente Maldonado--pueblo y alrededores inmediatos (town and immediate surroundings),Pichincha,1,0.087625,-79.05275,613,11,2000
2778145814,Leucopternis semiplumbeus,EC,Reserva/Finca Mashpi-Shungo (Mashpi Chocolate Artesanal Farm),Pichincha,1,0.182478,-78.9123,514,11,2019
1206750258,Leucopternis semiplumbeus,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,11,2006
1723395096,Leucopternis semiplumbeus,EC,Rio Silanche--general area,Pichincha,1,0.117101,-79.13609,393,3,2016
1403247335,Leucopternis semiplumbeus,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,12,2015
3585983725,Leucopternis semiplumbeus,EC,Amanecer Campesino,Pichincha,1,-0.035821,-78.95572,859,12,2021
2123262942,Leucopternis semiplumbeus,EC,"Unnamed Road, Pichincha, EC (0,145, -79,142)",Pichincha,1,0.144635,-79.14208,408,1,2018
2243664812,Leucopternis semiplumbeus,EC,Pichincha: Río Guaycuyacu,,1,0.217,-78.89,555,7,2004
3247187797,Leucopternis semiplumbeus,EC,"Rio Verde, García Moreno, Provincia de Imbabura, EC (0.241, -78.841)",Imbabura,2,0.240566,-78.84141,539,5,2020
2243572464,Leucopternis semiplumbeus,EC,"Rio Silanche, Pedro Vicente Maldonado, Pichincha",,1,0.1431,-79.1334,420,2,2006
