gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
3660834124,Lophostrix cristata,EC,San Jorge de Milpe,Pichincha,1,0.044357,-78.88368,1059,12,2021
1162639741,Lophostrix cristata,EC,San Jorge de Milpe,Pichincha,1,0.044357,-78.88368,1059,3,2014
2693856802,Lophostrix cristata,EC,San Jorge de Milpe,Pichincha,1,0.044357,-78.88368,1059,7,2019
2687922257,Lophostrix cristata,EC,San Jorge de Milpe,Pichincha,1,0.044357,-78.88368,1059,7,2019
2712014644,Lophostrix cristata,EC,Sachatamia Lodge,Pichincha,2,-0.025148,-78.75798,1719,11,2019
2705213049,Lophostrix cristata,EC,Rancho Suamox,Pichincha,1,0.10746,-79.166534,377,9,2019
2709652631,Lophostrix cristata,EC,Sachatamia Lodge,Pichincha,1,-0.025148,-78.75798,1719,8,2019
2695743504,Lophostrix cristata,EC,Reserva Mangaloma,Pichincha,1,0.122652,-78.99485,843,8,2006
1400750004,Lophostrix cristata,EC,Reserva Mangaloma,Pichincha,1,0.122652,-78.99485,843,4,2006
2115066799,Lophostrix cristata,EC,San Jorge de Milpe,Pichincha,1,0.044357,-78.88368,1059,11,2017
2227891992,Lophostrix cristata,EC,Reserva Mangaloma,Pichincha,1,0.122652,-78.99485,843,12,2018
2107542052,Lophostrix cristata,EC,Milpe Lodge,Pichincha,1,0.058057,-78.9097,987,11,2017
3139576820,Lophostrix cristata,EC,San Jorge de Milpe,Pichincha,1,0.044357,-78.88368,1059,1,2020
2221794925,Lophostrix cristata,EC,San Jorge de Milpe,Pichincha,1,0.044357,-78.88368,1059,11,2018
2701843128,Lophostrix cristata,EC,San Jorge de Milpe,Pichincha,1,0.044357,-78.88368,1059,7,2019
3217385117,Lophostrix cristata,EC,San Jorge de Milpe,Pichincha,1,0.044357,-78.88368,1059,1,2020
3692978182,Lophostrix cristata,EC,Milpe Bird Sanctuary,Pichincha,1,0.033327,-78.868454,1110,11,2021
3665174330,Lophostrix cristata,EC,Kapari Natural Lodge,Pichincha,2,-0.001202,-78.94196,916,1,2017
2724101900,Lophostrix cristata,EC,Sachatamia Lodge,Pichincha,1,-0.025148,-78.75798,1719,10,2019
1794280625,Lophostrix cristata,EC,Milpe Road,Pichincha,1,0.051764,-78.90251,1013,7,2008
3134024233,Lophostrix cristata,EC,Reserva Amagusa,Pichincha,1,0.1598,-78.8534,1302,2,2020
2225094597,Lophostrix cristata,EC,Reserva Mangaloma,Pichincha,1,0.122652,-78.99485,843,12,2018
3239159564,Lophostrix cristata,EC,Reserva Amagusa,Pichincha,1,0.1598,-78.8534,1302,2,2020
2719617461,Lophostrix cristata,EC,Sachatamia Lodge,Pichincha,1,-0.025148,-78.75798,1719,10,2019
2689030191,Lophostrix cristata,EC,Sachatamia Lodge,Pichincha,2,-0.025148,-78.75798,1719,7,2019
3585569611,Lophostrix cristata,EC,"Vía Los Bancos, Pichincha, EC (0,036, -78,912)",Pichincha,1,0.01058,-78.89619,838,12,2021
2711634087,Lophostrix cristata,EC,San Jorge de Milpe,Pichincha,1,0.044357,-78.88368,1059,7,2019
2724691048,Lophostrix cristata,EC,Sachatamia Lodge,Pichincha,2,-0.025148,-78.75798,1719,11,2019
3684107362,Lophostrix cristata,EC,Cabañas El Jardín del Quinde,Pichincha,1,0.035577,-78.87227,1109,9,2021
2702943168,Lophostrix cristata,EC,Sachatamia Lodge,Pichincha,1,-0.025148,-78.75798,1719,10,2019
