gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
2243879841,Malacoptila panamensis,EC,"Finca Cuatro Rios, San Miguel de Los Bancos, Pichincha",,1,0.0742,-78.9817,767,7,2002
3388716309,Malacoptila panamensis,EC,Tinalandia Lodge,,1,-0.308046,-79.038895,679,12,2004
1728819934,Malacoptila panamensis,EC,Santa Marianita,Pichincha,1,0.130697,-78.66666,1171,4,2016
3200821144,Malacoptila panamensis,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,1,2019
1180859496,Malacoptila panamensis,EC,Rio Silanche--general area,Pichincha,1,0.117101,-79.13609,393,7,2014
3469076435,Malacoptila panamensis,EC,,Pichincha,1,0.172978,-78.921579,644,2,2022
3547699299,Malacoptila panamensis,EC,Reserva Maquipucuna,Pichincha,1,0.120898,-78.63837,1310,10,2021
3523919809,Malacoptila panamensis,EC,"Auto selected 0.03569, -78.87150",Pichincha,1,0.086775,-79.08547,591,5,2021
2087638395,Malacoptila panamensis,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,9,2017
2793370005,Malacoptila panamensis,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,9,2019
2112017725,Malacoptila panamensis,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,12,2017
2626099460,Malacoptila panamensis,EC,,Pichincha,1,0.123755,-78.629907,1282,8,2019
2079810927,Malacoptila panamensis,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,6,2017
3508165261,Malacoptila panamensis,EC,Hotel Tinalandia,Santo Domingo de los Tsáchilas,1,-0.299136,-79.0526,732,2,2021
2182207294,Malacoptila panamensis,EC,Reserva Maquipucuna,Pichincha,1,0.120898,-78.63837,1310,8,2018
2101140346,Malacoptila panamensis,EC,Rio Silanche--general area,Pichincha,1,0.117101,-79.13609,393,11,2001
3606757939,Malacoptila panamensis,EC,"La Isla Mindo , Pichincha, EC (-0,053, -78,764)",Pichincha,2,-0.053133,-78.76369,1333,3,2021
1202159693,Malacoptila panamensis,EC,Pedro Vicente Maldonado--pueblo y alrededores inmediatos (town and immediate surroundings),Pichincha,1,0.087625,-79.05275,613,2,2004
3141001960,Malacoptila panamensis,EC,"Vía a Masphi, Pichincha, EC (0.181, -78.912)",Pichincha,1,0.180546,-78.91152,514,3,2020
3541575280,Malacoptila panamensis,EC,Reserva/Finca Mashpi-Shungo (Mashpi Chocolate Artesanal Farm),Pichincha,1,0.182478,-78.9123,514,1,2021
2135984297,Malacoptila panamensis,EC,Rancho Suamox,Pichincha,2,0.10746,-79.166534,377,4,2018
2122997984,Malacoptila panamensis,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,1,2018
3557563564,Malacoptila panamensis,EC,Kapari Natural Lodge,Pichincha,1,-0.001202,-78.94196,916,11,2021
3204887930,Malacoptila panamensis,EC,Carretera Salamanca,Pichincha,2,0.118893,-79.23438,110,7,2020
2212473471,Malacoptila panamensis,EC,Rio Silanche Bird Sanctuary,Pichincha,2,0.145185,-79.14147,402,10,2018
1206193433,Malacoptila panamensis,EC,Rio Silanche Bird Sanctuary,Pichincha,2,0.145185,-79.14147,402,11,2011
2076699368,Malacoptila panamensis,EC,Milpe Bird Sanctuary,Pichincha,1,0.033327,-78.868454,1110,8,2017
2724258438,Malacoptila panamensis,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,12,2019
2726273542,Malacoptila panamensis,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,1,2009
3211468190,Malacoptila panamensis,EC,Reserva San Luis,Pichincha,1,-0.071361,-78.797066,1289,7,2020
3625613061,Malacoptila panamensis,EC,Kapari Natural Lodge,Pichincha,1,-0.001202,-78.94196,916,4,2021
937728510,Malacoptila panamensis,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,1,2013
2707192607,Malacoptila panamensis,EC,Rio Silanche--general area,Pichincha,1,0.117101,-79.13609,393,8,2019
2197707060,Malacoptila panamensis,EC,Reserva Maquipucuna,Pichincha,1,0.120898,-78.63837,1310,10,2018
2204645286,Malacoptila panamensis,EC,Rio Silanche--general area,Pichincha,1,0.117101,-79.13609,393,8,2018
3607278669,Malacoptila panamensis,EC,San Jorge de Milpe,Pichincha,1,0.044357,-78.88368,1059,11,2021
2800457938,Malacoptila panamensis,EC,Reserva Mangaloma,Pichincha,1,0.122652,-78.99485,843,10,2015
2115089771,Malacoptila panamensis,EC,Cuatro Rios (Four Rivers),Pichincha,2,0.071925,-78.982285,778,8,2005
2707392965,Malacoptila panamensis,EC,Reserva Maquipucuna,Pichincha,1,0.120898,-78.63837,1310,11,2019
3638800648,Malacoptila panamensis,EC,San Jorge de Milpe,Pichincha,1,0.044357,-78.88368,1059,11,2021
2182230304,Malacoptila panamensis,EC,Casa Divina Lodge Reserve,Pichincha,1,-0.06607,-78.76921,1294,7,2018
2227260477,Malacoptila panamensis,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,2,2007
945718040,Malacoptila panamensis,EC,Rio Silanche Bird Sanctuary,Pichincha,2,0.145185,-79.14147,402,7,2010
2035517892,Malacoptila panamensis,EC,Un Poco del Choco--Reserve & Field Station,Pichincha,1,0.05295,-78.84311,1177,1,2017
2747882671,Malacoptila panamensis,EC,Rio Silanche--general area,Pichincha,2,0.117101,-79.13609,393,4,2019
1195966575,Malacoptila panamensis,EC,Road between Santa Lucia and Maquipucuna,Pichincha,1,0.1232,-78.62168,1395,6,2011
2213353334,Malacoptila panamensis,EC,Maquipucuna Lodge,Pichincha,1,0.124139,-78.62937,1272,1,2015
3567154145,Malacoptila panamensis,EC,Maquipucuna Lodge,Pichincha,2,0.124139,-78.62937,1272,5,2021
3136598202,Malacoptila panamensis,EC,"25 ene. 2020 08:04-0.122, -79.272",Pichincha,2,0.122173,-79.271645,125,1,2020
2703699016,Malacoptila panamensis,EC,Reserva Mashpi Shungo,Pichincha,1,0.18266,-78.91341,510,10,2019
3635455459,Malacoptila panamensis,EC,Mindo--Vía a las cascadas (Waterfall trail),Pichincha,1,-0.062765,-78.77427,1344,8,2021
180946859,Malacoptila panamensis,EC,Reserva Mangaloma,Pichincha,1,0.122652,-78.99485,843,8,2006
1345182348,Malacoptila panamensis,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,1,2015
3149188337,Malacoptila panamensis,EC,San Jorge de Milpe,Pichincha,2,0.044357,-78.88368,1059,2,2020
2094102069,Malacoptila panamensis,EC,San Jorge de Milpe,Pichincha,1,0.044357,-78.88368,1059,11,2017
2152905158,Malacoptila panamensis,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,11,2009
2129874756,Malacoptila panamensis,EC,Rio Silanche Bird Sanctuary,Pichincha,2,0.145185,-79.14147,402,1,2018
2725147538,Malacoptila panamensis,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,8,2015
2153579502,Malacoptila panamensis,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,3,2010
3583416393,Malacoptila panamensis,EC,San Jorge de Milpe,Pichincha,1,0.044357,-78.88368,1059,12,2021
3182889942,Malacoptila panamensis,EC,Reserva San Luis,Pichincha,2,-0.071361,-78.797066,1289,9,2020
3656399046,Malacoptila panamensis,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,10,2021
2231275042,Malacoptila panamensis,EC,Mindo--El Monte Sustainable Lodge,Pichincha,1,-0.069394,-78.76362,1311,7,2011
2701923764,Malacoptila panamensis,EC,San Jorge de Milpe,Pichincha,2,0.044357,-78.88368,1059,9,2019
1752769595,Malacoptila panamensis,EC,Rio Silanche Bird Sanctuary,Pichincha,2,0.145185,-79.14147,402,7,2016
3190631187,Malacoptila panamensis,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,9,2020
2208630559,Malacoptila panamensis,EC,Rio Silanche--general area,Pichincha,1,0.117101,-79.13609,393,10,2018
3198599435,Malacoptila panamensis,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,11,2020
3177311573,Malacoptila panamensis,EC,Manduriacu Pichincha Province,Pichincha,1,0.215081,-78.900375,502,9,2020
