gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
2243558070,Manacus manacus,EC,"Rio Silanche, Pedro Vicente Maldonado, Pichincha",,1,0.1431,-79.1334,420,1,2012
2243630854,Manacus manacus,EC,Milpe Garden,,1,0.1431,-79.1334,420,12,2014
2243623400,Manacus manacus,EC,"Rio Silanche, Pedro Vicente Maldonado, Pichincha",,1,0.1431,-79.1334,420,11,2014
2243600479,Manacus manacus,EC,"Rio Silanche, Pedro Vicente Maldonado, Pichincha",,1,0.1431,-79.1334,420,6,2013
2243610002,Manacus manacus,EC,Pichincha,,1,0.1861,-79.2265,163,7,2014
3704482414,Manacus manacus,EC,"Rio Silanche Bird Sanctuary , Puerto Quito, Pichincha",,1,0.1449,-79.1417,407,10,2021
1786839947,Manacus manacus,EC,Rio Silanche--general area,Pichincha,1,0.117101,-79.13609,393,2,2009
2175639307,Manacus manacus,EC,Rio Silanche--general area,Pichincha,2,0.117101,-79.13609,393,7,2018
3203859853,Manacus manacus,EC,Lenguajeo (ASOANE) Nueva Esperanza,Pichincha,1,0.09108,-79.27806,234,10,2020
2774391185,Manacus manacus,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,10,2019
2171677236,Manacus manacus,EC,Reserva/Finca Mashpi-Shungo (Mashpi Chocolate Artesanal Farm),Pichincha,1,0.182478,-78.9123,514,7,2018
1147206442,Manacus manacus,EC,Nanagalitos-Los Banios Highway,,1,-0.1332,-79.13335,519,9,2003
1147145907,Manacus manacus,EC,Selanche Road Km 126,,1,-0.1427,-79.141567,484,9,2003
1738544522,Manacus manacus,EC,Reserva/Finca Mashpi-Shungo (Mashpi Chocolate Artesanal Farm),Pichincha,4,0.182478,-78.9123,514,5,2016
2801195697,Manacus manacus,EC,Cuatro Rios (Four Rivers),Pichincha,2,0.071925,-78.982285,778,8,2004
2746094451,Manacus manacus,EC,Milpe Bird Sanctuary,Pichincha,1,0.033327,-78.868454,1110,3,2019
180946935,Manacus manacus,EC,Rio Silanche Bird Sanctuary,Pichincha,4,0.145185,-79.14147,402,1,2006
1381086656,Manacus manacus,EC,Milpe Bird Sanctuary,Pichincha,1,0.033327,-78.868454,1110,3,2014
2797405735,Manacus manacus,EC,Rio Silanche Bird Sanctuary,Pichincha,2,0.145185,-79.14147,402,12,2019
3258704363,Manacus manacus,EC,Cunuco,Pichincha,1,-0.048012,-78.78067,1268,6,2020
1880580660,Manacus manacus,EC,,Pichincha,1,0.144397,-79.141981,419,8,2017
1175718713,Manacus manacus,EC,Reserva Mangaloma,Pichincha,4,0.122652,-78.99485,843,6,2014
2743303055,Manacus manacus,EC,Reserva/Finca Mashpi-Shungo (Mashpi Chocolate Artesanal Farm),Pichincha,2,0.182478,-78.9123,514,7,2019
1717493726,Manacus manacus,EC,Rio Silanche--general area,Pichincha,1,0.117101,-79.13609,393,2,2016
1791754292,Manacus manacus,EC,Rio Silanche--general area,Pichincha,1,0.117101,-79.13609,393,11,2010
2772073451,Manacus manacus,EC,Reserva/Finca Mashpi-Shungo (Mashpi Chocolate Artesanal Farm),Pichincha,3,0.182478,-78.9123,514,1,2019
1166332346,Manacus manacus,EC,Rio Silanche Bird Sanctuary,Pichincha,2,0.145185,-79.14147,402,4,2014
3563419732,Manacus manacus,EC,Finca Blanca Margarita - Chicao Chocolate,Pichincha,2,0.157516,-79.22496,149,6,2021
2135700405,Manacus manacus,EC,Milpe Bird Sanctuary,Pichincha,2,0.033327,-78.868454,1110,2,2018
3156437341,Manacus manacus,EC,Rio Silanche--general area,Pichincha,2,0.117101,-79.13609,393,2,2020
2113840541,Manacus manacus,EC,Milpe Bird Sanctuary,Pichincha,1,0.033327,-78.868454,1110,2,2018
3273920266,Manacus manacus,EC,Rancho Suamox,Pichincha,2,0.10746,-79.166534,377,11,2020
2732332796,Manacus manacus,EC,Reserva/Finca Mashpi-Shungo (Mashpi Chocolate Artesanal Farm),Pichincha,2,0.182478,-78.9123,514,1,2019
1155048125,Manacus manacus,EC,Milpe Bird Sanctuary,Pichincha,1,0.033327,-78.868454,1110,2,2014
3555893524,Manacus manacus,EC,Milpe--end of the road,Pichincha,1,0.07727,-78.93023,912,12,2021
1351478437,Manacus manacus,EC,Rio Silanche Bird Sanctuary,Pichincha,2,0.145185,-79.14147,402,2,2015
3199072530,Manacus manacus,EC,Pedro Vicente Maldonado--pueblo y alrededores inmediatos (town and immediate surroundings),Pichincha,1,0.087625,-79.05275,613,11,2020
3681760404,Manacus manacus,EC,Milpe Bird Sanctuary,Pichincha,1,0.033327,-78.868454,1110,6,2021
3195214505,Manacus manacus,EC,Bosque Provincial Kasama,Santo Domingo de los Tsáchilas,1,-0.252486,-79.14583,589,10,2020
3579012022,Manacus manacus,EC,Rio Silanche Bird Sanctuary,Pichincha,5,0.145185,-79.14147,402,12,2021
3296816180,Manacus manacus,EC,Cabuyal,Pichincha,1,0.146768,-79.272095,136,10,2020
2030820911,Manacus manacus,EC,Rio Silanche--general area,Pichincha,5,0.117101,-79.13609,393,1,2017
830362692,Manacus manacus,EC,Pais Tropical,Pichincha,4,0.17327,-78.93343,543,2,2012
1401083766,Manacus manacus,EC,Rio Silanche Bird Sanctuary,Pichincha,4,0.145185,-79.14147,402,11,2015
3678463797,Manacus manacus,EC,"Vía Piedra de Vapor, Pichincha, EC (0,122, -79,272)",Pichincha,2,0.121623,-79.27202,134,10,2020
2044872990,Manacus manacus,EC,Rio Silanche Bird Sanctuary,Pichincha,6,0.145185,-79.14147,402,3,2017
2118303213,Manacus manacus,EC,Rio Silanche--entrance road,Pichincha,1,0.108158,-79.13607,400,12,2017
3138463975,Manacus manacus,EC,San Jorge de Milpe,Pichincha,1,0.042755,-78.88135,1077,3,2020
3512194002,Manacus manacus,EC,Milpe Bird Sanctuary,Pichincha,1,0.033327,-78.868454,1110,4,2021
2118836018,Manacus manacus,EC,"ChocoMashpi (Shunguito farm) 500 masl (0.1819,-78.9122)",Pichincha,1,0.181904,-78.91223,513,1,2018
1345280130,Manacus manacus,EC,Milpe Road,Pichincha,1,0.051764,-78.90251,1013,1,2015
3542835520,Manacus manacus,EC,Finca Sisantu,Santo Domingo de los Tsáchilas,2,-0.171765,-79.345856,309,9,2021
2717112162,Manacus manacus,EC,Puente del Río Blanco,Pichincha,1,0.005556,-78.912224,791,3,2010
830349013,Manacus manacus,EC,Mashpi,Pichincha,1,0.157222,-78.86305,1174,3,2012
2105409967,Manacus manacus,EC,Oilbird Caves,Imbabura,1,0.22497,-78.72529,702,8,2017
2701490782,Manacus manacus,EC,"Vía Piedra de Vapor, Pichincha, EC.",Pichincha,4,0.123045,-79.271164,125,8,2019
2220082225,Manacus manacus,EC,Rio Silanche Bird Sanctuary,Pichincha,2,0.145185,-79.14147,402,10,2018
2039574649,Manacus manacus,EC,Milpe Bird Sanctuary,Pichincha,2,0.033327,-78.868454,1110,1,2017
3141236182,Manacus manacus,EC,"25 ene. 2020 08:04-0.122, -79.272",Pichincha,2,0.122173,-79.271645,125,1,2020
3530097888,Manacus manacus,EC,"Vía a La 23 de junio, Pichincha, EC (-0.01, -78.895)",Pichincha,3,-0.010161,-78.89516,1126,6,2021
3512404522,Manacus manacus,EC,Shino Pi Bolon,Santo Domingo de los Tsáchilas,2,-0.148824,-79.32468,326,1,2021
3256355197,Manacus manacus,EC,Cielo Roto. Puerto Quito,Pichincha,1,0.071924,-79.236725,319,10,2020
2741490135,Manacus manacus,EC,Milpe Cloud Forest Reserve,Pichincha,1,0.030585,-78.86646,1153,1,2019
1384220629,Manacus manacus,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,11,2010
2123383389,Manacus manacus,EC,Cuatro Rios (Four Rivers),Pichincha,1,0.071925,-78.982285,778,11,2001
2659159799,Manacus manacus,EC,Reserva/Finca Mashpi-Shungo (Mashpi Chocolate Artesanal Farm),Pichincha,2,0.182478,-78.9123,514,1,2019
2692362704,Manacus manacus,EC,Reserva/Finca Mashpi-Shungo (Mashpi Chocolate Artesanal Farm),Pichincha,2,0.182478,-78.9123,514,6,2019
2114777729,Manacus manacus,EC,Mindo--general area (*HISTORICAL DATA ONLY; please use a more specific location for current checklists),Pichincha,1,-0.049224,-78.776825,1268,9,2004
2709166179,Manacus manacus,EC,Reserva/Finca Mashpi-Shungo (Mashpi Chocolate Artesanal Farm),Pichincha,4,0.182478,-78.9123,514,12,2019
3261148349,Manacus manacus,EC,"Bosque De Oro, Pichincha, EC",Pichincha,1,0.181043,-79.237625,257,10,2020
3193690008,Manacus manacus,EC,Rancho Suamox,Pichincha,3,0.10746,-79.166534,377,10,2020
2723987368,Manacus manacus,EC,Pedro Vicente Maldonado--pueblo y alrededores inmediatos (town and immediate surroundings),Pichincha,2,0.087625,-79.05275,613,11,2000
830600014,Manacus manacus,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,8,2012
2126643649,Manacus manacus,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,2,2018
3612072431,Manacus manacus,EC,Pedro Vicente Maldonado--pueblo y alrededores inmediatos (town and immediate surroundings),Pichincha,1,0.087625,-79.05275,613,8,2005
2189538043,Manacus manacus,EC,Reserva/Finca Mashpi-Shungo (Mashpi Chocolate Artesanal Farm),Pichincha,1,0.182478,-78.9123,514,7,2018
1173009591,Manacus manacus,EC,Refugio Paz de las Aves (Angel Paz),Pichincha,2,0.019655,-78.70693,1906,3,2014
1184370208,Manacus manacus,EC,Rio Silanche Bird Sanctuary,Pichincha,2,0.145185,-79.14147,402,8,2014
