gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
2243870196,Mecocerculus calopterus,EC,"Tandayapa Bird Lodge, Pichincha",,1,-0.0101,-78.6776,2035,9,2010
1201353744,Mecocerculus calopterus,EC,Milpe Bird Sanctuary,Pichincha,1,0.033327,-78.868454,1110,11,2014
2103738423,Mecocerculus calopterus,EC,Refugio Paz de las Aves (Angel Paz),Pichincha,1,0.019655,-78.70693,1906,1,2018
3666232118,Mecocerculus calopterus,EC,Tandapi - Finca “La Escondida”,Pichincha,1,-0.378733,-78.828186,1299,9,2021
1200269421,Mecocerculus calopterus,EC,Reserva las Tangaras,Pichincha,1,-0.077419,-78.76933,1427,12,2014
2224604777,Mecocerculus calopterus,EC,Mindo--Vía a las cascadas (Waterfall trail),Pichincha,2,-0.062765,-78.77427,1344,11,2018
2772458835,Mecocerculus calopterus,EC,Refugio Paz de las Aves (Angel Paz),Pichincha,1,0.019655,-78.70693,1906,7,2019
2101792506,Mecocerculus calopterus,EC,"Las Tolas Road, Pichincha, EC (0.079, -78.776)",Pichincha,1,0.078775,-78.77558,1777,10,2017
830596240,Mecocerculus calopterus,EC,Tandayapa Bird Lodge,Pichincha,1,0.00235,-78.67743,1742,12,2012
2758623706,Mecocerculus calopterus,EC,San Jorge de Milpe,Pichincha,1,0.044357,-78.88368,1059,9,2019
2210703479,Mecocerculus calopterus,EC,"Via de observación de aves, cordillera San Lorenzo, SN Miguel Bancos EC-Pichincha (-0.0670,-78.7714)",Pichincha,1,-0.067003,-78.771385,1379,9,2018
3653888479,Mecocerculus calopterus,EC,Choco Toucan Reserve,Pichincha,1,0.038,-78.872,1114,9,2021
2103632638,Mecocerculus calopterus,EC,"Quito--Parque La Carolina, Jardin Botanico",Pichincha,1,-0.186515,-78.48579,2776,11,2017
1782203763,Mecocerculus calopterus,EC,"Ecoruta (Nono-Mindo road), Bellavista<->San Tadeo",Pichincha,1,-0.033302,-78.712814,2228,11,2005
3679513172,Mecocerculus calopterus,EC,Bellavista Cloud Forest Lodge,Pichincha,1,-0.015922,-78.681206,2242,1,2021
2688090303,Mecocerculus calopterus,EC,Tandayapa Bird Lodge,Pichincha,1,0.00235,-78.67743,1742,7,2019
2722343304,Mecocerculus calopterus,EC,Bellavista Cloud Forest Lodge,Pichincha,1,-0.015922,-78.681206,2242,12,2019
3583705420,Mecocerculus calopterus,EC,Tandayapa Bird Lodge,Pichincha,1,0.00235,-78.67743,1742,12,2021
1405873701,Mecocerculus calopterus,EC,Refugio Paz de las Aves (Angel Paz),Pichincha,1,0.019655,-78.70693,1906,9,2010
2787107999,Mecocerculus calopterus,EC,Milpe Bird Sanctuary,Pichincha,1,0.033327,-78.868454,1110,11,2010
2704339349,Mecocerculus calopterus,EC,Reserva las Tangaras,Pichincha,1,-0.077419,-78.76933,1427,12,2017
2101218332,Mecocerculus calopterus,EC,Tandayapa Bird Lodge,Pichincha,1,0.00235,-78.67743,1742,12,2004
2725616587,Mecocerculus calopterus,EC,Reserva Las Gralarias,Pichincha,1,-0.012531,-78.72995,2073,10,2003
3648550383,Mecocerculus calopterus,EC,Bellavista Cloud Forest Lodge,Pichincha,1,-0.015922,-78.681206,2242,11,2008
2778175489,Mecocerculus calopterus,EC,Refugio Paz de las Aves (Angel Paz),Pichincha,1,0.019655,-78.70693,1906,9,2019
2118654979,Mecocerculus calopterus,EC,Refugio Paz de las Aves (Angel Paz),Pichincha,1,0.019655,-78.70693,1906,11,2016
2787549534,Mecocerculus calopterus,EC,Séptimo Paraiso,Pichincha,1,-0.030813,-78.764465,1564,11,2002
2114210967,Mecocerculus calopterus,EC,Tandayapa Bird Lodge,Pichincha,1,0.00235,-78.67743,1742,1,2005
2233033445,Mecocerculus calopterus,EC,Mindo--Vía a las cascadas (Waterfall trail),Pichincha,2,-0.062765,-78.77427,1344,12,2018
2799124933,Mecocerculus calopterus,EC,Bellavista Cloud Forest Lodge,Pichincha,1,-0.016091,-78.680374,2216,10,2019
2157736648,Mecocerculus calopterus,EC,"Rte entre le km 52 E28 et Bellavista Réserve, Tangayapa, Équateu",Pichincha,1,-0.015964,-78.68091,2231,5,2018
3207691910,Mecocerculus calopterus,EC,Reserva Las Gralarias,Pichincha,1,-0.012531,-78.72995,2073,3,2005
1790056207,Mecocerculus calopterus,EC,Milpe Bird Sanctuary,Pichincha,2,0.033327,-78.868454,1110,9,2007
1387409988,Mecocerculus calopterus,EC,Mashpi--general area,Pichincha,1,0.16546,-78.84751,1293,9,2015
979976965,Mecocerculus calopterus,EC,Tandayapa Bird Lodge,Pichincha,1,0.00235,-78.67743,1742,12,2013
3668555679,Mecocerculus calopterus,EC,Tandayapa Bird Lodge,Pichincha,1,0.00235,-78.67743,1742,12,2005
3529711949,Mecocerculus calopterus,EC,Refugio Paz de las Aves (Angel Paz),Pichincha,1,0.019655,-78.70693,1906,7,2019
587923310,Mecocerculus calopterus,EC,Tandayapa Bird Lodge,Pichincha,2,0.00235,-78.67743,1742,8,2005
1392092770,Mecocerculus calopterus,EC,Refugio Paz de las Aves (Angel Paz),Pichincha,1,0.019655,-78.70693,1906,10,2015
2199020064,Mecocerculus calopterus,EC,Alambi Reserve,Pichincha,1,0.030789,-78.680565,1488,7,2018
2758440403,Mecocerculus calopterus,EC,Refugio Paz de las Aves (Angel Paz),Pichincha,1,0.019655,-78.70693,1906,6,2019
1726780759,Mecocerculus calopterus,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,4,2016
3565414701,Mecocerculus calopterus,EC,Tandayapa--San Jorge Tandayapa,Pichincha,1,0.010117,-78.676544,1656,12,2021
2114831082,Mecocerculus calopterus,EC,Tandayapa Bird Lodge,Pichincha,1,0.00235,-78.67743,1742,10,2003
588084745,Mecocerculus calopterus,EC,Pacha Quinde Nature Reserve (MCF),Pichincha,1,-0.009865,-78.675896,2022,12,2007
2703540887,Mecocerculus calopterus,EC,Refugio Paz de las Aves (Angel Paz),Pichincha,1,0.019655,-78.70693,1906,7,2019
2717324909,Mecocerculus calopterus,EC,Bellavista Cloud Forest Lodge,Pichincha,1,-0.015922,-78.681206,2242,8,2019
3659636756,Mecocerculus calopterus,EC,San Jorge de Milpe,Pichincha,1,0.044357,-78.88368,1059,10,2021
1764022641,Mecocerculus calopterus,EC,Milpe Bird Sanctuary,Pichincha,1,0.033327,-78.868454,1110,7,2009
3613521179,Mecocerculus calopterus,EC,Mindo--Vía a las cascadas (Waterfall trail),Pichincha,1,-0.062765,-78.77427,1344,12,2021
2233407247,Mecocerculus calopterus,EC,Refugio Paz de las Aves (Angel Paz),Pichincha,1,0.019655,-78.70693,1906,11,2007
3246100928,Mecocerculus calopterus,EC,Tandayapa Bird Lodge,Pichincha,1,0.00235,-78.67743,1742,7,2005
1757525379,Mecocerculus calopterus,EC,Milpe Bird Sanctuary,Pichincha,1,0.033327,-78.868454,1110,11,2010
1409873721,Mecocerculus calopterus,EC,Tandayapa Bird Lodge,Pichincha,1,0.00235,-78.67743,1742,6,2015
