gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
2243612686,Metallura tyrianthina,EC,"Reserva Yanacocha, Volcan Pichincha, Pichincha",,1,-0.1114,-78.5845,3525,7,2014
1712736911,Metallura tyrianthina,EC,"Reserva Geobotánica Pululahua (Upper part, >2000m)",Pichincha,1,0.022492,-78.50228,3043,1,2016
2672516404,Metallura tyrianthina,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,2,2019
3147904144,Metallura tyrianthina,EC,Pululahua--mirador,Pichincha,1,0.02555,-78.48345,2822,1,2020
1750901998,Metallura tyrianthina,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,7,2012
1190803979,Metallura tyrianthina,EC,"Chiquilpe Transecto impacto, Punto 1",Pichincha,1,-0.03,-78.59,2743,10,2002
3112556123,Metallura tyrianthina,EC,,Pichincha,1,-0.246345,-78.490151,2878,5,2021
3859103618,Metallura tyrianthina,EC,,Pichincha,1,-0.088649,-78.599808,3108,12,2020
3090724804,Metallura tyrianthina,EC,,Pichincha,1,-0.116905,-78.523342,3195,11,2018
3090784737,Metallura tyrianthina,EC,,Pichincha,1,-0.116703,-78.5233,3191,11,2018
3232283164,Metallura tyrianthina,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,1,2020
1190854546,Metallura tyrianthina,EC,"Chiquilpe Transecto impacto, Punto 10",Pichincha,1,-0.04,-78.61,3054,4,2003
2218458632,Metallura tyrianthina,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,7,2018
3680742871,Metallura tyrianthina,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,3,2010
1190695677,Metallura tyrianthina,EC,"Chiquilpe Transecto impacto, Punto 2",Pichincha,1,-0.029,-78.599,2789,4,2004
2719316270,Metallura tyrianthina,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,7,2004
3640904949,Metallura tyrianthina,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,8,2021
3285763097,Metallura tyrianthina,EC,Reserva Yanacocha,Pichincha,2,-0.111752,-78.584694,3528,11,2013
2790574289,Metallura tyrianthina,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,6,2011
2737299985,Metallura tyrianthina,EC,Reserva Yanacocha,Pichincha,7,-0.111752,-78.584694,3528,2,2019
3582895897,Metallura tyrianthina,EC,Reserva Yanacocha,Pichincha,2,-0.111752,-78.584694,3528,12,2021
2770499523,Metallura tyrianthina,EC,Reserva Zuro Loma,Pichincha,2,-0.088671,-78.599754,3108,9,2019
3625629068,Metallura tyrianthina,EC,Reserva Zuro Loma,Pichincha,1,-0.088671,-78.599754,3108,10,2021
961503784,Metallura tyrianthina,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,8,2005
2044586362,Metallura tyrianthina,EC,Bellavista Cloud Forest Lodge,Pichincha,1,-0.015922,-78.681206,2242,3,2017
1771970705,Metallura tyrianthina,EC,Hacienda Rumiloma,Pichincha,5,-0.176159,-78.53123,3343,11,2016
2744984408,Metallura tyrianthina,EC,Areas between Quito and Yanacocha,Pichincha,1,-0.102763,-78.54394,3358,1,2019
3186338745,Metallura tyrianthina,EC,Reserva Yanacocha,Pichincha,4,-0.111752,-78.584694,3528,10,2016
3212324732,Metallura tyrianthina,EC,Area de Protección y Conservación Cerro Blanco,Imbabura,1,0.209989,-78.34595,3209,12,2020
3415562776,Metallura tyrianthina,EC,,Pichincha,1,-0.111739,-78.584856,3530,1,2012
2771570854,Metallura tyrianthina,EC,Reserva Yanacocha,Pichincha,8,-0.111752,-78.584694,3528,8,2005
1190926278,Metallura tyrianthina,EC,"Chiquilpe Transecto impacto, Punto 3",Pichincha,1,-0.028,-78.598,2690,8,2002
2695909634,Metallura tyrianthina,EC,San Jorge Ecolodge (Quito),Pichincha,1,-0.11649,-78.52343,3187,7,2019
3522123014,Metallura tyrianthina,EC,"Reserva Geobotánica Pululahua (Upper part, >2000m)",Pichincha,6,0.022492,-78.50228,3043,3,2021
1402399380,Metallura tyrianthina,EC,Hacienda La Jimenita,Pichincha,1,-0.234753,-78.350464,2586,7,2015
3559432680,Metallura tyrianthina,EC,"San Pablo, Imbabura, EC (0.226, -78.185)",Imbabura,3,0.225901,-78.185265,3167,11,2021
3623040572,Metallura tyrianthina,EC,Reserva Zuro Loma,Pichincha,2,-0.088671,-78.599754,3108,1,2021
1395580827,Metallura tyrianthina,EC,Reserva Yanacocha,Pichincha,2,-0.111752,-78.584694,3528,10,2015
2738322108,Metallura tyrianthina,EC,Reserva Yanacocha,Pichincha,4,-0.111752,-78.584694,3528,4,2019
3525802748,Metallura tyrianthina,EC,Areas between Quito and Yanacocha,Pichincha,2,-0.102763,-78.54394,3358,6,2021
2085155325,Metallura tyrianthina,EC,Reserva Yanacocha,Pichincha,9,-0.111752,-78.584694,3528,7,2017
2233516820,Metallura tyrianthina,EC,Reserva Yanacocha,Pichincha,5,-0.111752,-78.584694,3528,12,2018
3564881497,Metallura tyrianthina,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,11,2021
1190887630,Metallura tyrianthina,EC,"Yanacocha, Reserva Privada 1",Pichincha,1,-0.12108,-78.59028,3516,5,2007
2620028850,Metallura tyrianthina,EC,,Pichincha,1,-0.111739,-78.584856,3530,3,2018
2723899425,Metallura tyrianthina,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,11,2019
2786937374,Metallura tyrianthina,EC,"Auto selected -0.07424, -78.58338",Pichincha,2,-0.074237,-78.583374,2830,12,2019
2758834837,Metallura tyrianthina,EC,Parque Guápulo,Pichincha,2,-0.196777,-78.47306,2609,4,2019
3294262941,Metallura tyrianthina,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,1,2018
1188969110,Metallura tyrianthina,EC,Reserva Yanacocha,Pichincha,2,-0.111752,-78.584694,3528,9,2011
836009453,Metallura tyrianthina,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,9,2012
3539193007,Metallura tyrianthina,EC,Reserva Zuro Loma,Pichincha,6,-0.088671,-78.599754,3108,10,2021
2672772295,Metallura tyrianthina,EC,Reserva Yanacocha,Pichincha,4,-0.111752,-78.584694,3528,3,2019
3570802540,Metallura tyrianthina,EC,Reserva Yanacocha,Pichincha,2,-0.111752,-78.584694,3528,9,2021
3582237319,Metallura tyrianthina,EC,Faldas del volcán Cusin,Imbabura,3,0.170075,-78.16492,2785,10,2021
2049188895,Metallura tyrianthina,EC,Lake Cuicocha Trail,Imbabura,1,0.293933,-78.34868,3107,4,2017
1711386399,Metallura tyrianthina,EC,Quito--Barrio Armero,Pichincha,1,-0.196824,-78.51747,3003,1,2016
1201955498,Metallura tyrianthina,EC,Reserva Yanacocha,Pichincha,2,-0.111752,-78.584694,3528,4,2010
2676102543,Metallura tyrianthina,EC,San Jorge Ecolodge (Quito),Pichincha,1,-0.11649,-78.52343,3187,4,2019
2677813088,Metallura tyrianthina,EC,Reserva Yanacocha,Pichincha,2,-0.111752,-78.584694,3528,5,2019
1190871990,Metallura tyrianthina,EC,"Chiquilpe Transecto impacto, Punto 4",Pichincha,1,-0.027,-78.597,2672,2,2005
2750446885,Metallura tyrianthina,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,3,2019
1182655669,Metallura tyrianthina,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,7,2014
1192910763,Metallura tyrianthina,EC,Quito--Parque Metropolitano Guangüiltagua,Pichincha,1,-0.182604,-78.4671,2928,10,2014
1198777587,Metallura tyrianthina,EC,termas de papallacta,Pichincha,1,-0.195747,-78.47878,2856,11,2014
2749888872,Metallura tyrianthina,EC,Reserva Yanacocha,Pichincha,2,-0.111752,-78.584694,3528,3,2019
3569866659,Metallura tyrianthina,EC,Reserva Yanacocha,Pichincha,5,-0.111752,-78.584694,3528,12,2021
946393352,Metallura tyrianthina,EC,el bosque quito,Pichincha,1,-0.204319,-78.51181,2917,4,2013
3174992815,Metallura tyrianthina,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,12,2014
1725107186,Metallura tyrianthina,EC,Ridge above school,Pichincha,22,0.21635,-78.46438,3358,3,2016
3569901966,Metallura tyrianthina,EC,Reserva Yanacocha,Pichincha,2,-0.111752,-78.584694,3528,8,2021
2110259880,Metallura tyrianthina,EC,Reserva Yanacocha,Pichincha,2,-0.111752,-78.584694,3528,11,2017
2666621616,Metallura tyrianthina,EC,Parque Guápulo,Pichincha,2,-0.196777,-78.47306,2609,4,2019
1374309306,Metallura tyrianthina,EC,Parque Metropolitano Chilibulo Wayrapungo,Pichincha,4,-0.246043,-78.5665,3236,5,2015
3613375631,Metallura tyrianthina,EC,"Quito--Parque La Carolina, Jardin Botanico",Pichincha,1,-0.186515,-78.48579,2776,12,2021
971424191,Metallura tyrianthina,EC,Reserva Yanacocha,Pichincha,9,-0.111752,-78.584694,3528,5,2009
2746415720,Metallura tyrianthina,EC,Ecoruta--Alambi Valley (Nono-Tandayapa Road below 2500 m),Pichincha,3,-0.017016,-78.65079,1867,7,2019
2226883566,Metallura tyrianthina,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,8,2014
3576724858,Metallura tyrianthina,EC,Colibrí Garden,Pichincha,2,-0.271118,-78.30196,3176,10,2021
1410605535,Metallura tyrianthina,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,2,2004
1202585716,Metallura tyrianthina,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,11,2011
1372923281,Metallura tyrianthina,EC,Reserva Yanacocha,Pichincha,4,-0.111752,-78.584694,3528,6,2015
3578343705,Metallura tyrianthina,EC,San Jorge Ecolodge (Quito),Pichincha,1,-0.11649,-78.52343,3187,7,2021
2031285468,Metallura tyrianthina,EC,Reserva Yanacocha,Pichincha,5,-0.111752,-78.584694,3528,2,2017
2120885332,Metallura tyrianthina,EC,Reserva Yanacocha,Pichincha,2,-0.111752,-78.584694,3528,12,2017
2700005110,Metallura tyrianthina,EC,Zuroloma,Pichincha,4,-0.086827,-78.598434,3079,9,2019
2782671969,Metallura tyrianthina,EC,"Antonio Tandazo, Ruminahui EC-Pichincha (-0.3920,-78.4081)",Pichincha,1,-0.391964,-78.40813,2853,10,2019
2183092892,Metallura tyrianthina,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,6,2018
1191133806,Metallura tyrianthina,EC,Quito,Pichincha,1,-0.172745,-78.48525,2780,6,2005
1397358497,Metallura tyrianthina,EC,Road from San Jorge Ecolodge to Yanacocha Reserve,Pichincha,2,-0.10849,-78.561905,3450,11,2015
1190910942,Metallura tyrianthina,EC,"Chiquilpe Transecto impacto, Punto 3",Pichincha,1,-0.028,-78.598,2690,6,2003
1190967910,Metallura tyrianthina,EC,"Hacienda Verdecocha, Reserva Privada",Pichincha,1,-0.120667,-78.597664,3351,6,2007
1786268794,Metallura tyrianthina,EC,Reserva Yanacocha,Pichincha,6,-0.111752,-78.584694,3528,1,2004
2120474095,Metallura tyrianthina,EC,Reserva Yanacocha,Pichincha,2,-0.111752,-78.584694,3528,2,2018
3216680344,Metallura tyrianthina,EC,Reserva Yanacocha,Pichincha,2,-0.111752,-78.584694,3528,11,2013
3177489982,Metallura tyrianthina,EC,Piscinas Ilaló,Pichincha,2,-0.285429,-78.381096,2535,6,2020
