gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
3661287973,Metriopelia melanoptera,EC,Fuya Fuya,Pichincha,1,0.13693,-78.30256,3783,8,2009
1759778751,Metriopelia melanoptera,EC,"Hotel Hacienda La Jimenita, Pifo",Pichincha,1,-0.234846,-78.3498,2594,9,2016
3257161971,Metriopelia melanoptera,EC,"Quito, Pichincha, EC (-0,25, -78,582)",Pichincha,1,-0.249531,-78.5822,3028,9,2020
1735658842,Metriopelia melanoptera,EC,EC-Pichincha-Quito-Itchimbia Park - -0.2197x-78.5006,Pichincha,11,-0.219685,-78.50061,2892,5,2016
3642351745,Metriopelia melanoptera,EC,"Reserva Geobotánica Pululahua (Upper part, >2000m)",Pichincha,6,0.022492,-78.50228,3043,9,2021
3169066488,Metriopelia melanoptera,EC,Ecuador,Pichincha,1,-0.083496,-78.255615,2985,5,2019
3606437418,Metriopelia melanoptera,EC,Lago San Pablo,Imbabura,4,0.20874,-78.23227,2657,7,2021
3664025965,Metriopelia melanoptera,EC,Hipódromo Calacalí (horse racetrack),Pichincha,1,0.001373,-78.484436,2721,12,2021
2233895803,Metriopelia melanoptera,EC,Calacalí--vicinity,Pichincha,1,-0.000687,-78.51512,2811,2,2014
3585439210,Metriopelia melanoptera,EC,Hipódromo Calacalí (horse racetrack),Pichincha,1,0.001373,-78.484436,2721,12,2021
2738786189,Metriopelia melanoptera,EC,Lago San Pablo,Imbabura,1,0.20874,-78.23227,2657,1,2007
2730764339,Metriopelia melanoptera,EC,Guagua Pichincha--road and trail to top of volcano,Pichincha,1,-0.203755,-78.58956,3802,1,2007
3532414108,Metriopelia melanoptera,EC,Lago San Pablo,Imbabura,4,0.20874,-78.23227,2657,7,2021
2719077215,Metriopelia melanoptera,EC,Guagua Pichincha--road and trail to top of volcano,Pichincha,2,-0.203755,-78.58956,3802,9,2019
1748888224,Metriopelia melanoptera,EC,Lower Papallacta,Pichincha,1,-0.279678,-78.251755,3546,8,2007
3683409786,Metriopelia melanoptera,EC,Lago San Pablo,Imbabura,4,0.20874,-78.23227,2657,7,2021
3203737069,Metriopelia melanoptera,EC,Calacalí--vicinity,Pichincha,1,-0.000687,-78.51512,2811,1,2014
3670641914,Metriopelia melanoptera,EC,Lago San Pablo,Imbabura,4,0.20874,-78.23227,2657,7,2021
3661478757,Metriopelia melanoptera,EC,Píntag y alrededores,Pichincha,3,-0.372673,-78.373886,2859,11,2021
3605406286,Metriopelia melanoptera,EC,"Reserva Geobotánica Pululahua (Upper part, >2000m)",Pichincha,6,0.022492,-78.50228,3043,9,2021
1783034855,Metriopelia melanoptera,EC,Areas between Quito and Yanacocha,Pichincha,1,-0.102763,-78.54394,3358,9,2011
3295606742,Metriopelia melanoptera,EC,Santa Rosa Pesillo,Imbabura,4,0.182936,-78.08464,3119,11,2020
1207358102,Metriopelia melanoptera,EC,Lower Papallacta,Pichincha,1,-0.279678,-78.251755,3546,8,2007
2661945450,Metriopelia melanoptera,EC,Nono,Pichincha,1,-0.065904,-78.57511,2737,3,2019
2706726962,Metriopelia melanoptera,EC,Guagua Pichincha--road and trail to top of volcano,Pichincha,2,-0.203755,-78.58956,3802,9,2019
2186965648,Metriopelia melanoptera,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,7,2018
3250448613,Metriopelia melanoptera,EC,Portal Chillos II,Pichincha,1,-0.35313,-78.43377,2582,7,2020
3617028461,Metriopelia melanoptera,EC,Lago San Pablo,Imbabura,4,0.20874,-78.23227,2657,7,2021
2187972083,Metriopelia melanoptera,EC,Hacienda San Jose--vicinity,Pichincha,2,-0.268477,-78.27128,3309,6,2018
3566523717,Metriopelia melanoptera,EC,reserve yanacocha,Pichincha,1,-0.111739,-78.584854,3530,1,2016
