gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
3330743024,Mimus gilvus,EC,,Pichincha,1,-0.200086,-78.403062,2313,7,2021
1807919918,Mimus gilvus,EC,"Calacalí, Ecuador",,1,0.000182,-78.514755,2811,12,2017
3185691919,Mimus gilvus,EC,Quito airport pond,Pichincha,2,-0.109842,-78.36495,2341,3,2020
2136262350,Mimus gilvus,EC,Puembo Birding Garden,Pichincha,1,-0.165593,-78.36133,2422,3,2018
3673123127,Mimus gilvus,EC,"266 Miguel Angel, Quito, Pichincha, EC (-0.214, -78.433)",Pichincha,1,-0.213533,-78.433266,2372,2,2021
2163998332,Mimus gilvus,EC,Bosque Protector Jerusalem,Pichincha,2,0.000833,-78.355,2295,4,2018
2726531541,Mimus gilvus,EC,Near Rincon de Puembo,Pichincha,1,-0.171176,-78.36087,2428,12,2019
3457035881,Mimus gilvus,EC,,Pichincha,1,-0.211909,-78.50662,2839,9,2021
3337803661,Mimus gilvus,EC,,Pichincha,1,-0.319024,-78.550971,2966,8,2021
3070496800,Mimus gilvus,EC,,Pichincha,1,-0.0691,-78.474367,2582,3,2021
3320941507,Mimus gilvus,EC,,Pichincha,1,-0.29304,-78.549759,2893,6,2021
3416118668,Mimus gilvus,EC,,Pichincha,1,-0.195364,-78.429773,2359,11,2021
3112715996,Mimus gilvus,EC,,Pichincha,1,-0.219344,-78.415251,2316,5,2021
3330547409,Mimus gilvus,EC,,Pichincha,1,-0.198986,-78.403652,2305,7,2021
2597772848,Mimus gilvus,EC,,Pichincha,1,-0.11453,-78.50431,2847,3,2020
2611400414,Mimus gilvus,EC,,Pichincha,1,-0.29674,-78.398979,2567,4,2020
3113524497,Mimus gilvus,EC,,Pichincha,1,-0.221528,-78.375505,2436,5,2021
3456103714,Mimus gilvus,EC,,Pichincha,1,-0.156184,-78.460557,2867,11,2019
3985832624,Mimus gilvus,EC,,Pichincha,1,-0.000718,-78.35826,2285,10,2022
3652196120,Mimus gilvus,EC,Quito Tenis,Pichincha,1,-0.165951,-78.49285,2844,10,2021
3526961513,Mimus gilvus,EC,"(0.298, -78.274)",Imbabura,1,0.297608,-78.27394,2458,5,2021
3391317743,Mimus gilvus,EC,,Pichincha,1,-0.199251,-78.403443,2303,10,2021
2611271179,Mimus gilvus,EC,,Pichincha,1,-0.11453,-78.50431,2847,4,2020
3398770549,Mimus gilvus,EC,,Pichincha,1,-0.221485,-78.375387,2436,4,2021
3385038562,Mimus gilvus,EC,,Pichincha,1,-0.198109,-78.403494,2283,9,2021
2100058736,Mimus gilvus,EC,Lago San Pablo,Imbabura,1,0.20874,-78.23227,2657,10,2017
3509646087,Mimus gilvus,EC,Quito--Reservorio de Cumbayá,Pichincha,2,-0.193,-78.426834,2354,2,2021
4034832162,Mimus gilvus,EC,,Pichincha,1,-0.169623,-78.394025,2316,2,2023
3747387306,Mimus gilvus,EC,,Pichincha,1,-0.197529,-78.404049,2286,11,2021
2232053338,Mimus gilvus,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,7,2018
961936736,Mimus gilvus,EC,Quito--general area (*Please consider using a more specific hotspot or personal location when possible.),Pichincha,1,-0.2238,-78.5133,2814,7,2013
3272358178,Mimus gilvus,EC,"335 Pablo Herrera, Quito, Pichincha, EC (-0.171, -78.493)",Pichincha,1,-0.171322,-78.493004,2809,5,2020
2113041586,Mimus gilvus,EC,Calacalí--vicinity,Pichincha,2,-0.000687,-78.51512,2811,11,2017
2152217652,Mimus gilvus,EC,Quito--Reservorio de Cumbayá,Pichincha,1,-0.193,-78.426834,2354,3,2018
2193267331,Mimus gilvus,EC,Puembo Birding Garden,Pichincha,3,-0.165593,-78.36133,2422,7,2018
2158200858,Mimus gilvus,EC,"Conocoto, La Granja",Pichincha,2,-0.301997,-78.478226,2535,5,2018
3221411743,Mimus gilvus,EC,Casa y alrededores,Pichincha,3,-0.26683,-78.461525,2477,4,2020
3245082711,Mimus gilvus,EC,Conjunto Papyrus 1,Pichincha,1,-0.278907,-78.455345,2446,4,2020
3164595194,Mimus gilvus,EC,"272 Fray Leonardo Murialdo, Quito, Pichincha, EC (-0.131, -78.487)",Pichincha,2,-0.130746,-78.486595,2828,6,2020
3292151796,Mimus gilvus,EC,"Calle Anturruco, Checa, Pichincha, EC (-0.13, -78.315)",Pichincha,3,-0.130364,-78.31534,2538,12,2020
