gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
2848555943,Molothrus bonariensis,EC,"Imbabura: San Miguel Bajo, Lago San Pablo",,1,0.2,-78.233,2658,2,2020
1195464332,Molothrus bonariensis,EC,Puembo Birding Garden,Pichincha,4,-0.165593,-78.36133,2422,10,2014
3595339513,Molothrus bonariensis,EC,"2025 Avenida Intervalles, Quito, Pichincha, EC (-0,213, -78,421)",Pichincha,2,-0.212518,-78.4208,2296,1,2021
3236574893,Molothrus bonariensis,EC,Urbanizacion Pillagua,Pichincha,1,-0.19077,-78.41387,2342,5,2020
1711361737,Molothrus bonariensis,EC,Mindo--Vía a las cascadas (Waterfall trail),Pichincha,1,-0.062765,-78.77427,1344,1,2016
1711035888,Molothrus bonariensis,EC,Nanegal--vicinity,Pichincha,10,0.136249,-78.677826,1150,1,2016
2580126772,Molothrus bonariensis,EC,,Pichincha,1,-0.142235,-78.38261,2305,12,2019
2105320536,Molothrus bonariensis,EC,Puembo Birding Garden,Pichincha,6,-0.165593,-78.36133,2422,1,2018
3146217830,Molothrus bonariensis,EC,"Nanegal, near Center",Pichincha,1,0.135232,-78.676315,1115,4,2020
3584297841,Molothrus bonariensis,EC,Rio Silanche--entrance road,Pichincha,3,0.108158,-79.13607,400,12,2021
2634140506,Molothrus bonariensis,EC,,Pichincha,1,0.108095,-79.168186,362,2,2020
4062774336,Molothrus bonariensis,EC,,Pichincha,1,-0.023775,-78.333678,1990,9,2017
3191530683,Molothrus bonariensis,EC,Puembo Birding Garden,Pichincha,1,-0.165593,-78.36133,2422,2,2017
593785086,Molothrus bonariensis,EC,Reserva Mangaloma,Pichincha,1,0.122652,-78.99485,843,2,2011
2102826606,Molothrus bonariensis,EC,Reserva Amagusa,Pichincha,1,0.1598,-78.8534,1302,10,2017
833653799,Molothrus bonariensis,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,12,2008
3539414361,Molothrus bonariensis,EC,"Palo Quemado Centro, EC (-0,375, -78,926)",Cotopaxi,1,-0.37488,-78.92577,1298,6,2021
3152552966,Molothrus bonariensis,EC,"Pacto, Pichincha, EC (0.144, -78.861)",Pichincha,36,0.144264,-78.86071,1250,5,2020
