gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
2243892718,Myiobius villosus,EC,"Mindo, Pichincha",,1,-0.0523,-78.7764,1244,10,2008
1147182301,Myiobius villosus,EC,Mindo,Pichincha,1,-0.064459,-78.784676,1360,10,2008
836895971,Myiobius villosus,EC,Milpe Bird Sanctuary,Pichincha,1,0.033327,-78.868454,1110,6,2012
3643074361,Myiobius villosus,EC,Milpe Bird Sanctuary,Pichincha,1,0.033327,-78.868454,1110,9,2021
3615154122,Myiobius villosus,EC,Reserva Amagusa,Pichincha,1,0.1598,-78.8534,1302,6,2021
591822014,Myiobius villosus,EC,Desvío Mindo (Junction),Pichincha,1,-0.026744,-78.76363,1683,1,2006
3675170317,Myiobius villosus,EC,Mindo Lindo,Pichincha,2,-0.024389,-78.76986,1647,5,2021
3275670399,Myiobius villosus,EC,Nambillo River & San Lorenzo Ridge,Pichincha,1,-0.082003,-78.74246,1575,5,2020
3716165664,Myiobius villosus,EC,Ecuador - Pichincha,,1,0.052979,-78.842257,1191,3,2019
3716037598,Myiobius villosus,EC,Ecuador - Pichincha,,1,0.05299,-78.842241,1191,2,2019
1790307195,Myiobius villosus,EC,Reserva Los Cedros,Imbabura,2,0.321968,-78.787,1820,6,2008
2791123805,Myiobius villosus,EC,Reserva Amagusa,Pichincha,2,0.1598,-78.8534,1302,8,2019
2980829561,Myiobius villosus,EC,,Pichincha,1,0.030354,-78.866461,1155,10,2020
1395158777,Myiobius villosus,EC,Mashpi--Lodge and trails,Pichincha,1,0.166125,-78.878876,931,5,2015
3583622513,Myiobius villosus,EC,Milpe Bird Sanctuary,Pichincha,1,0.033327,-78.868454,1110,11,2021
181644213,Myiobius villosus,EC,Milpe Bird Sanctuary,Pichincha,1,0.033327,-78.868454,1110,7,2007
3208806318,Myiobius villosus,EC,Reserva Amagusa,Pichincha,1,0.1598,-78.8534,1302,11,2020
2688388103,Myiobius villosus,EC,Milpe Bird Sanctuary,Pichincha,1,0.033327,-78.868454,1110,8,2019
3677530763,Myiobius villosus,EC,Mashpi--Lodge and trails,Pichincha,1,0.166125,-78.878876,931,6,2021
2214061192,Myiobius villosus,EC,Milpe Bird Sanctuary,Pichincha,1,0.033327,-78.868454,1110,10,2008
1202089356,Myiobius villosus,EC,Milpe Bird Sanctuary,Pichincha,1,0.033327,-78.868454,1110,7,2005
3673205211,Myiobius villosus,EC,"Auto selected 0.04320, -78.88406",Pichincha,1,0.043203,-78.88406,1072,5,2021
2789160281,Myiobius villosus,EC,"Rio Sardinas, 3-5km bellow",Pichincha,1,0.190409,-78.86343,880,11,2019
2084865480,Myiobius villosus,EC,Mindo--waterfall trail,Pichincha,1,-0.059395,-78.781586,1240,7,2017
3581081779,Myiobius villosus,EC,Milpe Bird Sanctuary,Pichincha,1,0.033327,-78.868454,1110,8,2012
274551027,Myiobius villosus,EC,Milpe Bird Sanctuary,Pichincha,1,0.033327,-78.868454,1110,12,2008
2187369067,Myiobius villosus,EC,Milpe Bird Sanctuary,Pichincha,2,0.033327,-78.868454,1110,7,2018
3672553119,Myiobius villosus,EC,Un Poco del Choco--Reserve & Field Station,Pichincha,2,0.05295,-78.84311,1177,3,2013
970180625,Myiobius villosus,EC,Mindo--general area (*HISTORICAL DATA ONLY; please use a more specific location for current checklists),Pichincha,1,-0.049224,-78.776825,1268,3,2009
835818878,Myiobius villosus,EC,Milpe Bird Sanctuary,Pichincha,1,0.033327,-78.868454,1110,11,2012
3568753106,Myiobius villosus,EC,Milpe Bird Sanctuary,Pichincha,1,0.033327,-78.868454,1110,10,2021
1199682080,Myiobius villosus,EC,Milpe Bird Sanctuary,Pichincha,2,0.033327,-78.868454,1110,7,2010
2117875566,Myiobius villosus,EC,Milpe Bird Sanctuary,Pichincha,2,0.033327,-78.868454,1110,2,2018
2137716818,Myiobius villosus,EC,Mindo--Casa Divina Lodge,Pichincha,1,-0.06509,-78.76884,1285,3,2018
3634368178,Myiobius villosus,EC,Reserva Amagusa,Pichincha,1,0.1598,-78.8534,1302,10,2021
3292416363,Myiobius villosus,EC,Mindo Lindo,Pichincha,2,-0.024389,-78.76986,1647,9,2020
274994951,Myiobius villosus,EC,Milpe Bird Sanctuary,Pichincha,1,0.033327,-78.868454,1110,11,2008
1751962764,Myiobius villosus,EC,Milpe Bird Sanctuary,Pichincha,1,0.033327,-78.868454,1110,7,2016
3535158771,Myiobius villosus,EC,Un Poco del Choco--Reserve & Field Station,Pichincha,1,0.05295,-78.84311,1177,6,2021
2224633670,Myiobius villosus,EC,San Jorge de Milpe,Pichincha,1,0.044357,-78.88368,1059,12,2018
3675922029,Myiobius villosus,EC,Mashpi--Entrance road before gate,Pichincha,1,0.160629,-78.84993,1340,7,2021
2215721306,Myiobius villosus,EC,Reserva Amagusa,Pichincha,1,0.1598,-78.8534,1302,9,2018
3690698592,Myiobius villosus,EC,Milpe Bird Sanctuary,Pichincha,1,0.033327,-78.868454,1110,12,2021
3551203737,Myiobius villosus,EC,Milpe Bird Sanctuary,Pichincha,1,0.033327,-78.868454,1110,12,2021
3504637262,Myiobius villosus,EC,Reserva/Finca Mashpi-Shungo (Mashpi Chocolate Artesanal Farm),Pichincha,1,0.182478,-78.9123,514,1,2021
2051743114,Myiobius villosus,EC,Un Poco del Choco--Reserve & Field Station,Pichincha,1,0.05295,-78.84311,1177,2,2017
2770472664,Myiobius villosus,EC,Reserva las Tangaras,Pichincha,1,-0.077419,-78.76933,1427,5,2019
2657410921,Myiobius villosus,EC,Milpe Bird Sanctuary,Pichincha,1,0.033327,-78.868454,1110,11,2015
1200267397,Myiobius villosus,EC,el cinto,Pichincha,1,-0.067906,-78.78101,1370,12,2014
1202181892,Myiobius villosus,EC,Milpe Bird Sanctuary,Pichincha,1,0.033327,-78.868454,1110,7,2005
2748815350,Myiobius villosus,EC,Milpe Bird Sanctuary,Pichincha,1,0.033327,-78.868454,1110,1,2019
274328418,Myiobius villosus,EC,Milpe Bird Sanctuary,Pichincha,1,0.033327,-78.868454,1110,8,2007
2233414114,Myiobius villosus,EC,Reserva Mangaloma,Pichincha,1,0.122652,-78.99485,843,12,2007
1714522624,Myiobius villosus,EC,Reserva las Tangaras,Pichincha,1,-0.077419,-78.76933,1427,2,2016
2123439688,Myiobius villosus,EC,Milpe Bird Sanctuary,Pichincha,1,0.033327,-78.868454,1110,12,2004
2030343253,Myiobius villosus,EC,Mindo--Vía a las cascadas (Waterfall trail),Pichincha,1,-0.062765,-78.77427,1344,1,2017
1788237693,Myiobius villosus,EC,Milpe Bird Sanctuary,Pichincha,1,0.033327,-78.868454,1110,3,2008
2123396429,Myiobius villosus,EC,Cuatro Rios (Four Rivers),Pichincha,2,0.071925,-78.982285,778,6,2004
3580037386,Myiobius villosus,EC,Mashpi Road,Pichincha,1,0.15703,-78.83025,1497,8,2021
937909235,Myiobius villosus,EC,San Jorge de Milpe,Pichincha,1,0.044357,-78.88368,1059,12,2011
2113587549,Myiobius villosus,EC,Mashpi--Lodge and trails,Pichincha,1,0.166125,-78.878876,931,11,2017
2729447802,Myiobius villosus,EC,Mashpi--general area,Pichincha,1,0.16546,-78.84751,1293,11,2018
2232417340,Myiobius villosus,EC,Reserva Los Cedros,Imbabura,1,0.321968,-78.787,1820,2,2003
2751506099,Myiobius villosus,EC,Reserva las Tangaras,Pichincha,1,-0.077419,-78.76933,1427,7,2019
3667468723,Myiobius villosus,EC,Milpe Bird Sanctuary,Pichincha,2,0.033327,-78.868454,1110,9,2021
2658328829,Myiobius villosus,EC,Un Poco del Choco--Reserve & Field Station,Pichincha,1,0.05295,-78.84311,1177,4,2017
274627942,Myiobius villosus,EC,Milpe Bird Sanctuary,Pichincha,1,0.033327,-78.868454,1110,9,2007
2729750854,Myiobius villosus,EC,Un Poco del Choco--Reserve & Field Station,Pichincha,1,0.05295,-78.84311,1177,9,2014
1347903478,Myiobius villosus,EC,Milpe Bird Sanctuary,Pichincha,1,0.033327,-78.868454,1110,1,2015
2709614411,Myiobius villosus,EC,San Jorge de Milpe,Pichincha,1,0.044357,-78.88368,1059,7,2019
3551668481,Myiobius villosus,EC,Milpe Bird Sanctuary,Pichincha,1,0.030357,-78.86646,1155,9,2021
1790147378,Myiobius villosus,EC,Reserva Los Cedros,Imbabura,2,0.321968,-78.787,1820,6,2008
2058930313,Myiobius villosus,EC,Milpe Bird Sanctuary,Pichincha,3,0.033327,-78.868454,1110,5,2017
2171708273,Myiobius villosus,EC,Milpe Bird Sanctuary,Pichincha,1,0.033327,-78.868454,1110,6,2018
2762458958,Myiobius villosus,EC,La Delicia--Guayabillas road (lower part below Mashpi turnoff),Pichincha,1,0.195715,-78.872116,766,2,2019
3175329892,Myiobius villosus,EC,Milpe Bird Sanctuary,Pichincha,1,0.033327,-78.868454,1110,8,2020
2056639152,Myiobius villosus,EC,Séptimo Paraiso,Pichincha,2,-0.030813,-78.764465,1564,5,2017
1411360104,Myiobius villosus,EC,Milpe Bird Sanctuary,Pichincha,1,0.033327,-78.868454,1110,8,2015
3583082510,Myiobius villosus,EC,Choco Toucan Reserve,Pichincha,1,0.038,-78.872,1114,12,2021
3628199746,Myiobius villosus,EC,Mashpi--Lodge and trails,Pichincha,1,0.166125,-78.878876,931,6,2021
3915251846,Myiobius villosus,EC,,Pichincha,1,0.112929,-78.632175,1388,9,2022
1204658240,Myiobius villosus,EC,EC - Milpe,Pichincha,2,0.031586,-78.86158,1136,8,2005
1206224962,Myiobius villosus,EC,Milpe Bird Sanctuary,Pichincha,1,0.033327,-78.868454,1110,1,2008
3667252957,Myiobius villosus,EC,"Vía a Las Cascadas, Pichincha, EC (-0.068, -78.769)",Pichincha,1,-0.068204,-78.76893,1350,9,2021
3548770111,Myiobius villosus,EC,Mashpi--Lodge and trails,Pichincha,1,0.166125,-78.878876,931,6,2021
2121756442,Myiobius villosus,EC,Mashpi--Entrance road before gate,Pichincha,1,0.160629,-78.84993,1340,12,2017
1718868227,Myiobius villosus,EC,Reserva Los Cedros,Imbabura,1,0.321968,-78.787,1820,2,2016
2769923914,Myiobius villosus,EC,Mindo--Vía a las cascadas (Waterfall trail),Pichincha,1,-0.062765,-78.77427,1344,6,2019
2228321102,Myiobius villosus,EC,"(0.0476,-78.8870)",Pichincha,1,0.047592,-78.88697,1050,11,2018
1763494732,Myiobius villosus,EC,Tandayapa--San Jorge Tandayapa,Pichincha,2,0.010117,-78.676544,1656,9,2016
