gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
3076285679,Myiothlypis fulvicauda,EC,"Pichincha: Reserva Natural Kapari, San Miguel de los Bancos",,1,0.0012,-78.9391,942,4,2021
2243611263,Myiothlypis fulvicauda,EC,"Reserva Mangaloma, Pichincha",,1,0.1228,-78.9942,829,7,2014
1361546545,Myiothlypis fulvicauda,EC,Reserva Maquipucuna,Pichincha,1,0.120898,-78.63837,1310,4,2015
2747452171,Myiothlypis fulvicauda,EC,Reserva Maquipucuna,Pichincha,1,0.120898,-78.63837,1310,2,2019
833822838,Myiothlypis fulvicauda,EC,Rio Silanche entrance road and bird sanctuary,Pichincha,1,0.132088,-79.13044,439,11,2010
2728309185,Myiothlypis fulvicauda,EC,Milpe Bird Sanctuary,Pichincha,1,0.033327,-78.868454,1110,2,2019
3184083122,Myiothlypis fulvicauda,EC,Finca Sisantu,Santo Domingo de los Tsáchilas,1,-0.171827,-79.345726,310,9,2020
3540540509,Myiothlypis fulvicauda,EC,Maquipucuna Lodge,Pichincha,2,0.124139,-78.62937,1272,5,2021
3649135119,Myiothlypis fulvicauda,EC,Fincalegre Senderos y Camino al río Pachijal.,Pichincha,2,0.103043,-78.95069,811,12,2021
3154182004,Myiothlypis fulvicauda,EC,"Los Colibríes y Gralarias, Pichincha, EC (-0.054, -78.778)",Pichincha,2,-0.053803,-78.777954,1240,5,2020
2072534988,Myiothlypis fulvicauda,EC,Rio Silanche--general area,Pichincha,1,0.117101,-79.13609,393,7,2017
1383114041,Myiothlypis fulvicauda,EC,Mindo--Hacienda San Vicente/Yellow House Trails,Pichincha,1,-0.050725,-78.772385,1274,8,2002
2785908900,Myiothlypis fulvicauda,EC,Ruta Cascada Caimán Puerto Quito,Pichincha,1,0.063082,-79.14479,446,12,2019
3558308770,Myiothlypis fulvicauda,EC,Punto Ornitológico Mindo,Pichincha,2,-0.052496,-78.782295,1231,11,2021
967348147,Myiothlypis fulvicauda,EC,Santa Marianita,Pichincha,1,0.130697,-78.66666,1171,10,2013
3988487780,Myiothlypis fulvicauda,EC,,Pichincha,1,0.043231,-78.883815,1069,11,2022
2723658349,Myiothlypis fulvicauda,EC,Mindo--Vía al Cinto,Pichincha,2,-0.061568,-78.791115,1207,12,2019
