gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
2243779707,Myrmeciza zeledoni,EC,"Tandayapa Bird Lodge, Tandayapa Valley, Pichincha",,1,0.01,-78.6776,1702,2,2003
2243625568,Myrmeciza zeledoni,EC,"Un Poco del Choco, Pichincha",,1,0.0736,-78.7685,1713,11,2014
2243559658,Myrmeciza zeledoni,EC,"Tandayapa Bird Lodge, Tandayapa Valley, Pichincha",,1,0.01,-78.6776,1702,6,2012
2225736668,Myrmeciza zeledoni,EC,"(0.0434,-78.8840) on road from Milpe lodge towards Milpe",Pichincha,2,0.043407,-78.88401,1069,11,2018
2710459523,Myrmeciza zeledoni,EC,Reserva las Tangaras,Pichincha,1,-0.077419,-78.76933,1427,12,2019
2041447723,Myrmeciza zeledoni,EC,Mindo--Vía a las cascadas (Waterfall trail),Pichincha,1,-0.062765,-78.77427,1344,4,2017
4054964619,Myrmeciza zeledoni,EC,,Pichincha,1,0.159767,-78.853134,1300,2,2023
1147242868,Myrmeciza zeledoni,EC,Tandayapa Bird Lodge,Pichincha,1,-0.005751,-78.682106,1922,6,2012
1147078003,Myrmeciza zeledoni,EC,Milpe Road,,1,-0.1427,-79.141567,484,9,2003
1147061919,Myrmeciza zeledoni,EC,Milpe Road below Mindo,,1,-0.1155,-78.417483,2562,9,2003
1156001174,Myrmeciza zeledoni,EC,Santa Lucia Lodge,Pichincha,1,0.118575,-78.61154,1881,2,2014
2692409676,Myrmeciza zeledoni,EC,Mindo--Santuario de las cascadas,Pichincha,2,-0.074673,-78.76545,1460,8,2019
3573616943,Myrmeciza zeledoni,EC,Santa Lucia Lodge,Pichincha,1,0.118575,-78.61154,1881,10,2021
2097923565,Myrmeciza zeledoni,EC,Milpe Road,Pichincha,2,0.051764,-78.90251,1013,8,2015
3254025840,Myrmeciza zeledoni,EC,Mindo--Vía a las cascadas (Waterfall trail),Pichincha,1,-0.062765,-78.77427,1344,1,2020
2653061049,Myrmeciza zeledoni,EC,Tandayapa Bird Lodge,Pichincha,1,0.00235,-78.67743,1742,2,2004
1348404441,Myrmeciza zeledoni,EC,Santa Lucia Lodge,Pichincha,1,0.118575,-78.61154,1881,1,2015
1745774102,Myrmeciza zeledoni,EC,San Jorge de Milpe,Pichincha,1,0.044357,-78.88368,1059,6,2016
3644322651,Myrmeciza zeledoni,EC,Kapari Natural Lodge,Pichincha,2,-0.001202,-78.94196,916,10,2021
3505019869,Myrmeciza zeledoni,EC,Mindo--Vía a Cunuco,Pichincha,1,-0.051862,-78.783066,1228,1,2021
1358805762,Myrmeciza zeledoni,EC,Santa Lucia Lodge,Pichincha,1,0.118575,-78.61154,1881,4,2015
3655845197,Myrmeciza zeledoni,EC,Punto Ornitológico Mindo,Pichincha,1,-0.052496,-78.782295,1231,12,2021
3269802465,Myrmeciza zeledoni,EC,Refugio Paz de las Aves (Angel Paz),Pichincha,1,0.019655,-78.70693,1906,11,2020
2842508926,Myrmeciza zeledoni,EC,Ecuador - Pichincha,,1,0.049776,-78.813397,1393,2,2015
1173271634,Myrmeciza zeledoni,EC,Santa Lucia Lodge,Pichincha,1,0.118575,-78.61154,1881,5,2014
1728812143,Myrmeciza zeledoni,EC,Reserva Maquipucuna,Pichincha,1,0.120898,-78.63837,1310,4,2016
2177962589,Myrmeciza zeledoni,EC,Mindo--Vía al Cinto,Pichincha,2,-0.061568,-78.791115,1207,8,2018
3547814157,Myrmeciza zeledoni,EC,"Vía a La 23 de junio, Pichincha, EC (-0.01, -78.895)",Pichincha,4,-0.010161,-78.89516,1126,6,2021
2796618000,Myrmeciza zeledoni,EC,La Delicia--Guayabillas road (lower part below Mashpi turnoff),Pichincha,1,0.195715,-78.872116,766,11,2019
2107413510,Myrmeciza zeledoni,EC,Reserva Río Manduriacu,Imbabura,2,0.31026,-78.85736,1213,8,2017
3257296764,Myrmeciza zeledoni,EC,Milpe Bird Sanctuary,Pichincha,2,0.033327,-78.868454,1110,11,2017
3250801479,Myrmeciza zeledoni,EC,La isla Mindo,Pichincha,2,-0.061739,-78.75894,1518,5,2020
3602793305,Myrmeciza zeledoni,EC,"vía al Pachijal, Pichincha, EC (0,026, -78,858)",Pichincha,2,0.025522,-78.85767,1170,5,2021
2098083948,Myrmeciza zeledoni,EC,"Tandayapa--valle superior (Tandayapa<->Bellavista, upper valley)",Pichincha,1,-0.013116,-78.677826,2087,10,2017
3580474628,Myrmeciza zeledoni,EC,Mindo--Vía a las cascadas (Waterfall trail),Pichincha,2,-0.062765,-78.77427,1344,9,2021
149528581,Myrmeciza zeledoni,EC,EC - Milpe,Pichincha,2,0.031586,-78.86158,1136,8,2005
2199621026,Myrmeciza zeledoni,EC,Mindo--Hacienda San Vicente/Yellow House Trails,Pichincha,2,-0.050725,-78.772385,1274,10,2018
979351822,Myrmeciza zeledoni,EC,Mindo--general area (*HISTORICAL DATA ONLY; please use a more specific location for current checklists),Pichincha,1,-0.049224,-78.776825,1268,11,2006
3553740179,Myrmeciza zeledoni,EC,Reserva Amagusa,Pichincha,2,0.1598,-78.8534,1302,7,2021
3545915178,Myrmeciza zeledoni,EC,Mashpi--Lodge and trails,Pichincha,1,0.166125,-78.878876,931,6,2021
2677823179,Myrmeciza zeledoni,EC,"(-0,07, -78,763)",Pichincha,1,-0.070441,-78.762566,1309,4,2019
1776531242,Myrmeciza zeledoni,EC,Reserva Maquipucuna,Pichincha,1,0.120898,-78.63837,1310,11,2016
3578804201,Myrmeciza zeledoni,EC,Tandayapa-Bellavista general area (*HISTORICAL DATA ONLY; please use a more specific location for current checklists),Pichincha,1,-0.00206,-78.68189,2048,7,2008
1720404701,Myrmeciza zeledoni,EC,Reserva las Tangaras,Pichincha,2,-0.077419,-78.76933,1427,3,2016
1786269683,Myrmeciza zeledoni,EC,Tandayapa Bird Lodge,Pichincha,1,0.00235,-78.67743,1742,12,2003
2114502772,Myrmeciza zeledoni,EC,Mindo--Vía a las cascadas (Waterfall trail),Pichincha,2,-0.062765,-78.77427,1344,11,2017
3668360233,Myrmeciza zeledoni,EC,Reserva Maquipucuna,Pichincha,2,0.120898,-78.63837,1310,11,2021
3504996507,Myrmeciza zeledoni,EC,Un Poco del Choco--Reserve & Field Station,Pichincha,2,0.05295,-78.84311,1177,1,2021
3214760354,Myrmeciza zeledoni,EC,Maquipucuna Lodge,Pichincha,3,0.124139,-78.62937,1272,11,2020
1757290627,Myrmeciza zeledoni,EC,Santa Lucia Lodge,Pichincha,1,0.118575,-78.61154,1881,8,2016
1354419555,Myrmeciza zeledoni,EC,Mindo--Vía a las cascadas (Waterfall trail),Pichincha,2,-0.062765,-78.77427,1344,3,2015
957729523,Myrmeciza zeledoni,EC,Santa Lucia Lodge,Pichincha,1,0.118575,-78.61154,1881,6,2013
1378661046,Myrmeciza zeledoni,EC,Mindo--Vía a las cascadas (Waterfall trail),Pichincha,3,-0.062765,-78.77427,1344,7,2015
2098028729,Myrmeciza zeledoni,EC,Milpe Bird Sanctuary,Pichincha,1,0.033327,-78.868454,1110,9,2017
2726951329,Myrmeciza zeledoni,EC,Tandayapa Bird Lodge,Pichincha,1,0.00235,-78.67743,1742,9,2008
2785661466,Myrmeciza zeledoni,EC,San Jorge de Milpe,Pichincha,3,0.044357,-78.88368,1059,8,2019
1711788776,Myrmeciza zeledoni,EC,Mindo--Vía a las cascadas (Waterfall trail),Pichincha,1,-0.062765,-78.77427,1344,1,2016
3671004234,Myrmeciza zeledoni,EC,Reserva las Tangaras,Pichincha,5,-0.077419,-78.76933,1427,12,2021
2691729086,Myrmeciza zeledoni,EC,Reserva Maquipucuna,Pichincha,2,0.120898,-78.63837,1310,9,2019
3539519522,Myrmeciza zeledoni,EC,"Vía a Las Cascadas, Pichincha, EC (-0.07, -78.771)",Pichincha,1,-0.069692,-78.77073,1423,9,2021
1188976625,Myrmeciza zeledoni,EC,Santa Lucia Lodge,Pichincha,1,0.118575,-78.61154,1881,9,2014
2792747924,Myrmeciza zeledoni,EC,Reserva Los Cedros,Imbabura,2,0.321968,-78.787,1820,7,2018
2735557831,Myrmeciza zeledoni,EC,Refugio Paz de las Aves (Angel Paz),Pichincha,1,0.019655,-78.70693,1906,2,2019
2105060776,Myrmeciza zeledoni,EC,Milpe Bird Sanctuary,Pichincha,2,0.033327,-78.868454,1110,11,2017
2120477148,Myrmeciza zeledoni,EC,"Tandayapa Bird Lodge, Pichincha, EC",Pichincha,2,0.004678,-78.680115,1938,1,2018
2752552780,Myrmeciza zeledoni,EC,San Jorge de Milpe,Pichincha,3,0.044357,-78.88368,1059,9,2019
2114840390,Myrmeciza zeledoni,EC,Tandayapa Bird Lodge,Pichincha,1,0.00235,-78.67743,1742,2,2004
3199525907,Myrmeciza zeledoni,EC,Mindo - Cascadas de Nambillo,Pichincha,1,-0.082741,-78.7712,1329,1,2014
2652509033,Myrmeciza zeledoni,EC,Mindo--pueblo y alrededores inmediatos (town and immediate surroundings),Pichincha,1,-0.051046,-78.7784,1259,11,2001
834841595,Myrmeciza zeledoni,EC,Séptimo Paraiso,Pichincha,4,-0.030813,-78.764465,1564,2,2012
3611567944,Myrmeciza zeledoni,EC,Tandayapa Bird Lodge,Pichincha,1,0.00235,-78.67743,1742,1,2021
3133579051,Myrmeciza zeledoni,EC,Reserva las Tangaras,Pichincha,1,-0.077419,-78.76933,1427,1,2020
1398121501,Myrmeciza zeledoni,EC,Pedro Vicente Maldonado--pueblo y alrededores inmediatos (town and immediate surroundings),Pichincha,1,0.087625,-79.05275,613,11,2001
