gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
4009883580,Nyctidromus albicollis,EC,,Pichincha,1,-0.021111,-78.810027,1068,9,2022
2243632455,Nyctidromus albicollis,EC,"Mindo, Pichincha",,1,-0.0523,-78.7764,1244,3,2015
2226018622,Nyctidromus albicollis,EC,Recinto 23 de Junio,Pichincha,2,-0.03193,-78.87659,1117,12,2018
2791087565,Nyctidromus albicollis,EC,Refugio Paz de las Aves,Pichincha,5,0.006738,-78.71091,1936,5,2015
2781863820,Nyctidromus albicollis,EC,"EC-Pichincha-Quito (0,1251,-78,6280)",Pichincha,1,0.125067,-78.62796,1309,10,2019
3175978839,Nyctidromus albicollis,EC,Cabañas El Jardín del Quinde,Pichincha,1,0.035577,-78.87227,1109,8,2020
1198843579,Nyctidromus albicollis,EC,Tandayapa--San Jorge Tandayapa,Pichincha,1,0.010117,-78.676544,1656,11,2014
1714717246,Nyctidromus albicollis,EC,Rio Silanche--entrance road,Pichincha,2,0.108158,-79.13607,400,2,2016
2159039878,Nyctidromus albicollis,EC,Reserva Maquipucuna,Pichincha,1,0.120898,-78.63837,1310,5,2018
3284643075,Nyctidromus albicollis,EC,Bosque El Dorado,Santo Domingo de los Tsáchilas,2,-0.213096,-78.950676,741,9,2020
3516765710,Nyctidromus albicollis,EC,Rancho Suamox,Pichincha,1,0.10746,-79.166534,377,5,2021
1160480530,Nyctidromus albicollis,EC,San Jorge de Milpe,Pichincha,1,0.044357,-78.88368,1059,3,2014
2775126787,Nyctidromus albicollis,EC,"Pichincha, EC (0,164, -79,164)",Pichincha,1,0.163616,-79.163925,363,7,2019
837106577,Nyctidromus albicollis,EC,Birdwatcher's House (New),Pichincha,1,-0.025555,-78.72209,2048,8,2012
2197716897,Nyctidromus albicollis,EC,Santa Lucia Lodge,Pichincha,1,0.118575,-78.61154,1881,10,2018
1359752220,Nyctidromus albicollis,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,2,2015
