gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
2114158501,Ochthoeca rufipectoralis,EC,Ruta de Humboldt,Pichincha,1,-0.20365,-78.5311,3356,12,2017
1190810054,Ochthoeca rufipectoralis,EC,Guarumos Transecto impacto P07,Pichincha,1,-0.04864,-78.64856,2580,2,2003
3224915373,Ochthoeca rufipectoralis,EC,"Bosque Protector Cerro Blanco, Provincia de Imbabura, EC (0,215, -78,349)",Imbabura,2,0.215311,-78.34916,3088,3,2020
942703769,Ochthoeca rufipectoralis,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,2,2013
2988387512,Ochthoeca rufipectoralis,EC,,Pichincha,1,-0.086689,-78.598677,3077,11,2020
2708531343,Ochthoeca rufipectoralis,EC,Reserva Zuro Loma,Pichincha,1,-0.088671,-78.599754,3108,9,2019
1788934226,Ochthoeca rufipectoralis,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,8,2014
1190872479,Ochthoeca rufipectoralis,EC,"Chiquilpe Transecto impacto, Punto 8",Pichincha,1,-0.023,-78.593,2547,5,2004
3570866547,Ochthoeca rufipectoralis,EC,Reserva Zuro Loma,Pichincha,2,-0.088671,-78.599754,3108,10,2021
1190790912,Ochthoeca rufipectoralis,EC,Guarumos Transecto control P03,Pichincha,2,-0.04425,-78.64864,2601,8,2007
3221554928,Ochthoeca rufipectoralis,EC,Ecoruta (Nono-Tandayapa Road above 2500 m),Pichincha,1,-0.068914,-78.588905,2712,2,2020
2713565928,Ochthoeca rufipectoralis,EC,Zuroloma,Pichincha,2,-0.086827,-78.598434,3079,9,2019
2149080143,Ochthoeca rufipectoralis,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,8,2008
1196365479,Ochthoeca rufipectoralis,EC,"Tandayapa--valle superior (Tandayapa<->Bellavista, upper valley)",Pichincha,1,-0.013116,-78.677826,2087,10,2014
3688455367,Ochthoeca rufipectoralis,EC,Reserva Geobotánica Pululahua--general area,Pichincha,1,0.040374,-78.50293,2405,11,2021
3642365027,Ochthoeca rufipectoralis,EC,Reserva Zuro Loma,Pichincha,1,-0.088671,-78.599754,3108,9,2021
1190943853,Ochthoeca rufipectoralis,EC,Guarumos Transecto impacto P02,Pichincha,1,-0.05136,-78.642,2567,7,2004
1190865933,Ochthoeca rufipectoralis,EC,Guarumos Transecto impacto P07,Pichincha,1,-0.04864,-78.64856,2580,5,2007
1190630539,Ochthoeca rufipectoralis,EC,Guarumos Transecto impacto P04,Pichincha,2,-0.04933,-78.64436,2633,12,2007
1192914790,Ochthoeca rufipectoralis,EC,"Tandayapa--valle superior (Tandayapa<->Bellavista, upper valley)",Pichincha,1,-0.013116,-78.677826,2087,10,2014
1190826113,Ochthoeca rufipectoralis,EC,"San Luis Transecto impacto, Punto 3",Pichincha,2,-0.015,-78.685,2315,8,2005
