gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
3456377175,Ocreatus underwoodii,EC,,Pichincha,1,0.002282,-78.677341,1737,11,2021
3747138396,Ocreatus underwoodii,EC,,Pichincha,1,0.025556,-78.632222,1900,3,2022
2243558119,Ocreatus underwoodii,EC,Gralarias Reserve at Northwest Ecuador,,1,-0.01,-78.7334,2006,4,2011
1807946288,Ocreatus underwoodii,EC,"Vogelfütterungsplatz Nähe Mindo, Ecuador",,1,-0.027423,-78.756981,1726,12,2017
3251608298,Ocreatus underwoodii,EC,Quinde Luna Cloudforest Reserve,Pichincha,15,0.029647,-78.694405,1870,2,2020
2121464456,Ocreatus underwoodii,EC,Reserva Bellavista--general area,Pichincha,3,-0.016544,-78.68791,2278,1,2018
2082221009,Ocreatus underwoodii,EC,Alambi Reserve,Pichincha,3,0.030789,-78.680565,1488,7,2017
3208814443,Ocreatus underwoodii,EC,Bellavista Cloud Forest Lodge,Pichincha,1,-0.015922,-78.681206,2242,3,2018
1196368758,Ocreatus underwoodii,EC,Mindo--Vía a las cascadas (Waterfall trail),Pichincha,1,-0.062765,-78.77427,1344,11,2014
2783587321,Ocreatus underwoodii,EC,Refugio Paz de las Aves (Angel Paz),Pichincha,5,0.019655,-78.70693,1906,7,2019
3647407568,Ocreatus underwoodii,EC,Casa de Vista Alta,Pichincha,1,-0.069006,-78.771255,1407,11,2021
3224379760,Ocreatus underwoodii,EC,Reserva Amagusa,Pichincha,8,0.1598,-78.8534,1302,2,2020
1763681062,Ocreatus underwoodii,EC,Séptimo Paraiso,Pichincha,2,-0.030813,-78.764465,1564,9,2016
2142901059,Ocreatus underwoodii,EC,Mirador de Guaycapi,Pichincha,2,0.031714,-78.68125,1494,3,2018
3622438742,Ocreatus underwoodii,EC,The Birdwatcher's House - Santa Rosa Bird Lodge,Pichincha,1,-0.024804,-78.72448,2126,11,2021
2129144466,Ocreatus underwoodii,EC,Alambi Reserve,Pichincha,1,0.030789,-78.680565,1488,3,2018
1794617557,Ocreatus underwoodii,EC,Alambi Reserve,Pichincha,5,0.030789,-78.680565,1488,12,2015
2765774398,Ocreatus underwoodii,EC,Alambi Reserve,Pichincha,8,0.030789,-78.680565,1488,6,2019
2725842614,Ocreatus underwoodii,EC,Reserva Amagusa,Pichincha,7,0.1598,-78.8534,1302,2,2016
2692281360,Ocreatus underwoodii,EC,"(-0,07, -78,763)",Pichincha,1,-0.070441,-78.762566,1309,4,2019
1189058921,Ocreatus underwoodii,EC,Santa Lucia Lodge,Pichincha,1,0.118575,-78.61154,1881,9,2014
1174037592,Ocreatus underwoodii,EC,Bellavista Cloud Forest Lodge,Pichincha,8,-0.015922,-78.681206,2242,5,2014
2156622291,Ocreatus underwoodii,EC,Rio Bravo Area,Pichincha,2,-0.081757,-78.74482,1569,5,2018
1785938151,Ocreatus underwoodii,EC,Séptimo Paraiso,Pichincha,1,-0.030813,-78.764465,1564,2,2012
1394322761,Ocreatus underwoodii,EC,Mindo--Vía a las cascadas (Waterfall trail),Pichincha,2,-0.062765,-78.77427,1344,10,2015
4034879162,Ocreatus underwoodii,EC,,Pichincha,1,-0.026675,-78.759168,1719,4,2019
2597856019,Ocreatus underwoodii,EC,,Pichincha,1,0.118406,-78.61208,1883,7,2013
3044672387,Ocreatus underwoodii,EC,,Pichincha,1,0.005613,-78.67709,1758,2,2021
2465237904,Ocreatus underwoodii,EC,,Pichincha,1,0.0294,-78.68068,1482,7,2019
3067751389,Ocreatus underwoodii,EC,,Pichincha,1,0.009524,-78.675955,1659,4,2009
3760246420,Ocreatus underwoodii,EC,,Pichincha,1,-0.015761,-78.680714,2224,5,2009
3013927157,Ocreatus underwoodii,EC,,Pichincha,1,0.030527,-78.68118,1490,12,2020
3031704586,Ocreatus underwoodii,EC,,Pichincha,1,0.020149,-78.707239,1889,11,2020
4018199832,Ocreatus underwoodii,EC,,Pichincha,1,-0.007005,-78.720851,1965,12,2022
1193163236,Ocreatus underwoodii,EC,Mindo--Vía a las cascadas (Waterfall trail),Pichincha,2,-0.062765,-78.77427,1344,10,2014
2090794405,Ocreatus underwoodii,EC,Pacha Quinde Nature Reserve (MCF),Pichincha,2,-0.009865,-78.675896,2022,6,2017
3215978421,Ocreatus underwoodii,EC,Mindo--El Monte Sustainable Lodge,Pichincha,1,-0.069394,-78.76362,1311,11,2015
1786526515,Ocreatus underwoodii,EC,Refugio Paz de las Aves (Angel Paz),Pichincha,1,0.019655,-78.70693,1906,12,2013
2139094361,Ocreatus underwoodii,EC,Mindo--Vía a las cascadas (Waterfall trail),Pichincha,1,-0.062765,-78.77427,1344,3,2018
3144041792,Ocreatus underwoodii,EC,Alambi Reserve,Pichincha,5,0.030789,-78.680565,1488,2,2020
2751439918,Ocreatus underwoodii,EC,San Tadeo Birdwatching (Feeders),Pichincha,5,-0.029472,-78.751816,1731,2,2019
2672189804,Ocreatus underwoodii,EC,"EC-Pichincha-Quito (0.0255,-78.6960)",Pichincha,18,0.02547,-78.69602,1980,2,2019
3635602446,Ocreatus underwoodii,EC,Refugio Paz de las Aves (Angel Paz),Pichincha,6,0.019655,-78.70693,1906,12,2021
1378478646,Ocreatus underwoodii,EC,Sachatamia Lodge,Pichincha,1,-0.025148,-78.75798,1719,7,2015
3044921245,Ocreatus underwoodii,EC,,Pichincha,1,0.005543,-78.677047,1756,2,2021
1783153951,Ocreatus underwoodii,EC,Alambi Reserve,Pichincha,1,0.030789,-78.680565,1488,3,2015
2157370829,Ocreatus underwoodii,EC,Bellavista Cloud Forest Lodge,Pichincha,3,-0.015922,-78.681206,2242,5,2018
1354126455,Ocreatus underwoodii,EC,Mindo--Vía a las cascadas (Waterfall trail),Pichincha,2,-0.062765,-78.77427,1344,3,2015
3616118053,Ocreatus underwoodii,EC,Reserva las Tangaras,Pichincha,1,-0.077419,-78.76933,1427,3,2021
3137011529,Ocreatus underwoodii,EC,Bellavista Cloud Forest Lodge,Pichincha,4,-0.015922,-78.681206,2242,2,2020
3141130369,Ocreatus underwoodii,EC,Séptimo Paraiso,Pichincha,5,-0.030813,-78.764465,1564,2,2020
3299971479,Ocreatus underwoodii,EC,Mindo Lindo,Pichincha,6,-0.024389,-78.76986,1647,12,2020
2796864976,Ocreatus underwoodii,EC,Sachatamia Lodge,Pichincha,1,-0.025148,-78.75798,1719,1,2014
2037788036,Ocreatus underwoodii,EC,Bosque Protector Cambugán--Upper entrance (temperate zone and upper subtropical zone),Pichincha,1,0.186596,-78.471535,3110,1,2017
3210069148,Ocreatus underwoodii,EC,Mindo Lindo,Pichincha,1,-0.024389,-78.76986,1647,9,2020
2686861484,Ocreatus underwoodii,EC,The Birdwatcher's House - Santa Rosa Bird Lodge,Pichincha,2,-0.024804,-78.72448,2126,5,2019
1398080736,Ocreatus underwoodii,EC,Pacha Quinde Nature Reserve (MCF),Pichincha,1,-0.009865,-78.675896,2022,11,2015
3237143702,Ocreatus underwoodii,EC,Bellavista Cloud Forest Lodge,Pichincha,3,-0.015922,-78.681206,2242,3,2020
3202701281,Ocreatus underwoodii,EC,Mindo--general area (*HISTORICAL DATA ONLY; please use a more specific location for current checklists),Pichincha,1,-0.049224,-78.776825,1268,4,2012
3583438656,Ocreatus underwoodii,EC,Séptimo Paraiso,Pichincha,1,-0.030813,-78.764465,1564,11,2021
3259077348,Ocreatus underwoodii,EC,Reserva Amagusa,Pichincha,3,0.1598,-78.8534,1302,3,2020
2224360235,Ocreatus underwoodii,EC,Reserva Las Gralarias,Pichincha,6,-0.012531,-78.72995,2073,11,2017
2118330528,Ocreatus underwoodii,EC,Reserva Las Gralarias,Pichincha,1,-0.012531,-78.72995,2073,3,2003
2705700755,Ocreatus underwoodii,EC,Sachatamia Lodge,Pichincha,1,-0.025148,-78.75798,1719,7,2019
1771087424,Ocreatus underwoodii,EC,Mindo--Vía a las cascadas (Waterfall trail),Pichincha,1,-0.062765,-78.77427,1344,11,2016
958073281,Ocreatus underwoodii,EC,Santa Lucia Lodge,Pichincha,1,0.118575,-78.61154,1881,6,2013
3561869562,Ocreatus underwoodii,EC,Mashpi--Entrance road before gate,Pichincha,3,0.160629,-78.84993,1340,11,2021
1753854135,Ocreatus underwoodii,EC,Santa Lucia Lodge,Pichincha,1,0.118575,-78.61154,1881,2,2011
3223803569,Ocreatus underwoodii,EC,Recinto 23 de Junio,Pichincha,1,-0.03193,-78.87659,1117,2,2020
1711870202,Ocreatus underwoodii,EC,Bellavista--camino a la estación científica (research station road),Pichincha,2,-0.020999,-78.684425,2338,1,2016
