gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
1400747368,Odontophorus erythrops,EC,Reserva Mangaloma,Pichincha,5,0.122652,-78.99485,843,4,2006
944048552,Odontophorus erythrops,EC,Rio Silanche--entrance road,Pichincha,1,0.108158,-79.13607,400,3,2013
2117102916,Odontophorus erythrops,EC,Rio Silanche--general area,Pichincha,1,0.117101,-79.13609,393,9,2008
1744957608,Odontophorus erythrops,EC,San Jorge de Milpe,Pichincha,5,0.044357,-78.88368,1059,6,2016
2741156387,Odontophorus erythrops,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,2,2019
2695904499,Odontophorus erythrops,EC,Rio Silanche Bird Sanctuary,Pichincha,3,0.145185,-79.14147,402,8,2019
3542483813,Odontophorus erythrops,EC,Rio Silanche--general area,Pichincha,4,0.117101,-79.13609,393,7,2021
2114946536,Odontophorus erythrops,EC,Rio Silanche--general area,Pichincha,1,0.117101,-79.13609,393,10,2005
3271741495,Odontophorus erythrops,EC,Puerto Quito--Macallares,Pichincha,2,0.102935,-79.25522,248,10,2020
3277524280,Odontophorus erythrops,EC,Puerto Quito--Macallares,Pichincha,2,0.102935,-79.25522,248,10,2020
2790679538,Odontophorus erythrops,EC,Nanegalito--road to Refugio Paz de las Aves,Pichincha,4,0.030906,-78.71834,1707,7,2019
181697377,Odontophorus erythrops,EC,Rio Silanche Bird Sanctuary,Pichincha,2,0.145185,-79.14147,402,3,2008
1195297600,Odontophorus erythrops,EC,Un Poco del Choco--Reserve & Field Station,Pichincha,1,0.05295,-78.84311,1177,11,2014
1791365434,Odontophorus erythrops,EC,Mashpi--Lodge and trails,Pichincha,1,0.166125,-78.878876,931,9,2016
1345219362,Odontophorus erythrops,EC,Un Poco del Choco--Reserve & Field Station,Pichincha,4,0.05295,-78.84311,1177,1,2015
1162686196,Odontophorus erythrops,EC,San Jorge de Milpe,Pichincha,1,0.044357,-78.88368,1059,3,2014
1203101848,Odontophorus erythrops,EC,Rio Silanche Bird Sanctuary,Pichincha,3,0.145185,-79.14147,402,8,2012
3579905685,Odontophorus erythrops,EC,Rio Silanche Bird Sanctuary,Pichincha,2,0.145185,-79.14147,402,8,2021
1208427751,Odontophorus erythrops,EC,Rio Silanche Bird Sanctuary,Pichincha,4,0.145185,-79.14147,402,10,2014
2114373324,Odontophorus erythrops,EC,Rio Silanche--general area,Pichincha,3,0.117101,-79.13609,393,12,2017
2784183158,Odontophorus erythrops,EC,Reserva/Finca Mashpi-Shungo (Mashpi Chocolate Artesanal Farm),Pichincha,3,0.182478,-78.9123,514,10,2019
3137977331,Odontophorus erythrops,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,2,2020
3600292747,Odontophorus erythrops,EC,Reserva/Finca Mashpi-Shungo (Mashpi Chocolate Artesanal Farm),Pichincha,2,0.182478,-78.9123,514,2,2021
2695135894,Odontophorus erythrops,EC,Un poco del Chocó-Reserva y Estación Biológica,Pichincha,1,0.052995,-78.84224,1191,8,2019
938297108,Odontophorus erythrops,EC,San Jorge de Milpe,Pichincha,1,0.044357,-78.88368,1059,12,2011
834655328,Odontophorus erythrops,EC,Mangaloma Reserve,Pichincha,1,0.112778,-78.98972,692,3,2012
2187513690,Odontophorus erythrops,EC,San Jorge de Milpe,Pichincha,4,0.044357,-78.88368,1059,9,2018
3274254497,Odontophorus erythrops,EC,Pais Tropical,Pichincha,5,0.17327,-78.93343,543,10,2020
2093516395,Odontophorus erythrops,EC,"Cordillera SAN LORENZO Pichincha, EC (-0.078, -78.753)",Pichincha,1,-0.077501,-78.75307,1519,9,2017
1352762682,Odontophorus erythrops,EC,San Jorge de Milpe,Pichincha,5,0.044357,-78.88368,1059,2,2015
3615981607,Odontophorus erythrops,EC,Hotel Tinalandia,Santo Domingo de los Tsáchilas,1,-0.299136,-79.0526,732,2,2021
2215756825,Odontophorus erythrops,EC,"(0.0476,-78.8870)",Pichincha,3,0.047592,-78.88697,1050,11,2018
3576633217,Odontophorus erythrops,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,12,2007
2191194772,Odontophorus erythrops,EC,San Jorge de Milpe,Pichincha,8,0.044357,-78.88368,1059,6,2018
2684308897,Odontophorus erythrops,EC,San Jorge de Milpe,Pichincha,7,0.044357,-78.88368,1059,5,2019
2767941839,Odontophorus erythrops,EC,Rio Silanche Bird Sanctuary,Pichincha,2,0.145185,-79.14147,402,8,2019
1730956659,Odontophorus erythrops,EC,Finca Ave Terra,Pichincha,2,-0.02816,-78.82286,1089,4,2016
3567115157,Odontophorus erythrops,EC,Reserva Amagusa,Pichincha,2,0.1598,-78.8534,1302,7,2021
963674951,Odontophorus erythrops,EC,Milpe Bird Sanctuary,Pichincha,1,0.033327,-78.868454,1110,8,2013
2129884027,Odontophorus erythrops,EC,Rio Silanche Bird Sanctuary,Pichincha,2,0.145185,-79.14147,402,1,2018
1770519043,Odontophorus erythrops,EC,Reserva Amagusa,Pichincha,2,0.1598,-78.8534,1302,11,2016
1400746129,Odontophorus erythrops,EC,Reserva Mangaloma,Pichincha,5,0.122652,-78.99485,843,5,2006
2219308149,Odontophorus erythrops,EC,San Jorge de Milpe,Pichincha,5,0.044357,-78.88368,1059,11,2018
2770416075,Odontophorus erythrops,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,9,2019
2734006826,Odontophorus erythrops,EC,Un Poco del Choco--Reserve & Field Station,Pichincha,1,0.05295,-78.84311,1177,1,2015
2194031429,Odontophorus erythrops,EC,Milpe Bird Sanctuary,Pichincha,1,0.033327,-78.868454,1110,7,2018
3147403007,Odontophorus erythrops,EC,Milpe Bird Sanctuary,Pichincha,1,0.033327,-78.868454,1110,1,2020
3694629705,Odontophorus erythrops,EC,Mashpi--Lodge and trails,Pichincha,3,0.166125,-78.878876,931,10,2021
3301075986,Odontophorus erythrops,EC,San Jorge de Milpe,Pichincha,1,0.044357,-78.88368,1059,11,2018
1202183310,Odontophorus erythrops,EC,Cuatro Rios (Four Rivers),Pichincha,1,0.071925,-78.982285,778,7,2005
2219218741,Odontophorus erythrops,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,10,2018
3664026328,Odontophorus erythrops,EC,Reserva Los Cedros,Imbabura,1,0.321968,-78.787,1820,7,2018
2135422175,Odontophorus erythrops,EC,Rio Silanche Bird Sanctuary,Pichincha,2,0.145185,-79.14147,402,2,2018
1184388737,Odontophorus erythrops,EC,Rio Silanche Bird Sanctuary,Pichincha,2,0.145185,-79.14147,402,8,2014
3520513325,Odontophorus erythrops,EC,Mashpi--Lodge and trails,Pichincha,1,0.166125,-78.878876,931,5,2021
3678268408,Odontophorus erythrops,EC,Mirador Rio Blanco -- San Miguel de Los Bancos,Pichincha,1,0.02228,-78.8909,1096,7,2021
2674016477,Odontophorus erythrops,EC,Rio Silanche Bird Sanctuary,Pichincha,2,0.145185,-79.14147,402,3,2019
2204720544,Odontophorus erythrops,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,10,2018
2659358076,Odontophorus erythrops,EC,Rio Silanche Bird Sanctuary,Pichincha,2,0.145185,-79.14147,402,2,2019
3568897504,Odontophorus erythrops,EC,Choco Toucan Reserve,Pichincha,2,0.038,-78.872,1114,11,2021
1384989813,Odontophorus erythrops,EC,Rio Silanche--general area,Pichincha,1,0.117101,-79.13609,393,8,2014
3166316710,Odontophorus erythrops,EC,"García Moreno, Provincia de Imbabura, EC (26666,67 -740173.915)",Imbabura,1,0.241047,-78.842064,547,5,2020
3262363757,Odontophorus erythrops,EC,Reserva/Finca Mashpi-Shungo (Mashpi Chocolate Artesanal Farm),Pichincha,2,0.182478,-78.9123,514,10,2020
3190396968,Odontophorus erythrops,EC,Umbrellabird Lek Luis Ajila farm,Pichincha,1,-0.046045,-78.8774,1219,1,2020
2219138504,Odontophorus erythrops,EC,EC-Pichincha-Rio Silanche Reserve,Pichincha,5,0.144958,-79.14181,406,11,2018
3212157653,Odontophorus erythrops,EC,Rio Silanche Bird Sanctuary,Pichincha,2,0.145185,-79.14147,402,11,2020
3272024302,Odontophorus erythrops,EC,Pedro Vicente Maldonado--pueblo y alrededores inmediatos (town and immediate surroundings),Pichincha,1,0.087625,-79.05275,613,1,2001
1405082623,Odontophorus erythrops,EC,Recinto 23 de Junio,Pichincha,2,-0.03193,-78.87659,1117,10,2015
