gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
2688848550,Ortalis erythroptera,EC,Itapoa Project Puerto Quito,Pichincha,3,0.122808,-79.27116,128,7,2019
3252425825,Ortalis erythroptera,EC,Puerto Quito,Pichincha,4,0.116386,-79.26367,196,9,2020
3288491875,Ortalis erythroptera,EC,"Paraíso de Amigos , Vía Piedra de Vapor, Pichincha, EC (0.147, -79.323)",Pichincha,1,0.146538,-79.322845,146,10,2020
3687812884,Ortalis erythroptera,EC,Itapoa Project Puerto Quito,Pichincha,2,0.122808,-79.27116,128,8,2021
3692102315,Ortalis erythroptera,EC,san gerardo puerto quito,Pichincha,12,0.130246,-79.25699,258,8,2021
3600254063,Ortalis erythroptera,EC,"Auto selected 0.07042, -79.25958",Pichincha,1,0.070422,-79.25958,285,5,2021
3214420450,Ortalis erythroptera,EC,Represa Hidroeléctrica Manduriacu,Imbabura,1,0.215744,-78.90205,482,11,2020
3280074134,Ortalis erythroptera,EC,Cabuyal,Pichincha,3,0.146768,-79.272095,136,10,2020
3515099997,Ortalis erythroptera,EC,"Via la Sexta, Pichincha, EC (0,147, -79,268)",Pichincha,8,0.146723,-79.267914,132,5,2021
3651152712,Ortalis erythroptera,EC,Reserva Otongachi,Pichincha,2,-0.320553,-78.95108,887,10,2021
3264494900,Ortalis erythroptera,EC,Rio Silanche--general area,Pichincha,1,0.117101,-79.13609,393,2,2020
3206059762,Ortalis erythroptera,EC,Rio Silanche Bird Sanctuary,Pichincha,2,0.145185,-79.14147,402,2,2007
3200940069,Ortalis erythroptera,EC,Cabuyal,Pichincha,3,0.146768,-79.272095,136,10,2020
3578754494,Ortalis erythroptera,EC,Centro de lenguajeo,Pichincha,6,0.084692,-79.24455,280,9,2021
3236891696,Ortalis erythroptera,EC,Itapoa Project Puerto Quito,Pichincha,3,0.122808,-79.27116,128,1,2020
3207454254,Ortalis erythroptera,EC,Centro de lenguajeo,Pichincha,5,0.084692,-79.24455,280,11,2020
3537371117,Ortalis erythroptera,EC,Rancho El Dorado,Pichincha,4,0.128205,-79.19097,335,9,2021
2771020007,Ortalis erythroptera,EC,Itapoa Project Puerto Quito,Pichincha,3,0.122808,-79.27116,128,7,2019
3607644926,Ortalis erythroptera,EC,Cabuyal,Pichincha,6,0.146768,-79.272095,136,1,2021
2755256683,Ortalis erythroptera,EC,Represa Hidroeléctrica Manduriaco,Imbabura,1,0.215743,-78.90205,482,10,2019
3205094438,Ortalis erythroptera,EC,Cabuyal,Pichincha,4,0.146768,-79.272095,136,10,2020
3290926966,Ortalis erythroptera,EC,Kapari Natural Lodge,Pichincha,5,-0.001202,-78.94196,916,7,2020
3273100038,Ortalis erythroptera,EC,Puerto Quito,Pichincha,1,0.116386,-79.26367,196,10,2020
3285650512,Ortalis erythroptera,EC,Cabuyal,Pichincha,4,0.146768,-79.272095,136,10,2020
3520602695,Ortalis erythroptera,EC,"Auto selected 0.11886, -79.23827",Pichincha,5,0.118859,-79.23827,122,5,2021
3301309804,Ortalis erythroptera,EC,"Piedra de Vapor and surroundings, Pichincha, EC",Pichincha,2,0.147815,-79.325935,129,12,2020
2799865180,Ortalis erythroptera,EC,Itapoa Puerto Quito,Pichincha,3,0.125158,-79.27149,104,7,2019
3209008302,Ortalis erythroptera,EC,Cabuyal,Pichincha,4,0.146768,-79.272095,136,10,2020
3142847355,Ortalis erythroptera,EC,"Centro de Lenguajeo, Pichincha, EC (0,092, -79,277)",Pichincha,4,0.091597,-79.277145,264,1,2020
3266282431,Ortalis erythroptera,EC,Itapoa Project Puerto Quito,Pichincha,4,0.122808,-79.27116,128,10,2020
3549350801,Ortalis erythroptera,EC,Kapari Natural Lodge,Pichincha,2,-0.001202,-78.94196,916,10,2021
3561989735,Ortalis erythroptera,EC,San Gerardo Alto. Puerto Quito,Pichincha,14,0.13002,-79.25659,224,8,2021
3545444580,Ortalis erythroptera,EC,Puerto Quito--Macallares,Pichincha,2,0.102935,-79.25522,248,11,2021
3586089351,Ortalis erythroptera,EC,"Vía 140 La Isla, Pichincha, EC (0.121, -79.236)",Pichincha,4,0.120957,-79.23587,145,12,2021
3674456741,Ortalis erythroptera,EC,Finca La Consentida Luis Palacios,Pichincha,2,0.101053,-79.24222,236,11,2021
3580570917,Ortalis erythroptera,EC,Lenguajeo (ASOANE) Nueva Esperanza,Pichincha,6,0.09108,-79.27806,234,10,2021
1399428887,Ortalis erythroptera,EC,Rio Silanche--general area,Pichincha,1,0.117101,-79.13609,393,1,2008
3575300993,Ortalis erythroptera,EC,Centro de lenguajeo,Pichincha,6,0.084692,-79.24455,280,9,2021
3205959809,Ortalis erythroptera,EC,"Flor Del Valle, Vía el Achiote, Pichincha, EC (0.115, -79.238)",Pichincha,1,0.114832,-79.23832,141,10,2020
3281468802,Ortalis erythroptera,EC,Ruta San Gerardo (Puerto Quito),Pichincha,2,0.125175,-79.23744,185,10,2020
3527077399,Ortalis erythroptera,EC,Itapoa Project Puerto Quito,Pichincha,1,0.122808,-79.27116,128,10,2020
2772775996,Ortalis erythroptera,EC,Itapoa Project Puerto Quito,Pichincha,3,0.122808,-79.27116,128,7,2019
1788482621,Ortalis erythroptera,EC,Santo Domingo de las Tsáchilas--city (*For historical checklists; please use a more precise location when possible),Santo Domingo de los Tsáchilas,6,-0.254899,-79.17269,562,3,2015
3182688856,Ortalis erythroptera,EC,Finca Yaussa,Pichincha,2,0.098646,-79.190025,176,10,2020
3292647681,Ortalis erythroptera,EC,Centro de lenguajeo,Pichincha,4,0.084692,-79.24455,280,11,2020
3640918529,Ortalis erythroptera,EC,Itapoa Project Puerto Quito,Pichincha,2,0.122808,-79.27116,128,8,2021
3288979213,Ortalis erythroptera,EC,Rio Silanche Bird Sanctuary,Pichincha,2,0.145185,-79.14147,402,11,2020
3179474356,Ortalis erythroptera,EC,"Itapoa Piedra De Vapor, Pichincha, EC (0.115, -79.238)",Pichincha,2,0.114832,-79.23832,141,10,2020
3293996277,Ortalis erythroptera,EC,Cabuyal,Pichincha,3,0.146768,-79.272095,136,10,2020
3292998290,Ortalis erythroptera,EC,"Paraíso de Amigos , Vía Piedra de Vapor, Pichincha, EC (0.147, -79.323)",Pichincha,1,0.146538,-79.322845,146,10,2020
3688604033,Ortalis erythroptera,EC,Cabuyal,Pichincha,8,0.147075,-79.26828,131,10,2021
3533253570,Ortalis erythroptera,EC,Lenguajeo (ASOANE) Nueva Esperanza,Pichincha,4,0.09108,-79.27806,234,11,2020
3670236252,Ortalis erythroptera,EC,Itapoa Project Puerto Quito,Pichincha,1,0.122808,-79.27116,128,8,2021
3666183945,Ortalis erythroptera,EC,Itapoa Project Puerto Quito,Pichincha,1,0.122808,-79.27116,128,11,2021
3596871385,Ortalis erythroptera,EC,"Via la Sexta, Pichincha, EC (0,147, -79,268)",Pichincha,6,0.146723,-79.267914,132,6,2021
3550147748,Ortalis erythroptera,EC,"Parque ecológico puerto quito0.12825, -79.25908",Pichincha,6,0.128246,-79.25907,166,8,2021
2790566990,Ortalis erythroptera,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,1,2017
2694054913,Ortalis erythroptera,EC,"Vía Piedra de Vapor, Pichincha, EC.",Pichincha,7,0.123045,-79.271164,125,8,2019
3550178676,Ortalis erythroptera,EC,Finca La Consentida Luis Palacios,Pichincha,2,0.101053,-79.24222,236,11,2021
3186090583,Ortalis erythroptera,EC,Cabuyal,Pichincha,3,0.146768,-79.272095,136,10,2020
3286939661,Ortalis erythroptera,EC,"Paraíso de Amigos , Vía Piedra de Vapor, Pichincha, EC (0.147, -79.323)",Pichincha,1,0.146538,-79.322845,146,10,2020
2765770859,Ortalis erythroptera,EC,Puerto Quito,Pichincha,4,0.116386,-79.26367,196,7,2019
3276043141,Ortalis erythroptera,EC,"Vía Piedra de Vapor, Pichincha, EC.",Pichincha,4,0.123045,-79.271164,125,10,2020
3289080898,Ortalis erythroptera,EC,Centro de Lenguajeo ASONE,Pichincha,4,0.09173,-79.27719,279,11,2020
3145282987,Ortalis erythroptera,EC,"Ruta San Bernabé, Pichincha, EC (-0.014, -79.07)",Pichincha,6,-0.013947,-79.07006,601,2,2020
3582246654,Ortalis erythroptera,EC,Refugio De Vida Silvestre Isla De Los Monos - Zoo Isla Del Tapir,Santo Domingo de los Tsáchilas,2,-0.120993,-79.26121,371,11,2021
3256595664,Ortalis erythroptera,EC,Cabuyal,Pichincha,4,0.146768,-79.272095,136,10,2020
3265641008,Ortalis erythroptera,EC,Reserva Itapoa,Pichincha,4,0.122963,-79.27119,126,10,2020
3646959769,Ortalis erythroptera,EC,Itapoa Project Puerto Quito,Pichincha,2,0.122808,-79.27116,128,8,2021
3540333846,Ortalis erythroptera,EC,Puerto Quito - Parque Ecológico,Pichincha,10,0.128966,-79.25919,163,8,2021
3628368953,Ortalis erythroptera,EC,Puerto Quito--La Ceiba,Pichincha,1,0.0977,-79.24403,320,8,2021
3245752450,Ortalis erythroptera,EC,"Centro de Lenguajeo, Pichincha, EC (0,092, -79,277)",Pichincha,4,0.091597,-79.277145,264,1,2020
3287990239,Ortalis erythroptera,EC,Cabuyal,Pichincha,3,0.146768,-79.272095,136,10,2020
3658186099,Ortalis erythroptera,EC,"Vía Calacalí - La Independencia, SN Miguel Bancos EC-Pichincha 0.10174, -79.24214",Pichincha,2,0.101743,-79.242134,243,11,2021
3263985065,Ortalis erythroptera,EC,"Auto selected -0.38919, -79.24316",Santo Domingo de los Tsáchilas,2,-0.38919,-79.243164,309,9,2020
3256595689,Ortalis erythroptera,EC,Cabuyal,Pichincha,4,0.146768,-79.272095,136,10,2020
3190881692,Ortalis erythroptera,EC,"Vía Piedra de Vapor, Pichincha, EC.",Pichincha,4,0.123045,-79.271164,125,10,2020
3547753178,Ortalis erythroptera,EC,Puerto Quito--Macallares,Pichincha,4,0.102935,-79.25522,248,11,2021
2216299839,Ortalis erythroptera,EC,Rio Silanche Bird Sanctuary,Pichincha,2,0.145185,-79.14147,402,2,2007
3534655292,Ortalis erythroptera,EC,Itapoa Project Puerto Quito,Pichincha,1,0.122808,-79.27116,128,10,2020
3269463908,Ortalis erythroptera,EC,"Vía Piedra de Vapor, Pichincha, EC.",Pichincha,4,0.123045,-79.271164,125,10,2020
3216271820,Ortalis erythroptera,EC,Puerto Quito,Pichincha,4,0.116386,-79.26367,196,11,2020
