gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
3538610892,Pachyramphus versicolor,EC,"Ecoruta El Quinde, Quito EC-Pichincha (-0.0080,-78.6759)",Pichincha,1,-0.008046,-78.675896,1952,6,2021
2129550568,Pachyramphus versicolor,EC,Ecoruta--Alambi Valley (Nono-Tandayapa Road below 2500 m),Pichincha,1,-0.017016,-78.65079,1867,2,2018
1347907305,Pachyramphus versicolor,EC,Santa Lucia Lodge,Pichincha,1,0.118575,-78.61154,1881,1,2015
2114877585,Pachyramphus versicolor,EC,Tandayapa Bird Lodge,Pichincha,1,0.00235,-78.67743,1742,11,2001
3535707935,Pachyramphus versicolor,EC,Reserva Amagusa,Pichincha,1,0.1598,-78.8534,1302,6,2021
3669501797,Pachyramphus versicolor,EC,Tambo Quinde,Pichincha,1,0.006405,-78.67705,1747,2,2021
1190710227,Pachyramphus versicolor,EC,Guarumos Transecto control P03,Pichincha,1,-0.04425,-78.64864,2601,11,2006
2669970672,Pachyramphus versicolor,EC,Reserva Amagusa,Pichincha,2,0.1598,-78.8534,1302,3,2019
3229185739,Pachyramphus versicolor,EC,Reserva Amagusa,Pichincha,1,0.1598,-78.8534,1302,3,2020
2035564591,Pachyramphus versicolor,EC,Mashpi--Entrance road before gate,Pichincha,1,0.160629,-78.84993,1340,1,2017
2101760618,Pachyramphus versicolor,EC,Reserva Amagusa,Pichincha,1,0.1598,-78.8534,1302,10,2017
2092636705,Pachyramphus versicolor,EC,Bellavista--camino a la estación científica (research station road),Pichincha,1,-0.020999,-78.684425,2338,9,2017
3216424077,Pachyramphus versicolor,EC,Reserva Las Gralarias,Pichincha,1,-0.012531,-78.72995,2073,3,2005
3586038863,Pachyramphus versicolor,EC,Tandayapa Bird Lodge,Pichincha,1,0.00235,-78.67743,1742,3,2012
2672630491,Pachyramphus versicolor,EC,La Delicia--Guayabillas road (lower part below Mashpi turnoff),Pichincha,2,0.195715,-78.872116,766,4,2019
3616074768,Pachyramphus versicolor,EC,Reserva Amagusa,Pichincha,1,0.1598,-78.8534,1302,5,2021
1208337425,Pachyramphus versicolor,EC,Guarumos Transecto impacto P05,Pichincha,1,-0.04844,-78.64581,2581,5,2008
591856629,Pachyramphus versicolor,EC,Mindo Loma,Pichincha,1,-0.020747,-78.743286,1877,11,2007
3647701877,Pachyramphus versicolor,EC,Tandayapa Bird Lodge,Pichincha,1,0.00235,-78.67743,1742,9,2021
2743258209,Pachyramphus versicolor,EC,Alambi Reserve,Pichincha,1,0.030789,-78.680565,1488,2,2019
2118690562,Pachyramphus versicolor,EC,Refugio Paz de las Aves (Angel Paz),Pichincha,1,0.019655,-78.70693,1906,1,2018
1409584414,Pachyramphus versicolor,EC,Tandayapa Bird Lodge,Pichincha,1,0.00235,-78.67743,1742,1,2014
2101390263,Pachyramphus versicolor,EC,Reserva Maquipucuna,Pichincha,2,0.120898,-78.63837,1310,10,2017
2651585756,Pachyramphus versicolor,EC,"0.0616x-78.8130 - Jan 7, 2015, 6:13 AM",Pichincha,3,0.061572,-78.813034,1490,1,2015
3149792632,Pachyramphus versicolor,EC,Tandayapa--pueblo y valle inferior (town and lower valley),Pichincha,1,0.015986,-78.67585,1612,2,2020
3612167964,Pachyramphus versicolor,EC,Bellavista Cloud Forest Lodge,Pichincha,1,-0.015922,-78.681206,2242,3,2013
936766245,Pachyramphus versicolor,EC,Reserva Las Gralarias,Pichincha,2,-0.012531,-78.72995,2073,12,2012
2134797461,Pachyramphus versicolor,EC,Ecoruta--Alambi Valley (Nono-Tandayapa Road below 2500 m),Pichincha,2,-0.017016,-78.65079,1867,9,2017
3683509210,Pachyramphus versicolor,EC,"Ecotura El Quinde, SN Miguel Bancos EC-Pichincha -0.02879, -78.74358",Pichincha,1,-0.028791,-78.743576,1891,6,2021
2710411012,Pachyramphus versicolor,EC,Mindo--Vía a las cascadas (Waterfall trail),Pichincha,1,-0.062765,-78.77427,1344,11,2019
3573989301,Pachyramphus versicolor,EC,"Ecoruta (Nono-Mindo road), Bellavista<->San Tadeo",Pichincha,1,-0.033302,-78.712814,2228,8,2021
2786281913,Pachyramphus versicolor,EC,Mindo--Santuario de las cascadas,Pichincha,1,-0.074673,-78.76545,1460,11,2019
2700647866,Pachyramphus versicolor,EC,Tandayapa Bird Lodge,Pichincha,1,0.00235,-78.67743,1742,8,2019
3207324670,Pachyramphus versicolor,EC,Pacha Quinde Nature Reserve (MCF),Pichincha,1,-0.009865,-78.675896,2022,2,2006
1376159314,Pachyramphus versicolor,EC,Santa Lucia Lodge,Pichincha,1,0.118575,-78.61154,1881,6,2015
3690180855,Pachyramphus versicolor,EC,Nono-Mindo Road near San Tadeo,Pichincha,1,-0.024868,-78.74329,1913,12,2021
952891360,Pachyramphus versicolor,EC,Siempre Verde Cloud Forest Reserve,Imbabura,1,0.347612,-78.53336,1761,1,2013
2085481345,Pachyramphus versicolor,EC,Mashpi--Entrance road before gate,Pichincha,2,0.160629,-78.84993,1340,7,2017
2739439807,Pachyramphus versicolor,EC,Tandayapa Valley & Lodge (1650-1900m.a.s.l.),Pichincha,1,-0.000586,-78.67674,1697,2,2019
1773070029,Pachyramphus versicolor,EC,Refugio Paz de las Aves (Angel Paz),Pichincha,1,0.019655,-78.70693,1906,9,2011
1190871182,Pachyramphus versicolor,EC,Guarumos Transecto impacto P08,Pichincha,2,-0.04933,-78.65,2580,7,2004
2746398821,Pachyramphus versicolor,EC,Reserva Amagusa,Pichincha,2,0.1598,-78.8534,1302,7,2019
3537680662,Pachyramphus versicolor,EC,Refugio Paz de las Aves (Angel Paz),Pichincha,1,0.019655,-78.70693,1906,7,2021
2192118133,Pachyramphus versicolor,EC,Reserva Amagusa,Pichincha,2,0.1598,-78.8534,1302,8,2018
