gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
2725816129,Passer domesticus,EC,Reserva Amagusa,Pichincha,5,0.1598,-78.8534,1302,5,2019
1181952726,Passer domesticus,EC,Rio Silanche Bird Sanctuary,Pichincha,2,0.145185,-79.14147,402,7,2014
1755073066,Passer domesticus,EC,Pedro Vicente Maldonado--pueblo y alrededores inmediatos (town and immediate surroundings),Pichincha,1,0.087625,-79.05275,613,11,2010
2397506194,Passer domesticus,EC,,Pichincha,1,0.13472,-78.676438,1116,11,2018
3302139397,Passer domesticus,EC,,Pichincha,1,-0.174404,-78.384256,2351,7,2020
3525785052,Passer domesticus,EC,"2 Valencia, Quito, Pichincha, EC (-0.229, -78.438)",Pichincha,1,-0.229307,-78.43844,2373,5,2021
2100116696,Passer domesticus,EC,Pedro Vicente Maldonado--pueblo y alrededores inmediatos (town and immediate surroundings),Pichincha,1,0.087625,-79.05275,613,9,2017
966422234,Passer domesticus,EC,Nanegal--vicinity,Pichincha,1,0.136249,-78.677826,1150,9,2013
1745279241,Passer domesticus,EC,EC-Pichincha-Pedro Vicente M.-Rio Silanche,Pichincha,5,0.063707,-79.05973,641,6,2016
3170740528,Passer domesticus,EC,"terreno Guayllabamba (-0,053, -78,359)",Pichincha,9,-0.052779,-78.359406,2110,6,2020
1191338137,Passer domesticus,EC,Lago San Pablo,Imbabura,1,0.20874,-78.23227,2657,11,2011
2127539614,Passer domesticus,EC,Hotel San José Aeropuerto,Pichincha,1,-0.189592,-78.35297,2474,3,2018
2689742756,Passer domesticus,EC,"EC-Pichincha-Quito (0.1463,-78.7664)",Pichincha,2,0.146259,-78.76638,1239,7,2019
3681021431,Passer domesticus,EC,Puembo--El Molino,Pichincha,6,-0.176704,-78.3534,2319,6,2021
2098953500,Passer domesticus,EC,Hostería Rincon de Puembo,Pichincha,2,-0.173506,-78.36059,2437,10,2017
3186632061,Passer domesticus,EC,Refugio Paz de las Aves (Angel Paz),Pichincha,2,0.019655,-78.70693,1906,3,2012
3684279695,Passer domesticus,EC,Quito Aeropuerto,Pichincha,15,-0.124247,-78.36234,2373,9,2021
3525018497,Passer domesticus,EC,Ruta de los Tubos,Santo Domingo de los Tsáchilas,8,-0.322741,-78.99407,787,4,2021
3186497039,Passer domesticus,EC,Mirador Rio Blanco -- San Miguel de Los Bancos,Pichincha,1,0.02228,-78.8909,1096,12,2005
1739040898,Passer domesticus,EC,Otavalo--general area,Imbabura,1,0.234403,-78.25862,2529,5,2016
3246021497,Passer domesticus,EC,Nanegal--vicinity,Pichincha,8,0.136249,-78.677826,1150,2,2020
2127363859,Passer domesticus,EC,Nanegal--vicinity,Pichincha,1,0.136249,-78.677826,1150,2,2018
2686547552,Passer domesticus,EC,"(0,007, -78,906)",Pichincha,1,0.006614,-78.906235,809,6,2019
2683783857,Passer domesticus,EC,Puerto Quito,Pichincha,2,0.116386,-79.26367,196,12,2009
1175212357,Passer domesticus,EC,Lago San Pablo,Imbabura,1,0.20874,-78.23227,2657,11,2011
3522552015,Passer domesticus,EC,Pedro Vicente Maldonado--pueblo y alrededores inmediatos (town and immediate surroundings),Pichincha,20,0.087625,-79.05275,613,5,2021
3573895485,Passer domesticus,EC,"Parque Puembo, Quito EC-Pichincha",Pichincha,15,-0.177224,-78.35868,2442,12,2021
2747255378,Passer domesticus,EC,Nanegal--vicinity,Pichincha,1,0.136249,-78.677826,1150,1,2019
2690189872,Passer domesticus,EC,"(-0.0684,-78.7628)",Pichincha,3,-0.068422,-78.76277,1307,2,2019
3532038178,Passer domesticus,EC,"Via Quito Guayllabamba, Quito EC-Pichincha (-0.0528,-78.3486)",Pichincha,6,-0.052787,-78.34863,2137,8,2021
2797187220,Passer domesticus,EC,Quito Airport Motel Suites,Pichincha,1,-0.156301,-78.3494,2426,10,2019
3212459009,Passer domesticus,EC,San Jorge de Milpe,Pichincha,1,0.044357,-78.88368,1059,2,2020
3243083901,Passer domesticus,EC,"Calle Tumbecinos, Santo Domingo, Provincia de Santo Domingo de los Tsáchilas, EC (-0,255, -79,151)",Santo Domingo de los Tsáchilas,2,-0.254663,-79.15129,578,5,2020
1190708986,Passer domesticus,EC,"Terminal terrestre, Santo Domingo de los Tsáchilas",Santo Domingo de los Tsáchilas,50,-0.25,-79.16,568,9,2003
1765239374,Passer domesticus,EC,Nanegal--vicinity,Pichincha,1,0.136249,-78.677826,1150,10,2016
1759949852,Passer domesticus,EC,Nanegal--vicinity,Pichincha,1,0.136249,-78.677826,1150,9,2016
3622176623,Passer domesticus,EC,"N8-233 Conector Alpachaca, Quito, Pichincha, EC (-0,157, -78,35)",Pichincha,4,-0.157286,-78.349785,2432,10,2021
1723025663,Passer domesticus,EC,Mindo--general area (*HISTORICAL DATA ONLY; please use a more specific location for current checklists),Pichincha,1,-0.049224,-78.776825,1268,3,2016
3506596248,Passer domesticus,EC,Quito--Reservorio de Cumbayá,Pichincha,6,-0.193,-78.426834,2354,1,2021
3587060214,Passer domesticus,EC,Parque de la Juventud,Santo Domingo de los Tsáchilas,2,-0.24776,-79.148544,578,1,2021
970714246,Passer domesticus,EC,Nanegal--vicinity,Pichincha,1,0.136249,-78.677826,1150,11,2013
971436674,Passer domesticus,EC,Nanegal--vicinity,Pichincha,1,0.136249,-78.677826,1150,11,2013
3289267479,Passer domesticus,EC,"Parque Central De Perucho, Pichincha, EC",Pichincha,15,0.108731,-78.42378,1815,10,2020
2726333850,Passer domesticus,EC,Palomar,Santo Domingo de los Tsáchilas,4,-0.321833,-78.99272,739,11,2019
2167790120,Passer domesticus,EC,"Avenida 29 de Junio, Pedro Vicente M. EC-Pichincha (0.0886,-79.0544)",Pichincha,3,0.08858,-79.054436,611,5,2018
3226775882,Passer domesticus,EC,Puembo—Parque Puembo,Pichincha,1,-0.176913,-78.35854,2440,2,2020
3268735975,Passer domesticus,EC,"Alejandro Carrion, Quito EC-Pichincha -0.22932, -78.39236",Pichincha,4,-0.229323,-78.39236,2406,10,2020
3681820470,Passer domesticus,EC,Rio Silanche--entrance road,Pichincha,1,0.108158,-79.13607,400,8,2021
2795622102,Passer domesticus,EC,Nanegal--vicinity,Pichincha,1,0.136249,-78.677826,1150,10,2019
2143482525,Passer domesticus,EC,Nanegal--vicinity,Pichincha,1,0.136249,-78.677826,1150,3,2018
2185769762,Passer domesticus,EC,Quito Airport,Pichincha,1,-0.122566,-78.35857,2370,3,2018
3638254701,Passer domesticus,EC,Mindo--pueblo y alrededores inmediatos (town and immediate surroundings),Pichincha,2,-0.051046,-78.7784,1259,8,2021
1156007315,Passer domesticus,EC,Nanegal--vicinity,Pichincha,1,0.136249,-78.677826,1150,2,2014
2161614788,Passer domesticus,EC,San Miguel de Los Bancos--vicinity,Pichincha,3,0.02274,-78.89481,1078,4,2018
2715162057,Passer domesticus,EC,Mirador Rio Blanco -- San Miguel de Los Bancos,Pichincha,1,0.02228,-78.8909,1096,2,2016
3584174468,Passer domesticus,EC,Hotel Alpachaca,Pichincha,4,-0.15728,-78.349525,2434,12,2021
2669110369,Passer domesticus,EC,Gualea,Pichincha,4,0.113127,-78.74937,1268,3,2019
2777739421,Passer domesticus,EC,Tandayapa Bird Lodge,Pichincha,4,0.00235,-78.67743,1742,8,2006
1374630472,Passer domesticus,EC,Mindo--Vía a las cascadas (Waterfall trail),Pichincha,4,-0.062765,-78.77427,1344,6,2015
966569561,Passer domesticus,EC,Nanegal--vicinity,Pichincha,1,0.136249,-78.677826,1150,9,2013
1162182534,Passer domesticus,EC,San Jorge de Milpe,Pichincha,1,0.044357,-78.88368,1059,3,2014
3686631746,Passer domesticus,EC,"Corredor Alpachaca, Quito EC-Pichincha -0.15700, -78.34895",Pichincha,3,-0.156995,-78.348946,2436,12,2021
3511528586,Passer domesticus,EC,Mindo--general area (*HISTORICAL DATA ONLY; please use a more specific location for current checklists),Pichincha,1,-0.049224,-78.776825,1268,3,2021
3517916844,Passer domesticus,EC,San Miguel de Los Bancos--vicinity,Pichincha,2,0.02274,-78.89481,1078,1,2021
2201207728,Passer domesticus,EC,Hostería Rincon de Puembo,Pichincha,2,-0.173506,-78.36059,2437,10,2017
3690425850,Passer domesticus,EC,Pedro Vicente Maldonado--pueblo y alrededores inmediatos (town and immediate surroundings),Pichincha,8,0.087625,-79.05275,613,11,2021
1405177975,Passer domesticus,EC,Mindo--general area (*HISTORICAL DATA ONLY; please use a more specific location for current checklists),Pichincha,1,-0.049224,-78.776825,1268,11,2004
2662574126,Passer domesticus,EC,Rio Silanche Road,Pichincha,2,0.088579,-79.08178,573,12,2001
2773148601,Passer domesticus,EC,San Miguel de Los Bancos--vicinity,Pichincha,3,0.02274,-78.89481,1078,3,2019
2659516799,Passer domesticus,EC,Airbnb near Quito- Rail Trail to Rio Chiche Bridge,Pichincha,1,-0.174351,-78.36625,2411,2,2019
2670106263,Passer domesticus,EC,Nanegal--vicinity,Pichincha,1,0.136249,-78.677826,1150,4,2019
2797459220,Passer domesticus,EC,Los Tubos,Santo Domingo de los Tsáchilas,1,-0.320708,-79.000374,743,10,2019
2660053875,Passer domesticus,EC,Gualea,Pichincha,4,0.113127,-78.74937,1268,3,2019
2717802681,Passer domesticus,EC,Nanegal--vicinity,Pichincha,12,0.136249,-78.677826,1150,11,2019
2696196248,Passer domesticus,EC,Nanegal--vicinity,Pichincha,1,0.136249,-78.677826,1150,8,2019
