gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
279623384,Patagona gigas,EC,Calacalí--Sendero de la Virgen (Trail from shrine),Pichincha,1,0.004016,-78.488235,2852,1,2009
3961143817,Patagona gigas,EC,,Pichincha,1,-0.130919,-78.361163,2376,10,2022
2242872554,Patagona gigas,EC,,Pichincha,1,-0.387614,-78.363247,2931,9,2018
1393386949,Patagona gigas,EC,"Quito--Parque La Carolina, Jardin Botanico",Pichincha,1,-0.186515,-78.48579,2776,10,2015
3658693559,Patagona gigas,EC,Bosque Protector Mindo,Pichincha,1,-0.067463,-78.7506,1603,5,2018
1151342548,Patagona gigas,EC,Ecuador -- Bosque Protetator Jerusalen,Pichincha,1,0.000687,-78.364105,2328,1,2014
2157449709,Patagona gigas,EC,Outside San Antonio de Pichincha,Pichincha,1,0.009002,-78.484474,2738,3,2018
1758945130,Patagona gigas,EC,Puembo Birding Garden,Pichincha,1,-0.165593,-78.36133,2422,9,2016
2794696228,Patagona gigas,EC,"Hotel Hacienda La Jimenita, Pifo",Pichincha,4,-0.234846,-78.3498,2594,8,2019
1793531767,Patagona gigas,EC,Calacalí--Sendero de la Virgen (Trail from shrine),Pichincha,1,0.004016,-78.488235,2852,7,2008
3652329378,Patagona gigas,EC,Parque Los Algarrobos (Cumbaya),Pichincha,1,-0.207522,-78.42036,2258,7,2021
3611794733,Patagona gigas,EC,Stairs down from Parque Itchimbia,Pichincha,1,-0.219141,-78.503876,2849,6,2018
3622791663,Patagona gigas,EC,"San Pablo, Imbabura, EC (0.166, -78.144)",Imbabura,2,0.165598,-78.14396,3782,1,2021
2137224820,Patagona gigas,EC,Laguna de Cuicocha,Imbabura,1,0.30257,-78.36251,3069,6,2007
1354989267,Patagona gigas,EC,Puembo Birding Garden,Pichincha,1,-0.165593,-78.36133,2422,2,2015
1206074220,Patagona gigas,EC,Chaupi Chupa,Pichincha,2,-0.169365,-78.41352,2157,10,2008
279993501,Patagona gigas,EC,Ecu. Outskirts of Quito,Pichincha,1,-0.134582,-78.51208,2981,8,2005
2711209991,Patagona gigas,EC,"(0.0033,-78.4964)",Pichincha,1,0.003254,-78.49638,2862,8,2019
2218586372,Patagona gigas,EC,Quito,Pichincha,1,-0.178294,-78.47131,2873,9,2010
2044900116,Patagona gigas,EC,Mojanda Lodge,Imbabura,1,0.202142,-78.28834,2858,3,2017
2214213545,Patagona gigas,EC,Quito--Barrio Gonzáles Suárez,Pichincha,1,-0.197539,-78.480194,2832,12,2018
1388569379,Patagona gigas,EC,Calacalí--Sendero de la Virgen (Trail from shrine),Pichincha,2,0.004016,-78.488235,2852,9,2015
2796348640,Patagona gigas,EC,Hotel San José Aeropuerto,Pichincha,1,-0.189592,-78.35297,2474,8,2019
591769353,Patagona gigas,EC,"Pifo, Ecuador",Pichincha,1,-0.227279,-78.347626,2584,7,2005
1719692534,Patagona gigas,EC,Pomasqui - general area,Pichincha,1,-0.041971,-78.45525,2428,2,2016
1151350067,Patagona gigas,EC,Ecuador -- Bosque Protetator Jerusalen,Pichincha,1,0.000687,-78.364105,2328,1,2014
3182061755,Patagona gigas,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,11,2008
2716482913,Patagona gigas,EC,"Quito--Parque La Carolina, Jardin Botanico",Pichincha,1,-0.186515,-78.48579,2776,10,2019
2164235143,Patagona gigas,EC,"Hotel Hacienda La Jimenita, Pifo",Pichincha,1,-0.234846,-78.3498,2594,4,2018
2759589970,Patagona gigas,EC,"Unnamed Road, Quito, Pichincha, EC (-0.1, -78.29)",Pichincha,1,-0.100028,-78.29023,2638,1,2019
