gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
3759598149,Penelope montagnii,EC,,Pichincha,1,-0.111059,-78.585479,3522,3,2022
1398544831,Penelope montagnii,EC,Reserva Geobotánica Pululahua (Lower part below 2000m),Pichincha,5,0.077382,-78.518135,1925,11,2011
1372922154,Penelope montagnii,EC,Reserva Yanacocha,Pichincha,3,-0.111752,-78.584694,3528,6,2015
1190925962,Penelope montagnii,EC,Guarumos Transecto impacto P03,Pichincha,1,-0.05083,-78.64372,2666,3,2007
1147050089,Penelope montagnii,EC,"Jocotoco Foundation Reserve - Yanacocha Reserve, Nono",,1,-0.11545,-78.584217,3520,9,2003
3986374306,Penelope montagnii,EC,,Pichincha,1,-0.111739,-78.584856,3530,11,2022
2873778593,Penelope montagnii,EC,,Pichincha,1,-0.11908,-78.589837,3563,9,2020
3963609325,Penelope montagnii,EC,,Pichincha,1,-0.089194,-78.600013,3091,11,2022
3873055412,Penelope montagnii,EC,,Pichincha,1,-0.111757,-78.585165,3529,3,2019
3096988697,Penelope montagnii,EC,,Pichincha,1,0.021214,-78.554424,2673,4,2021
3552694853,Penelope montagnii,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,7,2021
1190914571,Penelope montagnii,EC,Guarumos Transecto impacto P02,Pichincha,1,-0.05136,-78.642,2567,8,2002
3985889672,Penelope montagnii,EC,,Pichincha,1,-0.111739,-78.584856,3530,11,2022
2671646071,Penelope montagnii,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,3,2019
2787130690,Penelope montagnii,EC,Reserva Yanacocha,Pichincha,5,-0.111752,-78.584694,3528,9,2019
3224755061,Penelope montagnii,EC,Reserva Yanacocha,Pichincha,2,-0.111752,-78.584694,3528,1,2020
3540357306,Penelope montagnii,EC,"Plaza Gutierrez (Calvario), Imbabura, EC (0.357, -78.412)",Imbabura,1,0.357445,-78.41236,3239,11,2021
2691808038,Penelope montagnii,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,8,2019
2760430044,Penelope montagnii,EC,Reserva Yanacocha,Pichincha,4,-0.111752,-78.584694,3528,6,2019
1725114812,Penelope montagnii,EC,Ridge above school,Pichincha,3,0.21635,-78.46438,3358,3,2016
2712925154,Penelope montagnii,EC,Reserva Yanacocha,Pichincha,3,-0.111752,-78.584694,3528,12,2019
1190870569,Penelope montagnii,EC,Campanario Transecto control P03,Pichincha,1,-0.03203,-78.6645,2527,9,2005
2190868566,Penelope montagnii,EC,San José de Quichinche,Imbabura,1,0.237299,-78.267525,2523,10,2018
3681879795,Penelope montagnii,EC,"Reserva Geobotánica Pululahua, Quito EC-Pichincha 0.02147, -78.50280",Pichincha,1,0.021465,-78.50281,3059,6,2021
3682052596,Penelope montagnii,EC,Reserva Yanacocha,Pichincha,3,-0.111752,-78.584694,3528,11,2021
2748335146,Penelope montagnii,EC,Reserva Yanacocha,Pichincha,4,-0.111752,-78.584694,3528,2,2019
3680504607,Penelope montagnii,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,7,2021
2217347501,Penelope montagnii,EC,Reserva Yanacocha,Pichincha,2,-0.111752,-78.584694,3528,11,2018
3553172081,Penelope montagnii,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,11,2021
3572800406,Penelope montagnii,EC,Reserva Yanacocha,Pichincha,3,-0.111752,-78.584694,3528,12,2021
1190808345,Penelope montagnii,EC,Guarumos Transecto control P02,Pichincha,1,-0.04556,-78.64794,2714,9,2003
2184134909,Penelope montagnii,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,6,2018
3207526740,Penelope montagnii,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,7,2007
3543483426,Penelope montagnii,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,11,2021
2073305052,Penelope montagnii,EC,Alambi (MANIZAL),Pichincha,3,-0.06623,-78.59909,2825,5,2017
1190892064,Penelope montagnii,EC,Guarumos Transecto impacto P10,Pichincha,1,-0.04753,-78.65253,2661,7,2005
3565467223,Penelope montagnii,EC,Reserva Yanacocha,Pichincha,3,-0.111752,-78.584694,3528,7,2021
3282734403,Penelope montagnii,EC,Parque Metropolitano Chilibulo Huayrapungo,Pichincha,2,-0.2485,-78.55843,3033,12,2020
1190964180,Penelope montagnii,EC,"Hacienda Verdecocha, Reserva Privada",Pichincha,1,-0.120667,-78.597664,3351,6,2007
3189037239,Penelope montagnii,EC,Reserva Zuro Loma,Pichincha,3,-0.088671,-78.599754,3108,10,2020
1753815352,Penelope montagnii,EC,Reserva Yanacocha,Pichincha,2,-0.111752,-78.584694,3528,8,2016
977764188,Penelope montagnii,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,10,2012
1346283595,Penelope montagnii,EC,Reserva Geobotánica Pululahua--general area,Pichincha,1,0.040374,-78.50293,2405,1,2015
3572409227,Penelope montagnii,EC,Reserva Yanacocha,Pichincha,2,-0.111752,-78.584694,3528,8,2021
1778832214,Penelope montagnii,EC,Area de Protección y Conservación Cerro Blanco,Imbabura,5,0.209989,-78.34595,3209,12,2016
3298864234,Penelope montagnii,EC,Tandayapa-Bellavista general area (*HISTORICAL DATA ONLY; please use a more specific location for current checklists),Pichincha,1,-0.00206,-78.68189,2048,7,2020
2774511034,Penelope montagnii,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,3,2005
2094482264,Penelope montagnii,EC,Cascada De Toxopamba,Imbabura,2,0.200556,-78.28826,2893,9,2017
2665571987,Penelope montagnii,EC,Reserva Yanacocha,Pichincha,3,-0.111752,-78.584694,3528,3,2019
3198695390,Penelope montagnii,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,8,2019
2745466093,Penelope montagnii,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,7,2019
3633025971,Penelope montagnii,EC,"Reserva Geobotánica Pululahua, Quito EC-Prowincja Pichincha 0.00252, -78.54321",Pichincha,2,0.002517,-78.543205,2659,10,2021
3552385330,Penelope montagnii,EC,Reserva Yanacocha,Pichincha,2,-0.111752,-78.584694,3528,8,2021
3689893989,Penelope montagnii,EC,Reserva Yanacocha,Pichincha,3,-0.111752,-78.584694,3528,11,2021
592702182,Penelope montagnii,EC,Pululahua,Pichincha,2,0.032272,-78.5092,2854,11,2010
3590198224,Penelope montagnii,EC,Reserva Zuro Loma,Pichincha,2,-0.088671,-78.599754,3108,4,2021
3178616141,Penelope montagnii,EC,Parque Metropolitano Chilibulo Huayrapungo,Pichincha,1,-0.2485,-78.55843,3033,9,2020
2189978347,Penelope montagnii,EC,Reserva Yanacocha,Pichincha,5,-0.111752,-78.584694,3528,8,2018
2130028387,Penelope montagnii,EC,Mindo Lindo,Pichincha,4,-0.024389,-78.76986,1647,1,2018
1190792318,Penelope montagnii,EC,"Chiquilpe Transecto impacto, Punto 2",Pichincha,2,-0.029,-78.599,2789,4,2003
2133801045,Penelope montagnii,EC,Reserva Yanacocha,Pichincha,3,-0.111752,-78.584694,3528,3,2018
2772222355,Penelope montagnii,EC,Parque Metropolitano Chilibulo Huayrapungo,Pichincha,1,-0.2485,-78.55843,3033,6,2019
2710469849,Penelope montagnii,EC,Laguna de Mojanda (Provincia Imbabura),Imbabura,3,0.149174,-78.264626,3730,9,2019
1349154245,Penelope montagnii,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,1,2015
2113988952,Penelope montagnii,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,1,2018
3581741598,Penelope montagnii,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,12,2021
1190846331,Penelope montagnii,EC,"Chiquilpe Transecto impacto, Punto 10",Pichincha,1,-0.04,-78.61,3054,7,2004
2103147844,Penelope montagnii,EC,Reserva Yanacocha,Pichincha,2,-0.111752,-78.584694,3528,10,2017
1190634863,Penelope montagnii,EC,Guarumos Transecto control P03,Pichincha,1,-0.04425,-78.64864,2601,10,2003
2737752206,Penelope montagnii,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,3,2019
2777617200,Penelope montagnii,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,11,2010
2704966563,Penelope montagnii,EC,Reserva Yanacocha,Pichincha,6,-0.111752,-78.584694,3528,11,2019
280215842,Penelope montagnii,EC,Yanacocha Reserve,Pichincha,1,-0.10643,-78.558426,3418,12,2005
1190703298,Penelope montagnii,EC,"Chiquilpe Transecto impacto, Punto 9",Pichincha,1,-0.03,-78.61,3089,10,2003
1190710285,Penelope montagnii,EC,Guarumos Transecto control P03,Pichincha,1,-0.04425,-78.64864,2601,10,2007
2791120066,Penelope montagnii,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,7,2019
2229114565,Penelope montagnii,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,11,2018
3615085075,Penelope montagnii,EC,Reserva Yanacocha,Pichincha,3,-0.111752,-78.584694,3528,3,2021
3579307723,Penelope montagnii,EC,"Pichincha, EC (0,048, -78,504)",Pichincha,3,0.048427,-78.50416,2413,9,2021
3544825139,Penelope montagnii,EC,Laguna de Mojanda (Pichincha),Pichincha,1,0.133457,-78.26295,3723,10,2021
