gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
2243629513,Penelope ortoni,EC,"Reserva Los Cedros, Imbabura",,1,0.3139,-78.7864,1507,6,2008
2785020151,Penelope ortoni,EC,Reserva Los Cedros,Imbabura,3,0.321968,-78.787,1820,7,2018
2799218032,Penelope ortoni,EC,Reserva Los Cedros,Imbabura,3,0.321968,-78.787,1820,7,2018
2189335383,Penelope ortoni,EC,Reserva Los Cedros,Imbabura,3,0.321968,-78.787,1820,7,2018
2120476313,Penelope ortoni,EC,Mindo--La Tatabrera,Pichincha,1,-0.051005,-78.780785,1249,12,2017
1400746152,Penelope ortoni,EC,Reserva Mangaloma,Pichincha,3,0.122652,-78.99485,843,5,2006
2744586322,Penelope ortoni,EC,Reserva los Cedros,Imbabura,1,0.308752,-78.779396,1392,5,2019
3597772283,Penelope ortoni,EC,Mashpi--Lodge and trails,Pichincha,1,0.166125,-78.878876,931,5,2021
2716922205,Penelope ortoni,EC,Mashpi--Lodge and trails,Pichincha,1,0.166125,-78.878876,931,9,2019
1718352762,Penelope ortoni,EC,Reserva Los Cedros,Imbabura,1,0.321968,-78.787,1820,2,2016
2061063958,Penelope ortoni,EC,Mashpi--Entrance road before gate,Pichincha,1,0.160629,-78.84993,1340,4,2017
1737701266,Penelope ortoni,EC,La Tatabrera,Pichincha,2,-0.047271,-78.78224,1274,5,2016
2790796716,Penelope ortoni,EC,"Comunidad De Brillasol - Garcia Moreno (0.31, -78.759)",Imbabura,2,0.309776,-78.759384,1329,10,2018
2117236097,Penelope ortoni,EC,Reserva Los Cedros,Imbabura,1,0.321968,-78.787,1820,1,2012
1793050617,Penelope ortoni,EC,Mashpi--general area,Pichincha,1,0.16546,-78.84751,1293,4,2014
3654536914,Penelope ortoni,EC,Reserva las Tangaras,Pichincha,1,-0.077419,-78.76933,1427,12,2021
3652413362,Penelope ortoni,EC,Mashpi--Lodge and trails,Pichincha,2,0.166125,-78.878876,931,11,2021
1789885220,Penelope ortoni,EC,Reserva Los Cedros,Imbabura,3,0.321968,-78.787,1820,6,2008
2774310047,Penelope ortoni,EC,Ingreso a los Cedros,Imbabura,2,0.318833,-78.7552,1393,10,2019
3163459216,Penelope ortoni,EC,Mashpi--Lodge and trails,Pichincha,1,0.166125,-78.878876,931,9,2019
972294645,Penelope ortoni,EC,Mashpi--Lodge and trails,Pichincha,3,0.166125,-78.878876,931,11,2013
1718334232,Penelope ortoni,EC,Reserva Los Cedros,Imbabura,2,0.321968,-78.787,1820,2,2016
1411066562,Penelope ortoni,EC,Reserva Los Cedros,Imbabura,1,0.321968,-78.787,1820,9,2006
1147142469,Penelope ortoni,EC,Reserva Los Cedros,Imbabura,1,0.321968,-78.787,1820,6,2008
935284594,Penelope ortoni,EC,Mashpi--general area,Pichincha,1,0.16546,-78.84751,1293,1,2013
3585254311,Penelope ortoni,EC,Reserva las Tangaras,Pichincha,1,-0.077419,-78.76933,1427,12,2021
2740669046,Penelope ortoni,EC,Reserva las Tangaras,Pichincha,2,-0.077419,-78.76933,1427,1,2019
2102696322,Penelope ortoni,EC,Mashpi--Lodge and trails,Pichincha,3,0.166125,-78.878876,931,12,2017
2151421929,Penelope ortoni,EC,Mashpi--Lodge and trails,Pichincha,2,0.166125,-78.878876,931,3,2018
3539324830,Penelope ortoni,EC,Reserva Los Cedros,Imbabura,2,0.321968,-78.787,1820,5,2021
3672511958,Penelope ortoni,EC,Alex PO,Pichincha,1,0.165965,-78.8785,932,5,2021
2748304914,Penelope ortoni,EC,Reserva las Tangaras,Pichincha,5,-0.077419,-78.76933,1427,1,2019
1751342964,Penelope ortoni,EC,Reserva Los Cedros,Imbabura,1,0.321968,-78.787,1820,1,2010
2197147779,Penelope ortoni,EC,Reserva Los Cedros,Imbabura,3,0.321968,-78.787,1820,7,2018
2080493123,Penelope ortoni,EC,Mashpi--Lodge and trails,Pichincha,1,0.166125,-78.878876,931,7,2017
3693335919,Penelope ortoni,EC,Mashpi--Lodge and trails,Pichincha,2,0.166125,-78.878876,931,11,2021
1751372238,Penelope ortoni,EC,Reserva Los Cedros,Imbabura,1,0.321968,-78.787,1820,1,2010
1753615375,Penelope ortoni,EC,Reserva Los Cedros,Imbabura,1,0.321968,-78.787,1820,12,2007
1790306855,Penelope ortoni,EC,Reserva Los Cedros,Imbabura,3,0.321968,-78.787,1820,6,2008
2117905300,Penelope ortoni,EC,Reserva Los Cedros,Imbabura,1,0.321968,-78.787,1820,1,2012
2190787310,Penelope ortoni,EC,"EC-Pichincha-Quito (0,1661,-78,8792)",Pichincha,1,0.166114,-78.87922,924,7,2018
2130422260,Penelope ortoni,EC,"(0.166, -78.877)",Pichincha,2,0.166463,-78.87743,950,1,2018
1405380997,Penelope ortoni,EC,Mashpi--Lodge and trails,Pichincha,1,0.166125,-78.878876,931,12,2015
