gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
2243695285,Phalacrocorax brasilianus,EC,Imbabura: Lago San Pablo,,1,0.213,-78.214,2659,12,2014
3388032283,Phalacrocorax brasilianus,EC,Tinalandia Lodge,,1,-0.308046,-79.038895,679,12,2004
2125554114,Phalacrocorax brasilianus,EC,"Unknown Location - (-0.05, -78.789)",Pichincha,2,-0.050172,-78.788826,1193,1,2018
3154784165,Phalacrocorax brasilianus,EC,Lago San Pablo,Imbabura,6,0.20874,-78.23227,2657,3,2020
3618240780,Phalacrocorax brasilianus,EC,Pifo y alrededores,Pichincha,1,-0.233266,-78.336,2616,11,2021
3297242472,Phalacrocorax brasilianus,EC,Garceta Sol,Pichincha,8,-0.059832,-78.789986,1218,12,2020
3133420494,Phalacrocorax brasilianus,EC,Maquipucuna--road,Pichincha,7,0.125055,-78.650696,1177,1,2020
2226052612,Phalacrocorax brasilianus,EC,Mirador Rio Blanco -- San Miguel de Los Bancos,Pichincha,2,0.02228,-78.8909,1096,11,2018
2740794092,Phalacrocorax brasilianus,EC,"Ecuador - Via a Cinto, SN Miguel Bancos EC-Pichincha (-0.0610,-78.7901)",Pichincha,1,-0.060983,-78.790054,1202,2,2019
1397792953,Phalacrocorax brasilianus,EC,Mindo--general area (*HISTORICAL DATA ONLY; please use a more specific location for current checklists),Pichincha,1,-0.049224,-78.776825,1268,11,2015
3282398035,Phalacrocorax brasilianus,EC,"Vía el Achiote, Pichincha, EC (0.113, -79.237)",Pichincha,1,0.113319,-79.23691,160,10,2020
2185679006,Phalacrocorax brasilianus,EC,"(-0.0582,-78.7799)",Pichincha,1,-0.058169,-78.77991,1235,7,2018
3274059418,Phalacrocorax brasilianus,EC,Tinalandia Lodge,Santo Domingo de los Tsáchilas,3,-0.297504,-79.051796,686,11,2017
2752062725,Phalacrocorax brasilianus,EC,Mindo--El Descanso Lodge,Pichincha,1,-0.054754,-78.777405,1241,5,2018
3186385071,Phalacrocorax brasilianus,EC,"Pachijal, Pichincha, EC (0.164, -78.935)",Pichincha,1,0.163691,-78.93546,507,9,2020
