gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
3013919313,Pheucticus chrysogaster,EC,,Pichincha,1,-0.2,-78.426,2327,12,2017
3760005097,Pheucticus chrysogaster,EC,,Pichincha,1,-0.197591,-78.404253,2295,4,2022
3391638138,Pheucticus chrysogaster,EC,,Pichincha,1,-0.193508,-78.375311,2255,10,2021
2243634049,Pheucticus chrysogaster,EC,"Quito, Distrito Metropolitano de Quito, Pichincha",,1,-0.1776,-78.467,2908,2,2015
2848590229,Pheucticus chrysogaster,EC,"Quito, Calderón, Pichincha",,1,-0.0988,-78.4129,2505,4,2020
2243720060,Pheucticus chrysogaster,EC,"Jardin Botanico, Quito",,1,-0.1864,-78.4848,2773,4,2016
922825871,Pheucticus chrysogaster,EC,UTM50_17M_0750_9950,,1,-0.225971,-78.529396,2998,12,2012
2841079869,Pheucticus chrysogaster,EC,Ecuador - Pichincha,,2,-0.166191,-78.360748,2422,10,2018
2844479492,Pheucticus chrysogaster,EC,Ecuador - Quito,,2,-0.19751,-78.471992,2586,5,2019
1201275977,Pheucticus chrysogaster,EC,Casa Jardin Turi Quindi,Pichincha,3,-0.32526,-78.46779,2485,11,2014
2190715466,Pheucticus chrysogaster,EC,Parque Guápulo,Pichincha,1,-0.196777,-78.47306,2609,10,2014
3269567641,Pheucticus chrysogaster,EC,Casa X,Pichincha,1,-0.283681,-78.46381,2458,5,2020
1404987669,Pheucticus chrysogaster,EC,Puembo Birding Garden,Pichincha,1,-0.165593,-78.36133,2422,12,2015
2695851947,Pheucticus chrysogaster,EC,San Jorge Ecolodge (Quito),Pichincha,6,-0.11649,-78.52343,3187,1,2017
3259130024,Pheucticus chrysogaster,EC,"Quito, Pichincha, EC (-0,352, -78,559)",Pichincha,2,-0.351582,-78.55884,3085,5,2020
3146326845,Pheucticus chrysogaster,EC,La Terraza De Guapulo,Pichincha,1,-0.201141,-78.47718,2686,4,2020
2784372004,Pheucticus chrysogaster,EC,Parque Guápulo,Pichincha,4,-0.196777,-78.47306,2609,12,2019
2169446068,Pheucticus chrysogaster,EC,"(0.298, -78.274)",Imbabura,5,0.297608,-78.27394,2458,7,2018
3330683215,Pheucticus chrysogaster,EC,,Pichincha,1,-0.197818,-78.404175,2298,7,2021
1948776710,Pheucticus chrysogaster,EC,,Pichincha,1,-0.002779,-78.369011,2313,11,2018
2988410604,Pheucticus chrysogaster,EC,,Pichincha,1,-0.34253,-78.450052,2520,11,2020
3355265084,Pheucticus chrysogaster,EC,,Pichincha,1,-0.198044,-78.403597,2283,9,2021
3456870779,Pheucticus chrysogaster,EC,,Pichincha,1,-0.197555,-78.404229,2294,12,2021
3070599937,Pheucticus chrysogaster,EC,,Pichincha,1,0.025089,-78.483042,2838,2,2013
3328041084,Pheucticus chrysogaster,EC,,Pichincha,1,-0.219283,-78.41513,2317,7,2021
3013863327,Pheucticus chrysogaster,EC,,Pichincha,1,-0.207,-78.402,2329,12,2017
3384719607,Pheucticus chrysogaster,EC,,Pichincha,1,-0.197492,-78.404195,2291,9,2021
1202351690,Pheucticus chrysogaster,EC,Tumbaco,Pichincha,1,-0.217643,-78.3902,2355,3,2008
2789311103,Pheucticus chrysogaster,EC,Jardin Botánico Quito,Pichincha,2,-0.185931,-78.48519,2775,9,2019
2790038376,Pheucticus chrysogaster,EC,Reserva Bellavista--general area,Pichincha,1,-0.016544,-78.68791,2278,12,2019
3523599717,Pheucticus chrysogaster,EC,Cascadas de Peguche,Imbabura,4,0.238523,-78.23871,2616,1,2021
3925453200,Pheucticus chrysogaster,EC,,Pichincha,1,-0.10898,-78.584044,3492,6,2014
3112540158,Pheucticus chrysogaster,EC,,Pichincha,1,-0.23735,-78.406837,2679,4,2021
2397563897,Pheucticus chrysogaster,EC,,Pichincha,1,-0.046315,-78.307933,2298,12,2013
2216552627,Pheucticus chrysogaster,EC,Mitad del Mundo,Pichincha,1,-0.002274,-78.4559,2475,1,2012
839162361,Pheucticus chrysogaster,EC,Quito Area,Pichincha,1,-0.230242,-78.51465,2793,2,2012
2723266861,Pheucticus chrysogaster,EC,San Jose de Puembo,Pichincha,1,-0.190934,-78.35197,2482,10,2019
3203728917,Pheucticus chrysogaster,EC,"18 Pumapungo, Quito, Pichincha, EC (-0.294, -78.552)",Pichincha,1,-0.293509,-78.55233,2889,11,2020
3233945123,Pheucticus chrysogaster,EC,Conjunto Papyrus 1,Pichincha,1,-0.278907,-78.455345,2446,5,2020
2123466558,Pheucticus chrysogaster,EC,Tandayapa Bird Lodge,Pichincha,1,0.00235,-78.67743,1742,1,2006
837634906,Pheucticus chrysogaster,EC,Areas between Quito and Yanacocha,Pichincha,1,-0.102763,-78.54394,3358,8,2005
2778322928,Pheucticus chrysogaster,EC,Bellavista Cloud Forest Lodge,Pichincha,1,-0.015922,-78.681206,2242,11,2019
255807007,Pheucticus chrysogaster,EC,Bellavista Cloud Forest Lodge,Pichincha,3,-0.015922,-78.681206,2242,8,2006
3565963487,Pheucticus chrysogaster,EC,Hotel San José Aeropuerto,Pichincha,1,-0.189592,-78.35297,2474,11,2021
3236571153,Pheucticus chrysogaster,EC,The Quito Guest House with Yellow Balconies,Pichincha,1,-0.217361,-78.5021,2852,5,2020
1726304015,Pheucticus chrysogaster,EC,Rumicucho Ruins,Pichincha,1,0.011586,-78.43194,2394,4,2016
3276623872,Pheucticus chrysogaster,EC,Reserva Bellavista--general area,Pichincha,1,-0.016544,-78.68791,2278,10,2020
3237552638,Pheucticus chrysogaster,EC,"Carabuela general area, Otavalo",Imbabura,2,0.26843,-78.25228,2605,7,2020
