gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
3415537764,Podilymbus podiceps,EC,,Pichincha,1,-0.111317,-78.364834,2345,11,2021
2658843098,Podilymbus podiceps,EC,Quito airport pond,Pichincha,3,-0.109842,-78.36495,2341,2,2019
1406575352,Podilymbus podiceps,EC,Lago San Pablo,Imbabura,3,0.20874,-78.23227,2657,10,2011
2657459318,Podilymbus podiceps,EC,Laguna de Cuicocha,Imbabura,2,0.30257,-78.36251,3069,2,2019
2030400467,Podilymbus podiceps,EC,"EC-Imbabura-Otavalo - 0.2152x-78.2378 - Jan 19, 2017, 08:02",Imbabura,3,0.215191,-78.23778,2661,1,2017
2719834413,Podilymbus podiceps,EC,Quito airport pond,Pichincha,25,-0.109842,-78.36495,2341,10,2019
3192212531,Podilymbus podiceps,EC,Quito airport pond,Pichincha,4,-0.109842,-78.36495,2341,11,2020
3642015119,Podilymbus podiceps,EC,"Vía Pachijal - Cielo Verde, Quito EC-Pichincha 0.21733, -78.89310",Pichincha,6,0.21733,-78.8931,489,11,2021
2046566684,Podilymbus podiceps,EC,Lago San Pablo,Imbabura,7,0.20874,-78.23227,2657,2,2017
2744499531,Podilymbus podiceps,EC,Lago San Pablo,Imbabura,4,0.20874,-78.23227,2657,2,2019
2690305434,Podilymbus podiceps,EC,Lago San Pablo--humedal de aguas residuales (water treatment wetland),Imbabura,1,0.199889,-78.2337,2660,7,2019
1409464987,Podilymbus podiceps,EC,Otavalo--general area,Imbabura,1,0.234403,-78.25862,2529,2,2003
2121018075,Podilymbus podiceps,EC,Quito airport pond,Pichincha,1,-0.109842,-78.36495,2341,3,2018
2097787643,Podilymbus podiceps,EC,Quito airport pond,Pichincha,15,-0.109842,-78.36495,2341,9,2017
2704345764,Podilymbus podiceps,EC,Lago San Pablo,Imbabura,8,0.20874,-78.23227,2657,10,2019
1190837875,Podilymbus podiceps,EC,Lago San Pablo,Imbabura,13,0.20874,-78.23227,2657,2,2006
