gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
2243569370,Pyriglena leuconota,EC,"Distrito Metropolitano de Quito, Pichincha",,1,0.0992,-78.6048,1734,1,2013
3678746013,Pyriglena leuconota,EC,Reserva Maquipucuna,Pichincha,1,0.120898,-78.63837,1310,10,2021
2687573895,Pyriglena leuconota,EC,Reserva Maquipucuna,Pichincha,1,0.120898,-78.63837,1310,6,2019
2211208365,Pyriglena leuconota,EC,Reserva Maquipucuna,Pichincha,1,0.120898,-78.63837,1310,11,2018
2712657692,Pyriglena leuconota,EC,Reserva Maquipucuna,Pichincha,1,0.120898,-78.63837,1310,9,2019
2168227311,Pyriglena leuconota,EC,Reserva Maquipucuna,Pichincha,1,0.120898,-78.63837,1310,5,2018
2717339335,Pyriglena leuconota,EC,Maquipucuna Lodge,Pichincha,2,0.124139,-78.62937,1272,11,2019
3556172055,Pyriglena leuconota,EC,Reserva Maquipucuna,Pichincha,2,0.120898,-78.63837,1310,10,2021
1378996858,Pyriglena leuconota,EC,Reserva Maquipucuna,Pichincha,1,0.120898,-78.63837,1310,7,2015
1774683537,Pyriglena leuconota,EC,Reserva Maquipucuna,Pichincha,1,0.120898,-78.63837,1310,11,2016
1384061758,Pyriglena leuconota,EC,Reserva Maquipucuna,Pichincha,1,0.120898,-78.63837,1310,8,2015
2162458880,Pyriglena leuconota,EC,Reserva Maquipucuna,Pichincha,1,0.120898,-78.63837,1310,5,2018
2655378291,Pyriglena leuconota,EC,Reserva Maquipucuna,Pichincha,1,0.120898,-78.63837,1310,2,2019
2176428356,Pyriglena leuconota,EC,Reserva Maquipucuna,Pichincha,1,0.120898,-78.63837,1310,7,2018
2031043919,Pyriglena leuconota,EC,Reserva Maquipucuna,Pichincha,1,0.120898,-78.63837,1310,1,2017
3661525705,Pyriglena leuconota,EC,Reserva Maquipucuna,Pichincha,1,0.120898,-78.63837,1310,10,2021
1758302877,Pyriglena leuconota,EC,Santa Marianita,Pichincha,1,0.130697,-78.66666,1171,8,2016
1746045416,Pyriglena leuconota,EC,Reserva Maquipucuna,Pichincha,1,0.120898,-78.63837,1310,6,2016
2774338245,Pyriglena leuconota,EC,Reserva Maquipucuna,Pichincha,1,0.120898,-78.63837,1310,5,2019
3195127547,Pyriglena leuconota,EC,Reserva Maquipucuna,Pichincha,2,0.120898,-78.63837,1310,1,2012
3556560223,Pyriglena leuconota,EC,Maquipucuna Lodge,Pichincha,1,0.124139,-78.62937,1272,11,2005
2773569631,Pyriglena leuconota,EC,Reserva Maquipucuna,Pichincha,2,0.120898,-78.63837,1310,12,2019
1388411843,Pyriglena leuconota,EC,Macquipucana,Pichincha,1,0.053172,-78.68131,1509,8,2007
3211120039,Pyriglena leuconota,EC,Reserva Maquipucuna,Pichincha,2,0.120898,-78.63837,1310,11,2020
3266557151,Pyriglena leuconota,EC,Maquipucuna Lodge,Pichincha,2,0.124139,-78.62937,1272,10,2020
3566198717,Pyriglena leuconota,EC,Reserva Maquipucuna,Pichincha,4,0.120898,-78.63837,1310,10,2021
1762420166,Pyriglena leuconota,EC,Reserva Maquipucuna,Pichincha,1,0.120898,-78.63837,1310,9,2016
3183701627,Pyriglena leuconota,EC,Reserva Maquipucuna,Pichincha,5,0.120898,-78.63837,1310,10,2020
1742586450,Pyriglena leuconota,EC,Reserva Maquipucuna,Pichincha,1,0.120898,-78.63837,1310,5,2016
2726801108,Pyriglena leuconota,EC,Rio Silanche--general area,Pichincha,1,0.117101,-79.13609,393,10,2019
2695251279,Pyriglena leuconota,EC,Reserva Maquipucuna,Pichincha,1,0.120898,-78.63837,1310,4,2019
1206601517,Pyriglena leuconota,EC,Reserva Maquipucuna,Pichincha,1,0.120898,-78.63837,1310,2,2011
3684606012,Pyriglena leuconota,EC,Maquipucuna Lodge,Pichincha,1,0.124139,-78.62937,1272,5,2021
2224252287,Pyriglena leuconota,EC,Hotel Tinalandia,Santo Domingo de los Tsáchilas,1,-0.299136,-79.0526,732,11,2015
2222277779,Pyriglena leuconota,EC,Reserva Maquipucuna,Pichincha,1,0.120898,-78.63837,1310,11,2018
3573592011,Pyriglena leuconota,EC,"Nanegal, Pichincha, EC (0.126, -78.631)",Pichincha,1,0.126057,-78.630585,1322,11,2021
1386975147,Pyriglena leuconota,EC,Reserva Maquipucuna,Pichincha,1,0.120898,-78.63837,1310,9,2015
3616075219,Pyriglena leuconota,EC,Cerro Campana,Pichincha,1,0.126663,-78.626854,1354,5,2021
598251092,Pyriglena leuconota,EC,Reserva Maquipucuna,Pichincha,1,0.120898,-78.63837,1310,11,2011
2064100326,Pyriglena leuconota,EC,Reserva Maquipucuna,Pichincha,1,0.120898,-78.63837,1310,4,2017
3173590634,Pyriglena leuconota,EC,Kapari Natural Lodge,Pichincha,1,-0.001202,-78.94196,916,6,2020
2769037031,Pyriglena leuconota,EC,Reserva Maquipucuna,Pichincha,1,0.120898,-78.63837,1310,9,2019
3557507818,Pyriglena leuconota,EC,Reserva Maquipucuna,Pichincha,1,0.120898,-78.63837,1310,10,2021
1400734170,Pyriglena leuconota,EC,Reserva Mangaloma,Pichincha,1,0.122652,-78.99485,843,5,2006
1769130646,Pyriglena leuconota,EC,Reserva Maquipucuna,Pichincha,1,0.120898,-78.63837,1310,10,2016
2775659120,Pyriglena leuconota,EC,Reserva Maquipucuna,Pichincha,1,0.120898,-78.63837,1310,8,2019
2656865107,Pyriglena leuconota,EC,Reserva Maquipucuna,Pichincha,1,0.120898,-78.63837,1310,2,2019
3514201267,Pyriglena leuconota,EC,Maquipucuna Lodge,Pichincha,1,0.124139,-78.62937,1272,11,2005
3593649494,Pyriglena leuconota,EC,Maquipucuna Lodge,Pichincha,1,0.124139,-78.62937,1272,4,2021
3542647818,Pyriglena leuconota,EC,Reserva Maquipucuna,Pichincha,3,0.120898,-78.63837,1310,10,2021
2044044698,Pyriglena leuconota,EC,Reserva Maquipucuna,Pichincha,1,0.120898,-78.63837,1310,2,2017
3155132485,Pyriglena leuconota,EC,Reserva Maquipucuna,Pichincha,1,0.120898,-78.63837,1310,2,2020
2718242108,Pyriglena leuconota,EC,Reserva Maquipucuna,Pichincha,1,0.120898,-78.63837,1310,10,2019
3682910493,Pyriglena leuconota,EC,Reserva Maquipucuna,Pichincha,1,0.120898,-78.63837,1310,10,2021
2720956288,Pyriglena leuconota,EC,Reserva Maquipucuna,Pichincha,1,0.120898,-78.63837,1310,9,2019
3669706056,Pyriglena leuconota,EC,Maquipucuna Lodge,Pichincha,1,0.124139,-78.62937,1272,4,2021
3586918563,Pyriglena leuconota,EC,Maquipucuna Lodge,Pichincha,1,0.124139,-78.62937,1272,11,2005
3263826079,Pyriglena leuconota,EC,Reserva Maquipucuna,Pichincha,1,0.120898,-78.63837,1310,12,2020
2760994095,Pyriglena leuconota,EC,Maquipucuna Lodge,Pichincha,2,0.124139,-78.62937,1272,10,2019
