gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
1147218099,Querula purpurata,EC,Selanche Road Km 126,,1,-0.1427,-79.141567,484,9,2003
3581269371,Querula purpurata,EC,Rio Silanche--general area,Pichincha,1,0.117101,-79.13609,393,10,2021
2711946309,Querula purpurata,EC,Ruta Cascada Caimán Puerto Quito,Pichincha,3,0.063082,-79.14479,446,12,2019
3187413809,Querula purpurata,EC,Lenguajeo (ASOANE) Nueva Esperanza,Pichincha,3,0.09108,-79.27806,234,10,2020
1708912387,Querula purpurata,EC,Reserva/Finca Mashpi-Shungo (Mashpi Chocolate Artesanal Farm),Pichincha,2,0.182478,-78.9123,514,1,2016
2799628145,Querula purpurata,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,11,2017
3557805176,Querula purpurata,EC,Rio Silanche Bird Sanctuary,Pichincha,2,0.145185,-79.14147,402,11,2021
2031768529,Querula purpurata,EC,Rio Silanche Bird Sanctuary,Pichincha,4,0.145185,-79.14147,402,2,2017
1201374929,Querula purpurata,EC,Rio Silanche Bird Sanctuary,Pichincha,2,0.145185,-79.14147,402,11,2014
2114264484,Querula purpurata,EC,Rio Silanche--general area,Pichincha,1,0.117101,-79.13609,393,8,2005
3504693171,Querula purpurata,EC,Shino Pi Bolon,Santo Domingo de los Tsáchilas,1,-0.148824,-79.32468,326,1,2021
2085591921,Querula purpurata,EC,Rio Silanche--general area,Pichincha,1,0.117101,-79.13609,393,8,2017
3655232136,Querula purpurata,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,12,2021
2123158033,Querula purpurata,EC,Reserva/Finca Mashpi-Shungo (Mashpi Chocolate Artesanal Farm),Pichincha,1,0.182478,-78.9123,514,12,2017
3145515690,Querula purpurata,EC,La Delicia--Guayabillas road (lower part below Mashpi turnoff),Pichincha,3,0.195715,-78.872116,766,1,2020
2757587135,Querula purpurata,EC,Rio Silanche Bird Sanctuary,Pichincha,2,0.145185,-79.14147,402,10,2010
1355721206,Querula purpurata,EC,Rio Silanche Reserve--Parking Lot and Trail .1450 X -79.1415,Pichincha,2,0.145,-79.14146,406,3,2015
837613282,Querula purpurata,EC,Santuario Aves Río Silanche,Pichincha,1,0.125522,-79.10224,496,1,2005
1354093013,Querula purpurata,EC,Rio Silanche Bird Sanctuary,Pichincha,2,0.145185,-79.14147,402,3,2015
2772849957,Querula purpurata,EC,Rio Silanche Bird Sanctuary,Pichincha,2,0.145185,-79.14147,402,10,2019
2677786584,Querula purpurata,EC,Rio Silanche--general area,Pichincha,2,0.117101,-79.13609,393,5,2019
