gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
2243871980,Rhytipterna holerythra,EC,"NW of La Celica, Pichincha",,1,0.267,-79.2048,244,2,2001
2030818079,Rhytipterna holerythra,EC,Rio Silanche--general area,Pichincha,1,0.117101,-79.13609,393,1,2017
1745765997,Rhytipterna holerythra,EC,Rio Silanche--general area,Pichincha,1,0.117101,-79.13609,393,6,2016
1745511382,Rhytipterna holerythra,EC,Rio Silanche--general area,Pichincha,1,0.117101,-79.13609,393,6,2016
3562574090,Rhytipterna holerythra,EC,Seleccionado automáticamente,Pichincha,1,0.170948,-78.925896,626,1,2021
2762945895,Rhytipterna holerythra,EC,Reserva Mangaloma,Pichincha,1,0.122652,-78.99485,843,7,2014
3527623552,Rhytipterna holerythra,EC,Reserva Mangaloma,Pichincha,1,0.122652,-78.99485,843,5,2021
183236109,Rhytipterna holerythra,EC,Milpe road (end),Pichincha,1,0.075531,-78.927155,905,7,2008
278359588,Rhytipterna holerythra,EC,Milpe Bird Sanctuary,Pichincha,1,0.033327,-78.868454,1110,8,2007
2754351438,Rhytipterna holerythra,EC,Rancho Suamox,Pichincha,1,0.10746,-79.166534,377,7,2019
2114831183,Rhytipterna holerythra,EC,Milpe Bird Sanctuary,Pichincha,1,0.033327,-78.868454,1110,5,2004
2114138163,Rhytipterna holerythra,EC,Milpe Bird Sanctuary,Pichincha,1,0.033327,-78.868454,1110,4,2004
3526968067,Rhytipterna holerythra,EC,Reserva Mangaloma,Pichincha,1,0.122652,-78.99485,843,2,2021
3660523650,Rhytipterna holerythra,EC,Mashpi--Lodge and trails,Pichincha,1,0.166125,-78.878876,931,4,2018
1171890573,Rhytipterna holerythra,EC,Milpe--end of the road,Pichincha,1,0.07727,-78.93023,912,9,2007
1207365226,Rhytipterna holerythra,EC,Milpe Bird Sanctuary and Road,Pichincha,1,0.028153,-78.88853,1077,2,2009
2722157203,Rhytipterna holerythra,EC,Cuatro Rios (Four Rivers),Pichincha,1,0.071925,-78.982285,778,9,2001
2123395734,Rhytipterna holerythra,EC,Milpe Bird Sanctuary,Pichincha,1,0.033327,-78.868454,1110,2,2004
937549994,Rhytipterna holerythra,EC,Milpe Bird Sanctuary,Pichincha,1,0.033327,-78.868454,1110,9,2007
280180245,Rhytipterna holerythra,EC,Milpe Bird Sanctuary,Pichincha,1,0.033327,-78.868454,1110,8,2007
1722067155,Rhytipterna holerythra,EC,Reserva Amagusa,Pichincha,1,0.1598,-78.8534,1302,3,2016
2796315299,Rhytipterna holerythra,EC,Mashpi--Lodge and trails,Pichincha,1,0.166125,-78.878876,931,9,2019
2150245377,Rhytipterna holerythra,EC,Mashpi--Lodge and trails,Pichincha,1,0.166125,-78.878876,931,4,2018
2101139523,Rhytipterna holerythra,EC,Milpe Bird Sanctuary,Pichincha,1,0.033327,-78.868454,1110,11,2001
278321027,Rhytipterna holerythra,EC,Milpe Bird Sanctuary,Pichincha,1,0.033327,-78.868454,1110,9,2007
3535514026,Rhytipterna holerythra,EC,Reserva Mangaloma,Pichincha,1,0.122652,-78.99485,843,2,2021
3240332040,Rhytipterna holerythra,EC,Mashpi--Lodge and trails,Pichincha,1,0.166125,-78.878876,931,9,2019
1780500359,Rhytipterna holerythra,EC,500 m NNW of Chocolate Artisanal cacao farm,Pichincha,3,0.1872,-78.91048,649,12,2016
1753584522,Rhytipterna holerythra,EC,Milpe--end of the road,Pichincha,1,0.07727,-78.93023,912,8,2007
