gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
2243872722,Scytalopus latrans,EC,"Yanacocha reserve, Pichincha",,1,-0.1667,-78.5834,4211,1,2001
2243845514,Scytalopus latrans,EC,"Reserva Yanacocha, Volcan Pichincha, Pichincha",,1,-0.1114,-78.5845,3525,1,2019
2243650869,Scytalopus latrans,EC,"Reserva Yanacocha, Volcan Pichincha, Pichincha",,1,-0.1114,-78.5845,3525,4,2015
2243750959,Scytalopus latrans,EC,"Reserva Yanacocha, Volcan Pichincha, Pichincha",,1,-0.1114,-78.5845,3525,1,2017
3813646644,Scytalopus latrans,EC,"Reserva Yanacocha, Pichincha",,1,-0.112,-78.585,3529,4,2001
2243750893,Scytalopus latrans,EC,"Reserva Yanacocha, Volcan Pichincha, Pichincha",,1,-0.1114,-78.5845,3525,1,2017
2992193341,Scytalopus latrans,EC,"Yanacocha reserve, Pichincha",,1,-0.1667,-78.5834,4211,6,2019
3034443597,Scytalopus latrans,EC,Pululahua área de picnic Moraspungo,,1,0.023,-78.5014,3003,1,2021
2243870960,Scytalopus latrans,EC,"Yanacocha reserve, Pichincha",,1,-0.1667,-78.5834,4211,1,2001
1190911454,Scytalopus latrans,EC,Guarumos Transecto impacto P04,Pichincha,1,-0.04933,-78.64436,2633,11,2004
948966277,Scytalopus latrans,EC,Reserva Yanacocha,Pichincha,3,-0.111752,-78.584694,3528,1,2009
1190786772,Scytalopus latrans,EC,"Chiquilpe Transecto impacto, Punto 1",Pichincha,1,-0.03,-78.59,2743,1,2003
1190944534,Scytalopus latrans,EC,Guarumos Transecto control P02,Pichincha,1,-0.04556,-78.64794,2714,3,2005
2752195326,Scytalopus latrans,EC,Reserva Geobotánica Pululahua--general area,Pichincha,2,0.040374,-78.50293,2405,3,2019
3608957944,Scytalopus latrans,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,12,2021
3671438070,Scytalopus latrans,EC,Reserva Yanacocha,Pichincha,3,-0.111752,-78.584694,3528,11,2021
2765003659,Scytalopus latrans,EC,Reserva Yanacocha,Pichincha,2,-0.111752,-78.584694,3528,5,2019
1190833124,Scytalopus latrans,EC,Guarumos Transecto impacto P06,Pichincha,1,-0.04781,-78.64708,2589,9,2004
2692350307,Scytalopus latrans,EC,"Ecoruta (Quito-Nono road), temperate zone",Pichincha,1,-0.09409,-78.556305,3208,8,2019
1190863371,Scytalopus latrans,EC,"Chiquilpe Transecto impacto, Punto 6",Pichincha,1,-0.025,-78.595,2673,3,2004
1190849704,Scytalopus latrans,EC,Campanario Transecto control P02,Pichincha,1,-0.03314,-78.66414,2541,5,2008
2661362921,Scytalopus latrans,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,1,2019
2717006965,Scytalopus latrans,EC,Pululahua Geobotanical Reserve,Pichincha,4,0.025095,-78.48305,2838,5,2015
2706430702,Scytalopus latrans,EC,Reserva Yanacocha,Pichincha,3,-0.111752,-78.584694,3528,11,2019
2231032986,Scytalopus latrans,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,11,2018
1190900200,Scytalopus latrans,EC,"Chiquilpe Transecto impacto, Punto 3",Pichincha,1,-0.028,-78.598,2690,10,2004
3552604809,Scytalopus latrans,EC,Reserva Zuro Loma,Pichincha,1,-0.088671,-78.599754,3108,9,2021
2766046772,Scytalopus latrans,EC,Reserva Yanacocha,Pichincha,2,-0.111752,-78.584694,3528,10,2019
2226938406,Scytalopus latrans,EC,"(-0.1095,-78.5644) On Route from Quito to Yanacocha",Pichincha,1,-0.10946,-78.564445,3442,11,2018
1788864992,Scytalopus latrans,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,7,2014
1190982214,Scytalopus latrans,EC,Guarumos Transecto impacto P03,Pichincha,1,-0.05083,-78.64372,2666,9,2004
2154129610,Scytalopus latrans,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,4,2018
3645800831,Scytalopus latrans,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,11,2021
1190947362,Scytalopus latrans,EC,Guarumos Transecto impacto P05,Pichincha,1,-0.04844,-78.64581,2581,12,2003
2217873311,Scytalopus latrans,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,11,2018
3678302616,Scytalopus latrans,EC,Areas between Quito and Yanacocha,Pichincha,1,-0.102763,-78.54394,3358,2,2013
3636883326,Scytalopus latrans,EC,Parque Metropolitano Chilibulo Huayrapungo,Pichincha,1,-0.2485,-78.55843,3033,1,2021
1190870080,Scytalopus latrans,EC,Guarumos Transecto impacto P10,Pichincha,1,-0.04753,-78.65253,2661,3,2004
2089782366,Scytalopus latrans,EC,Reserva Yanacocha,Pichincha,5,-0.111752,-78.584694,3528,10,2017
3548812893,Scytalopus latrans,EC,Reserva Zuro Loma,Pichincha,1,-0.088671,-78.599754,3108,1,2021
1409535975,Scytalopus latrans,EC,San Jorge Ecolodge (Quito),Pichincha,1,-0.11649,-78.52343,3187,6,2009
3637284046,Scytalopus latrans,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,6,2021
3173517147,Scytalopus latrans,EC,Hacienda Rumiloma,Pichincha,3,-0.176159,-78.53123,3343,7,2020
1190912890,Scytalopus latrans,EC,Guarumos Transecto impacto P08,Pichincha,1,-0.04933,-78.65,2580,10,2007
3191737031,Scytalopus latrans,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,8,2013
1190837390,Scytalopus latrans,EC,Guarumos Transecto impacto P03,Pichincha,1,-0.05083,-78.64372,2666,12,2002
1198851361,Scytalopus latrans,EC,Road from San Jorge Ecolodge to Yanacocha Reserve,Pichincha,1,-0.10849,-78.561905,3450,11,2014
2759863691,Scytalopus latrans,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,2,2019
3626705768,Scytalopus latrans,EC,"Unnamed Road, Pichincha, EC (0.047, -78.505)",Pichincha,1,0.046561,-78.5046,2404,6,2021
3291693954,Scytalopus latrans,EC,Reserva Yanacocha,Pichincha,4,-0.111752,-78.584694,3528,7,2020
943738931,Scytalopus latrans,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,3,2013
1190905759,Scytalopus latrans,EC,"Chiquilpe Transecto impacto, Punto 6",Pichincha,1,-0.025,-78.595,2673,10,2003
2065062714,Scytalopus latrans,EC,Santa Lucia Lodge,Pichincha,1,0.118575,-78.61154,1881,4,2017
2181728792,Scytalopus latrans,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,6,2018
2710331733,Scytalopus latrans,EC,Reserva Yanacocha,Pichincha,3,-0.111752,-78.584694,3528,11,2019
936325976,Scytalopus latrans,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,7,2008
2771706180,Scytalopus latrans,EC,Reserva Zuro Loma,Pichincha,1,-0.088671,-78.599754,3108,12,2019
1208327154,Scytalopus latrans,EC,Guarumos Transecto impacto P04,Pichincha,1,-0.04933,-78.64436,2633,5,2007
966870124,Scytalopus latrans,EC,Reserva Yanacocha,Pichincha,3,-0.111752,-78.584694,3528,1,2011
3650559477,Scytalopus latrans,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,11,2021
1208684262,Scytalopus latrans,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,7,2014
2044191904,Scytalopus latrans,EC,Granja Agroecológica San Isidro-Píntag,Pichincha,1,-0.358676,-78.37021,2808,2,2017
2791513056,Scytalopus latrans,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,10,2015
3583294653,Scytalopus latrans,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,11,2021
2663023291,Scytalopus latrans,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,1,2009
2749584172,Scytalopus latrans,EC,Pululahua--mirador,Pichincha,1,0.02555,-78.48345,2822,3,2019
3160804508,Scytalopus latrans,EC,"Bosque Protector Cerro Blanco, Provincia de Imbabura, EC (0,215, -78,349)",Imbabura,11,0.215311,-78.34916,3088,6,2020
3545762980,Scytalopus latrans,EC,Reserva Zuro Loma,Pichincha,2,-0.088671,-78.599754,3108,9,2021
1766719596,Scytalopus latrans,EC,Hacienda Rumiloma,Pichincha,2,-0.176159,-78.53123,3343,10,2016
3222942383,Scytalopus latrans,EC,"Bosque Protector Cerro Blanco, Provincia de Imbabura, EC (0,215, -78,349)",Imbabura,7,0.215311,-78.34916,3088,3,2020
1190821198,Scytalopus latrans,EC,"Chiquilpe Transecto impacto, Punto 10",Pichincha,1,-0.04,-78.61,3054,12,2002
1208345698,Scytalopus latrans,EC,Campanario Transecto control P02,Pichincha,2,-0.03314,-78.66414,2541,1,2004
1190861014,Scytalopus latrans,EC,Guarumos Transecto control P05,Pichincha,1,-0.04347,-78.64967,2606,3,2003
