gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
1185527550,Spizaetus isidori,EC,Refugio Paz de las Aves (Angel Paz),Pichincha,1,0.019655,-78.70693,1906,8,2014
1184376632,Spizaetus isidori,EC,Refugio Paz de las Aves (Angel Paz),Pichincha,1,0.019655,-78.70693,1906,8,2014
1147170409,Spizaetus isidori,EC,Intag region,Imbabura,1,0.36531,-78.48377,1778,7,2013
1147050750,Spizaetus isidori,EC,Intag region,Imbabura,1,0.36531,-78.48377,1778,7,2013
1147230730,Spizaetus isidori,EC,Intag region,Imbabura,1,0.36531,-78.48377,1778,7,2013
1147061661,Spizaetus isidori,EC,Intag region,Imbabura,1,0.36531,-78.48377,1778,7,2013
1147223847,Spizaetus isidori,EC,Intag region,Imbabura,1,0.36531,-78.48377,1778,7,2013
1147115645,Spizaetus isidori,EC,Intag region,Imbabura,1,0.36531,-78.48377,1778,7,2013
1147069054,Spizaetus isidori,EC,Intag region,Imbabura,1,0.36531,-78.48377,1778,7,2013
1147124116,Spizaetus isidori,EC,Intag region,Imbabura,1,0.36531,-78.48377,1778,7,2013
1147215585,Spizaetus isidori,EC,Intag region,Imbabura,1,0.36531,-78.48377,1778,7,2013
1147187713,Spizaetus isidori,EC,Intag region,Imbabura,1,0.36531,-78.48377,1778,7,2013
1147032452,Spizaetus isidori,EC,Intag region,Imbabura,1,0.36531,-78.48377,1778,7,2013
1147170632,Spizaetus isidori,EC,Intag region,Imbabura,1,0.36531,-78.48377,1778,7,2013
1147180040,Spizaetus isidori,EC,Intag region,Imbabura,1,0.36531,-78.48377,1778,7,2013
1773272115,Spizaetus isidori,EC,Nono-Mindo Road,Pichincha,1,-0.02746,-78.74087,1869,2,2009
3199632117,Spizaetus isidori,EC,Bellavista--camino a la estación científica (research station road),Pichincha,2,-0.020999,-78.684425,2338,11,2020
2795296574,Spizaetus isidori,EC,Bellavista--camino a la estación científica (research station road),Pichincha,1,-0.020999,-78.684425,2338,8,2019
3586082562,Spizaetus isidori,EC,Refugio Paz de las Aves (Angel Paz),Pichincha,1,0.019655,-78.70693,1906,12,2021
3660407876,Spizaetus isidori,EC,"Vía sin nombre, Pichincha, EC (-0.032, -78.697)",Pichincha,2,-0.031593,-78.69698,2279,11,2021
962094877,Spizaetus isidori,EC,Pacha Quinde Nature Reserve (MCF),Pichincha,1,-0.009865,-78.675896,2022,8,2013
2728475625,Spizaetus isidori,EC,Tandayapa--pueblo y valle inferior (town and lower valley),Pichincha,2,0.015986,-78.67585,1612,1,2019
1409698751,Spizaetus isidori,EC,Calacalí--vicinity,Pichincha,1,-0.000687,-78.51512,2811,8,2006
3578174481,Spizaetus isidori,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,11,2017
2685547950,Spizaetus isidori,EC,Reserva Maquipucuna,Pichincha,2,0.120898,-78.63837,1310,6,2019
2218113272,Spizaetus isidori,EC,Bellavista Cloud Forest Lodge,Pichincha,2,-0.015922,-78.681206,2242,11,2018
3603497590,Spizaetus isidori,EC,"Atahualpa (Habaspamba), Pichincha, EC (0.16, -78.331)",Pichincha,2,0.160101,-78.33133,2754,8,2021
1405265358,Spizaetus isidori,EC,Perucho,Pichincha,1,0.109091,-78.42318,1821,10,2015
2036930316,Spizaetus isidori,EC,Bellavista Cloud Forest Lodge,Pichincha,1,-0.015922,-78.681206,2242,2,2017
3504914118,Spizaetus isidori,EC,"Jan 20, 2021 3:07 PM-0.371, -78.454",Imbabura,3,0.371418,-78.45351,2111,1,2021
1779854595,Spizaetus isidori,EC,Bellavista--camino a la estación científica (research station road),Pichincha,1,-0.020999,-78.684425,2338,12,2016
1767231388,Spizaetus isidori,EC,Bellavista--camino a la estación científica (research station road),Pichincha,1,-0.020999,-78.684425,2338,10,2016
1710739122,Spizaetus isidori,EC,Tandayapa--pueblo y valle inferior (town and lower valley),Pichincha,1,0.015986,-78.67585,1612,1,2016
2744946659,Spizaetus isidori,EC,Sachatamia Lodge,Pichincha,1,-0.025148,-78.75798,1719,12,2014
2658782848,Spizaetus isidori,EC,EC - Alambi Hummingbird Paradise,Pichincha,1,0.031344,-78.681335,1499,4,2012
1382217622,Spizaetus isidori,EC,Bellavista--camino a la estación científica (research station road),Pichincha,1,-0.020999,-78.684425,2338,7,2015
1714203095,Spizaetus isidori,EC,Alambi Reserve,Pichincha,1,0.030789,-78.680565,1488,1,2016
2752880519,Spizaetus isidori,EC,"Intag - Santa Rosa, EC (0.37, -78.453)",Imbabura,2,0.370446,-78.452965,2143,2,2019
183669655,Spizaetus isidori,EC,Reserva Las Gralarias,Pichincha,1,-0.014162,-78.72983,2090,6,2007
1794184268,Spizaetus isidori,EC,"Ecoruta (Nono-Mindo road), Bellavista<->San Tadeo",Pichincha,1,-0.033302,-78.712814,2228,2,2002
1399171016,Spizaetus isidori,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,11,2015
1744352173,Spizaetus isidori,EC,Tandayapa--San Jorge Tandayapa,Pichincha,1,0.010117,-78.676544,1656,6,2016
1199321170,Spizaetus isidori,EC,Reserva Bellavista--general area,Pichincha,1,-0.016544,-78.68791,2278,7,2000
3685337837,Spizaetus isidori,EC,Balcón Tumpiki,Pichincha,1,-0.006943,-78.72075,1963,9,2021
2131730881,Spizaetus isidori,EC,Nanegalito--road to Refugio Paz de las Aves,Pichincha,1,0.030906,-78.71834,1707,1,2018
1374725630,Spizaetus isidori,EC,Santa Lucia Lodge,Pichincha,1,0.118575,-78.61154,1881,6,2015
2105659712,Spizaetus isidori,EC,Tandayapa Bird Lodge,Pichincha,1,0.00235,-78.67743,1742,12,2000
3619252565,Spizaetus isidori,EC,San tadeo,Pichincha,1,-0.029033,-78.7523,1748,6,2021
2114865908,Spizaetus isidori,EC,Ecoruta--Alambi Valley (Nono-Tandayapa Road below 2500 m),Pichincha,1,-0.017016,-78.65079,1867,6,2004
1190832165,Spizaetus isidori,EC,Guarumos Transecto impacto P06,Pichincha,1,-0.04781,-78.64708,2589,7,2005
3207964091,Spizaetus isidori,EC,Bellavista Cloud Forest Lodge,Pichincha,1,-0.015922,-78.681206,2242,11,2014
1175083614,Spizaetus isidori,EC,San Jorge de Tandayapa,Pichincha,2,0.0314,-78.67628,1677,5,2014
2114138281,Spizaetus isidori,EC,Tandayapa Bird Lodge,Pichincha,1,0.00235,-78.67743,1742,5,2004
2205797556,Spizaetus isidori,EC,Bellavista Cloud Forest Lodge,Pichincha,1,-0.015922,-78.681206,2242,8,2018
3139660696,Spizaetus isidori,EC,Refugio Paz de las Aves (Angel Paz),Pichincha,1,0.019655,-78.70693,1906,3,2020
1721391295,Spizaetus isidori,EC,Refugio Paz de las Aves (Angel Paz),Pichincha,1,0.019655,-78.70693,1906,3,2016
2797619205,Spizaetus isidori,EC,"Tandayapa--valle superior (Tandayapa<->Bellavista, upper valley)",Pichincha,1,-0.013116,-78.677826,2087,10,2000
2676613583,Spizaetus isidori,EC,Mindo--Vía a las cascadas (Waterfall trail),Pichincha,1,-0.062765,-78.77427,1344,4,2019
1162255657,Spizaetus isidori,EC,Santa Lucia Lodge,Pichincha,1,0.118575,-78.61154,1881,3,2014
936311194,Spizaetus isidori,EC,Tandayapa Bird Lodge,Pichincha,1,0.00235,-78.67743,1742,7,2008
2697712180,Spizaetus isidori,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,10,2015
2207034201,Spizaetus isidori,EC,Ecoruta (Nono-Tandayapa Road above 2500 m),Pichincha,1,-0.068914,-78.588905,2712,11,2018
978917414,Spizaetus isidori,EC,Reserva las Tangaras,Pichincha,1,-0.077419,-78.76933,1427,12,2013
2147930264,Spizaetus isidori,EC,Ecoruta--Alambi Valley (Nono-Tandayapa Road below 2500 m),Pichincha,1,-0.017016,-78.65079,1867,2,2018
3169081800,Spizaetus isidori,EC,"Tandayapa--valle superior (Tandayapa<->Bellavista, upper valley)",Pichincha,1,-0.013116,-78.677826,2087,7,2010
1176035004,Spizaetus isidori,EC,Bellavista Cloud Forest Lodge,Pichincha,1,-0.015922,-78.681206,2242,9,2011
1178594916,Spizaetus isidori,EC,Refugio Paz de las Aves (Angel Paz),Pichincha,1,0.019655,-78.70693,1906,11,2010
1190979317,Spizaetus isidori,EC,Guarumos Transecto control P05,Pichincha,1,-0.04347,-78.64967,2606,1,2003
2772447235,Spizaetus isidori,EC,Tandayapa-Bellavista general area (*HISTORICAL DATA ONLY; please use a more specific location for current checklists),Pichincha,1,-0.00206,-78.68189,2048,9,2018
2216411514,Spizaetus isidori,EC,La Armenia-Bellavista Road (alternate road to Bellavista),Pichincha,1,0.00859,-78.69729,2065,11,2018
2717560602,Spizaetus isidori,EC,Bellavista Cloud Forest Lodge,Pichincha,1,-0.015922,-78.681206,2242,8,2019
1754471835,Spizaetus isidori,EC,Reserva Bellavista--general area,Pichincha,1,-0.016544,-78.68791,2278,6,2016
3204683994,Spizaetus isidori,EC,Tandayapa-Bellavista general area (*HISTORICAL DATA ONLY; please use a more specific location for current checklists),Pichincha,1,-0.00206,-78.68189,2048,7,2020
2197822475,Spizaetus isidori,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,8,2018
1391234793,Spizaetus isidori,EC,Tandayapa Bird Lodge,Pichincha,1,0.00235,-78.67743,1742,8,2005
3286422041,Spizaetus isidori,EC,"Reserva Geobotanica Pululahua, Quito EC-Pichincha 0.02095, -78.50316",Pichincha,1,0.020948,-78.50316,3058,9,2020
2789783078,Spizaetus isidori,EC,Refugio Paz de las Aves,Pichincha,1,-0.01,-78.7129,2060,11,2010
1202534376,Spizaetus isidori,EC,Tandayapa--pueblo y valle inferior (town and lower valley),Pichincha,1,0.015986,-78.67585,1612,4,2010
2146942884,Spizaetus isidori,EC,"Reserva Siempre Verde Provincia de Imbabura, EC (0.347, -78.449)",Imbabura,2,0.347383,-78.448715,2623,3,2018
2084360731,Spizaetus isidori,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,7,2017
1380761985,Spizaetus isidori,EC,Bellavista Cloud Forest Lodge,Pichincha,1,-0.015922,-78.681206,2242,7,2015
2072499005,Spizaetus isidori,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,7,2017
1191135255,Spizaetus isidori,EC,Reserva Maquipucuna,Pichincha,1,0.120898,-78.63837,1310,6,2005
2791218116,Spizaetus isidori,EC,Tandayapa--San Jorge Tandayapa,Pichincha,1,0.010117,-78.676544,1656,12,2019
1195614667,Spizaetus isidori,EC,Refugio Paz de las Aves (Angel Paz),Pichincha,1,0.019655,-78.70693,1906,2,2014
3200133023,Spizaetus isidori,EC,"Ecoruta (Nono-Mindo road), Bellavista<->San Tadeo",Pichincha,1,-0.033302,-78.712814,2228,2,2002
2032784682,Spizaetus isidori,EC,"EC-Pichincha - -0,016x-78,681 - 5/1/2017 18:54",Pichincha,1,-0.016176,-78.681076,2247,1,2017
3602599224,Spizaetus isidori,EC,Tambo Quinde,Pichincha,2,0.006405,-78.67705,1747,2,2021
1410492829,Spizaetus isidori,EC,Pacha Quinde Nature Reserve (MCF),Pichincha,1,-0.009865,-78.675896,2022,11,2005
257410421,Spizaetus isidori,EC,Tandayapa Bird Lodge,Pichincha,1,0.00235,-78.67743,1742,2,2009
2721239957,Spizaetus isidori,EC,tandayapa,Pichincha,1,0.007822,-78.6798,1787,2,2016
3275097915,Spizaetus isidori,EC,Area de Protección y Conservación Cerro Blanco,Imbabura,2,0.209989,-78.34595,3209,11,2020
1345672754,Spizaetus isidori,EC,Reserva Bellavista--general area,Pichincha,1,-0.016544,-78.68791,2278,1,2015
3614269329,Spizaetus isidori,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,7,2021
3198180419,Spizaetus isidori,EC,Tandayapa--San Jorge Tandayapa,Pichincha,1,0.010117,-78.676544,1656,6,2016
2110741954,Spizaetus isidori,EC,Ruta de Humboldt,Pichincha,1,-0.198739,-78.53733,3570,12,2017
2716759193,Spizaetus isidori,EC,"Tandayapa--valle superior (Tandayapa<->Bellavista, upper valley)",Pichincha,1,-0.013116,-78.677826,2087,10,2000
2663806137,Spizaetus isidori,EC,Bellavista Cloud Forest Lodge,Pichincha,1,-0.015922,-78.681206,2242,1,2019
