gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
2243564764,Sporophila corvina,EC,"Mindo, Pichincha",,1,-0.0523,-78.7764,1244,3,2012
2243633623,Sporophila corvina,EC,"Mindo, Pichincha",,1,-0.0523,-78.7764,1244,3,2015
3680859035,Sporophila corvina,EC,Puerto Quito - Cielo Roto,Pichincha,2,0.073131,-79.23576,319,8,2021
3597176760,Sporophila corvina,EC,Mashpi--general area,Pichincha,3,0.16546,-78.84751,1293,3,2021
3229663871,Sporophila corvina,EC,Mirador Rio Blanco -- San Miguel de Los Bancos,Pichincha,1,0.02228,-78.8909,1096,2,2020
3530887335,Sporophila corvina,EC,Mindo--pueblo y alrededores inmediatos (town and immediate surroundings),Pichincha,2,-0.051046,-78.7784,1259,1,2021
3512021566,Sporophila corvina,EC,"Mindo-barrio Las Bugambillas 66 Avenida Quito, Pichincha, EC (-0.052, -78.774)",Pichincha,4,-0.052161,-78.77406,1256,2,2021
3259476003,Sporophila corvina,EC,Séptimo Paraiso,Pichincha,8,-0.030813,-78.764465,1564,9,2008
1788693749,Sporophila corvina,EC,Milpe Bird Sanctuary,Pichincha,1,0.033327,-78.868454,1110,8,2007
3179306895,Sporophila corvina,EC,Punto Ornitológico Mindo,Pichincha,3,-0.052496,-78.782295,1231,7,2020
3682076979,Sporophila corvina,EC,Mindo--Vía a las cascadas (Waterfall trail),Pichincha,3,-0.062765,-78.77427,1344,10,2021
2048497366,Sporophila corvina,EC,EC-Pichincha-SN Miguel Bancos-Las Terrazas de Dana - -0.0628x-78.7701,Pichincha,1,-0.06279,-78.77006,1289,4,2017
1764005272,Sporophila corvina,EC,Rio Silanche Bird Sanctuary,Pichincha,12,0.145185,-79.14147,402,7,2009
261524239,Sporophila corvina,EC,Mindo--general area (*HISTORICAL DATA ONLY; please use a more specific location for current checklists),Pichincha,1,-0.049224,-78.776825,1268,7,2004
3161447855,Sporophila corvina,EC,Avenida chone km 1,Santo Domingo de los Tsáchilas,1,-0.247684,-79.20408,496,5,2020
3705470489,Sporophila corvina,EC,,Pichincha,1,0.126114,-78.653371,1171,2,2022
1396228634,Sporophila corvina,EC,Mindo--Vía al Cinto,Pichincha,3,-0.061568,-78.791115,1207,11,2015
1787595505,Sporophila corvina,EC,Mindo--general area (*HISTORICAL DATA ONLY; please use a more specific location for current checklists),Pichincha,1,-0.049224,-78.776825,1268,2,2015
2085602488,Sporophila corvina,EC,Rio Silanche Bird Sanctuary,Pichincha,3,0.145185,-79.14147,402,10,2017
3617743832,Sporophila corvina,EC,"García Moreno, Imbabura, EC (0.231, -78.897)",Imbabura,1,0.23119,-78.896805,618,5,2021
2036238166,Sporophila corvina,EC,El Monte Sustainable Lodge,Pichincha,1,-0.07365,-78.75434,1348,2,2017
2066867779,Sporophila corvina,EC,Milpe Bird Sanctuary,Pichincha,4,0.033327,-78.868454,1110,5,2017
3518162296,Sporophila corvina,EC,Mindo--El Descanso Lodge,Pichincha,4,-0.054754,-78.777405,1241,5,2021
1190103941,Sporophila corvina,EC,Mindo--Vía a las cascadas (Waterfall trail),Pichincha,3,-0.062765,-78.77427,1344,10,2014
3661439942,Sporophila corvina,EC,Mindo,Pichincha,1,-0.052743,-78.77472,1250,2,2005
1206920075,Sporophila corvina,EC,Salamandra Cabañas,Pichincha,1,0.115786,-79.239235,111,3,2004
3602886627,Sporophila corvina,EC,Rio Silanche--general area,Pichincha,4,0.117101,-79.13609,393,8,2021
2109427796,Sporophila corvina,EC,"Avenida Quito, Pichincha, EC (-0.052, -78.776)",Pichincha,1,-0.051867,-78.77635,1252,12,2017
2038805134,Sporophila corvina,EC,Reserva Amagusa,Pichincha,3,0.1598,-78.8534,1302,2,2017
2733168322,Sporophila corvina,EC,Alambi Reserve,Pichincha,2,0.030789,-78.680565,1488,5,2019
3282381709,Sporophila corvina,EC,"Vía a Las Cascadas, Pichincha, EC (-0.069, -78.771)",Pichincha,2,-0.0693,-78.771416,1415,12,2020
3508903289,Sporophila corvina,EC,Ruta de los Tubos,Santo Domingo de los Tsáchilas,1,-0.322741,-78.99407,787,2,2021
2087645712,Sporophila corvina,EC,Un Poco del Choco--Reserve & Field Station,Pichincha,1,0.05295,-78.84311,1177,8,2017
842041817,Sporophila corvina,EC,Mindo--Vía al Cinto,Pichincha,2,-0.061568,-78.791115,1207,6,2012
3674103075,Sporophila corvina,EC,Goura Duti( ave dorada),Pichincha,2,0.001068,-78.74343,1741,5,2021
1188939840,Sporophila corvina,EC,Rio Silanche Bird Sanctuary,Pichincha,4,0.145185,-79.14147,402,9,2014
3220215278,Sporophila corvina,EC,Mindo--Vía a las cascadas (Waterfall trail),Pichincha,1,-0.062765,-78.77427,1344,1,2020
1792959892,Sporophila corvina,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,8,2008
3642627326,Sporophila corvina,EC,Reserva Amagusa,Pichincha,1,0.1598,-78.8534,1302,8,2021
2700120191,Sporophila corvina,EC,Mindo--Vía a Cunuco,Pichincha,1,-0.051862,-78.783066,1228,9,2019
2109859521,Sporophila corvina,EC,Rio Silanche Bird Sanctuary,Pichincha,2,0.145185,-79.14147,402,1,2013
2711566243,Sporophila corvina,EC,Rio Silanche Bird Sanctuary,Pichincha,2,0.145185,-79.14147,402,12,2019
3683015093,Sporophila corvina,EC,Milpe Bird Sanctuary,Pichincha,1,0.033327,-78.868454,1110,9,2021
3270558086,Sporophila corvina,EC,Un Poco del Choco--Reserve & Field Station,Pichincha,3,0.05295,-78.84311,1177,5,2020
1349666352,Sporophila corvina,EC,Rio Mindo Road,Pichincha,2,-0.067291,-78.762535,1316,2,2015
2114752921,Sporophila corvina,EC,Milpe Bird Sanctuary,Pichincha,1,0.033327,-78.868454,1110,2,2018
3558322246,Sporophila corvina,EC,"Via Las Tolas - Ayapai -copal , Pichincha, EC (0.073, -78.788)",Pichincha,4,0.072681,-78.78777,1902,12,2021
3594898715,Sporophila corvina,EC,Milpe Bird Sanctuary,Pichincha,1,0.033327,-78.868454,1110,5,2021
3630344887,Sporophila corvina,EC,Cordillera SAN LORENZO Mindo VÍA Rio Bravo,Pichincha,1,-0.078628,-78.74906,1538,10,2021
2054786542,Sporophila corvina,EC,Mindo--general area (*HISTORICAL DATA ONLY; please use a more specific location for current checklists),Pichincha,3,-0.049224,-78.776825,1268,4,2017
3134271940,Sporophila corvina,EC,Rio Silanche--entrance road,Pichincha,1,0.108158,-79.13607,400,1,2020
3655205518,Sporophila corvina,EC,Bellavista Cloud Forest Lodge,Pichincha,1,-0.015922,-78.681206,2242,3,2017
2038444138,Sporophila corvina,EC,Mindo--pueblo y alrededores inmediatos (town and immediate surroundings),Pichincha,3,-0.051046,-78.7784,1259,3,2017
2151271977,Sporophila corvina,EC,Mindo--Vía a las cascadas (Waterfall trail),Pichincha,2,-0.062765,-78.77427,1344,4,2018
2135158267,Sporophila corvina,EC,San Tadeo Birdwatching (Feeders),Pichincha,4,-0.029472,-78.751816,1731,2,2018
2197262990,Sporophila corvina,EC,Mashpi--general area,Pichincha,3,0.16546,-78.84751,1293,10,2018
2090372338,Sporophila corvina,EC,Refugio Paz de las Aves (Angel Paz),Pichincha,3,0.019655,-78.70693,1906,10,2017
3657156069,Sporophila corvina,EC,Choco Toucan Reserve,Pichincha,2,0.038,-78.872,1114,5,2021
2113929677,Sporophila corvina,EC,Mindo--Vía a las cascadas (Waterfall trail),Pichincha,2,-0.062765,-78.77427,1344,12,2017
3535803309,Sporophila corvina,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,2,2007
2129271507,Sporophila corvina,EC,Mindo--Vía a las cascadas (Waterfall trail),Pichincha,2,-0.062765,-78.77427,1344,4,2018
3153409675,Sporophila corvina,EC,Mindo--Vía a Cunuco,Pichincha,5,-0.051862,-78.783066,1228,5,2020
3674992314,Sporophila corvina,EC,Lower Chiriboga Road,Santo Domingo de los Tsáchilas,2,-0.310611,-78.907005,1166,2,2021
3148520189,Sporophila corvina,EC,Rio Silanche--general area,Pichincha,4,0.117101,-79.13609,393,1,2020
1181956740,Sporophila corvina,EC,Rio Silanche Bird Sanctuary,Pichincha,3,0.145185,-79.14147,402,7,2014
2221305396,Sporophila corvina,EC,Rio Silanche Bird Sanctuary,Pichincha,2,0.145185,-79.14147,402,11,2018
1190750701,Sporophila corvina,EC,Mindo--Vía a las cascadas (Waterfall trail),Pichincha,2,-0.062765,-78.77427,1344,10,2014
2126736727,Sporophila corvina,EC,Reserva Bellavista--general area,Pichincha,1,-0.016544,-78.68791,2278,1,2010
