gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
3353667490,Steatornis caripensis,EC,"Encañonado de los Tayos Puellaro , Distrito Metropolitano de Quito, Pichincha",,1,0.0465,-78.4084,1993,7,2021
3353658499,Steatornis caripensis,EC,"Encañonado de los Tayos Puellaro , Distrito Metropolitano de Quito, Pichincha",,1,0.0465,-78.4084,1993,7,2021
3344001523,Steatornis caripensis,EC,,Pichincha,1,0.22637,-78.726983,700,4,2018
2788241166,Steatornis caripensis,EC,Mindo--Hacienda San Vicente/Yellow House Trails,Pichincha,4,-0.050725,-78.772385,1274,11,2019
2787074857,Steatornis caripensis,EC,Reserva Maquipucuna,Pichincha,2,0.120898,-78.63837,1310,9,2019
2126739666,Steatornis caripensis,EC,Mashpi Lodge ( 500 To 1400 Msnm By Nestor Paladines,Pichincha,1,0.166091,-78.87911,927,2,2018
2679781654,Steatornis caripensis,EC,Un Poco del Choco--Reserve & Field Station,Pichincha,12,0.05295,-78.84311,1177,7,2013
841719822,Steatornis caripensis,EC,Chontal--Oilbird Cave (Finca Morales/Cueva de los Tayos),Pichincha,70,0.20874,-78.73695,854,12,2011
2694980732,Steatornis caripensis,EC,Chontal--Oilbird Cave (Finca Morales/Cueva de los Tayos),Pichincha,23,0.20874,-78.73695,854,8,2019
2715391417,Steatornis caripensis,EC,Chontal--Oilbird Cave (Finca Morales/Cueva de los Tayos),Pichincha,9,0.20874,-78.73695,854,1,2019
2211985382,Steatornis caripensis,EC,Desvío Mindo (Junction),Pichincha,3,-0.026744,-78.76363,1683,9,2018
2230608600,Steatornis caripensis,EC,Chontal--Oilbird Cave (Finca Morales/Cueva de los Tayos),Pichincha,1,0.20874,-78.73695,854,4,2009
261616049,Steatornis caripensis,EC,Nanegalito Ecuador,Pichincha,11,0.061111,-78.673096,1386,2,2010
978067987,Steatornis caripensis,EC,Refugio Paz de las Aves (Angel Paz),Pichincha,1,0.019655,-78.70693,1906,11,2010
3146053307,Steatornis caripensis,EC,Reserva Río Manduriacu,Imbabura,1,0.31026,-78.85736,1213,4,2020
1202691833,Steatornis caripensis,EC,Chontal--Oilbird Cave (Finca Morales/Cueva de los Tayos),Pichincha,50,0.20874,-78.73695,854,10,2009
1777746040,Steatornis caripensis,EC,Chontal--Oilbird Cave (Finca Morales/Cueva de los Tayos),Pichincha,25,0.20874,-78.73695,854,8,2016
3619209527,Steatornis caripensis,EC,"Quito--Parque La Carolina, Jardin Botanico",Pichincha,1,-0.186515,-78.48579,2776,6,2021
1755109729,Steatornis caripensis,EC,Pacto Bridge #2,Pichincha,5,0.134883,-78.76841,1080,7,2016
1711858675,Steatornis caripensis,EC,Bellavista--camino a la estación científica (research station road),Pichincha,2,-0.020999,-78.684425,2338,1,2016
2657900068,Steatornis caripensis,EC,Oilbird hike/cave,Imbabura,17,0.226452,-78.728355,701,2,2019
3155987746,Steatornis caripensis,EC,Chontal--Oilbird Cave (Finca Morales/Cueva de los Tayos),Pichincha,1,0.20874,-78.73695,854,3,2020
600274420,Steatornis caripensis,EC,Chontal--Oilbird Cave (Finca Morales/Cueva de los Tayos),Pichincha,1,0.20874,-78.73695,854,11,2010
2204793536,Steatornis caripensis,EC,Chontal--Oilbird Cave (Finca Morales/Cueva de los Tayos),Pichincha,25,0.20874,-78.73695,854,8,2018
2085910793,Steatornis caripensis,EC,Oilbird Caves,Imbabura,7,0.22497,-78.72529,702,8,2017
2727906274,Steatornis caripensis,EC,Oilbird Cave (Antonio Romero),Imbabura,15,0.225095,-78.72558,694,2,2019
1788441960,Steatornis caripensis,EC,Bellavista Cloud Forest Lodge,Pichincha,1,-0.015922,-78.681206,2242,5,2013
3295037724,Steatornis caripensis,EC,Chontal--Oilbird Cave (Finca Morales/Cueva de los Tayos),Pichincha,12,0.20874,-78.73695,854,1,2014
2222328493,Steatornis caripensis,EC,Chontal--Oilbird Cave (Finca Morales/Cueva de los Tayos),Pichincha,1,0.20874,-78.73695,854,7,2018
2099406600,Steatornis caripensis,EC,San Tadeo Birdwatching (Feeders),Pichincha,1,-0.029472,-78.751816,1731,10,2017
2775550294,Steatornis caripensis,EC,"EC-Pichincha-Quito (0,1251,-78,6280)",Pichincha,4,0.125067,-78.62796,1309,9,2019
1384250186,Steatornis caripensis,EC,Chontal--Oilbird Cave (Finca Morales/Cueva de los Tayos),Pichincha,14,0.20874,-78.73695,854,8,2015
2717317111,Steatornis caripensis,EC,"Unknown Location - (0.226, -78.726)",Imbabura,15,0.225679,-78.7261,694,10,2016
2218464183,Steatornis caripensis,EC,Chontal--Oilbird Cave (Finca Morales/Cueva de los Tayos),Pichincha,21,0.20874,-78.73695,854,7,2018
2147047757,Steatornis caripensis,EC,Santa Rosa Bird Lodge,Pichincha,6,-0.024567,-78.72461,2126,3,2018
3140604944,Steatornis caripensis,EC,Reserva las Tangaras,Pichincha,1,-0.077419,-78.76933,1427,1,2020
2754279847,Steatornis caripensis,EC,"Gualea, Pichincha, EC (0.209, -78.737)",Pichincha,16,0.20874,-78.73695,854,9,2019
3204956782,Steatornis caripensis,EC,Reserva/Finca Mashpi-Shungo (Mashpi Chocolate Artesanal Farm),Pichincha,1,0.182478,-78.9123,514,10,2020
3520666598,Steatornis caripensis,EC,"Quito--Parque La Carolina, Jardin Botanico",Pichincha,1,-0.186515,-78.48579,2776,6,2021
2730852006,Steatornis caripensis,EC,Chontal--Oilbird Cave (Finca Morales/Cueva de los Tayos),Pichincha,12,0.20874,-78.73695,854,4,2019
601735557,Steatornis caripensis,EC,Chontal--Oilbird Cave (Finca Morales/Cueva de los Tayos),Pichincha,15,0.20874,-78.73695,854,11,2011
2759072074,Steatornis caripensis,EC,Cueva de los Tayos,Imbabura,1,0.226413,-78.72889,715,8,2019
1767845907,Steatornis caripensis,EC,Chontal--Oilbird Cave (Finca Morales/Cueva de los Tayos),Pichincha,12,0.20874,-78.73695,854,10,2016
2083358161,Steatornis caripensis,EC,Chontal-Oilbird Cave (Antonio Romero),Imbabura,19,0.227107,-78.72082,961,9,2017
3543335946,Steatornis caripensis,EC,Valle de Guayllabamba IBA,Pichincha,35,0.043805,-78.4122,1917,7,2021
2087164101,Steatornis caripensis,EC,"EC-Imbabura Province - 0.226x-78.726 - Jul 3, 2017 21:22",Pichincha,8,0.225845,-78.72649,691,7,2017
3558285882,Steatornis caripensis,EC,Chontal--Oilbird Cave (Finca Morales/Cueva de los Tayos),Pichincha,27,0.20874,-78.73695,854,7,2009
3691123771,Steatornis caripensis,EC,"Quito--Parque La Carolina, Jardin Botanico",Pichincha,1,-0.186515,-78.48579,2776,6,2021
2118630499,Steatornis caripensis,EC,Reserva Río Manduriacu,Imbabura,1,0.31026,-78.85736,1213,10,2016
2724319193,Steatornis caripensis,EC,Chontal--Oilbird Cave (Finca Morales/Cueva de los Tayos),Pichincha,14,0.20874,-78.73695,854,10,2015
1353752549,Steatornis caripensis,EC,Chontal--Oilbird Cave (Finca Morales/Cueva de los Tayos),Pichincha,10,0.20874,-78.73695,854,2,2015
2053533911,Steatornis caripensis,EC,Santa Rosa Bird Lodge,Pichincha,13,-0.024567,-78.72461,2126,5,2017
2192510268,Steatornis caripensis,EC,Chontal--Oilbird Cave (Finca Morales/Cueva de los Tayos),Pichincha,12,0.20874,-78.73695,854,8,2018
2066902893,Steatornis caripensis,EC,Chontal--Oilbird Cave (Finca Morales/Cueva de los Tayos),Pichincha,10,0.20874,-78.73695,854,6,2017
2787989308,Steatornis caripensis,EC,Mindo--Hacienda San Vicente/Yellow House Trails,Pichincha,3,-0.050725,-78.772385,1274,11,2019
3628930964,Steatornis caripensis,EC,Oilbird Cave (Antonio Romero),Imbabura,12,0.225095,-78.72558,694,11,2021
1207166752,Steatornis caripensis,EC,Mindo Lindo,Pichincha,1,-0.024389,-78.76986,1647,11,2013
2177612561,Steatornis caripensis,EC,Chontal--Oilbird Cave (Finca Morales/Cueva de los Tayos),Pichincha,10,0.20874,-78.73695,854,7,2018
1190917923,Steatornis caripensis,EC,"Hacienda Verdecocha (reserva privada), transecto 02",Pichincha,1,-0.10905,-78.61705,2675,11,2008
2082183356,Steatornis caripensis,EC,Bellavista Cloud Forest Lodge,Pichincha,1,-0.015922,-78.681206,2242,7,2017
2669736173,Steatornis caripensis,EC,Ecuador - Imbabura-Cotacachi,Imbabura,6,0.226421,-78.72876,712,2,2019
3609751917,Steatornis caripensis,EC,Chontal--Oilbird Cave (Finca Morales/Cueva de los Tayos),Pichincha,14,0.20874,-78.73695,854,7,2021
1356355241,Steatornis caripensis,EC,Chontal--Oilbird Cave (Finca Morales/Cueva de los Tayos),Pichincha,10,0.20874,-78.73695,854,2,2015
941299135,Steatornis caripensis,EC,Chontal--Oilbird Cave (Finca Morales/Cueva de los Tayos),Pichincha,30,0.20874,-78.73695,854,5,2008
1788869919,Steatornis caripensis,EC,Chontal--Oilbird Cave (Finca Morales/Cueva de los Tayos),Pichincha,43,0.20874,-78.73695,854,4,2008
600248253,Steatornis caripensis,EC,Refugio Paz de las Aves (Angel Paz),Pichincha,1,0.019655,-78.70693,1906,12,2010
3586685560,Steatornis caripensis,EC,Chontal--Oilbird Cave (Finca Morales/Cueva de los Tayos),Pichincha,15,0.20874,-78.73695,854,12,2021
2067442982,Steatornis caripensis,EC,"EC-Imbabura Province - 0.226x-78.726 - Jul 3, 2017 21:22",Pichincha,8,0.225845,-78.72649,691,7,2017
2115442771,Steatornis caripensis,EC,Milpe Lodge,Pichincha,1,0.058057,-78.9097,987,11,2017
3662059420,Steatornis caripensis,EC,"Quito--Parque La Carolina, Jardin Botanico",Pichincha,1,-0.186515,-78.48579,2776,6,2021
2119168330,Steatornis caripensis,EC,Oilbird Caves,Imbabura,7,0.22497,-78.72529,702,8,2017
2715383235,Steatornis caripensis,EC,"Chontal (0.2153, -78.7316)",Pichincha,1,0.2153,-78.7316,1092,1,2013
3649349637,Steatornis caripensis,EC,Chontal--Oilbird Cave (Finca Morales/Cueva de los Tayos),Pichincha,13,0.20874,-78.73695,854,11,2021
2188077016,Steatornis caripensis,EC,Bellavista Cloud Forest Lodge,Pichincha,1,-0.015922,-78.681206,2242,7,2018
3619139268,Steatornis caripensis,EC,Chontal--Oilbird Cave (Finca Morales/Cueva de los Tayos),Pichincha,20,0.20874,-78.73695,854,8,2021
2174354438,Steatornis caripensis,EC,Chontal--Oilbird Cave (Finca Morales/Cueva de los Tayos),Pichincha,21,0.20874,-78.73695,854,7,2018
1393505284,Steatornis caripensis,EC,Bellavista--camino a la estación científica (research station road),Pichincha,1,-0.020999,-78.684425,2338,10,2015
2157889488,Steatornis caripensis,EC,"Unnamed Road, Pichincha, EC (0.191, -78.723)",Pichincha,14,0.190743,-78.72263,1349,2,2018
1206211042,Steatornis caripensis,EC,Chontal--Oilbird Cave (Finca Morales/Cueva de los Tayos),Pichincha,15,0.20874,-78.73695,854,11,2014
2137042523,Steatornis caripensis,EC,Mashpi--general area,Pichincha,6,0.16546,-78.84751,1293,12,2017
2193873943,Steatornis caripensis,EC,Chontal--Oilbird Cave (Finca Morales/Cueva de los Tayos),Pichincha,10,0.20874,-78.73695,854,7,2018
3644006588,Steatornis caripensis,EC,Chontal--Oilbird Cave (Finca Morales/Cueva de los Tayos),Pichincha,9,0.20874,-78.73695,854,7,2018
2704923429,Steatornis caripensis,EC,Chontal--Oilbird Cave (Finca Morales/Cueva de los Tayos),Pichincha,23,0.20874,-78.73695,854,8,2019
3660054820,Steatornis caripensis,EC,Chontal--Oilbird Cave (Finca Morales/Cueva de los Tayos),Pichincha,15,0.20874,-78.73695,854,1,2018
3160646296,Steatornis caripensis,EC,Chontal--Oilbird Cave (Finca Morales/Cueva de los Tayos),Pichincha,15,0.20874,-78.73695,854,3,2020
1207213040,Steatornis caripensis,EC,Mindo Lindo,Pichincha,1,-0.024389,-78.76986,1647,12,2012
960809703,Steatornis caripensis,EC,oilbird cave,Imbabura,30,0.230102,-78.736626,729,9,2011
2716169260,Steatornis caripensis,EC,Tulipe--museum and archaeological site,Pichincha,3,0.086336,-78.73621,1499,10,2018
2191544502,Steatornis caripensis,EC,Chontal--Oilbird Cave (Finca Morales/Cueva de los Tayos),Pichincha,10,0.20874,-78.73695,854,7,2018
3531511853,Steatornis caripensis,EC,Valle de Guayllabamba IBA,Pichincha,35,0.043805,-78.4122,1917,7,2021
2176788260,Steatornis caripensis,EC,Refugio Paz de las Aves (Angel Paz),Pichincha,1,0.019655,-78.70693,1906,11,2010
2717415696,Steatornis caripensis,EC,Chontal--Oilbird Cave (Finca Morales/Cueva de los Tayos),Pichincha,14,0.20874,-78.73695,854,10,2015
3555853116,Steatornis caripensis,EC,Bellavista Cloud Forest Lodge,Pichincha,1,-0.015922,-78.681206,2242,11,2021
1391242356,Steatornis caripensis,EC,Bellavista--camino a la estación científica (research station road),Pichincha,1,-0.020999,-78.684425,2338,10,2015
