gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
2330300790,Stelgidopteryx ruficollis,EC,Angel Paz,,1,-0.06506,-78.701591,2012,12,2012
3387723681,Stelgidopteryx ruficollis,EC,Niedrige Landschaften (Lowlands) nähe Arasha,,1,0.100909,-79.096443,530,11,2004
3267417828,Stelgidopteryx ruficollis,EC,Finca La Floreana,Santo Domingo de los Tsáchilas,1,-0.367045,-79.270454,329,7,2020
2170176092,Stelgidopteryx ruficollis,EC,Tandayapa Bird Lodge,Pichincha,1,0.00235,-78.67743,1742,3,2006
3617009650,Stelgidopteryx ruficollis,EC,Nanegal--vicinity,Pichincha,1,0.136249,-78.677826,1150,1,2021
2094118410,Stelgidopteryx ruficollis,EC,Mindo Area,Pichincha,1,-0.054116,-78.77557,1252,8,2017
3238933134,Stelgidopteryx ruficollis,EC,Reserva las Tangaras,Pichincha,5,-0.077419,-78.76933,1427,1,2020
3214665393,Stelgidopteryx ruficollis,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,11,2020
1195254591,Stelgidopteryx ruficollis,EC,Mindo--Vía a las cascadas (Waterfall trail),Pichincha,1,-0.062765,-78.77427,1344,11,2014
2107648738,Stelgidopteryx ruficollis,EC,Reserva Amagusa,Pichincha,2,0.1598,-78.8534,1302,1,2018
1180543237,Stelgidopteryx ruficollis,EC,Santa Marianita,Pichincha,1,0.130697,-78.66666,1171,7,2014
3217080308,Stelgidopteryx ruficollis,EC,Un Poco del Choco--Reserve & Field Station,Pichincha,6,0.05295,-78.84311,1177,1,2020
1347588955,Stelgidopteryx ruficollis,EC,Mindo--Vía al Cinto,Pichincha,1,-0.061568,-78.791115,1207,1,2015
2219741101,Stelgidopteryx ruficollis,EC,Rio Silanche Entrance Road,Pichincha,3,0.134269,-79.140396,389,11,2018
1353939045,Stelgidopteryx ruficollis,EC,Mindo--Vía a las cascadas (Waterfall trail),Pichincha,12,-0.062765,-78.77427,1344,3,2015
3139960870,Stelgidopteryx ruficollis,EC,Mindo--Vía a las cascadas (Waterfall trail),Pichincha,2,-0.062765,-78.77427,1344,2,2020
1950008532,Stelgidopteryx ruficollis,EC,,Pichincha,1,0.025228,-78.679637,1521,3,2018
2081040079,Stelgidopteryx ruficollis,EC,Maquipucuna--road,Pichincha,2,0.125055,-78.650696,1177,7,2017
3205299250,Stelgidopteryx ruficollis,EC,Hotel Tinalandia,Santo Domingo de los Tsáchilas,5,-0.299136,-79.0526,732,10,2020
3552461096,Stelgidopteryx ruficollis,EC,"Nanegal, Road Along Rio Alambi",Pichincha,5,0.15034,-78.684425,1077,8,2021
2109860427,Stelgidopteryx ruficollis,EC,Reserva Amagusa,Pichincha,3,0.1598,-78.8534,1302,1,2018
2064870696,Stelgidopteryx ruficollis,EC,el cinto,Pichincha,8,-0.067906,-78.78101,1370,5,2017
2720388906,Stelgidopteryx ruficollis,EC,Mindo--Vía a Cunuco,Pichincha,2,-0.051862,-78.783066,1228,11,2019
2063871586,Stelgidopteryx ruficollis,EC,Ruta a Cinto,Pichincha,4,-0.060897,-78.78204,1247,5,2017
3287749574,Stelgidopteryx ruficollis,EC,Represa Hidroeléctrica Manduriacu,Imbabura,6,0.215744,-78.90205,482,10,2020
2079064430,Stelgidopteryx ruficollis,EC,"Tandayapa--valle superior (Tandayapa<->Bellavista, upper valley)",Pichincha,1,-0.013116,-78.677826,2087,6,2017
1206071536,Stelgidopteryx ruficollis,EC,Recinto 23 de Junio,Pichincha,1,-0.03193,-78.87659,1117,3,2010
2091054820,Stelgidopteryx ruficollis,EC,"Pichincha, EC (-0.352, -78.85)",Pichincha,1,-0.352088,-78.84988,1354,8,2017
3565906946,Stelgidopteryx ruficollis,EC,Chontal--Oilbird Cave (Finca Morales/Cueva de los Tayos),Pichincha,9,0.20874,-78.73695,854,8,2021
3563705814,Stelgidopteryx ruficollis,EC,Alambi Reserve,Pichincha,3,0.030789,-78.680565,1488,11,2021
2727024458,Stelgidopteryx ruficollis,EC,Rio Silanche Bird Sanctuary,Pichincha,10,0.145185,-79.14147,402,10,2012
2716987457,Stelgidopteryx ruficollis,EC,"Tandayapa--valle superior (Tandayapa<->Bellavista, upper valley)",Pichincha,1,-0.013116,-78.677826,2087,10,2000
2784060392,Stelgidopteryx ruficollis,EC,Mindo--Vía al Cinto,Pichincha,1,-0.061568,-78.791115,1207,11,2019
2699200064,Stelgidopteryx ruficollis,EC,"El Jardin De Las Mariposas, Pichincha, EC (-0.065, -78.789)",Pichincha,4,-0.064635,-78.78918,1238,10,2019
2171839846,Stelgidopteryx ruficollis,EC,Puente del Río Blanco,Pichincha,1,0.005556,-78.912224,791,6,2018
1203188838,Stelgidopteryx ruficollis,EC,Mindo--pueblo y alrededores inmediatos (town and immediate surroundings),Pichincha,1,-0.051046,-78.7784,1259,8,2012
3557027596,Stelgidopteryx ruficollis,EC,Refugio Paz de las Aves (Angel Paz),Pichincha,2,0.019655,-78.70693,1906,4,2021
3273877951,Stelgidopteryx ruficollis,EC,Milpe Bird Sanctuary,Pichincha,1,0.033327,-78.868454,1110,3,2006
2745958700,Stelgidopteryx ruficollis,EC,"Vía a Las Cascadas, Pichincha, EC (-0.074, -78.767)",Pichincha,2,-0.073846,-78.766685,1475,8,2019
1756483116,Stelgidopteryx ruficollis,EC,Mindo--general area (*HISTORICAL DATA ONLY; please use a more specific location for current checklists),Pichincha,1,-0.049224,-78.776825,1268,1,2008
3097019701,Stelgidopteryx ruficollis,EC,,Pichincha,1,0.131287,-78.676438,1164,4,2021
2051384208,Stelgidopteryx ruficollis,EC,Mindo--Road from highway to town (1300-1700m),Pichincha,1,-0.03871,-78.76851,1441,2,2017
3623680865,Stelgidopteryx ruficollis,EC,Caoni Riverside Suites,Pichincha,1,0.117549,-79.23913,118,5,2021
2072546201,Stelgidopteryx ruficollis,EC,Rio Silanche--general area,Pichincha,8,0.117101,-79.13609,393,7,2017
1377079446,Stelgidopteryx ruficollis,EC,Alambi Reserve,Pichincha,1,0.030789,-78.680565,1488,6,2015
261055649,Stelgidopteryx ruficollis,EC,Milpe Bird Sanctuary,Pichincha,6,0.033327,-78.868454,1110,8,2007
2160278914,Stelgidopteryx ruficollis,EC,Nanegal--vicinity,Pichincha,1,0.136249,-78.677826,1150,5,2018
3588938190,Stelgidopteryx ruficollis,EC,Rio Silanche--entrance road,Pichincha,2,0.108158,-79.13607,400,1,2021
1794577468,Stelgidopteryx ruficollis,EC,Mindo--Vía a las cascadas (Waterfall trail),Pichincha,4,-0.062765,-78.77427,1344,3,2010
183851288,Stelgidopteryx ruficollis,EC,Milpe Bird Sanctuary,Pichincha,1,0.033327,-78.868454,1110,8,2007
183851786,Stelgidopteryx ruficollis,EC,Milpe Bird Sanctuary,Pichincha,30,0.033327,-78.868454,1110,9,2008
