gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
3604153177,Strix albitarsis,EC,Bosque Protector Siempre Verde,Imbabura,2,0.372374,-78.42244,2446,4,2021
1190861665,Strix albitarsis,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,2,2007
2172489039,Strix albitarsis,EC,Reserva Geobotánica Pululahua--general area,Pichincha,2,0.040374,-78.50293,2405,6,2018
2110272505,Strix albitarsis,EC,Bellavista Reserve,Pichincha,1,-0.01631,-78.68114,2253,6,2017
1190866749,Strix albitarsis,EC,"Hacienda Verdecocha (reserva privada), transecto 02",Pichincha,1,-0.10905,-78.61705,2675,11,2008
179020900,Strix albitarsis,EC,Bellavista Cloud Forest Lodge,Pichincha,1,-0.015922,-78.681206,2242,3,2008
1176249909,Strix albitarsis,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,6,2011
1190845550,Strix albitarsis,EC,"Yanacocha, Reserva Privada 1",Pichincha,1,-0.12108,-78.59028,3516,5,2007
2793362706,Strix albitarsis,EC,Bellavista--camino a la estación científica (research station road),Pichincha,1,-0.020999,-78.684425,2338,11,2019
3519960782,Strix albitarsis,EC,Reserva Yanacocha,Pichincha,2,-0.111752,-78.584694,3528,5,2021
1410615666,Strix albitarsis,EC,Casa Mojanda,Imbabura,1,0.202002,-78.28853,2858,6,2013
2109720188,Strix albitarsis,EC,Bellavista Cloud Forest Lodge,Pichincha,1,-0.015922,-78.681206,2242,3,2008
1190805902,Strix albitarsis,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,7,2007
2776281324,Strix albitarsis,EC,Bellavista--camino a la estación científica (research station road),Pichincha,1,-0.020999,-78.684425,2338,11,2019
1190701263,Strix albitarsis,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,8,2007
2780073071,Strix albitarsis,EC,Reserva Los Cedros,Imbabura,1,0.321968,-78.787,1820,9,2019
1203273565,Strix albitarsis,EC,Reserva Geobotánica Pululahua--general area,Pichincha,1,0.040374,-78.50293,2405,8,2012
1190961372,Strix albitarsis,EC,"Hacienda Verdecocha (reserva privada), transecto 03",Pichincha,1,-0.10648,-78.64341,2468,2,2008
3649982217,Strix albitarsis,EC,Bosque Protector Siempre Verde,Imbabura,1,0.372374,-78.42244,2446,7,2008
3527154630,Strix albitarsis,EC,Area de Protección y Conservación Cerro Blanco,Imbabura,2,0.209989,-78.34595,3209,5,2021
1743138549,Strix albitarsis,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,6,2016
1190636950,Strix albitarsis,EC,"San Luis Transecto impacto, Punto 10",Pichincha,1,-0.028,-78.698,2332,12,2002
2204274240,Strix albitarsis,EC,Hacienda Rumiloma,Pichincha,1,-0.176159,-78.53123,3343,10,2018
1190975081,Strix albitarsis,EC,Guarumos Transecto impacto P11,Pichincha,1,-0.0465,-78.65397,2664,9,2005
2793302644,Strix albitarsis,EC,"Ilalo, por el lado del Colegio Pachamama",Pichincha,1,-0.241858,-78.40417,2584,12,2019
2098687285,Strix albitarsis,EC,"Jardines del Batan, Quito",Pichincha,1,-0.17179,-78.46959,2864,10,2017
2718530939,Strix albitarsis,EC,San Jorge Ecolodge (Quito),Pichincha,1,-0.11649,-78.52343,3187,6,2008
1190694771,Strix albitarsis,EC,Guarumos Transecto impacto P02,Pichincha,1,-0.05136,-78.642,2567,5,2007
3513291297,Strix albitarsis,EC,Siempre Verde (correct locality!),Imbabura,2,0.37239,-78.42243,2446,4,2021
1350850170,Strix albitarsis,EC,Reserva Yanacocha,Pichincha,3,-0.111752,-78.584694,3528,2,2015
1190802405,Strix albitarsis,EC,Campanario Transecto control P01,Pichincha,1,-0.03425,-78.66342,2546,2,2003
1768613246,Strix albitarsis,EC,Reserva Yanacocha,Pichincha,1,-0.111752,-78.584694,3528,10,2016
2176447738,Strix albitarsis,EC,Reserva Geobotánica Pululahua--general area,Pichincha,2,0.040374,-78.50293,2405,6,2018
1738923396,Strix albitarsis,EC,El Entable,Pichincha,1,0.1527,-78.338,2350,5,2016
2728877574,Strix albitarsis,EC,"Rumiloma-EC-Pichincha-Quito (-0.1771,-78.5256)",Pichincha,2,-0.177101,-78.5256,3238,2,2019
