gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
3693449344,Tachybaptus dominicus,EC,La Mina,Pichincha,7,0.147426,-79.32015,164,8,2021
3616189226,Tachybaptus dominicus,EC,"La Mina De La Piedra Del Vapor, Pichincha, EC (0.147, -79.324)",Pichincha,5,0.1466,-79.3241,157,6,2021
2726942275,Tachybaptus dominicus,EC,Represa Hidroeléctrica Manduriacu,Imbabura,1,0.215744,-78.90205,482,10,2017
3567999397,Tachybaptus dominicus,EC,La Mina,Pichincha,7,0.147426,-79.32015,164,8,2021
3573908493,Tachybaptus dominicus,EC,Mina Piedra de Vapor,Pichincha,8,0.146663,-79.322556,145,8,2021
3645266105,Tachybaptus dominicus,EC,"La Mina De La Piedra Del Vapor, Pichincha, EC (0.147, -79.324)",Pichincha,10,0.1466,-79.3241,157,6,2021
2713204508,Tachybaptus dominicus,EC,Hostería El Carmelo de Mindo,Pichincha,1,-0.058923,-78.779655,1238,12,2019
3627020806,Tachybaptus dominicus,EC,"Vía Piedra de Vapor, Pichincha, EC (0.147, -79.321)",Pichincha,10,0.147091,-79.32056,150,8,2021
2758062528,Tachybaptus dominicus,EC,Represa Hidroeléctrica Manduriacu,Imbabura,1,0.215744,-78.90205,482,10,2019
2086676414,Tachybaptus dominicus,EC,Represa Hidroeléctrica Manduriacu,Imbabura,1,0.215744,-78.90205,482,10,2017
3579208413,Tachybaptus dominicus,EC,La Mina,Pichincha,7,0.147426,-79.32015,164,8,2021
3678671966,Tachybaptus dominicus,EC,"La Mina De La Piedra Del Vapor, Pichincha, EC (0.147, -79.324)",Pichincha,2,0.1466,-79.3241,157,2,2021
3168159005,Tachybaptus dominicus,EC,"Mina de petreos, Vía Piedra de Vapor - Puerto Quito, EC (0,147, -79,322)",Pichincha,11,0.146865,-79.32219,143,7,2020
2716700981,Tachybaptus dominicus,EC,Represa Hidroeléctrica Manduriacu,Imbabura,1,0.215744,-78.90205,482,10,2019
3285606635,Tachybaptus dominicus,EC,"Mina de petreos, Vía Piedra de Vapor - Puerto Quito, EC (0,147, -79,322)",Pichincha,11,0.146865,-79.32219,143,7,2020
3691913818,Tachybaptus dominicus,EC,"Vía Piedra de Vapor, Pichincha, EC (0.143, -79.312)",Pichincha,1,0.143305,-79.31244,145,8,2021
3536977271,Tachybaptus dominicus,EC,La Mina,Pichincha,7,0.147426,-79.32015,164,8,2021
2105049209,Tachybaptus dominicus,EC,Represa Hidroeléctrica Manduriacu,Imbabura,1,0.215744,-78.90205,482,10,2017
2716688557,Tachybaptus dominicus,EC,Represa Hidroeléctrica Manduriacu,Imbabura,1,0.215744,-78.90205,482,10,2019
3670342056,Tachybaptus dominicus,EC,"Piedra de Vapor and surroundings, Pichincha, EC",Pichincha,2,0.147815,-79.325935,129,5,2021
2196268212,Tachybaptus dominicus,EC,Represa Hidroeléctrica Manduriacu,Imbabura,3,0.215744,-78.90205,482,9,2018
3646266650,Tachybaptus dominicus,EC,"Piedra de Vapor-Puerto Quito, Pichincha, EC (0,147, -79,326)",Pichincha,4,0.146774,-79.32645,122,2,2021
3692311567,Tachybaptus dominicus,EC,Mina Piedra de Vapor,Pichincha,8,0.146663,-79.322556,145,8,2021
3620442513,Tachybaptus dominicus,EC,"Piedra de Vapor and surroundings, Pichincha, EC",Pichincha,2,0.147815,-79.325935,129,5,2021
