gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
2672668708,Tachyphonus delatrii,EC,Rio Silanche--entrance road,Pichincha,1,0.108158,-79.13607,400,5,2019
1351954571,Tachyphonus delatrii,EC,Rio Silanche Bird Sanctuary,Pichincha,2,0.145185,-79.14147,402,2,2015
1147124542,Tachyphonus delatrii,EC,Nanagalitos-Los Banios Highway Selance Area Km 126,,1,-0.1427,-79.141567,484,9,2003
3985838827,Tachyphonus delatrii,EC,,Pichincha,1,0.144916,-79.141299,408,11,2022
1775333655,Tachyphonus delatrii,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,1,2015
2191026429,Tachyphonus delatrii,EC,Rio Silanche--general area,Pichincha,2,0.117101,-79.13609,393,7,2018
3079856131,Tachyphonus delatrii,EC,,Pichincha,1,0.144916,-79.141299,408,4,2021
3230750143,Tachyphonus delatrii,EC,Reserva/Finca Mashpi-Shungo (Mashpi Chocolate Artesanal Farm),Pichincha,1,0.182478,-78.9123,514,2,2020
2785913654,Tachyphonus delatrii,EC,Rio Silanche--general area,Pichincha,2,0.117101,-79.13609,393,5,2019
1400734630,Tachyphonus delatrii,EC,Reserva Mangaloma,Pichincha,2,0.122652,-78.99485,843,4,2006
2124635086,Tachyphonus delatrii,EC,Rio Silanche Bird Sanctuary,Pichincha,2,0.145185,-79.14147,402,2,2018
3211704351,Tachyphonus delatrii,EC,Rio Silanche Bird Sanctuary,Pichincha,3,0.145185,-79.14147,402,1,2014
2797240680,Tachyphonus delatrii,EC,Rio Silanche--entrance road,Pichincha,5,0.108158,-79.13607,400,11,2019
3192496735,Tachyphonus delatrii,EC,Rio Silanche--general area,Pichincha,5,0.117101,-79.13609,393,11,2020
2776165055,Tachyphonus delatrii,EC,Rio Silanche Bird Sanctuary,Pichincha,2,0.145185,-79.14147,402,12,2018
2073598394,Tachyphonus delatrii,EC,Rio Silanche Bird Sanctuary,Pichincha,4,0.145185,-79.14147,402,6,2017
2704842901,Tachyphonus delatrii,EC,Rio Silanche Bird Sanctuary,Pichincha,4,0.145185,-79.14147,402,10,2019
2668722606,Tachyphonus delatrii,EC,Rio Silanche--general area,Pichincha,2,0.117101,-79.13609,393,4,2019
2114253880,Tachyphonus delatrii,EC,Rio Silanche--general area,Pichincha,1,0.117101,-79.13609,393,8,2005
1711404143,Tachyphonus delatrii,EC,Rio Silanche Bird Sanctuary,Pichincha,2,0.145185,-79.14147,402,1,2016
2662390761,Tachyphonus delatrii,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,1,2019
2157789570,Tachyphonus delatrii,EC,Reserva/Finca Mashpi-Shungo (Mashpi Chocolate Artesanal Farm),Pichincha,10,0.182478,-78.9123,514,5,2018
262656372,Tachyphonus delatrii,EC,Rio Silanche Bird Sanctuary,Pichincha,2,0.145185,-79.14147,402,8,2005
2082186417,Tachyphonus delatrii,EC,Milpe--end of the road,Pichincha,6,0.07727,-78.93023,912,9,2017
1165364534,Tachyphonus delatrii,EC,Rio Silanche Bird Sanctuary,Pichincha,3,0.145185,-79.14147,402,3,2014
1748887270,Tachyphonus delatrii,EC,Milpe Road,Pichincha,1,0.028496,-78.86158,1162,8,2007
2665905138,Tachyphonus delatrii,EC,Rio Silanche Bird Sanctuary,Pichincha,4,0.145185,-79.14147,402,2,2019
1776741125,Tachyphonus delatrii,EC,Rio Silanche Bird Sanctuary,Pichincha,23,0.145185,-79.14147,402,11,2016
2720214132,Tachyphonus delatrii,EC,Reserva Mangaloma,Pichincha,1,0.122652,-78.99485,843,10,2015
3140234891,Tachyphonus delatrii,EC,Rio Silanche Bird Sanctuary,Pichincha,4,0.145185,-79.14147,402,1,2020
3209817786,Tachyphonus delatrii,EC,Rio Silanche Bird Sanctuary,Pichincha,6,0.145185,-79.14147,402,11,2020
1792077063,Tachyphonus delatrii,EC,Rio Silanche Bird Sanctuary,Pichincha,3,0.145185,-79.14147,402,10,2016
1769564669,Tachyphonus delatrii,EC,Rio Silanche--entrance road,Pichincha,1,0.108158,-79.13607,400,10,2016
2118186311,Tachyphonus delatrii,EC,Rio Silanche Bird Sanctuary,Pichincha,12,0.145185,-79.14147,402,2,2018
3301294298,Tachyphonus delatrii,EC,Rancho Suamox,Pichincha,1,0.10746,-79.166534,377,12,2020
2744325326,Tachyphonus delatrii,EC,Reserva/Finca Mashpi-Shungo (Mashpi Chocolate Artesanal Farm),Pichincha,4,0.182478,-78.9123,514,6,2019
1381094994,Tachyphonus delatrii,EC,Rio Silanche Bird Sanctuary,Pichincha,3,0.145185,-79.14147,402,3,2014
1789448760,Tachyphonus delatrii,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,3,2011
2687359181,Tachyphonus delatrii,EC,Rio Silanche Bird Sanctuary,Pichincha,5,0.145185,-79.14147,402,7,2019
3535044044,Tachyphonus delatrii,EC,Rio Silanche Bird Sanctuary,Pichincha,4,0.145185,-79.14147,402,7,2021
1374514612,Tachyphonus delatrii,EC,Mindo--Casa Divina Lodge,Pichincha,1,-0.06509,-78.76884,1285,6,2015
3290932935,Tachyphonus delatrii,EC,"Bosque De Oro, Pichincha, EC",Pichincha,4,0.181043,-79.237625,257,10,2020
1206438530,Tachyphonus delatrii,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,9,2014
2218975811,Tachyphonus delatrii,EC,Rio Silanche Bird Sanctuary,Pichincha,3,0.145185,-79.14147,402,2,2007
3287655053,Tachyphonus delatrii,EC,Pais Tropical,Pichincha,1,0.17327,-78.93343,543,8,2020
2130781202,Tachyphonus delatrii,EC,Rio Silanche--general area,Pichincha,1,0.117101,-79.13609,393,2,2018
3217378253,Tachyphonus delatrii,EC,Rio Silanche Bird Sanctuary,Pichincha,4,0.145185,-79.14147,402,2,2020
2109964468,Tachyphonus delatrii,EC,Rio Silanche--general area,Pichincha,2,0.117101,-79.13609,393,9,2015
1733460576,Tachyphonus delatrii,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,3,2009
1726012693,Tachyphonus delatrii,EC,Rio Silanche Bird Sanctuary,Pichincha,6,0.145185,-79.14147,402,2,2016
2112664570,Tachyphonus delatrii,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,12,2017
2099251330,Tachyphonus delatrii,EC,Rio Silanche Bird Sanctuary,Pichincha,3,0.145185,-79.14147,402,12,2017
3525936901,Tachyphonus delatrii,EC,Rio Silanche Bird Sanctuary,Pichincha,8,0.145185,-79.14147,402,2,2013
2698815980,Tachyphonus delatrii,EC,Rio Silanche Bird Sanctuary,Pichincha,2,0.145185,-79.14147,402,10,2015
184180959,Tachyphonus delatrii,EC,Rio Silanche Bird Sanctuary,Pichincha,10,0.145185,-79.14147,402,6,2008
3261067909,Tachyphonus delatrii,EC,"Bosque De Oro, Pichincha, EC",Pichincha,4,0.181043,-79.237625,257,10,2020
2695749537,Tachyphonus delatrii,EC,Rio Silanche--general area,Pichincha,4,0.117101,-79.13609,393,6,2019
3135006443,Tachyphonus delatrii,EC,Rio Silanche--general area,Pichincha,2,0.117101,-79.13609,393,2,2020
3181588702,Tachyphonus delatrii,EC,La Delicia--Guayabillas road (lower part below Mashpi turnoff),Pichincha,5,0.195715,-78.872116,766,9,2020
3635340677,Tachyphonus delatrii,EC,Rio Silanche Bird Sanctuary,Pichincha,8,0.145185,-79.14147,402,10,2021
603655228,Tachyphonus delatrii,EC,Reserva Mangaloma,Pichincha,1,0.122652,-78.99485,843,12,2010
1208691900,Tachyphonus delatrii,EC,Pedro Vicente Maldonado--pueblo y alrededores inmediatos (town and immediate surroundings),Pichincha,1,0.087625,-79.05275,613,10,2003
2197129014,Tachyphonus delatrii,EC,Pedro Vicente Maldonado--pueblo y alrededores inmediatos (town and immediate surroundings),Pichincha,6,0.087625,-79.05275,613,2,2005
1353627909,Tachyphonus delatrii,EC,"0.1462x-79.1393 - Mar 7, 2015, 2:34 PM",Pichincha,2,0.146193,-79.13928,431,3,2015
