gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
2330705581,Tangara aurulenta,EC,San Miguel de los Bancos,,1,0.035534,-78.909302,1007,1,2011
2330653156,Tangara aurulenta,EC,Mindo Butterfly Farm,,1,-0.06669,-78.766479,1280,9,2018
2330647821,Tangara aurulenta,EC,Angel Paz,,1,-0.06506,-78.701591,2012,12,2012
2330671942,Tangara aurulenta,EC,"Yellow House, Mindo, Ecuador",,1,-0.051455,-78.772606,1267,12,2017
2330663689,Tangara aurulenta,EC,Angel Paz,,1,-0.06506,-78.701591,2012,12,2012
3389438304,Tangara aurulenta,EC,Wälder im Tandayapa Valley und Umgebung,,1,0.011335,-78.689766,2054,11,2004
2330639425,Tangara aurulenta,EC,Mashpi Road,,1,0.07287,-78.696274,1745,2,2011
2330684261,Tangara aurulenta,EC,Milpe Bird Sanctuary,,1,0.03276,-78.853394,1153,2,2011
2330697822,Tangara aurulenta,EC,"Vogelfütterungsplatz Nähe Mindo, Ecuador",,1,-0.027423,-78.756981,1726,12,2017
3388961760,Tangara aurulenta,EC,Niedrige Landschaften (Lowlands) nähe Arasha,,1,0.100909,-79.096443,530,11,2004
