gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
2397651278,Tangara gyrola,EC,,Pichincha,1,0.123755,-78.629907,1282,12,2015
2330641239,Tangara gyrola,EC,Rancho Suamox,,1,0.104628,-79.240784,239,2,2011
3387732703,Tangara gyrola,EC,Niedrige Landschaften (Lowlands) nähe Arasha,,1,0.100909,-79.096443,530,11,2004
2836189000,Tangara gyrola,EC,Ecuador - Pichincha - Río Silanche Bird Sanctuary,,1,0.1445,-79.142,415,2,2018
1392409504,Tangara gyrola,EC,Santa Marianita,Pichincha,1,0.130697,-78.66666,1171,10,2015
1789267317,Tangara gyrola,EC,Rio Silanche--general area,Pichincha,15,0.117101,-79.13609,393,12,2005
1405487744,Tangara gyrola,EC,Mindo--general area (*HISTORICAL DATA ONLY; please use a more specific location for current checklists),Pichincha,1,-0.049224,-78.776825,1268,12,2000
3607222408,Tangara gyrola,EC,"Pachijal Vía Cielo Verde , Pichincha, EC (0.164, -78.936)",Pichincha,1,0.163645,-78.93566,507,5,2021
3210027684,Tangara gyrola,EC,Mindo--Hacienda San Vicente/Yellow House Trails,Pichincha,1,-0.050725,-78.772385,1274,2,2012
3287639198,Tangara gyrola,EC,Garceta Sol,Pichincha,2,-0.059832,-78.789986,1218,12,2020
2221330278,Tangara gyrola,EC,Rio Silanche--entrance road,Pichincha,1,0.108158,-79.13607,400,11,2018
1752714818,Tangara gyrola,EC,Milpe Garden,Pichincha,1,0.06584,-78.74206,1759,11,2013
2460033166,Tangara gyrola,EC,,Pichincha,1,0.126114,-78.653371,1171,11,2019
3534171909,Tangara gyrola,EC,Recinto El Dorado,Santo Domingo de los Tsáchilas,1,-0.21314,-78.950935,739,5,2021
2792139771,Tangara gyrola,EC,Rio Silanche Bird Sanctuary,Pichincha,2,0.145185,-79.14147,402,10,2019
2780381049,Tangara gyrola,EC,Mindo--Vía a las cascadas (Waterfall trail),Pichincha,1,-0.062765,-78.77427,1344,12,2019
3260540942,Tangara gyrola,EC,Milpe Bird Sanctuary,Pichincha,2,0.033327,-78.868454,1110,10,2020
3684276073,Tangara gyrola,EC,"Auto selected 0.03964, -78.87605",Pichincha,2,0.03964,-78.87605,1117,10,2021
2074679008,Tangara gyrola,EC,Mindo--Hacienda San Vicente/Yellow House Trails,Pichincha,2,-0.050725,-78.772385,1274,5,2017
2796316718,Tangara gyrola,EC,Milpe Bird Sanctuary,Pichincha,1,0.033327,-78.868454,1110,11,2019
2112657122,Tangara gyrola,EC,Hostel Colibri,Pichincha,1,-0.064974,-78.76643,1283,1,2007
2223140850,Tangara gyrola,EC,Mindo--Las Terrazas de Dana Lodge,Pichincha,1,-0.062843,-78.76957,1277,11,2018
2178228581,Tangara gyrola,EC,Rio Silanche Bird Sanctuary,Pichincha,2,0.145185,-79.14147,402,5,2018
2114700485,Tangara gyrola,EC,Milpe Bird Sanctuary,Pichincha,2,0.033327,-78.868454,1110,10,2017
3521912150,Tangara gyrola,EC,Ruta de los Tubos,Santo Domingo de los Tsáchilas,2,-0.322741,-78.99407,787,5,2021
2186023026,Tangara gyrola,EC,"(0.1856,-78.8533)",Pichincha,1,0.185562,-78.853264,1017,7,2018
3504230774,Tangara gyrola,EC,Reserva Maquipucuna,Pichincha,1,0.120898,-78.63837,1310,11,2008
2138055450,Tangara gyrola,EC,Reserva Maquipucuna,Pichincha,1,0.120898,-78.63837,1310,2,2018
2782531881,Tangara gyrola,EC,Rio Silanche Bird Sanctuary,Pichincha,8,0.145185,-79.14147,402,12,2019
2840505697,Tangara gyrola,EC,Ecuador - Pichincha - Río Silanche Bird Sanctuary,,1,0.144577,-79.14213,407,8,2018
2136184870,Tangara gyrola,EC,Rio Silanche--entrance road,Pichincha,2,0.108158,-79.13607,400,2,2018
2159229836,Tangara gyrola,EC,"Localidad desconocida - (-0.076,Camino a las cascadas cordillera San Lorenzo -78.764)",Pichincha,1,-0.076124,-78.764244,1463,6,2018
2154115807,Tangara gyrola,EC,Milpe Bird Sanctuary,Pichincha,1,0.033327,-78.868454,1110,1,2014
1388345760,Tangara gyrola,EC,Mindo--Vía a las cascadas (Waterfall trail),Pichincha,2,-0.062765,-78.77427,1344,9,2015
3257493953,Tangara gyrola,EC,"San Miguel de los Bancos, Pichincha, EC (0,052, -78,903)",Pichincha,1,0.051764,-78.90251,1013,8,2020
1188234597,Tangara gyrola,EC,Reserva Maquipucuna,Pichincha,1,0.120898,-78.63837,1310,6,2005
2117541219,Tangara gyrola,EC,"Vía a Las Cascadas, Pichincha, EC (-0.067, -78.775)canopy",Pichincha,2,-0.066645,-78.77501,1375,1,2018
2603364345,Tangara gyrola,EC,,Pichincha,1,0.126114,-78.653371,1171,10,2013
2705786600,Tangara gyrola,EC,San Jorge DeMilpe Bird Lodge,Pichincha,1,0.043232,-78.88381,1069,10,2019
2658775154,Tangara gyrola,EC,La Delicia--Guayabillas road (lower part below Mashpi turnoff),Pichincha,1,0.195715,-78.872116,766,2,2019
150438631,Tangara gyrola,EC,Pedro Vicente Maldanado,Pichincha,1,0.084457,-79.09813,417,8,2007
2797336993,Tangara gyrola,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,3,2014
847512462,Tangara gyrola,EC,Milpe Bird Sanctuary,Pichincha,2,0.033327,-78.868454,1110,2,2012
3694550924,Tangara gyrola,EC,"Hacienda San Vicente, Mindo, EC (-0.051, -78.772)",Pichincha,1,-0.05141,-78.77191,1276,9,2021
1386969735,Tangara gyrola,EC,Santa Marianita,Pichincha,1,0.130697,-78.66666,1171,9,2015
2722777904,Tangara gyrola,EC,Mirador Rio Blanco -- San Miguel de Los Bancos,Pichincha,1,0.02228,-78.8909,1096,11,2019
977058841,Tangara gyrola,EC,Milpe Bird Sanctuary,Pichincha,1,0.033327,-78.868454,1110,8,2009
3585598871,Tangara gyrola,EC,Mindo--El Monte Sustainable Lodge,Pichincha,6,-0.069394,-78.76362,1311,12,2021
3582572310,Tangara gyrola,EC,"vía al Pachijal, Pichincha, EC (0.027, -78.857)",Pichincha,1,0.026733,-78.85738,1158,10,2021
1164246010,Tangara gyrola,EC,Mindo--pueblo y alrededores inmediatos (town and immediate surroundings),Pichincha,1,-0.051046,-78.7784,1259,4,2014
2707665831,Tangara gyrola,EC,Mindo--Hacienda San Vicente/Yellow House Trails,Pichincha,3,-0.050725,-78.772385,1274,12,2019
3565297740,Tangara gyrola,EC,Mindo--pueblo y alrededores inmediatos (town and immediate surroundings),Pichincha,1,-0.051046,-78.7784,1259,11,2021
1175734669,Tangara gyrola,EC,Reserva Mangaloma,Pichincha,2,0.122652,-78.99485,843,6,2014
2101170903,Tangara gyrola,EC,Mindo--pueblo y alrededores inmediatos (town and immediate surroundings),Pichincha,1,-0.051046,-78.7784,1259,9,2004
2157364884,Tangara gyrola,EC,Mindo--Vía al Cinto,Pichincha,3,-0.061568,-78.791115,1207,5,2018
2038637664,Tangara gyrola,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,3,2017
1388921428,Tangara gyrola,EC,Santa Marianita,Pichincha,1,0.130697,-78.66666,1171,9,2015
3224242209,Tangara gyrola,EC,Nanegal--vicinity,Pichincha,1,0.136249,-78.677826,1150,2,2020
1762947369,Tangara gyrola,EC,Reserva Maquipucuna,Pichincha,1,0.120898,-78.63837,1310,9,2016
2216435343,Tangara gyrola,EC,EC-Pichincha-Rio Silanche Reserve,Pichincha,2,0.144958,-79.14181,406,11,2018
3690544195,Tangara gyrola,EC,Refugio Paz de las Aves (Angel Paz),Pichincha,1,0.019655,-78.70693,1906,11,2010
2170704652,Tangara gyrola,EC,Mindo--Vía a las cascadas (Waterfall trail),Pichincha,4,-0.062765,-78.77427,1344,7,2018
2130092254,Tangara gyrola,EC,Rio Silanche Bird Sanctuary,Pichincha,5,0.145185,-79.14147,402,2,2018
602960657,Tangara gyrola,EC,Mindo--general area (*HISTORICAL DATA ONLY; please use a more specific location for current checklists),Pichincha,1,-0.049224,-78.776825,1268,6,2003
2233021547,Tangara gyrola,EC,Milpe Bird Sanctuary,Pichincha,1,0.033327,-78.868454,1110,12,2018
3618454975,Tangara gyrola,EC,"Valle Hermoso, Santo Domingo de los Tsáchilas",Santo Domingo de los Tsáchilas,1,-0.090019,-79.278824,260,2,2021
2672005823,Tangara gyrola,EC,Milpe Bird Sanctuary,Pichincha,1,0.033327,-78.868454,1110,2,2019
2132245948,Tangara gyrola,EC,Mindo--Vía a las cascadas (Waterfall trail),Pichincha,1,-0.062765,-78.77427,1344,3,2018
3555496254,Tangara gyrola,EC,Mindo--pueblo y alrededores inmediatos (town and immediate surroundings),Pichincha,1,-0.051046,-78.7784,1259,4,2021
3541260815,Tangara gyrola,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,1,2006
2110465378,Tangara gyrola,EC,Hostería El Carmelo de Mindo,Pichincha,1,-0.058923,-78.779655,1238,11,2017
2160137812,Tangara gyrola,EC,Comuna El Poste,Santo Domingo de los Tsáchilas,1,-0.283347,-79.273964,396,5,2018
2723076806,Tangara gyrola,EC,Rio Silanche--entrance road,Pichincha,2,0.108158,-79.13607,400,11,2019
3625274249,Tangara gyrola,EC,Mindo--Hacienda San Vicente/Yellow House Trails,Pichincha,1,-0.050725,-78.772385,1274,10,2021
1378992980,Tangara gyrola,EC,Reserva Maquipucuna,Pichincha,1,0.120898,-78.63837,1310,7,2015
3633157375,Tangara gyrola,EC,Reserva Maquipucuna,Pichincha,1,0.120898,-78.63837,1310,5,2021
3663567149,Tangara gyrola,EC,"La Isla Mindo, Pichincha, EC (-0,052, -78,759)",Pichincha,2,-0.051667,-78.75909,1391,5,2020
3586035978,Tangara gyrola,EC,Río Mindo - Vía al Mariposario,Pichincha,1,-0.070968,-78.76001,1324,12,2021
2988658615,Tangara gyrola,EC,,Pichincha,1,0.032895,-78.68101,1470,11,2020
2984446048,Tangara gyrola,EC,,Pichincha,1,-0.051254,-78.772305,1275,12,2013
1789210043,Tangara gyrola,EC,Rio Silanche--general area,Pichincha,6,0.117101,-79.13609,393,11,2005
3656443489,Tangara gyrola,EC,Mindo--Coffee Shop,Pichincha,1,-0.055063,-78.77332,1267,4,2021
2168935760,Tangara gyrola,EC,Pedro Vicente Maldonado Canton,Pichincha,1,0.081333,-79.049515,617,8,2005
2033048050,Tangara gyrola,EC,Refugio Paz de las Aves (Angel Paz),Pichincha,1,0.019655,-78.70693,1906,1,2017
2233726952,Tangara gyrola,EC,Rio Silanche--general area,Pichincha,2,0.117101,-79.13609,393,12,2018
3684617094,Tangara gyrola,EC,Rio Silanche Bird Sanctuary,Pichincha,6,0.145185,-79.14147,402,7,2021
2062100606,Tangara gyrola,EC,Mirador Rio Blanco -- San Miguel de Los Bancos,Pichincha,1,0.02228,-78.8909,1096,3,2017
3683960653,Tangara gyrola,EC,Mindo--El Monte Sustainable Lodge,Pichincha,1,-0.069394,-78.76362,1311,10,2021
2765446757,Tangara gyrola,EC,Mindo--Vía a Cunuco,Pichincha,1,-0.051862,-78.783066,1228,5,2019
959934048,Tangara gyrola,EC,Mashpi--Lodge and trails,Pichincha,1,0.166125,-78.878876,931,7,2013
1740583349,Tangara gyrola,EC,Mindo--Vía a las cascadas (Waterfall trail),Pichincha,1,-0.062765,-78.77427,1344,4,2016
2745999665,Tangara gyrola,EC,"Cabañas Majagua (0.144, -78.769)",Pichincha,1,0.14356,-78.768745,1150,3,2019
3201153771,Tangara gyrola,EC,Mashpi--general area,Pichincha,3,0.16546,-78.84751,1293,1,2011
2706022281,Tangara gyrola,EC,Milpe Bird Sanctuary,Pichincha,1,0.033327,-78.868454,1110,7,2019
2199143655,Tangara gyrola,EC,Milpe Bird Sanctuary,Pichincha,2,0.033327,-78.868454,1110,10,2018
2129973785,Tangara gyrola,EC,Milpe Bird Sanctuary,Pichincha,1,0.033327,-78.868454,1110,1,2014
2095689471,Tangara gyrola,EC,"Avenida Quito, Pichincha, EC (-0.054, -78.779)",Pichincha,1,-0.054259,-78.77889,1236,9,2017
