gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
2848587166,Tangara ruficervix,EC,"Mindo, Pichincha",,1,-0.0266,-78.7423,1861,3,2020
2839176382,Tangara ruficervix,EC,Ecuador - Pichincha,,2,-0.148634,-78.782456,1830,12,2009
2839776559,Tangara ruficervix,EC,Ecuador - Pichincha,,1,-0.0299,-78.764,1533,9,2016
2699964251,Tangara ruficervix,EC,Refugio Paz de las Aves (Angel Paz),Pichincha,2,0.019655,-78.70693,1906,7,2019
1399879258,Tangara ruficervix,EC,Refugio Paz de las Aves (Angel Paz),Pichincha,2,0.019655,-78.70693,1906,12,2015
2039685004,Tangara ruficervix,EC,Mindo--Vía a las cascadas (Waterfall trail),Pichincha,2,-0.062765,-78.77427,1344,1,2017
3274409321,Tangara ruficervix,EC,San Tadeo Birdwatching (Feeders),Pichincha,4,-0.029472,-78.751816,1731,9,2020
2756038078,Tangara ruficervix,EC,Un Poco del Choco--Reserve & Field Station,Pichincha,1,0.05295,-78.84311,1177,5,2019
2730618000,Tangara ruficervix,EC,Mashpi--Entrance road before gate,Pichincha,1,0.160629,-78.84993,1340,2,2019
3694281431,Tangara ruficervix,EC,Reserva Maquipucuna,Pichincha,1,0.120898,-78.63837,1310,10,2021
3236835883,Tangara ruficervix,EC,Mindo--Vía a las cascadas (Waterfall trail),Pichincha,2,-0.062765,-78.77427,1344,2,2020
3640352859,Tangara ruficervix,EC,Bosque Protector Siempre Verde,Imbabura,2,0.372374,-78.42244,2446,7,2021
3296279767,Tangara ruficervix,EC,"Sachatamia lodge, Equateur",Pichincha,2,-0.026554,-78.7594,1719,2,2017
3294409652,Tangara ruficervix,EC,Santa Lucia Lodge,Pichincha,1,0.118575,-78.61154,1881,12,2011
3134146523,Tangara ruficervix,EC,Reserva Amagusa,Pichincha,3,0.1598,-78.8534,1302,1,2020
603552477,Tangara ruficervix,EC,La Delicea,Pichincha,6,0.143489,-78.80247,1491,7,2010
2128654240,Tangara ruficervix,EC,Refugio Paz de las Aves (Angel Paz),Pichincha,3,0.019655,-78.70693,1906,2,2018
263486098,Tangara ruficervix,EC,Reserva Las Gralarias - Upper property,Pichincha,3,-0.03325,-78.70912,2242,5,2009
2065806264,Tangara ruficervix,EC,Tandayapa--San Jorge Tandayapa,Pichincha,2,0.010117,-78.676544,1656,6,2017
3220577005,Tangara ruficervix,EC,The Birdwatcher's House - Santa Rosa Bird Lodge,Pichincha,2,-0.024804,-78.72448,2126,2,2020
2657599992,Tangara ruficervix,EC,Bellavista Cloud Forest Lodge,Pichincha,1,-0.015922,-78.681206,2242,2,2019
2105222874,Tangara ruficervix,EC,Milpe Bird Sanctuary,Pichincha,1,0.033327,-78.868454,1110,11,2017
1409579970,Tangara ruficervix,EC,Sachatamia Lodge,Pichincha,2,-0.025148,-78.75798,1719,1,2014
1381016706,Tangara ruficervix,EC,Santa Lucia Lodge,Pichincha,1,0.118575,-78.61154,1881,8,2015
3641476655,Tangara ruficervix,EC,Refugio Paz de las Aves (Angel Paz),Pichincha,2,0.019655,-78.70693,1906,5,2021
845324496,Tangara ruficervix,EC,Refugio Paz de las Aves (Angel Paz),Pichincha,1,0.019655,-78.70693,1906,3,2008
1950010411,Tangara ruficervix,EC,,Pichincha,1,0.009078,-78.677187,1720,3,2018
2988539334,Tangara ruficervix,EC,,Pichincha,1,0.02022,-78.707139,1887,8,2019
2988689330,Tangara ruficervix,EC,,Pichincha,1,0.020223,-78.70718,1887,8,2019
2242841491,Tangara ruficervix,EC,,Pichincha,1,0.020259,-78.707168,1887,5,2019
