gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
2243648179,Taraba major,EC,"Reserva Mangaloma, Pichincha",,1,0.1228,-78.9942,829,4,2015
2147459234,Taraba major,EC,Rancho Suamox,Pichincha,1,0.10746,-79.166534,377,4,2018
3637367131,Taraba major,EC,"Casa Divina Lodge, SN Miguel Bancos EC-Pichincha -0.06628, -78.76934",Pichincha,2,-0.066281,-78.76934,1297,10,2021
3205184876,Taraba major,EC,La Hesperia Biological Station,Pichincha,1,-0.347955,-78.86656,1262,10,2020
1766357293,Taraba major,EC,Unknown Location - -0.058x-78.773 - 10 Oct 2016 7:29 am,Pichincha,1,-0.05808,-78.77309,1255,10,2016
1400740827,Taraba major,EC,Reserva Mangaloma,Pichincha,2,0.122652,-78.99485,843,4,2006
1186801652,Taraba major,EC,Puerto Quito,Pichincha,1,0.119133,-79.25717,137,8,2014
2047277054,Taraba major,EC,Rancho Suamox,Pichincha,1,0.10746,-79.166534,377,3,2017
2116184810,Taraba major,EC,Mindo--Casa Divina Lodge,Pichincha,1,-0.06509,-78.76884,1285,11,2017
2076953576,Taraba major,EC,Rancho Suamox,Pichincha,2,0.10746,-79.166534,377,8,2017
2205234333,Taraba major,EC,"Las Terrazas de Dana, SN Miguel Bancos EC-Pichincha (-0.0629,-78.7700)",Pichincha,1,-0.062909,-78.76997,1288,9,2018
3538686438,Taraba major,EC,Sendero Frutti Tour & Birdwatching,Pichincha,2,0.08146,-79.05632,595,11,2021
2171084685,Taraba major,EC,Rio Silanche--entrance road,Pichincha,1,0.108158,-79.13607,400,6,2018
3243514757,Taraba major,EC,Punto Ornitológico Mindo,Pichincha,1,-0.052496,-78.782295,1231,5,2020
2679186594,Taraba major,EC,Rancho Suamox,Pichincha,2,0.10746,-79.166534,377,5,2019
3191890931,Taraba major,EC,Reserva Itapoa,Pichincha,1,0.122963,-79.27119,126,10,2020
3202005508,Taraba major,EC,"Vía Piedra de Vapor, Pichincha, EC.",Pichincha,1,0.123045,-79.271164,125,10,2020
3537478110,Taraba major,EC,"Urbanización "" Las Bromelias""",Pichincha,1,0.079067,-79.0339,633,3,2021
3550199135,Taraba major,EC,San Gerardo Alto. Puerto Quito,Pichincha,1,0.13002,-79.25659,224,8,2021
2702421017,Taraba major,EC,Rancho Suamox,Pichincha,1,0.10746,-79.166534,377,7,2019
2794159570,Taraba major,EC,Rio Silanche--entrance road,Pichincha,1,0.108158,-79.13607,400,11,2019
3581447618,Taraba major,EC,"Finca Choibá, Mashpi",Pichincha,1,0.170965,-78.899445,552,12,2021
3639231397,Taraba major,EC,Centro de lenguajeo,Pichincha,2,0.084692,-79.24455,280,9,2021
3132915471,Taraba major,EC,"Centro de Lenguajeo, Pichincha, EC (0,092, -79,277)",Pichincha,1,0.091597,-79.277145,264,1,2020
3579749521,Taraba major,EC,Sendero Frutti Tour & Birdwatching,Pichincha,2,0.08146,-79.05632,595,10,2021
3239655205,Taraba major,EC,"La Isla Mindo , Pichincha, EC (-0,053, -78,764)",Pichincha,1,-0.053133,-78.76369,1333,7,2020
3240735039,Taraba major,EC,"Luz de America, Santo Domingo de los Tsáchilas, EC (-0,365, -79,27)",Santo Domingo de los Tsáchilas,1,-0.364895,-79.26971,333,7,2020
3664064589,Taraba major,EC,Kapari Natural Lodge,Pichincha,1,-0.001202,-78.94196,916,8,2021
2192287960,Taraba major,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,8,2018
3623903249,Taraba major,EC,"Auto selected -0.03387, -78.80487",Pichincha,2,-0.033871,-78.80486,1117,11,2021
2783280786,Taraba major,EC,Puerto Quito,Pichincha,1,0.116386,-79.26367,196,7,2019
3261869364,Taraba major,EC,Rio Silanche--general area,Pichincha,1,0.117101,-79.13609,393,6,2016
2211239158,Taraba major,EC,Rio Silanche--entrance road,Pichincha,2,0.108158,-79.13607,400,11,2018
2076534812,Taraba major,EC,"EC-Pichincha - -0.054x-78.779 - jun. 19, 2017 8:45",Pichincha,1,-0.05361,-78.77928,1229,6,2017
2789560582,Taraba major,EC,Reserva/Finca Mashpi-Shungo (Mashpi Chocolate Artesanal Farm),Pichincha,1,0.182478,-78.9123,514,12,2019
3585372667,Taraba major,EC,Rio Silanche--entrance road,Pichincha,1,0.108158,-79.13607,400,11,2021
3541289605,Taraba major,EC,Reserva Mangaloma,Pichincha,2,0.122652,-78.99485,843,5,2021
3145984054,Taraba major,EC,Urbanización Las Macadamias,Santo Domingo de los Tsáchilas,2,-0.240632,-79.27066,402,4,2020
2673340426,Taraba major,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,3,2019
3200574163,Taraba major,EC,Punto Ornitológico Mindo,Pichincha,2,-0.052496,-78.782295,1231,12,2020
1187650997,Taraba major,EC,Rio Silanche--entrance road,Pichincha,2,0.108158,-79.13607,400,8,2014
