gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
2067397012,Terenotriccus erythrurus,EC,Rio Silanche Bird Sanctuary,Pichincha,2,0.145185,-79.14147,402,6,2017
2775531105,Terenotriccus erythrurus,EC,Rio Silanche--general area,Pichincha,1,0.117101,-79.13609,393,4,2019
2755447187,Terenotriccus erythrurus,EC,Reserva/Finca Mashpi-Shungo (Mashpi Chocolate Artesanal Farm),Pichincha,1,0.182478,-78.9123,514,5,2019
1147213176,Terenotriccus erythrurus,EC,Río Silanche Bird Sanctuary,Pichincha,1,0.143189,-79.13468,411,11,2008
2770025740,Terenotriccus erythrurus,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,11,2010
2781558530,Terenotriccus erythrurus,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,7,2019
2186568093,Terenotriccus erythrurus,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,6,2018
2105086931,Terenotriccus erythrurus,EC,Rio Silanche--general area,Pichincha,1,0.117101,-79.13609,393,1,2018
1407934206,Terenotriccus erythrurus,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,11,2013
3644548981,Terenotriccus erythrurus,EC,Rio Silanche Bird Sanctuary,Pichincha,2,0.145185,-79.14147,402,12,2021
3197762346,Terenotriccus erythrurus,EC,Rio Silanche--general area,Pichincha,2,0.117101,-79.13609,393,11,2020
1194473095,Terenotriccus erythrurus,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,8,2008
2123440287,Terenotriccus erythrurus,EC,Rio Silanche--general area,Pichincha,1,0.117101,-79.13609,393,12,2004
3577615472,Terenotriccus erythrurus,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,7,2019
2098979776,Terenotriccus erythrurus,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,11,2017
2198464374,Terenotriccus erythrurus,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,7,2018
971405853,Terenotriccus erythrurus,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,8,2008
2688593415,Terenotriccus erythrurus,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,4,2019
2767752174,Terenotriccus erythrurus,EC,Reserva Mashpi Shungo,Pichincha,1,0.18266,-78.91341,510,10,2019
