gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
3385709333,Thamnophilus unicolor,EC,Pichincha: Mindo area,,1,-0.051,-78.778,1253,3,2001
2982196436,Thamnophilus unicolor,EC,"Distrito Metropolitano de Quito, Pichincha, Parroquia Nanegalito, Nueva Granada, Hacienda Los Yumbos",,1,0.0797,-78.6838,1589,8,2020
2731225734,Thamnophilus unicolor,EC,Tandayapa Bird Lodge,Pichincha,1,0.00235,-78.67743,1742,1,2019
1173049558,Thamnophilus unicolor,EC,Séptimo Paraiso,Pichincha,2,-0.030813,-78.764465,1564,3,2013
3170565593,Thamnophilus unicolor,EC,Maquipucuna Lodge,Pichincha,1,0.124139,-78.62937,1272,5,2020
3018092780,Thamnophilus unicolor,EC,,Pichincha,1,-0.065464,-78.798496,1360,1,2021
3207479455,Thamnophilus unicolor,EC,Mashpi--Entrance road before gate,Pichincha,1,0.160629,-78.84993,1340,12,2020
974758171,Thamnophilus unicolor,EC,Refugio Paz de las Aves (Angel Paz),Pichincha,11,0.019655,-78.70693,1906,12,2013
2175943568,Thamnophilus unicolor,EC,The Birdwatcher's House - Santa Rosa Bird Lodge,Pichincha,2,-0.024804,-78.72448,2126,7,2018
3684300773,Thamnophilus unicolor,EC,Refugio Paz de las Aves (Angel Paz),Pichincha,2,0.019655,-78.70693,1906,5,2021
2801097698,Thamnophilus unicolor,EC,Refugio Paz de las Aves (Angel Paz),Pichincha,1,0.019655,-78.70693,1906,11,2008
3546640050,Thamnophilus unicolor,EC,Santa Lucia Lodge,Pichincha,3,0.118575,-78.61154,1881,10,2021
3187781194,Thamnophilus unicolor,EC,Maquipucuna Lodge,Pichincha,3,0.124139,-78.62937,1272,10,2020
2188173510,Thamnophilus unicolor,EC,Road between Santa Lucia and Maquipucuna,Pichincha,2,0.1232,-78.62168,1395,7,2018
2669115241,Thamnophilus unicolor,EC,The Birdwatcher's House - Santa Rosa Bird Lodge,Pichincha,1,-0.024804,-78.72448,2126,3,2019
2760187063,Thamnophilus unicolor,EC,The Birdwatcher's House - Santa Rosa Bird Lodge,Pichincha,1,-0.024804,-78.72448,2126,6,2019
961664903,Thamnophilus unicolor,EC,Mashpi--general area,Pichincha,2,0.16546,-78.84751,1293,8,2013
