gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
2243571897,Tiaris olivaceus,EC,"Paz de las Aves, Pichincha",,1,0.0226,-78.712,1857,11,2005
2243885930,Tiaris olivaceus,EC,"Paz de las Aves, Pichincha",,1,0.0226,-78.712,1857,2,2010
2032254131,Tiaris olivaceus,EC,Ecollacta,Pichincha,2,0.1171,-78.6409,1322,1,2017
1348484582,Tiaris olivaceus,EC,Santa Marianita,Pichincha,1,0.130697,-78.66666,1171,1,2015
3204800282,Tiaris olivaceus,EC,Maquipucuna--road,Pichincha,1,0.125055,-78.650696,1177,1,2012
963689330,Tiaris olivaceus,EC,Santa Marianita,Pichincha,1,0.130697,-78.66666,1171,8,2013
3663937538,Tiaris olivaceus,EC,Refugio Paz de las Aves (Angel Paz),Pichincha,1,0.019655,-78.70693,1906,7,2007
1780939152,Tiaris olivaceus,EC,Ecollacta,Pichincha,2,0.1171,-78.6409,1322,12,2016
3206099711,Tiaris olivaceus,EC,Nanegal--vicinity,Pichincha,1,0.136249,-78.677826,1150,11,2020
3278252509,Tiaris olivaceus,EC,Refugio Paz de las Aves (Angel Paz),Pichincha,2,0.019655,-78.70693,1906,10,2018
1186254286,Tiaris olivaceus,EC,Chontal--Oilbird Cave (Finca Morales/Cueva de los Tayos),Pichincha,4,0.20874,-78.73695,854,8,2014
1206155007,Tiaris olivaceus,EC,Maquipucuna--road,Pichincha,1,0.125055,-78.650696,1177,8,2010
1196873094,Tiaris olivaceus,EC,Mindo--Vía a las cascadas (Waterfall trail),Pichincha,4,-0.062765,-78.77427,1344,11,2014
970729847,Tiaris olivaceus,EC,Santa Marianita,Pichincha,1,0.130697,-78.66666,1171,11,2013
184273724,Tiaris olivaceus,EC,Milpe Bird Sanctuary,Pichincha,1,0.033327,-78.868454,1110,6,2007
3600125212,Tiaris olivaceus,EC,"Nanegal, Pichincha, EC (0,134, -78,691)",Pichincha,5,0.134127,-78.69107,1255,8,2021
3571961788,Tiaris olivaceus,EC,Santa Marianita,Pichincha,1,0.130697,-78.66666,1171,1,2012
1155591112,Tiaris olivaceus,EC,Santa Marianita,Pichincha,1,0.130697,-78.66666,1171,1,2014
1399789149,Tiaris olivaceus,EC,Reserva Mangaloma,Pichincha,1,0.122652,-78.99485,843,11,2015
2135309841,Tiaris olivaceus,EC,Reserva Bellavista--general area,Pichincha,1,-0.016544,-78.68791,2278,11,2005
1163175520,Tiaris olivaceus,EC,Santa Marianita,Pichincha,1,0.130697,-78.66666,1171,4,2014
1407644216,Tiaris olivaceus,EC,Refugio Paz de las Aves (Angel Paz),Pichincha,1,0.019655,-78.70693,1906,1,2010
1166034396,Tiaris olivaceus,EC,Mindo--Vía a las cascadas (Waterfall trail),Pichincha,1,-0.062765,-78.77427,1344,4,2014
3196203113,Tiaris olivaceus,EC,Mindo--pueblo y alrededores inmediatos (town and immediate surroundings),Pichincha,2,-0.051046,-78.7784,1259,7,2010
2690045761,Tiaris olivaceus,EC,Nanegal--vicinity,Pichincha,1,0.136249,-78.677826,1150,8,2019
3142601267,Tiaris olivaceus,EC,Nanegal--vicinity,Pichincha,3,0.136249,-78.677826,1150,2,2020
1189660734,Tiaris olivaceus,EC,Santa Marianita,Pichincha,1,0.130697,-78.66666,1171,9,2014
845244640,Tiaris olivaceus,EC,Refugio Paz de las Aves (Angel Paz),Pichincha,1,0.019655,-78.70693,1906,12,2006
3601432925,Tiaris olivaceus,EC,Chontal--Oilbird Cave (Finca Morales/Cueva de los Tayos),Pichincha,8,0.20874,-78.73695,854,4,2021
1768020086,Tiaris olivaceus,EC,Tandayapa - Bellavista Road -- 0.01x-78.68,Pichincha,1,-0.010152,-78.6798,1964,10,2016
1366971292,Tiaris olivaceus,EC,Nueva Granada - Nanegalito - Finca La Unión (1516 msnm),Pichincha,4,0.125123,-78.710884,1490,5,2015
1767071577,Tiaris olivaceus,EC,Ecollacta,Pichincha,3,0.1171,-78.6409,1322,9,2016
1205099931,Tiaris olivaceus,EC,Mindo Lindo,Pichincha,1,-0.024389,-78.76986,1647,11,2011
604903114,Tiaris olivaceus,EC,Refugio Paz de las Aves (Angel Paz),Pichincha,2,0.019655,-78.70693,1906,7,2011
1196852647,Tiaris olivaceus,EC,Apuela,Imbabura,1,0.356753,-78.51169,1602,2,2002
