gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
4011701140,Veniliornis kirkii,EC,,Pichincha,1,0.14548,-79.142013,393,12,2022
2243609929,Veniliornis kirkii,EC,"Distrito Metropolitano de Quito, Pichincha",,1,0.0591,-78.7679,1863,7,2014
3389220047,Veniliornis kirkii,EC,Niedrige Landschaften (Lowlands) nähe Arasha,,1,0.100909,-79.096443,530,11,2004
1201366442,Veniliornis kirkii,EC,Rio Silanche--entrance road,Pichincha,1,0.108158,-79.13607,400,11,2014
2723489989,Veniliornis kirkii,EC,Pedro Vicente Maldonado--pueblo y alrededores inmediatos (town and immediate surroundings),Pichincha,1,0.087625,-79.05275,613,11,2006
2988722357,Veniliornis kirkii,EC,,Pichincha,1,0.165901,-78.877605,927,8,2019
1384684026,Veniliornis kirkii,EC,Rio Silanche Bird Sanctuary,Pichincha,2,0.145185,-79.14147,402,5,2006
3540518709,Veniliornis kirkii,EC,Rancho Suamox,Pichincha,1,0.10746,-79.166534,377,10,2021
3608996459,Veniliornis kirkii,EC,Ruta de los Tubos,Santo Domingo de los Tsáchilas,1,-0.322741,-78.99407,787,5,2021
3660321488,Veniliornis kirkii,EC,"Bosque Mashpi Shungo, EC (0,188, -78,912)",Pichincha,1,0.187956,-78.91236,611,5,2021
1206950463,Veniliornis kirkii,EC,Rio Silanche--entrance road,Pichincha,1,0.108158,-79.13607,400,3,2003
3635376593,Veniliornis kirkii,EC,Rancho Suamox,Pichincha,1,0.10746,-79.166534,377,12,2021
2660407680,Veniliornis kirkii,EC,Rancho Suamox,Pichincha,1,0.10746,-79.166534,377,2,2019
1208685242,Veniliornis kirkii,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,8,2014
2775558715,Veniliornis kirkii,EC,Rio Silanche Bird Sanctuary,Pichincha,2,0.145185,-79.14147,402,3,2010
3598380303,Veniliornis kirkii,EC,Reserva/Finca Mashpi-Shungo (Mashpi Chocolate Artesanal Farm),Pichincha,1,0.182478,-78.9123,514,2,2021
603945226,Veniliornis kirkii,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,2,2010
3179913356,Veniliornis kirkii,EC,"6 ago. 2020 13:15-0,16, -78,937",Pichincha,1,0.159619,-78.9366,499,8,2020
3286994957,Veniliornis kirkii,EC,"Via Alóag Santo Domingo, La Unión del Toachi, EC (-0,318, -78,954)",Santo Domingo de los Tsáchilas,1,-0.318387,-78.95405,811,10,2020
