gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
2848589180,Vireo leucophrys,EC,"Mindo, Pichincha",,1,-0.0266,-78.7423,1861,2,2020
3034453312,Vireo leucophrys,EC,"Reserva Las Grallarias, Mindo, Pichincha",,1,-0.0101,-78.7501,1720,7,2011
980497310,Vireo leucophrys,EC,Mindo--Road from highway to town (1300-1700m),Pichincha,4,-0.03871,-78.76851,1441,2,2006
2737195402,Vireo leucophrys,EC,Mindo Lindo,Pichincha,2,-0.024389,-78.76986,1647,1,2019
3558041713,Vireo leucophrys,EC,Desvío Mindo (Junction),Pichincha,2,-0.026744,-78.76363,1683,9,2021
961935263,Vireo leucophrys,EC,Santa Lucia Lodge,Pichincha,1,0.118575,-78.61154,1881,8,2013
3147702233,Vireo leucophrys,EC,Santa Lucia Lodge,Pichincha,1,0.118575,-78.61154,1881,1,2020
184721515,Vireo leucophrys,EC,Reserva Las Gralarias,Pichincha,1,-0.014162,-78.72983,2090,7,2007
2771141159,Vireo leucophrys,EC,Séptimo Paraiso,Pichincha,1,-0.030813,-78.764465,1564,2,2019
2189128216,Vireo leucophrys,EC,"San Jorge Tandayapa, Pichincha, EC (0,009, -78,677)",Pichincha,1,0.009385,-78.677124,1713,8,2018
1190920382,Vireo leucophrys,EC,"Sachatamia Transecto impacto, Punto 8",Pichincha,1,-0.016,-78.746,1773,5,2003
3580160836,Vireo leucophrys,EC,Tandayapa Bird Lodge,Pichincha,5,0.00235,-78.67743,1742,12,2021
1788437565,Vireo leucophrys,EC,Bellavista Cloud Forest Lodge,Pichincha,1,-0.015922,-78.681206,2242,5,2013
3692623047,Vireo leucophrys,EC,Tandayapa Bird Lodge,Pichincha,1,0.00235,-78.67743,1742,1,2004
1190865247,Vireo leucophrys,EC,"San Luis Transecto impacto, Punto 1",Pichincha,2,-0.017,-78.687,2278,8,2003
2686226012,Vireo leucophrys,EC,Séptimo Paraiso,Pichincha,1,-0.030813,-78.764465,1564,6,2019
3138409889,Vireo leucophrys,EC,Reserva Amagusa,Pichincha,1,0.1598,-78.8534,1302,2,2020
2789621712,Vireo leucophrys,EC,Bellavista Cloud Forest Lodge,Pichincha,1,-0.015922,-78.681206,2242,2,2014
3134989165,Vireo leucophrys,EC,Alambi Reserve,Pichincha,1,0.030789,-78.680565,1488,2,2020
2206127497,Vireo leucophrys,EC,Bellavista Cloud Forest Lodge,Pichincha,1,-0.015922,-78.681206,2242,11,2018
3137949720,Vireo leucophrys,EC,Ecoruta--Alambi Valley (Nono-Tandayapa Road below 2500 m),Pichincha,1,-0.017016,-78.65079,1867,2,2020
3149734557,Vireo leucophrys,EC,Tandayapa--pueblo y valle inferior (town and lower valley),Pichincha,1,0.015986,-78.67585,1612,2,2020
2784879208,Vireo leucophrys,EC,Bellavista Cloud Forest Lodge,Pichincha,1,-0.015922,-78.681206,2242,11,2019
1355369864,Vireo leucophrys,EC,Bella Vista Rd .0391 X -78.6951,Pichincha,1,0.03914,-78.69514,1958,3,2015
2156544201,Vireo leucophrys,EC,"San Tadeo RoudE28, Pichincha, EC (-0,029, -78,753)",Pichincha,1,-0.029262,-78.75275,1743,5,2018
1190803165,Vireo leucophrys,EC,"Sachatamia Transecto impacto, Punto 5",Pichincha,2,-0.019,-78.749,1751,8,2002
1401074605,Vireo leucophrys,EC,Refugio Paz de las Aves (Angel Paz),Pichincha,1,0.019655,-78.70693,1906,11,2015
1716524174,Vireo leucophrys,EC,Pacha Quinde Nature Reserve (MCF),Pichincha,1,-0.009865,-78.675896,2022,2,2016
