gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
3273673726,Xenops rutilans,EC,San Jorge de Milpe,Pichincha,2,0.044357,-78.88368,1059,7,2020
2076835779,Xenops rutilans,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,8,2017
2733023624,Xenops rutilans,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,2,2019
2793774043,Xenops rutilans,EC,Milpe Bird Sanctuary,Pichincha,1,0.033327,-78.868454,1110,6,2019
2742937328,Xenops rutilans,EC,Milpe Bird Sanctuary,Pichincha,1,0.033327,-78.868454,1110,2,2019
2797971122,Xenops rutilans,EC,Mashpi--Entrance road before gate,Pichincha,2,0.160629,-78.84993,1340,11,2019
2789039221,Xenops rutilans,EC,"EC-Pichincha-Quito (0,1251,-78,6280)",Pichincha,1,0.125067,-78.62796,1309,9,2019
2697065659,Xenops rutilans,EC,Reserva Mangaloma,Pichincha,1,0.122652,-78.99485,843,8,2006
184802400,Xenops rutilans,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,7,2008
2147955208,Xenops rutilans,EC,Rancho Suamox,Pichincha,3,0.10746,-79.166534,377,4,2018
603955016,Xenops rutilans,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,11,2010
2730818125,Xenops rutilans,EC,"Ecoruta (Nono-Mindo road), Bellavista<->San Tadeo",Pichincha,2,-0.033302,-78.712814,2228,3,2019
3146399945,Xenops rutilans,EC,Rio Silanche--general area,Pichincha,1,0.117101,-79.13609,393,1,2020
1173038260,Xenops rutilans,EC,Rio Silanche Bird Sanctuary,Pichincha,2,0.145185,-79.14147,402,3,2014
3229781851,Xenops rutilans,EC,Rio Silanche Bird Sanctuary,Pichincha,1,0.145185,-79.14147,402,1,2020
603957727,Xenops rutilans,EC,Tandayapa Bird Lodge,Pichincha,1,0.00235,-78.67743,1742,11,2010
3641175072,Xenops rutilans,EC,"Auto selected 0.04753, -78.88700",Pichincha,1,0.047531,-78.887,1055,5,2021
603381387,Xenops rutilans,EC,Rio Silanche Bird Sanctuary,Pichincha,2,0.145185,-79.14147,402,7,2009
2796679363,Xenops rutilans,EC,Milpe Bird Sanctuary,Pichincha,1,0.033327,-78.868454,1110,10,2015
2189746891,Xenops rutilans,EC,Milpe Bird Sanctuary,Pichincha,1,0.033327,-78.868454,1110,7,2018
1787908428,Xenops rutilans,EC,Rio Silanche--general area,Pichincha,1,0.117101,-79.13609,393,4,2005
3136684290,Xenops rutilans,EC,"Vía Calacalí - La Independencia, SN Miguel Bancos EC-Pichincha (0.1073,-79.1661)",Pichincha,1,0.107274,-79.16613,381,2,2020
2167707510,Xenops rutilans,EC,Rio Silanche--general area,Pichincha,1,0.117101,-79.13609,393,5,2018
1763427235,Xenops rutilans,EC,Ecollacta,Pichincha,1,0.1171,-78.6409,1322,9,2016
2687270623,Xenops rutilans,EC,Puerto Quito,Pichincha,1,0.116386,-79.26367,196,7,2019
1783962020,Xenops rutilans,EC,San Jorge de Milpe,Pichincha,1,0.044357,-78.88368,1059,4,2013
2209336318,Xenops rutilans,EC,Rio Silanche--general area,Pichincha,1,0.117101,-79.13609,393,8,2008
