gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
2243609897,Xiphorhynchus erythropygius,EC,Pichincha,,1,0.1861,-79.2265,163,7,2014
2243564323,Xiphorhynchus erythropygius,EC,"Mindo, Pichincha",,1,-0.0523,-78.7764,1244,4,2011
2243651567,Xiphorhynchus erythropygius,EC,"Mindo, Pichincha",,1,-0.0523,-78.7764,1244,4,2015
2534097496,Xiphorhynchus erythropygius,EC,"Finca Cuatro Rios, San Miguel de Los Bancos, Pichincha",,1,0.0742,-78.9817,767,5,2001
2243623052,Xiphorhynchus erythropygius,EC,"Un Poco del Choco, Pichincha",,1,0.0736,-78.7685,1713,11,2014
2243562042,Xiphorhynchus erythropygius,EC,"Mindo, Pichincha",,1,-0.0523,-78.7764,1244,4,2011
2243558700,Xiphorhynchus erythropygius,EC,"Tandayapa Valley, Pichincha",,1,-0.0167,-78.6834,2309,1,2012
2243713774,Xiphorhynchus erythropygius,EC,"Rio Silanche, Pedro Vicente Maldonado, Pichincha",,1,0.1431,-79.1334,420,1,2008
3141543911,Xiphorhynchus erythropygius,EC,Mindo--Vía a las cascadas (Waterfall trail),Pichincha,3,-0.062765,-78.77427,1344,4,2020
3194617184,Xiphorhynchus erythropygius,EC,Mindo Lindo,Pichincha,1,-0.024389,-78.76986,1647,10,2020
2683473181,Xiphorhynchus erythropygius,EC,Sachatamia Lodge,Pichincha,1,-0.025148,-78.75798,1719,5,2019
2191731453,Xiphorhynchus erythropygius,EC,Mindo--Casa Divina Lodge,Pichincha,1,-0.06509,-78.76884,1285,10,2016
3659771854,Xiphorhynchus erythropygius,EC,Tandayapa Bird Lodge,Pichincha,1,0.00235,-78.67743,1742,11,2017
3689039611,Xiphorhynchus erythropygius,EC,"Casa Divina Lodge, SN Miguel Bancos EC-Pichincha -0.06622, -78.76934",Pichincha,1,-0.066222,-78.76934,1297,7,2021
2064684116,Xiphorhynchus erythropygius,EC,Milpe Bird Sanctuary,Pichincha,2,0.033327,-78.868454,1110,6,2017
2215496921,Xiphorhynchus erythropygius,EC,Mindo--Casa Divina Lodge,Pichincha,1,-0.06509,-78.76884,1285,11,2018
