gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
2243558145,Zentrygon frenata,EC,"Tandayapa Bird Lodge, Tandayapa Valley, Pichincha",,1,0.01,-78.6776,1702,1,2003
2243592858,Zentrygon frenata,EC,"Reserva Las Tangaras, Mindo, Pichincha",,1,-0.081,-78.7679,1349,12,2013
1184489729,Zentrygon frenata,EC,Bellavista Cloud Forest Lodge,Pichincha,1,-0.015922,-78.681206,2242,6,2013
2697444547,Zentrygon frenata,EC,Reserva Maquipucuna,Pichincha,1,0.120898,-78.63837,1310,9,2019
3218890430,Zentrygon frenata,EC,Santa Lucia Lodge,Pichincha,1,0.118575,-78.61154,1881,1,2020
2700631678,Zentrygon frenata,EC,Santa Lucia Lodge,Pichincha,1,0.118575,-78.61154,1881,8,2019
2203953543,Zentrygon frenata,EC,Mindo--Vía a las cascadas (Waterfall trail),Pichincha,1,-0.062765,-78.77427,1344,11,2018
1181380273,Zentrygon frenata,EC,Santa Lucia Lodge,Pichincha,1,0.118575,-78.61154,1881,7,2014
2228678183,Zentrygon frenata,EC,Santa Lucia Lodge,Pichincha,1,0.118575,-78.61154,1881,11,2018
2620055642,Zentrygon frenata,EC,,Pichincha,1,0.112929,-78.632175,1388,9,2014
2129650228,Zentrygon frenata,EC,Mindo--Vía a las cascadas (Waterfall trail),Pichincha,1,-0.062765,-78.77427,1344,1,2018
3244681671,Zentrygon frenata,EC,Bellavista Cloud Forest Lodge,Pichincha,3,-0.015922,-78.681206,2242,1,2020
1763495787,Zentrygon frenata,EC,Tandayapa--San Jorge Tandayapa,Pichincha,4,0.010117,-78.676544,1656,9,2016
1189106242,Zentrygon frenata,EC,Reserva Maquipucuna,Pichincha,1,0.120898,-78.63837,1310,9,2014
2199801646,Zentrygon frenata,EC,Reserva Maquipucuna,Pichincha,1,0.120898,-78.63837,1310,7,2018
2772664039,Zentrygon frenata,EC,Bellavista Cloud Forest Lodge,Pichincha,1,-0.015922,-78.681206,2242,3,2019
2174410990,Zentrygon frenata,EC,Santa Lucia Lodge,Pichincha,1,0.118575,-78.61154,1881,5,2018
2742638951,Zentrygon frenata,EC,Tandayapa Bird Lodge,Pichincha,2,0.00235,-78.67743,1742,6,2019
3586845092,Zentrygon frenata,EC,Tandayapa Bird Lodge,Pichincha,1,0.00235,-78.67743,1742,3,2012
1200391923,Zentrygon frenata,EC,Santa Marianita,Pichincha,1,0.130697,-78.66666,1171,12,2014
829148287,Zentrygon frenata,EC,"Tandayapa--valle superior (Tandayapa<->Bellavista, upper valley)",Pichincha,1,-0.013116,-78.677826,2087,10,2000
3664471530,Zentrygon frenata,EC,Santa Lucia Lodge,Pichincha,2,0.118575,-78.61154,1881,10,2021
2222337046,Zentrygon frenata,EC,Reserva Amagusa,Pichincha,1,0.1598,-78.8534,1302,7,2018
1770481676,Zentrygon frenata,EC,Tandayapa--San Jorge Tandayapa,Pichincha,4,0.010117,-78.676544,1656,10,2016
2725596153,Zentrygon frenata,EC,Mashpi--Lodge and trails,Pichincha,1,0.166125,-78.878876,931,3,2018
2779685620,Zentrygon frenata,EC,Tandayapa Bird Lodge,Pichincha,4,0.00235,-78.67743,1742,8,2019
2088523214,Zentrygon frenata,EC,Bellavista--camino a la estación científica (research station road),Pichincha,1,-0.020999,-78.684425,2338,7,2017
1374492354,Zentrygon frenata,EC,Tandayapa Bird Lodge,Pichincha,1,0.00235,-78.67743,1742,11,2009
1738924521,Zentrygon frenata,EC,El Entable,Pichincha,6,0.1527,-78.338,2350,5,2016
3229814609,Zentrygon frenata,EC,Reserva Maquipucuna,Pichincha,1,0.120898,-78.63837,1310,3,2020
2718635850,Zentrygon frenata,EC,Mirador Rio Blanco,Pichincha,1,0.0232,-78.892,1085,6,2012
1933579387,Zentrygon frenata,EC,,Pichincha,1,0.166459,-78.871468,1050,4,2017
1174357435,Zentrygon frenata,EC,Mindo--Centro de Educacíon Ambiental(CEA),Pichincha,1,-0.074467,-78.75362,1350,5,2014
2698479641,Zentrygon frenata,EC,The Birdwatcher's House - Santa Rosa Bird Lodge,Pichincha,1,-0.024804,-78.72448,2126,8,2019
831797575,Zentrygon frenata,EC,Mirador Rio Blanco -- San Miguel de Los Bancos,Pichincha,1,0.02228,-78.8909,1096,7,2012
1190791025,Zentrygon frenata,EC,Guarumos Transecto control P05,Pichincha,1,-0.04347,-78.64967,2606,2,2008
3675849762,Zentrygon frenata,EC,Santa Lucia Lodge,Pichincha,3,0.118575,-78.61154,1881,10,2021
2137582852,Zentrygon frenata,EC,Mindo--Vía al Cinto,Pichincha,2,-0.061568,-78.791115,1207,2,2018
2759133312,Zentrygon frenata,EC,Reserva Amagusa,Pichincha,2,0.1598,-78.8534,1302,5,2019
2724670973,Zentrygon frenata,EC,"EC-Pichincha-Quito (0,1251,-78,6280)",Pichincha,2,0.125067,-78.62796,1309,11,2019
3207599900,Zentrygon frenata,EC,Mashpi--Lodge and trails,Pichincha,1,0.166125,-78.878876,931,4,2019
1720668558,Zentrygon frenata,EC,"gallo de la peña , primera de mayo",Pichincha,1,-0.021286,-78.73017,2052,3,2016
2744287959,Zentrygon frenata,EC,Reserva Amagusa,Pichincha,1,0.1598,-78.8534,1302,7,2019
263050834,Zentrygon frenata,EC,Bellavista Cloud Forest Lodge,Pichincha,1,-0.015922,-78.681206,2242,12,2003
2234128766,Zentrygon frenata,EC,Bellavista Cloud Forest Lodge,Pichincha,3,-0.015922,-78.681206,2242,1,2010
1181370978,Zentrygon frenata,EC,Reserva Maquipucuna,Pichincha,1,0.120898,-78.63837,1310,7,2014
940586363,Zentrygon frenata,EC,Reserva Bellavista--general area,Pichincha,1,-0.016544,-78.68791,2278,1,2013
1375992656,Zentrygon frenata,EC,Mashpi--general area,Pichincha,1,0.16546,-78.84751,1293,6,2015
3223791046,Zentrygon frenata,EC,Bellavista Cloud Forest Lodge,Pichincha,1,-0.015922,-78.681206,2242,3,2020
2109871076,Zentrygon frenata,EC,Reserva Amagusa,Pichincha,2,0.1598,-78.8534,1302,1,2018
2185688725,Zentrygon frenata,EC,Mindo,Pichincha,3,0.014763,-78.89192,836,7,2018
1190840172,Zentrygon frenata,EC,Campanario Transecto control P03,Pichincha,1,-0.03203,-78.6645,2527,11,2003
1182815520,Zentrygon frenata,EC,Santa Lucia Lodge,Pichincha,1,0.118575,-78.61154,1881,8,2014
3508882996,Zentrygon frenata,EC,The Birdwatcher's House - Santa Rosa Bird Lodge,Pichincha,1,-0.024804,-78.72448,2126,2,2021
1784795464,Zentrygon frenata,EC,Reserva Bellavista--general area,Pichincha,1,-0.016544,-78.68791,2278,4,2012
1190971192,Zentrygon frenata,EC,"Chiquilpe Transecto impacto, Punto 6",Pichincha,1,-0.025,-78.595,2673,4,2005
2688541803,Zentrygon frenata,EC,Reserva Amagusa,Pichincha,1,0.1598,-78.8534,1302,4,2019
2796592737,Zentrygon frenata,EC,Bellavista Cloud Forest Lodge,Pichincha,5,-0.015922,-78.681206,2242,2,2019
952462478,Zentrygon frenata,EC,Refugio Paz de las Aves (Angel Paz),Pichincha,1,0.019655,-78.70693,1906,2,2011
2723860162,Zentrygon frenata,EC,Refugio Paz de las Aves (Angel Paz),Pichincha,1,0.019655,-78.70693,1906,6,2018
2035291510,Zentrygon frenata,EC,Bellavista Cloud Forest Lodge,Pichincha,1,-0.015922,-78.681206,2242,1,2017
1347352093,Zentrygon frenata,EC,La Armenia-Bellavista Road (alternate road to Bellavista),Pichincha,1,0.00859,-78.69729,2065,1,2010
3679407998,Zentrygon frenata,EC,Tandayapa--San Jorge Tandayapa,Pichincha,2,0.010117,-78.676544,1656,4,2021
1190857306,Zentrygon frenata,EC,"Hacienda Verdecocha (reserva privada), transecto 02",Pichincha,1,-0.10905,-78.61705,2675,11,2008
1794124265,Zentrygon frenata,EC,Bellavista Cloud Forest Lodge,Pichincha,1,-0.015922,-78.681206,2242,9,2011
1190870891,Zentrygon frenata,EC,Campanario Transecto control P05,Pichincha,1,-0.03014,-78.66375,2491,8,2003
2780045444,Zentrygon frenata,EC,Mindo--Hacienda San Vicente/Yellow House Trails,Pichincha,1,-0.050725,-78.772385,1274,11,2019
3694775468,Zentrygon frenata,EC,Bellavista Cloud Forest Lodge,Pichincha,1,-0.015922,-78.681206,2242,10,2021
1197339800,Zentrygon frenata,EC,Bellavista Cloud Forest Lodge,Pichincha,1,-0.015922,-78.681206,2242,10,2005
2665303232,Zentrygon frenata,EC,Reserva Maquipucuna,Pichincha,1,0.120898,-78.63837,1310,2,2019
1411715629,Zentrygon frenata,EC,Maquipucuna--road,Pichincha,1,0.125055,-78.650696,1177,8,2014
1782572774,Zentrygon frenata,EC,Sachatamia Lodge,Pichincha,2,-0.025148,-78.75798,1719,12,2016
2709431506,Zentrygon frenata,EC,"Pichincha, EC (-0,026, -78,687)",Pichincha,1,-0.026335,-78.68717,2371,8,2019
1395591541,Zentrygon frenata,EC,Refugio Paz de las Aves (Angel Paz),Pichincha,1,0.019655,-78.70693,1906,11,2015
1199916326,Zentrygon frenata,EC,Reserva Bellavista--general area,Pichincha,3,-0.016544,-78.68791,2278,2,2010
2719448521,Zentrygon frenata,EC,Refugio Paz de las Aves (Angel Paz),Pichincha,1,0.019655,-78.70693,1906,11,2019
1760246833,Zentrygon frenata,EC,Santa Lucia Lodge,Pichincha,1,0.118575,-78.61154,1881,9,2016
2800886536,Zentrygon frenata,EC,Tandayapa Bird Lodge,Pichincha,3,0.002322,-78.67682,1706,5,2010
3613713217,Zentrygon frenata,EC,Maquipucuna Lodge,Pichincha,1,0.124139,-78.62937,1272,5,2021
2737540977,Zentrygon frenata,EC,Mindo--pueblo y alrededores inmediatos (town and immediate surroundings),Pichincha,4,-0.051046,-78.7784,1259,4,2019
937583988,Zentrygon frenata,EC,Bellavista Cloud Forest Lodge,Pichincha,1,-0.015922,-78.681206,2242,2,2004
1203407408,Zentrygon frenata,EC,Bellavista Cloud Forest Lodge,Pichincha,1,-0.015922,-78.681206,2242,10,2014
2195983460,Zentrygon frenata,EC,Road between Santa Lucia and Maquipucuna,Pichincha,1,0.1232,-78.62168,1395,7,2018
2218394509,Zentrygon frenata,EC,Reserva Bellavista--general area,Pichincha,7,-0.016544,-78.68791,2278,11,2018
3133596078,Zentrygon frenata,EC,Bellavista Cloud Forest Lodge,Pichincha,2,-0.015922,-78.681206,2242,1,2020
2197666521,Zentrygon frenata,EC,Pacha Quinde Nature Reserve (MCF),Pichincha,1,-0.009865,-78.675896,2022,7,2018
180307736,Zentrygon frenata,EC,Tandayapa Bird Lodge,Pichincha,3,0.00235,-78.67743,1742,3,2008
2134321015,Zentrygon frenata,EC,Reserva Amagusa,Pichincha,1,0.1598,-78.8534,1302,3,2018
2739968156,Zentrygon frenata,EC,Bellavista Cloud Forest Lodge,Pichincha,2,-0.015922,-78.681206,2242,2,2019
2055334688,Zentrygon frenata,EC,Bellavista--camino a la estación científica (research station road),Pichincha,1,-0.020999,-78.684425,2338,4,2017
961983299,Zentrygon frenata,EC,"Tandayapa--valle superior (Tandayapa<->Bellavista, upper valley)",Pichincha,2,-0.013116,-78.677826,2087,1,2013
2680087791,Zentrygon frenata,EC,Mindo--Vía a las cascadas (Waterfall trail),Pichincha,1,-0.062765,-78.77427,1344,4,2019
2222144231,Zentrygon frenata,EC,Reserva Maquipucuna,Pichincha,1,0.120898,-78.63837,1310,10,2018
1790147937,Zentrygon frenata,EC,Reserva Los Cedros,Imbabura,1,0.321968,-78.787,1820,6,2008
2094362488,Zentrygon frenata,EC,Bellavista--camino a la estación científica (research station road),Pichincha,1,-0.020999,-78.684425,2338,9,2017
2701661769,Zentrygon frenata,EC,Mashpi--Lodge and trails,Pichincha,2,0.166125,-78.878876,931,9,2019
1180518005,Zentrygon frenata,EC,Mindo--Vía a las cascadas (Waterfall trail),Pichincha,2,-0.062765,-78.77427,1344,7,2014
1377130986,Zentrygon frenata,EC,Bellavista Cloud Forest Lodge,Pichincha,2,-0.015922,-78.681206,2242,6,2015
