gbifID,species,countryCode,locality,stateProvince,individualCount,decimalLatitude,decimalLongitude,elevation,month,year
920305323,Alectoris barbara,MA,Oued Massa / Marokko,,1,30.063412,-9.66475,13,1,2009
2722961327,Alectoris barbara,MA,Asrir,Guelmim-Es Smara,1,28.9272,-9.9981,280,3,2012
2862797679,Alectoris barbara,MA,Mansion Forestiere area,,20,33.566667,-6.883333,412,10,2003
2862793718,Alectoris barbara,MA,Oukaimeden,,2,31.2,-7.866667,2728,12,2004
2862905707,Alectoris barbara,MA,Oukaimeden,,3,31.2,-7.866667,2728,3,2007
2862902705,Alectoris barbara,MA,Imouzzer,,35,31.316667,-7.383333,1782,11,2006
2862799672,Alectoris barbara,MA,Agadir,,1,30.416667,-9.6,24,11,2006
2862798708,Alectoris barbara,MA,Oukaimeden,,3,31.2,-7.866667,2728,11,2002
2862800706,Alectoris barbara,MA,Essaouira,,1,31.516667,-9.766667,18,7,2003
2145660511,Alectoris barbara,MA,Réserve Royale de Chasse,Chaouia-Ouardigha,4,33.713158,-6.929712,284,3,2018
3273959187,Alectoris barbara,MA,منتزه سوس ماسة -- واد ماسة | PN Sous-Massa--Oued Massa,Sous-Massa-Draa,1,30.070282,-9.662819,21,3,2007
2735120932,Alectoris barbara,MA,"P1706, Taroudant MA-Souss-Massa-Drâa (30.5477,-8.4396)",Sous-Massa-Draa,1,30.547745,-8.439619,461,4,2019
2726254452,Alectoris barbara,MA,Oulad Berhil,Sous-Massa-Draa,1,30.637672,-8.465223,499,3,2018
2667925433,Alectoris barbara,MA,entre Sidi Marrat et Oued Beht,Rabat-Salé-Zemmour-Zaer,1,33.536316,-5.842833,1052,4,2019
3658484793,Alectoris barbara,MA,"Rue de Roudana, Témara, Rabat-Salé-Kénitra, MA (33.954, -6.924)",Rabat-Salé-Zemmour-Zaer,5,33.954243,-6.924456,12,11,2021
2711708478,Alectoris barbara,MA,RN Bouhachem--domaine général,Tanger-Tétouan,1,35.176052,-5.341244,486,2,2018
3296635242,Alectoris barbara,MA,Vallée d'Oukaïmeden,Marrakech-Tensift-Al Haouz,1,31.201849,-7.859733,2609,3,2019
3630444152,Alectoris barbara,MA,منتزه سيدي بوغابة | PN Sidi Boughaba,Gharb-Chrarda-Beni Hssen,2,34.24279,-6.672684,7,2,2000
1356920302,Alectoris barbara,MA,R203 9km from Tafinegoult turning,Sous-Massa-Draa,2,30.812038,-8.397117,1191,3,2015
2838395642,Alectoris barbara,MA,Morocco - Souss-Massa NP,,2,30.07758,-9.676679,7,3,2012
2839855966,Alectoris barbara,MA,Morocco - Oued Massa,,2,30.067203,-9.662441,12,2,2011
2839067846,Alectoris barbara,MA,Morocco - Sidi Ouassay,,2,30.044943,-9.646286,9,3,2020
2802087206,Alectoris barbara,MA,Vallée d'Oukaïmeden,Marrakech-Tensift-Al Haouz,4,31.201849,-7.859733,2609,4,2007
